"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Stanley Beckford";"Israelites";"Israelites";2004;"TOT OU TARD";1709373419;1709373629;"https://music.apple.com/fr/album/israelites/1446921568?i=1446922069&uo=4";"https://open.spotify.com/track/0cLif9BV7Gabvy67agulxL";
"Thea";"Leave a scar";"Leave a scar (instrumental)";2024;"AUTOPRODUCTION";1709373628;1709373873;;"https://open.spotify.com/track/7ljKplGlRsWJIStlgCHRGK";
"Denny Brooks";"Denny Brooks";"I wish i knew how it would feel to be free";1969;"WARNER BROS";1709373871;1709374085;;;
"Otroshakers";"Fusion global sounds (1970-1983) selected by Charles Maurice";"Siempre tu";1981;"FAVORITE RECORDINGS";1709374080;1709374279;"https://music.apple.com/fr/album/siempre-t%C3%BA/1309655811?i=1309655822&uo=4";;
"Dargz";"Happiness";"The duke (feat. Moses Boyd & Simon Dufour)";2023;"PAPERCUP RECORDS";1709374278;1709374430;;;
"Louis Armstrong";"The great summit: the master takes";"Duke's place";1961;"EMI";1709374387;1709374687;;;
"Cargo Mas Feat. Mike 'Maz' Mahez";"Lefto presents jazz cats (vol. 2)";"Samsara";2022;"SDBAN";1709374687;1709374953;;;
"Savarit";"French riviera";"Et les ombres disparaissent (feat. Kacimi)";2023;"LE POP CLUB RECORDS";1709374948;1709375137;;;
"Thee Heart Tones";"Sabor a mi";"Forever & ever";2024;"BIG CROWN RECORDS";1709375135;1709375317;"https://music.apple.com/fr/album/forever-ever/1722272755?i=1722272760&uo=4";"https://open.spotify.com/track/4bYvg4O9cD5lZ0lRUJBRDG";
"Cousin Kula";"Vitamin D";"Good feelin'";2024;"RHYTHM SECTION ITNL.";1709375315;1709375476;"https://music.apple.com/fr/album/good-feelin/1718066214?i=1718066227&uo=4";"https://open.spotify.com/track/24G1e3jWWM5arUr315JUKo";"https://www.deezer.com/track/2555455432"
"Sholto";"The changing tides of dreams";"Lucid state";2023;"ROOT RECORDS";1709375476;1709375656;"https://music.apple.com/fr/album/lucid-state/1698299342?i=1698299591&uo=4";"https://open.spotify.com/track/5hpG1QpvypyIksaWFesnmu";
"Apostles";"Banko woman";"Friend today enemy tomorrow";1977;"PMG";1709375650;1709375895;;;
"Simon & Garfunkel";"The definitive Simon and Garfunkel";"Mrs. Robinson";1968;"CBS";1709375893;1709376120;"https://music.apple.com/fr/album/mrs-robinson/203303421?i=203304387&uo=4";;"https://www.deezer.com/track/16148946"
"Thee Sinseers";"Can't Do That To Her";"Can't do that to her";2024;"COLEMINE RECORDS";1709376118;1709376332;;"https://open.spotify.com/track/3Db3A5WyedTzxRJFHJjVl1";"https://www.deezer.com/track/2581056362"
"Jason Mac Guiness & Matthew Little";"Passages";"Rider";2020;"COMMON GOOD RECORDS";1709376330;1709376540;;;
"Oum Shatt";"Opt out";"Madame le soleil levant (My hostess)";2024;"WANDA RECORDS";1709376539;1709376753;;;
"DJ Harrison";"Shades of yesterday";"Tomorrow never knows (feat. Chris Manak)";2024;"STONES THROW RECORDS";1709376750;1709376934;"https://music.apple.com/fr/album/tomorrow-never-knows-feat-chris-manak/1702615891?i=1702616277&uo=4";"https://open.spotify.com/track/6nzUGbp0ULOCGIoMKN6PCl";"https://www.deezer.com/track/2411231935"
"Orchestre De Philadelphie";"George Gershwin : Porgy and Bess - Highlights";"There's a boat dat's leavin' soon (Acte III Sc 2) Sportin' life";2021;"PENTATONE";1709376929;1709377074;;;
"Turkish Delight";"Fener";"Fener (part. 2)";2020;"ACORA RECORDS";1709377074;1709377219;;;
"Archie Whitewater";"Archie Whitewater";"Northstar";1970;"GEFFEN";1709377216;1709377469;"https://music.apple.com/fr/album/northstar/1500471699?i=1500471713&uo=4";"https://open.spotify.com/track/6TLpCoUdLSRRU8ICtdtfTm";
"Thee Sacred Souls";"Can I call you Rose ?";"Can I call you Rose ?";2020;"PENROSE RECORDS";1709377468;1709377656;;;
"Nubya Garcia";"Source";"La cumbia me esta llamando (feat. La Perla)";2020;"CONCORD JAZZ";1709377650;1709377903;"https://music.apple.com/fr/album/la-cumbia-me-est%C3%A1-llamando-feat-la-perla/1523554803?i=1523555240&uo=4";;
"Francis Bebey";"Django preface";"The magic box";1992;"SONO";1709377901;1709378110;;"https://open.spotify.com/track/0UgRgBjMzmCLa3h1y5lWoW";
"Lili Drop";"Rose bonbon open all night";"Sur ma mob";1979;"NAIVE";1709378109;1709378366;"https://music.apple.com/fr/album/sur-ma-mob/1695877491?i=1695877502&uo=4";"https://open.spotify.com/track/4VpfXg2CpWViW6UdEaP6iy";"https://www.deezer.com/track/2355307505"
"Vika & Linda";"Princess Tabu";"Princess tabu";1996;"BLOODLINES";1709378349;1709378582;"https://music.apple.com/fr/album/princess-tabu/1641095278?i=1641095708&uo=4";"https://open.spotify.com/track/0mXp4NCEA7HrBDYUGY5Wq4";
"Sam Taylor";"Good God! A gospel funk hymnal";"Heaven on their minds";2006;"NUMERO GROUP";1709378575;1709378755;"https://music.apple.com/fr/album/heaven-on-their-minds/719245206?i=719245269&uo=4";"https://open.spotify.com/track/2e8xQXP6m25f8Kmhb4NoC0";
"Johnny Lytle";"People and Love";"Family";1973;"CRAFT RECORDINGS";1709378754;1709378983;;;
"The High Llamas";"Talahomi way";"Fly baby, fly";2011;"DRAG CITY";1709378981;1709379162;"https://music.apple.com/fr/album/fly-baby-fly/430484775?i=430484786&uo=4";"https://open.spotify.com/track/4lMXBCEso7PbVNNkiaU0Rb";
"Jacques Higelin & Brigitte Fontaine";"Jacques Canetti présente: Jacques Higelin";"La grippe";1965;"CANETTI";1709379161;1709379299;;;"https://www.deezer.com/track/623471692"
"Erika De Casier";"Still";"Toxic";2024;"4AD";1709379297;1709379477;;"https://open.spotify.com/track/0NqydaxZRGM4ZQoYZRZuHS";
"Moods";"Music ruined my life";"The Necessary Change";2021;"BOOGIE ANGST";1709379474;1709379680;"https://music.apple.com/fr/album/the-necessary-change/1587170675?i=1587170780&uo=4";"https://open.spotify.com/track/5mCXzeUcxymyUMaPA3zqbA";"https://www.deezer.com/track/1503088452"
"Orchestre Tout Puissant Marcel Duchamp";"Rotorotor";"The sheep that said moo";2014;"MOI J'CONNAIS";1709379678;1709379921;;;
"Mel Torme";"B-Movie Archives / Vol. 6";"Comin' home baby";1962;"WARNER MUSIC FRANCE";1709379919;1709380081;"https://music.apple.com/fr/album/comin-home-baby/692730865?i=692730939&uo=4";;"https://www.deezer.com/track/735478"
"Lola'S Dice";"Coco María presents club coco ¡AHORA! : The latin sound of now";"Sacudete";2023;"BONGO JOE";1709380080;1709380304;"https://music.apple.com/fr/album/sac%C3%BAdete/1683863598?i=1683864092&uo=4";"https://open.spotify.com/track/09I6812iFaaJbOvVfwWJhZ";
