"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Shintaro Sakamoto";"Let's Dance Raw";"Extremely bad man";2016;"OTHER MUSIC RECORDINGS";1704275768;1704276043;;;
"Toots Thielemans";"Live european quartet";"Theme from Midnight cowboy";2010;"CHALLENGE RE";1704276042;1704276310;;;
"Neal Francis";"Sentimental garbage";"Collage";2022;"ATO RECORDS";1704276304;1704276488;"https://www.deezer.com/track/1910171467";"https://open.spotify.com/track/0D2yr10VDd2ljzyrd3Igvv";
"Joel Sarakula";"Island time";"Give it up for nature";2023;"LEGERE RECORDINGS";1704276484;1704276693;;"https://open.spotify.com/track/2iBYNDEyyT6IQo8Ldoqsvv";"https://music.apple.com/fr/album/give-it-up-for-nature/1658983548?i=1658984113&uo=4"
"Kiledjian";"The otium mixtape";"Silver Cab";2024;"UNDERDOG RECORDS";1704276689;1704276885;"https://www.deezer.com/track/2522495231";"https://open.spotify.com/track/1tGRfj3EEXBHU6LnKp8Jhx";"https://music.apple.com/fr/album/silver-cab/1714815918?i=1714816484&uo=4"
"Hlmnsra";"Amigdala";"Deep pressure";2023;"AUTOPRODUCTION";1704276883;1704277025;"https://www.deezer.com/track/2194769867";"https://open.spotify.com/track/7nuWl6aT6SMfLf0DI9dOcw";
"Asha Puthli";"The essentials Asha Puthli";"Fever";1968;"MR BONGO";1704277024;1704277150;;;
"Morcheeba";"Paris sur mer (feat. Benjamin Biolay)";"Paris sur mer";2018;"VERYCORDS";1704277143;1704277414;;"https://open.spotify.com/track/7IvBSoKw9Z33MfYkh2VThO";
"J. E. Sunde";"Alice, Gloria and Jon";"Turn the radio on";2023;"VIETNAM";1704277413;1704277630;;;
"Graham Anthony Devine";"Batucada";"Maxixe - arrangement pour guitare";2021;"NAXOS";1704277624;1704277777;;;
"Polycool";"Lovoscope";"Please babe";2023;"POLYCOOL";1704277771;1704277916;;"https://open.spotify.com/track/3VA4sZOFHqK5d0Wsfp9cTU";"https://music.apple.com/fr/album/please-babe/1673756300?i=1673756312&uo=4"
"Balthazar";"Sand";"Moment";2021;"PIAS";1704277913;1704278119;"https://www.deezer.com/track/1108877022";"https://open.spotify.com/track/2bThGYFKVCo2Dd7UWCC4hk";"https://music.apple.com/fr/album/moment/1535821269?i=1535821273&uo=4"
"BB King";"The vintage years : Take a swing with me (CD 3)";"Sweet little Angel";1956;"ACE RECORDS";1704278119;1704278310;;;
"Les Dynamites";"Middle eastern grooves";"Pop oud #2";2023;"BATOV RECORDS";1704278309;1704278510;"https://www.deezer.com/track/2149297507";"https://open.spotify.com/track/0GmprW4nK5Gsq7mOJpy72G";
"Bachar Mar-Khalife";"Ghost songs";"Chaffeh Chaffeh (feat. Lynn Adib)";2021;"BALCOON";1704278503;1704278752;;;"https://music.apple.com/fr/album/chaffeh-chaffeh-feat-lynn-adib/1567041837?i=1567042392&uo=4"
"Charlotte Day Wilson";"Take care of you / Summertime";"Summertime";2020;"STONE WOMAN MUSIC";1704278751;1704278905;"https://www.deezer.com/track/1039276952";"https://open.spotify.com/track/0a4OHHbm1ffKkBpq7Xg00M";
"Mar Malade";"Balloon";"Balloon (feat. Joe Bel) (version air française)";2023;"HUMMING RECORDS";1704278898;1704279148;;;
"Marc Ribot";"The Prosthetic Cubans";"Como se goza en el barrio";1998;"Atlantic";1704279074;1704279288;"https://www.deezer.com/track/6612692";"https://open.spotify.com/track/4XFtl8XZQyMZYQwMu22ced";
"Ray Charles";"The definitive Ray Charles";"What'd i say (Parts 1 & 2)";1961;"ATLANTIC";1704279281;1704279666;;;
"Emiliana Torrini";"Right here";"Right here";2022;"BELLA UNION";1704279665;1704279886;;"https://open.spotify.com/track/0zNy8QfqC2LQUUioYungRp";
"Deluxe";"Moustache gracias";"Where does it hurt ?";2022;"NANANA PRODUCTION / POLYDOR";1704279882;1704280089;;"https://open.spotify.com/track/3bwrpzkgW33tMsWDAQyJk9";"https://music.apple.com/fr/album/where-does-it-hurt/1609390289?i=1609390709&uo=4"
"Tony Allen";"Jazz is dead / Vol. 18";"Steady tremble";2023;"JAZZ IS DEAD";1704280084;1704280269;;"https://open.spotify.com/track/7c1DbzvvFYL0qpUHVmWA6r";
"Wreckless Eric";"Leisureland";"High seas (won & lost)";2023;"TAPETE RECORDS";1704280266;1704280485;"https://www.deezer.com/track/2295067465";"https://open.spotify.com/track/4zf6Lrv9rslUA5OIzHcJw0";"https://music.apple.com/fr/album/high-seas-won-lost/1689116984?i=1689117532&uo=4"
"Buddy Holly";"The buddy holly collection";"Learning the game";;"MCA";1704280485;1704280604;;"https://open.spotify.com/track/2XWITq7miXBhGiM807tEuj";
"Jenny Lewis";"Joy'All";"Chain of Tears";2023;"BLUE NOTE RECORDS";1704280604;1704280790;;"https://open.spotify.com/track/2NEwqhT0vxrZWV9D3Bh348";
"Eliot Fisk";"Niccolo Paganini : 24 caprices";"Caprice en Si bémol Maj op 1 n°13";2008;"NIMBUS";1704280783;1704280932;;;
"Eddy La Gooyatsh";"L'amour et l'eau fraîche";"Les claquettes (Avec Mell)";2006;"AND MUSIC";1704280931;1704281134;;;
"Cortex";"Vol. 2";"Poxa";1977;"TRAD VIBE RECORDS";1704281133;1704281326;;"https://open.spotify.com/track/4NaIl2XLSgc5AoFIZm1NIU";"https://music.apple.com/fr/album/poxa/1157426805?i=1157428228&uo=4"
"Sly & The Family Stone";"Bof/Crooklyn - a Spike Lee joint vol 1";"Everyday people";1968;"POLYDOR";1704281325;1704281465;;;
"The Budos Band";"Long in the tooth";"Haunted sea";2020;"DAPTONE RECORDS";1704281464;1704281616;;"https://open.spotify.com/track/13ymaOgrN7vKkMULHFMEgG";"https://music.apple.com/fr/album/haunted-sea/1674271253?i=1674271401&uo=4"
"TIM PRESLEY";;"AURA AURA";;;1704281615;1704281741;;"https://open.spotify.com/track/0JaxtRtIAyDyoU414t2ltq";"https://music.apple.com/fr/album/aura-aura/1129368317?i=1129368599&uo=4"
"Neil Young";"Harvest moon";"Harvest moon";1992;"WARNER";1704281741;1704282037;;;
"Colter Wall";"Little songs";"Standing here";2023;"BLACK HOLE RECORDINGS";1704282033;1704282192;"https://www.deezer.com/track/2365148605";"https://open.spotify.com/track/6iVeuRxhoCrgSdnhkpM0tN";"https://music.apple.com/fr/album/standing-here/1683648719?i=1683649129&uo=4"
"L'Attirail";"Wanted men";"Will bill band";2011;"LCS 1101";1704282191;1704282345;;;
"Christine Salem";"Mersi";"Why war";2021;"BLUE FANAL";1704282341;1704282523;;"https://open.spotify.com/track/3PJQ5PRKLSILE1XZWkXuMy";
"Stevie Wonder";"At the close of a century (1963 à 1996)";"Hey love";1967;"MOTOWN";1704282522;1704282683;"https://www.deezer.com/track/598076372";;
"Marcoca";"Cosmic blunder";"Tofu salad";2022;"NICE GUYS";1704282682;1704282973;"https://www.deezer.com/track/2495691931";"https://open.spotify.com/track/0QNfRnwFrKKphqoiF6QaNp";"https://music.apple.com/fr/album/tofu-salad/1711491751?i=1711492120&uo=4"
"Say She She";"Trouble / In My Head";"Trouble";2023;"KARMA CHIEF RECORDS";1704282905;1704283090;"https://www.deezer.com/track/2019244107";"https://open.spotify.com/track/2n5xkzoCBGMRqmmXmfJ06R";
