"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes";"youtube"
"Lydia Marcelle";"Sixty Smokin' Soul Senders";"Everybody dance";"1965";"";1755943125;1755943276;"https://www.deezer.com/track/115976118";;;
"Philamore Lincoln";"The north wind blew south";"You're the one";"1969";"EPIC - LEGACY";1755943275;1755943457;"https://www.deezer.com/track/708937882";;;
"The Braen's Machine";"Underground";"Description";"1971";"LIUTO RECORDS";1755943454;1755943692;"https://www.deezer.com/track/84491875";;;
"Anna Majidson";"Pomona";"Bleu";"2025";"C'EST LA VIE FILMS";1755943693;1755943898;"https://www.deezer.com/track/3141649891";"https://open.spotify.com/track/74HRArFQkjA540yDaaVilT";;
"Portishead";"Dummy";"Glory box";"1994";"GO! DISCS";1755943894;1755944190;"https://www.deezer.com/track/982678";"https://open.spotify.com/track/3Ty7OTBNSigGEpeW2PqcsC";;
"Two Ends";"For the love of it";"Future memories";"2025";"MYTHSTERY RECORDS";1755944187;1755944412;"https://www.deezer.com/track/3181053931";"https://open.spotify.com/track/6qENGHzB7BFfsLJx5TnCFD";;
"6ix";"What it is ! Funky soul and rare grooves";"I'm just like you";"1970";"RHINO";1755944412;1755944596;"https://www.deezer.com/track/86981441";;;
"Clint Eastwood";"Complete Clint: The Singles & More (1961-1962)";"Sierra Nevada";"1962";"JASMINE RECORDS";1755944591;1755944761;"https://www.deezer.com/track/1699349787";"https://open.spotify.com/track/1Ieks3ofi2c2Jp8cbbFhbG";;
"Ennio Morricone";"The legendary italian westerns, volume II";"A Fistfull Of Dollars - Overture";"1964";"RCA";1755944760;1755944935;;;;
"Betty Carter";"Betty Carter's finest hour";"I can't help it";"1958";"IMPULSE";1755944933;1755945102;"https://www.deezer.com/track/4679274";"https://open.spotify.com/track/3mtT4g3ySFwzCACLAKHu7m";;
"Sadi Lancreot";"Mizik Maladi : Disques Debs International vol. 3";"Dou se vou ki siwo";"1984";"DISQUES DEBS INTERNATIONAL / STRUT";1755945100;1755945466;"https://www.deezer.com/track/3173291511";;;
"Nobody";"No categories 3 (edited)";"Syde trips";"2000";"UBIQUITY RECORDS";1755945462;1755945655;"https://www.deezer.com/track/1022982552";"https://open.spotify.com/track/2RCrF87wdZKclpLr7JvQKD";"https://music.apple.com/fr/album/syde-trips/1523752398?i=1523752507&uo=4";
"The Cramps";"Bad music for bad people";"I can't hardly stand it";"1983";"INTERNATIONAL RECORD SYNDICATE";1755945655;1755945814;"https://www.deezer.com/track/3105735";"https://open.spotify.com/track/1gElMA7YL2UEE9njNW9eiR";;
"Little Simz";"Simbi";"I see you";"2021";"AGE 101 MUSIC";1755945812;1755946049;"https://www.deezer.com/track/1951199987";"https://open.spotify.com/track/4aAJQjtjZQXKFEHIpZEJCj";;
"DJ Python";"Besos Robados (feat. Isabella Lovestory)";"Besos Robados (feat. Isabella Lovestory)";"2025";"XL RECORDINGS";1755946049;1755946311;;;;
"Biomania";"DIVANO";"Divano";"2024";"MOST LEAST";1755946310;1755946548;"https://www.deezer.com/track/3223120241";"https://open.spotify.com/track/0W8KenAlVJf4qzNuUomX0x";;
"Parliament";"Mothership connection";"Give up the funk (Tear the roof off the sucker)";"1975";"MERCURY";1755946466;1755946809;"https://www.deezer.com/track/118993820";"https://open.spotify.com/track/4XRkQloZFcRrCONN7ZQ49Y";;
"Bob James";"Brûle : the Bronx mixtape (1973-1979)";"Take me to the mardi gras";"1975";"PIAS";1755946808;1755947153;"https://www.deezer.com/track/519874132";"https://open.spotify.com/track/6i5U5NyCknF93w4BilFity";"https://music.apple.com/fr/album/take-me-to-the-mardi-gras/1404206027?i=1404206038&uo=4";
"Banda Black Rio";"The best of";"Vidigal";"1978";"UNIVERSAL SO";1755947148;1755947365;"https://www.deezer.com/track/13235961";;;
"The Slits";"Cut";"Newtown";"1979";"KOCH RECORDS";1755947365;1755947589;"https://www.deezer.com/track/1140834";"https://open.spotify.com/track/1e3ifvbu3nfTHFAN3qvS94";;
"Tortoise";"The catastrophist";"Tesseract";"2016";"THRILL JOCKEY";1755947586;1755947818;"https://www.deezer.com/track/607190332";"https://open.spotify.com/track/3AvBebZt21QsabaOCkiFJJ";"https://music.apple.com/fr/album/tesseract/1046705590?i=1046705600&uo=4";
"Sampling Is Beautiful Trio";"Capture";"hey doctor (feat. Hotrox)";"2025";"DISTROKID";1755947815;1755948023;;;;
"Brandee Younger";"Brand new life";"Dust (feat. Meshell N'degeocello)";"2023";"DECCA RECORDS";1755948023;1755948296;;;;
"Panda Bear";"Sinister grif";"Praise";"2025";"DOMINO";1755948292;1755948497;"https://www.deezer.com/track/3001194911";"https://open.spotify.com/track/08aaQA6A7UHvbPGsfPrAFe";"https://music.apple.com/fr/album/praise/1761198973?i=1761198977&uo=4";
"Sirens Of Lesbos";"Peace";"Easy";"2023";"AUTOPRODUCTION";1755948495;1755948701;"https://www.deezer.com/track/2006975187";"https://open.spotify.com/track/4GUAwJwnrO6oJteEi98OjT";;
"Guts";"Paradise for all";"Ghetto in paradise";"2012";"HEAVENLY";1755948698;1755948940;"https://www.deezer.com/track/84371025";"https://open.spotify.com/track/6MtX9yBR4b0AwdNKBawutU";"https://music.apple.com/fr/album/ghetto-in-paradise/913985310?i=913985622&uo=4";
"Adrian Quesada";"Boleros psicodelicos";"El paraguas (feat. Gabriel Garzón-Montano)";"2022";"ATO RECORDS";1755948932;1755949110;;;;
"Bobbie Gentry";"Patchwork / Fancy";"Jeremiah";"1971";"RAVEN RECORDS";1755949109;1755949483;"https://www.deezer.com/track/3401604";"https://open.spotify.com/track/6rz0sqQuXdesFVhQP7yCE4";"https://music.apple.com/fr/album/jeremiah/714613672?i=714613820&uo=4";
"Veronique Sanson";"Hollywood";"Les délices d'hollywood";"1977";"WEA";1755949431;1755949678;;;;
"Duke Pearson";"Scotch & Sofa";"The Phantom";"1968";"BLUE NOTE";1755949676;1755950328;"https://www.deezer.com/track/3468231";"https://open.spotify.com/track/43gn9AXGDIIrUr1MbaYPWJ";;
"Roy Ayers & Adrian Younge & Ali Shaheed Muhammad";"Jazz Is Dead 002";"Sunflowers";"2020";"JAZZ IS DEAD";1755950326;1755950506;;;;
"Kendrick Lamar";"GNX";"Man at the garden";"2024";"PGLANG - TOP DAWG ENTERTAINMENT - AFTERMATH - INTERSCOPE RECORDS";1755950505;1755950738;"https://www.deezer.com/track/3106586651";"https://open.spotify.com/track/5ho7VSXSmI2KM2nDjcnLyz";;
"Sweatson Klank";"Inner work";"Standing on the last beach";"2024";"FRIENDS OF FRIENDS";1755950738;1755950965;"https://www.deezer.com/track/2960265061";"https://open.spotify.com/track/7JvD0h3fTHTn8MNDEqMuRN";;
"Oklou";"Choke enough";"Harvest sky (feat. Underscores)";"2025";"TRUE PANTHER RECORDS / BECAUSE MUSIC";1755950965;1755951197;;;;
"Rosalia";"Beso (feat. Rauw Alejandro)";"Beso (feat. Rauw Alejandro)";"2023";"COLUMBIA";1755951195;1755951388;;;;
"Voyou";"Henri Salvador est un Voyou";"Un sacré menteur";"2025";"ENTREPRISE";1755951388;1755951614;"https://www.deezer.com/track/3314147491";"https://open.spotify.com/track/30DP0KUOjsnMEyKZbi3Xou";"https://music.apple.com/fr/album/un-sacr%C3%A9-menteur/1792187891?i=1792187892&uo=4";
"JB Dunckel & Jonathan Fitoussi";"Mirages II";"Karaboum";"2025";"PROTOYP RECORDINGS";1755951612;1755951802;;;;
"Massive Attack";"Protection";"Better things";"1994";"VIRGIN";1755951801;1755952055;"https://www.deezer.com/track/3129790";"https://open.spotify.com/track/4orPBWfQNUxs3RObirJwZR";"https://music.apple.com/fr/album/better-things/724410562?i=724410753&uo=4";
"Erykah Badu";"Baduizm";"Certainly (flipped it)";"1997";"BMG";1755952055;1755952381;"https://www.deezer.com/track/2119692";;;
"Erik Truffaz";"The Dawn";"Yuri's choice";"1998";"Blue Note";1755952379;1755952663;"https://www.deezer.com/track/3581505581";;;
"Toshiko Yonekawa";"Wamono Groove : Shakuhachi & koto jazz funk '76";"Otemoyan";"1976";"180G";1755952656;1755952833;;;;
"Ajate";"Dala toni";"Emisa lasso";"2024";"180G";1755952832;1755953112;;;;
"Yannis & The Yaw";"Walk through fire";"Walk through fire (feat. Tony Allen)";"2024";"TRANSGRESSIVE";1755953109;1755953311;;;;
"Clea Vincent";"N'dis rien";"N'dis rien";"2019";"IMPKT";1755953310;1755953526;"https://www.deezer.com/track/687641732";"https://open.spotify.com/track/5LsTifTCZxmKK7uQGY5K5R";;
"Okvsho";"A place between us";"""""Okusho""""";"2024";"CURRENT MOVES";1755953522;1755953733;;;;
"Bill Withers";"Bill Withers greatest hits";"Lovely day";"1972";"CBS";1755953732;1755953978;"https://www.deezer.com/track/70016835";;;
