"Artist";"Album";"Song";"Label";"start";"end";"Year";"itunes";"deezer";"spotify"
"Marc Ribot'S Ceramic Dog";"Hope";"Bertha the cool";"YELLOW RECORDS";1709342165;1709342474;2021;"https://music.apple.com/fr/album/bertha-the-cool/1565553631?i=1565554076&uo=4";;
"Pawpaw Rod";"This Must Be A PawPaw Rod EP";"Darlin Dimples";"GODMODE";1709342473;1709342627;2023;"https://music.apple.com/fr/album/darlin-dimples/1709563053?i=1709563338&uo=4";"https://www.deezer.com/track/2476812751";"https://open.spotify.com/track/74WB3hP7WzPlzZDfyVn4iu"
"Jaume Escala";"Ritmo fantasía : balearic spanish synth-pop, boogie and house (1982-1992)";"Ciutat";"SOUNDWAY RECORDS";1709342627;1709342905;1986;"https://music.apple.com/fr/album/ciutat/1611778941?i=1611779952&uo=4";"https://www.deezer.com/track/1668025382";
"Cotonete";"Victoire de la musique";"Satori";"Heavenly Sweetness";1709342905;1709343265;2024;;;"https://open.spotify.com/track/1UenMsY8e0zIUh0l9izvLw"
"Little Simz";"No thank you";"No Merci";"AWAL";1709343264;1709343585;2022;"https://music.apple.com/fr/album/no-merci/1658414153?i=1658414273&uo=4";"https://www.deezer.com/track/2057222987";"https://open.spotify.com/track/552lBxKLGjerBDS8VYHOJn"
"Warpaint";"Radiate like this";"Like sweetness";"VIRGIN";1709343584;1709343808;2022;;;"https://open.spotify.com/track/1onfJOCPNOT7vcB7qYC1RP"
"Quatuor Talich";"Felix Mendelssohn : Intégrale des quatuors à cordes";"Quatuor à cordes n°1 en Mi bémol Maj op 12 : Canzonetta";"LA DOLCE VOLTA";1709343807;1709344015;2012;;;
"Maria Bethania";"Que falta voce me faz";"Minha namorada";"BISCOITOFINO";1709344013;1709344229;2005;;;
"Keren Ann & Quatuor Debussy";"David Bowie in Jazz";"Life on Mars?";"WAGRAM MUSIC";1709344230;1709344453;2020;;;
"Donny Hathaway";"Donny Hathaway";"Be there";"ATCO";1709344453;1709344633;1971;;;"https://open.spotify.com/track/5SZpzSiNPrennHwF5hZSmL"
"Web Web & Max Herre";"Web Max II";"Fellow travellers";"COMPOST RECORDS";1709344632;1709344838;2023;;;
"Dominique A";"A la musique : La matiere";"Le sens";"CINQ 7";1709344835;1709345103;2009;;"https://www.deezer.com/track/15108279";
"The Cure";"The Head On The Door";"Close to me";"FICT";1709345109;1709345313;1985;"https://music.apple.com/fr/album/close-to-me/1440791711?i=1440792298&uo=4";"https://www.deezer.com/track/1143634";
"Haziz";"Supertiger";"Dmaot";"DAY END RECORDS";1709345309;1709345440;2022;"https://music.apple.com/fr/album/dmaot/1625136694?i=1625136998&uo=4";"https://www.deezer.com/track/1757625087";"https://open.spotify.com/track/2PYVFBW6c0p1GX5G3nMMTv"
"The Tallest Man On Earth";"Henry St.";"Looking for love";"ANTI EPITAPH";1709345439;1709345654;2023;"https://music.apple.com/fr/album/looking-for-love/1664206913?i=1664206915&uo=4";"https://www.deezer.com/track/2096031537";"https://open.spotify.com/track/4HaVJ5EePm2ABB6CP2Ff5X"
"Isaac Delusion";"Lost and found";"Que pour toi";"DELUSION RECORDS / ALLO FLORIDE UNDER EXCLUSIVE LICENSE TO 3EME BUREAU / WAGRAM MUSIC";1709345653;1709345880;2024;"https://music.apple.com/fr/album/que-pour-toi/1716058914?i=1716060448&uo=4";;"https://open.spotify.com/track/1R3swm76r5KnXOL4ceqYkT"
"Rone";"BOF TV : D'argent et de sang";"D'argent et de sang : Tikkoun";"INFINE";1709345881;1709346128;2024;;;
"Frank Ocean";"Channel orange";"Sweet life";"ISLAND";1709346117;1709346380;2012;;;"https://open.spotify.com/track/6MEDfjHxnVNcYmHe3mM6L2"
"Marcos Valle";"Antologia";"Nao tem nada nao";"EMI";1709346379;1709346651;1973;;"https://www.deezer.com/track/1550921962";"https://open.spotify.com/track/4W3kBwsjFLcfa1Wm8qLijJ"
"Azymuth, Adrian Younge & Ali Shaheed Muhammad";"Sumarè - Pulando corda";"Sumarè";"JAZZ IS DEAD";1709346647;1709346981;2020;;;
"Queen Latifah";"Black Reign";"U.N.I.T.Y.";"MOTOWN";1709346982;1709347224;1993;"https://music.apple.com/fr/album/u-n-i-t-y/1706929425?i=1706929976&uo=4";;"https://open.spotify.com/track/4OxXBAN51tjVBEjSwuWWbv"
"Horace Andy";"The Kingston rock";"Unity strenght & love";"DUB STORE RECORDS";1709347220;1709347358;1974;;;
"Woods";"Perennial";"The wind again";"WOODSIST RECORDS";1709347352;1709347547;2023;"https://music.apple.com/fr/album/the-wind-again/1687512075?i=1687512325&uo=4";;"https://open.spotify.com/track/5A8cCS6EGK5E90VvpWEQXv"
"Alain Delon";"Bof / Twist again au cine";"Laetitia (BOF Les Aventuriers)";"PLAY TIME";1709347540;1709347681;1967;;;
"Juan Diego Florez";"Italia";"O sole mio - arrangement pour ténor mandoline et guitare acoustique";"DECCA";1709347682;1709347873;2015;;;
"PJ Harvey";"I inside the old year dying";"I inside the old year dying";"PARTISAN RECORDS";1709347870;1709347974;2023;;"https://www.deezer.com/track/2194519087";"https://open.spotify.com/track/51OeW6i3N6DmMugLZiK9L3"
"Kamaal Williams";"Stings";"Stings";"BLACK FOCUS RECORDS";1709347967;1709348260;2023;"https://music.apple.com/fr/album/stings/1698168193?i=1698168797&uo=4";"https://www.deezer.com/track/2435190165";"https://open.spotify.com/track/1NQr4oOuZuafrunWTs0Xdr"
"Abbey Lincoln";"Abbey sings Abbey";"The music is the magic";"VERVE";1709348260;1709348485;2007;;;
"Dizzy Gillespie";"Free Ride";"The Last Stroke Of Midnight";"PABLO";1709348500;1709348772;1977;"https://music.apple.com/fr/album/the-last-stroke-of-midnight/1443546509?i=1443547130&uo=4";;"https://open.spotify.com/track/5eK7iUWKHe8RaNz8Ed1qRB"
"Helado Negro";"Phasor";"Out there";"4AD";1709348747;1709349038;2024;"https://music.apple.com/fr/album/out-there/1708555076?i=1708555202&uo=4";"https://www.deezer.com/track/2625191192";"https://open.spotify.com/track/2289HHKbvNgNPobou0Dexl"
"Alt-J";"An awesome wave";"Estocada";"INFECTIOUS MUSIC";1709349036;1709349251;2012;;;
"Serge Gainsbourg";"Aux armes et caetera";"Relax baby be cool";"PHILIPS";1709349245;1709349394;1979;"https://music.apple.com/fr/album/relax-baby-be-cool-dub-style/1443822658?i=1443823423&uo=4";;"https://open.spotify.com/track/4I3kGZ5oXvkVOEounCKXeN"
"Common Saints";"Idol eyes";"Summer sun";"STARSONICS";1709349396;1709349678;2020;"https://music.apple.com/fr/album/summer-sun/1529439512?i=1529439515&uo=4";;"https://open.spotify.com/track/5SjNc69bVNU8T9iSc908CD"
"Miles Davis";"That's what happened 1982-1985 : The bootleg series / Vol. 7";"What's love got to do with it";"COLUMBIA";1709349671;1709349931;1984;;"https://www.deezer.com/track/1905560877";
"Gilberto Gil";"Brésil de Gilberto Gil/La route des tubes";"Palco";"WEA";1709349930;1709350185;1989;;"https://www.deezer.com/track/709002";
"Carrie Lucas";"Dance with you - The best of";"I gotta keep dancin' (keep smiling)";"CASTLE COMMUNICATIONS";1709350179;1709350484;1977;"https://music.apple.com/fr/album/i-gotta-keep-dancin-keep-smiling-extended-mix/1435226624?i=1435226849&uo=4";;"https://open.spotify.com/track/0oa8CUMUF1pe3py5VY0UVr"
"Jungle";"Volcano";"Problemz";"CAIOLA RECORDS";1709350484;1709350669;2023;;;"https://open.spotify.com/track/7snltzeGB2v44Qb6Qvh9Um"
"Sarah Nemtanu";"Gypsic";"Czardas - arrangement pour violon piano clochettes et percussions";"NAIVE RECORDS";1709350668;1709350992;2010;;;
"Herman Dune";"Notes from vinegar hill";"Ballad of herman dune (High on rye & Lost at sea)";"YAYA TOVA";1709350991;1709351168;2020;"https://music.apple.com/fr/album/ballad-of-herman-dune-high-on-rye-lost-at-sea/1530433889?i=1530434409&uo=4";;"https://open.spotify.com/track/72XLuH0oXetG2Ninu1RAkb"
"P'tit Belliveau";"Un homme et son piano";"Depuis que la neige a fondu";"BONSOUND";1709351175;1709351376;2022;"https://music.apple.com/fr/album/depuis-que-la-neige-a-fondu/1590455069?i=1590455269&uo=4";;"https://open.spotify.com/track/0AlRefiybtZpz6bwCh3Z46"
"Frank Zappa";"Strictly commercial";"Don't eat the yellow snow";"RYKODISC";1709351375;1709351589;1974;;;"https://open.spotify.com/track/1QY4TdhuNIOX2SHLdElzd5"
"Lenny Kravitz";"Mama Said [21st Anniversary Deluxe Edition] CD 1";"Stop draggin' around";"VIRGIN";1709351589;1709351744;1991;;;"https://open.spotify.com/track/4UeM5va3UhQ5hRsiW8F2Di"
"Tangoloco";"Tangos de Liverpool";"Day tripper";"ALFIZ";1709351736;1709351928;2003;;;
"Carlos Gardel";"Les cingles du music hall 1929";"Adios muchachos";"FREMEAUX ET ASSOCIES";1709351927;1709352073;1927;;;
"Louis Armstrong";"BD Music presents Louis Armstrong";"I Get Ideas";"NOCTURNE";1709352082;1709352287;1951;;;
"Laufey";"Bewitched";"Second best";"LAUFEY / AWAL RECORDINGS AMERICA";1709352286;1709352488;2023;"https://music.apple.com/fr/album/second-best/1690607869?i=1690608088&uo=4";;"https://open.spotify.com/track/4Y9Ge3i5r0vgFAZq653Yx3"
"Jeff Parker";"Forfolks";"My ideal";"INTERNATIONAL ANTHEM RECORDING CO.";1709352487;1709352669;2021;;;"https://open.spotify.com/track/7j904X3sfe3J7lrBbu1XcR"
"Jean-Claude Pascal";"Nous les amoureux";"Nous les amoureux";"ODEON (ET PM)";1709352667;1709352850;1961;;"https://www.deezer.com/track/3503665";
"Mary Watkins";"Compilation / Lesbian concentrate";"No hiding place";"OLIVIA RECORDS";1709352851;1709353129;1977;;;
"Groundation";"Hebron gate";"Jah Jah know";"OTC";1709353119;1709353478;2002;;;
"John Carroll Kirby";"My garden";"Blueberry beads";"STONES THROW";1709353475;1709353680;2020;;;"https://open.spotify.com/track/4UcwcFcW5nLxBTyzwdyAjc"
"Galt McDermot";"Nova classic eight";"Let the sunshine in (alt version)";"NOVA RECORDS";1709353679;1709353834;1968;;;
"Barbara Lewis";"Come on soul!";"Workin´on a groovy thing";"LEGERE";1709353839;1709354025;1968;;;
"Doja Cat";"Paint the town red";"Paint the town red";"RCA";1709354017;1709354224;2023;;"https://www.deezer.com/track/2387373015";"https://open.spotify.com/track/2IGMVunIBsBLtEQyoI1Mu7"
"Oxmo Puccino";"Roi Sans Carosse";"La Danse Couchée";"CINQ 7";1709354223;1709354436;2012;;;"https://open.spotify.com/track/0K48az0en1SRFHNKdIQQkE"
"Salut Salon";"Carnival fantasy";"Danse macabre op 40 - arrangement pour ensemble instrumental";"WARNER MUSIC";1709354436;1709354718;2016;;;
"Charlie Poole";"People take warning ! Murder ballads & disaster songs, 1913-1938,";"Baltimore fire";"TOMPKINS SQUARE";1709354716;1709354906;1929;;;
"The Blind Boys Of Alabama";"B.O.F./ The wire and all the pieces matter";"Way down in the hole";"NONESUCH";1709354905;1709355081;2008;;"https://www.deezer.com/track/736732";"https://open.spotify.com/track/2UJuICe3fMzHn1JnGM7H2V"
"L'Attirail";"Footsteps in the snow";"PIloto pardo";"LES CHANTIERS SONORES";1709355080;1709355359;2020;;;"https://open.spotify.com/track/69prgPJHsIBRK2DWl7MXZC"
"Emir Kusturica";"Unza unza time";"Djindji rindji bubamara";"BARCLAY";1709355358;1709355656;2000;;;
"Art Test";"The good old days";"The good old days";"FOLDED MUSIC";1709355667;1709355860;2024;;"https://www.deezer.com/track/2540088181";"https://open.spotify.com/track/24UAJ6e0QS1qGCfYaWJMc7"
"Pete Rock";"Hip hop underground soul classics";"Think twice";"BARELY BREAKING EVEN RECORDS";1709355859;1709356064;1999;;;
"Lyn Collins";"James brown's funky people (part  1)";"Think (about it)";"POLYDOR";1709356059;1709356258;1972;;;"https://open.spotify.com/track/1kG2PZ8geznbDA8I6iWeDi"
"Splanglish Fly";"Let my people boogaloo (the early years)";"Think (pensamiento)";"ROUGH GUIDE";1709356256;1709356479;2014;;;
"The Sorcerers";"Bebaynetu";"Bebaynetu";"ATA RECORDS";1709356486;1709356728;2024;"https://music.apple.com/fr/album/bebaynetu/1722329621?i=1722329622&uo=4";"https://www.deezer.com/track/2593984362";"https://open.spotify.com/track/0TdBVWRqLaQoGkrlE6fOiS"
"Natascha Rogers";"Onaida";"The wound";"NO FORMAT";1709356727;1709356967;2024;;;"https://open.spotify.com/track/1EJl4VXvXHi5PoYzQYvk7h"
"Fiona Apple";"When the pawn...";"Fast as you can";"EPIC";1709356966;1709357243;1999;;"https://www.deezer.com/track/532171";"https://open.spotify.com/track/1UmmSKPdCtBuJsmbZG9G3u"
"Iron Butterfly";"Ball";"Real fright";"LINE";1709357237;1709357397;1969;;"https://www.deezer.com/track/73544547";"https://open.spotify.com/track/3YWpMNB1cqUHVAOm4GPEcw"
"Manuel Rosenthal (Chef d'orchestre)";"Manuel Rosenthal dirige Ravel";"Tsar Saltan  : le vol du bourdon";"ACCORD";1709357405;1709357490;1959;;;
"Dalida";"Les 101 plus belles chansons";"Bambino";"BARCLAY";1709357489;1709357700;1956;;"https://www.deezer.com/track/139876103";
"Capinera";"Il volo / Suonno";"Suonno";"PERIODICA RECORDS";1709357695;1709357954;2023;;;
"Knower";"Knower forever";"I'm the president";"AUTOPRODUCTION";1709357950;1709358197;2023;;;"https://open.spotify.com/track/7H8mxTjF6Dhgvgx0LlhACG"
"Monty Alexander";"Harlem-Kingston express / Vol. 2 The river rolls on";"Sleaky";"MOTEMA";1709358198;1709358447;2014;;;"https://open.spotify.com/track/6hLDytx7Pv2C5B7JvIIA5Z"
"Barrington Levy & Beenie Man";"Out of many : 50 years of reggae music";"Under mi sensi ('94 spliff)";"VP MUSIC";1709358446;1709358655;1994;;;
"Yvonne Archer";"Harmony Melody & Style: Lovers Rock and rare groove in the UK 1975-1992";"Ain't nobody";"SOUL JAZZ RECORDS";1709358650;1709358875;1983;;;
"Les Clopes";"Qatr";"Ville de nuit";"CRAIGNOS";1709358870;1709359048;2023;"https://music.apple.com/fr/album/ville-de-nuit/1684286401?i=1684287572&uo=4";;"https://open.spotify.com/track/0FX6DaXdAKch08COUiW6IK"
"Pascal Comelade & Les Liminanas";"Traite de guitares triocolectiques";"Dick Dale n'etait pas de bompas";"BECAUSE";1709359046;1709359224;2015;;;
"Mocke";"Sandwich mostla Jojo tape";"Le légume mésopotamien";"ALMOST MUSIC";1709359200;1709359375;2014;"https://music.apple.com/fr/album/le-l%C3%A9gume-m%C3%A9sopotamien/1217963339?i=1217964169&uo=4";"https://www.deezer.com/track/144789042";"https://open.spotify.com/track/7HiPx3WkJWgZUhti0EQrdx"
"Mathieu Boogaerts";"Super";"Bon, bon";"REMARK";1709359370;1709359530;1999;;;
"Fruit Bats";"A river running to your heart";"Sick of this feeling";"MERGE RECORDS";1709359530;1709359744;2023;"https://music.apple.com/fr/album/sick-of-this-feeling/1659101768?i=1659102681&uo=4";"https://www.deezer.com/track/2063484577";"https://open.spotify.com/track/4uofAamZ0yx9op14TjmQVp"
"Quantic & Nidia Gongora";"E ye ye (EP)";"E ye ye (radio edit)";"TRU THOUGHTS";1709359737;1709359957;2018;;;
"Surprise Chef";"Education & recreation";"Grinners circle";"BIG CROWN";1709359957;1709360158;2022;"https://music.apple.com/fr/album/grinners-circle/1633665943?i=1633666308&uo=4";;"https://open.spotify.com/track/48Yhxre7SE1R6j5OIshE2h"
"Amy Winehouse";"Back to black";"Some Unholy War";"ISLAND";1709360156;1709360297;2006;"https://music.apple.com/fr/album/some-unholy-war/1422677780?i=1422677789&uo=4";"https://www.deezer.com/track/2176860";"https://open.spotify.com/track/5DEitTu33CUjozBijXiLNb"
"Gabi Hartmann";"Gabi Hartmann";"Baby";"MASTERWORKS / SONY MUSIC ENTERTAINMENT";1709360295;1709360512;2023;;"https://www.deezer.com/track/2077643647";"https://open.spotify.com/track/7Lo9xvnSEyh1dodL2QS79u"
"Aziza Brahim";"Mawja";"Bubisher";"GLITTERBEAT RECORDS";1709360511;1709360723;2024;;;"https://open.spotify.com/track/382Vpn2QBvXgWeq8M19EBu"
"Kokoroko";"Could we be more";"Soul Searching";"BROWNSWOOD RECORDINGS";1709360720;1709360931;2022;"https://music.apple.com/fr/album/soul-searching/1614649802?i=1614650351&uo=4";;"https://open.spotify.com/track/5tzh3n3npItqaXvv4Sl5Cu"
"Vampire Weekend";"Vampire weekend";"Oxford comma";"XL RECORDS";1709360928;1709361122;2008;"https://music.apple.com/fr/album/oxford-comma/271489741?i=271489743&uo=4";"https://www.deezer.com/track/937330";"https://open.spotify.com/track/0ful4PHfTIxzXiZSZsXQ0H"
"The Clash";"London calling";"Rudie can't fail";"SONY";1709361120;1709361329;1979;"https://music.apple.com/fr/album/rudie-cant-fail-remastered/688793621?i=688795835&uo=4";;"https://open.spotify.com/track/4ZwPaJ0MtjFQRxJYRWUOjJ"
"Cedric Im Brooks";"Studio One funk";"Shaft";"SOUL JAZZ RE";1709361325;1709361553;1972;;;
"Dub Shepherds";"Night & day";"Dirty side of town (feat. Jolly Joseph)";"BAT RECORDS";1709361546;1709361756;2023;;;
"Tuerie";"Papillon monarque";"Juste pour nous";"FOUFOUNE PALACE";1709361754;1709361975;2023;"https://music.apple.com/fr/album/juste-pour-nous/1684847761?i=1684848322&uo=4";"https://www.deezer.com/track/2255993107";"https://open.spotify.com/track/6zoKUHD1VECkVPQjvbXyxU"
"Tim Bernardes";"Mil coisas invisiveis";"Falta";"PSYCHIC HOTLINE";1709361974;1709362158;2022;;;"https://open.spotify.com/track/0N0ZY0QFCEPHW8k1fA6Fr7"
"Daniel Villarreal";"Lados B";"Salute";"INTERNATIONAL ANTHEM";1709362151;1709362353;2023;;"https://www.deezer.com/track/2357336275";"https://open.spotify.com/track/1SgosiHWcByeqMhbrNVaYa"
"Benny Sings";"Young hearts";"Simple love songs";"STONES THROW RECORDS";1709362351;1709362468;2023;"https://music.apple.com/fr/album/simple-love-songs/1692858222?i=1692858385&uo=4";"https://www.deezer.com/track/2434977355";"https://open.spotify.com/track/7LZvTfhNKLunidDXi1UvBA"
"Elton John";"Your song";"Take me to the pilot";"ROCKET/";1709362463;1709362685;1970;;;"https://open.spotify.com/track/1CPmTJHyeVRWsc6Va27fpQ"
"Allen Toussaint";"Allen Toussaint : The lost sessions";"Gotta travel on";"FUEL 2000 RE";1709362683;1709362853;1968;;;
"The Dirty Dozen Brass Band";"Medicated magic";"Ruler of my heart";"RYKO DISC";1709362848;1709363025;2002;;;
"Enchantee Julia";"Longo Maï";"Venus";"MAISON LA CHAPELLE";1709363022;1709363205;2022;;"https://www.deezer.com/track/1697148597";"https://open.spotify.com/track/6pWVce5c6JXqFfl7JfJBnl"
"Magic Source";"Voyage spectral";"Space of mind";"FAVORITE RECORDINGS";1709363204;1709363509;2023;;;"https://open.spotify.com/track/77BSmTG8SCJRxYqpXUB1oY"
"Balthazar";"Sand";"Powerless";"PIAS";1709363505;1709363754;2021;;;"https://open.spotify.com/track/3j2bSZ0154omPQxepZ4HG2"
"The Nits";"Alankomaat";"Rainfallagain";"COLUMBIA";1709363750;1709363986;1998;;;
"Yom";"Songs for the old man";"Road movie";"FULL RHIZOME / BUDA MUSIQUE";1709363985;1709364329;2016;"https://music.apple.com/fr/album/road-movie/1086684415?i=1086684423&uo=4";"https://www.deezer.com/track/119705128";
"Altin Gun";"Yol";"Esmerim güzelim";"GLITTERBEAT RECORDS";1709364325;1709364473;2021;"https://music.apple.com/fr/album/esmerim-g%C3%BCzelim/1543532417?i=1543532732&uo=4";;"https://open.spotify.com/track/06VY4IXJO8SJwpZGu6f5xb"
"Jorja Smith";"Falling or flying";"Greatest Gift (feat. Lila Iké)";"BECAUSE";1709364472;1709364662;2023;;;"https://open.spotify.com/track/02DTkcgh0BpYrEYPO05Zex"
"Roy Hargrove";"Hard groove";"Liquid streets";"VERVE";1709364660;1709364958;2003;;;
"Abstract Orchestra";"Madvillain Vol. 2";"Fire in the hole";"ATA RECORDS";1709364957;1709365257;2019;"https://music.apple.com/fr/album/fire-in-the-hole/1458872376?i=1458872388&uo=4";;"https://open.spotify.com/track/1Xhjmp1nKDyhDkBP0mPucA"
"Madvillain";"Madvillainy";"Great day";"STONES THROW RECORDS";1709365170;1709365308;2004;;;"https://open.spotify.com/track/2teH8BAM9q2oSmBre5hiQM"
"Shay Hazan";"Wusul";"Oladipo";"BATOV RECORDS";1709365307;1709365512;2024;;"https://www.deezer.com/track/2535983051";"https://open.spotify.com/track/4qhvoECN6fshbprpQ89scu"
"Tony Allen";"FIlm of life";"Boat Journey";"HARMONIA MUNDI";1709365511;1709365795;2014;;;"https://open.spotify.com/track/3IIEDmhPz8qG826nBTAfS3"
"Piers Faccini";"Tearing sky";"Sharpening bone";"LABEL BLEU";1709365792;1709366056;2006;;"https://www.deezer.com/track/16825810";"https://open.spotify.com/track/2uwWXmfBOkNSYddZvtQNs5"
"Alice Coltrane";"Transcendence";"Sivaya";"WARNER BROS";1709366054;1709366343;1976;;;
"Bob Marley";"The Best Of Bob Marley & The Wailers";"Stir It up";"ISLAND";1709366341;1709366668;1973;"https://music.apple.com/fr/album/stir-it-up-alternate-jamaican/1681355444?i=1681355445&uo=4";;
"Julien Brunetaud Trio";"Look like twins";"No Woman No Cry";"FREMEAUX & ASSOCIES";1709366666;1709366838;2010;;;
"Laphigue";"Tremplin Class'Eurock 2023 : La compilation";"Closer";"AIX QUI";1709366834;1709367117;2023;;;
"Aaron Joseph Russo";"Lasagne";"Primavera";"NICE GUYS";1709367115;1709367311;2021;"https://music.apple.com/fr/album/primavera/1583850368?i=1583850580&uo=4";;"https://open.spotify.com/track/7xrUMT0xQZH9XcMIfYMYL7"
"Clair";"La maison magique";"Tout est dans la tête";"MAISON MAGIQUE";1709367308;1709367472;2023;;;"https://open.spotify.com/track/6GIUFext270os8ENmsRcsD"
"Molly Lewis";"The forgotten edge";"Island spell";"JAGJAGUWAR";1709367471;1709367604;2021;"https://music.apple.com/fr/album/island-spell/1563991070?i=1563991072&uo=4";;"https://open.spotify.com/track/3ihGhVSDxgSJcLYyYZA4vb"
"Robert Mitchum";"That man";"Mama looka boo boo (shut you mouth - go away)";"MEDIA 7";1709367603;1709367775;1957;;;
"Bruce Channel";"Bof/Dirty dancing";"Hey baby";"TRAX";1709367773;1709367916;1962;"https://music.apple.com/fr/album/hey-baby-2021-remastered-version/1611036603?i=1611036649&uo=4";;
"JJ Cale";"Troubadour";"Hey baby";"MERCURY";1709367913;1709368101;1976;;;
"PM Warson";"True story";"In conversation";"LEGERE RECORDINGS";1709368099;1709368351;2021;"https://music.apple.com/fr/album/in-conversation/1554525689?i=1554526510&uo=4";"https://www.deezer.com/track/1250386062";"https://open.spotify.com/track/0p1vPPI9K8zQ3zsaN9gO4k"
"Bacao Rhythm & Steel Band";"BRSB";"In the crosshairs";"BIG CROWN RECORDS";1709368349;1709368492;2024;;"https://www.deezer.com/track/2540888911";"https://open.spotify.com/track/4np3CBKKD6H9L6VKaaEwmL"
"Quincy Jones";"The best";"What's going on ?";"ALLIANCE MEDIA";1709368488;1709368683;1974;;;
"Gareth Donkin";"Welcome home";"Falling for you";"DRINK SUM WTR";1709368681;1709368864;2023;;;"https://open.spotify.com/track/3tK8BJnr6bThZ3iBQwTtci"
"Daft Punk";"Discovery";"Digital love";"LABELS";1709368863;1709369159;2001;"https://music.apple.com/fr/album/digital-love/697194953?i=697195633&uo=4";;"https://open.spotify.com/track/2VEZx7NWsZ1D0eJ4uv5Fym"
"Louis Cole";"Live sesh and xtra songs";"When you're ugly (instrumental)";"BRAINFEEDER";1709369152;1709369258;2019;;"https://www.deezer.com/track/648646532";
"Joan Sutherland";"L'elixir d'amour";"Saria possibile ?";"Decca";1709369258;1709369520;2009;;;
"Catastrophe";"La nuit est encore jeune - Vision XL";"Phoenix (il y aura un matin)";"TRICATEL";1709369514;1709369904;2018;"https://music.apple.com/fr/album/phoenix-il-y-aura-un-matin/1320847292?i=1320847827&uo=4";;"https://open.spotify.com/track/0W7HcRP7Wd9zWEkjbtdROb"
"Buddy Collette";"The soft touch of Buddy Collette / Milano sessions 1961";"Softly as in a morning sunrise";;1709369902;1709370109;;;;
"Casey Abrams";"Put a spell on you";"Take the A train";"CHESKY RECORDS";1709370110;1709370316;2018;"https://music.apple.com/fr/album/take-the-a-train/1342842175?i=1342843057&uo=4";;"https://open.spotify.com/track/4MO81eyF2ROJBbUt2RXuiY"
"Willie Nelson";"The essentiel";"On the road again";"COLUMBIA";1709370315;1709370466;1980;"https://music.apple.com/fr/album/on-the-road-again-live/277809985?i=277810164&uo=4";"https://www.deezer.com/track/72789516";
"Resonators";"Imaginary people";"All the paths";"WAH WAH 45S";1709370465;1709370669;2016;;;"https://open.spotify.com/track/2QLFrYdLNI7smjJxPU2C8o"
"Portishead";"Dummy";"Roads";"GO! DISCS";1709370667;1709371003;1994;"https://music.apple.com/fr/album/roads/1440653096?i=1440653203&uo=4";"https://www.deezer.com/track/982668";"https://open.spotify.com/track/2sW8fmnISifQTRgnRrQTYW"
"Aldo Romano";"Il piacere";"Il camino";"OWL";1709370969;1709371174;1979;;;
"Blick Bassy";"Akö";"Tell me";"NO FORMAT";1709371132;1709371392;2015;"https://music.apple.com/fr/album/tell-me/992955107?i=992955116&uo=4";;"https://open.spotify.com/track/7tO5i1GWXmGRXW4C2PnxzD"
"Oan Kim & The Dirty Jazz";"Rebirth of Innocence";"The ballad of total failure";"ARTWORK RECORDS / PIAS";1709371385;1709371661;2024;;;
"Stephen Ulrich";"Music from this American life";"Bookworm";"BARBES RECORDS";1709371660;1709371846;2023;"https://music.apple.com/fr/album/bookworm/1659892633?i=1659894138&uo=4";;"https://open.spotify.com/track/1iNTDGaWbUDMWIqO5wm6yz"
"Sanseverino";"Autour de Serge Reggiani";"Il suffirait de presque rien";"TREMA";1709371844;1709371986;2002;;;
"Celestial Choir";"Back to mine";"Stand on the word";"BACKTOMINE";1709371985;1709372257;2005;;;
"Mr. Oizo";"Voilà";"Foie gras (instrumental)";"BECAUSE";1709372257;1709372379;2022;;"https://www.deezer.com/track/1624657892";
"Glass Animals";"Zaba";"Hazey";"WOLF TONE";1709372372;1709372608;2014;"https://music.apple.com/fr/album/hazey/1440817571?i=1440818268&uo=4";;"https://open.spotify.com/track/0Zg4tjgfqw9qzq7lXX2sUM"
"Ana Frango Eletrico";"Me chama de gato que eu sou sua";"Nuvem vermelha";"MR BONGO";1709372607;1709372789;2023;"https://music.apple.com/fr/album/nuvem-vermelha/1700639465?i=1700639831&uo=4";"https://www.deezer.com/track/2381680605";"https://open.spotify.com/track/6ljB8vR4HXY9Og5uGaI4KB"
"Emma Peters";"Le temps passe";"Le temps passé";"LOCAL";1709372787;1709372980;2021;"https://music.apple.com/fr/album/le-temps-passe/1585107455?i=1585107798&uo=4";"https://www.deezer.com/track/1619244622";"https://open.spotify.com/track/3tTnW4npe4uYwLRaOGkrdU"
"Pedro Mizutani";"Aperana remixes EP";"Chuva de verâo (FloFilz remix)";"NICE GUYS";1709372978;1709373112;2024;;;
"Thibault Cauvin";"Thibault Cauvin interprète des pièces pour guitare";"Chôro n°1";"SONY CLASSICAL";1709373110;1709373356;2015;;;
"Ricet Barrier";"Tel quel";"Les plaisirs gratuits";"CO. PROD MUSIC";1709373268;1709373421;1987;;;
"Stanley Beckford";"Israelites";"Israelites";"TOT OU TARD";1709373419;1709373629;2004;"https://music.apple.com/fr/album/israelites/1446921568?i=1446922069&uo=4";;"https://open.spotify.com/track/0cLif9BV7Gabvy67agulxL"
"Thea";"Leave a scar";"Leave a scar (instrumental)";"AUTOPRODUCTION";1709373628;1709373873;2024;;;"https://open.spotify.com/track/7ljKplGlRsWJIStlgCHRGK"
