"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes";"youtube"
"The Beach Boys";"The smile sessions";"Holidays";"2011";"CAPITOL";1754647089;1754647242;"https://www.deezer.com/track/14176171";"https://open.spotify.com/track/2n3eU8P02lDRsNjbYDnMBR";;
"Aphex Twin";"Richard D. James";"Goon gumpas";"1996";"WARP";1754647242;1754647358;"https://www.deezer.com/track/29372811";"https://open.spotify.com/track/61mG2PGpS0GDSVnjMmhzC4";;
"Alabaster DePlume";"A blade because a blade is whole";"A paper man";"2025";"INTERNATIONAL ANTHEM";1754647357;1754647649;"https://www.deezer.com/track/3092080081";"https://open.spotify.com/track/5Dpqyr6489UP9vFP3150iq";;
"Lhasa";"La llorona";"Los peces";"1997";"WARNER";1754647646;1754647875;"https://www.deezer.com/track/2957257161";;;
"Timothee Chalamet";"BOF / Un parfait inconnu";"Un parfait inconnu : Highway 61 revisited";"2024";"Columbia";1754647874;1754648097;;;;
"Afrique";"Afrique";"House of rising funk";"1973";"MAINSTREAM";1754648097;1754648287;;;;
"Etienne Daho";"Daho singles";"Jungle pulse";"1995";"VIRGIN";1754648285;1754648514;;;;
"Owen Gray";"The story of Trojan records : reggae greats - the artists / CD2";"On the beach";"1975";"TROJAN RECORDS";1754648511;1754648690;"https://www.deezer.com/track/3643616782";;;
"Muddy Waters";"One more mile/Chess collectibles vol. 1";"Hoochie coochie man";"1954";"";1754648688;1754648836;"https://www.deezer.com/track/6178785";;;
"Joep Pelt";"It is what it is";"Fastman";"2006";"BAD REPUTATI";1754648836;1754648979;"https://www.deezer.com/track/252487";"https://open.spotify.com/track/2QzsfvrJbbPXbaDZSYgVfr";;
"Robert Plant";"Raising sand";"Gone gone gone (done moved on)";"2007";"ROUNDER";1754648976;1754649184;;;;
"Bella White";"Among other things";"Worth my while";"2023";"ROUNDER RECORDS";1754649180;1754649473;"https://www.deezer.com/track/2238325577";"https://open.spotify.com/track/0NoKZeQxH73PlDntWFGMmM";;
"Tunng";"Love you all over again";"Didn't know why";"2025";"FULL TIME HOBBY";1754649470;1754649714;"https://www.deezer.com/track/3013791291";"https://open.spotify.com/track/1rVvqIdjggDks46e2dhd1F";;
"Bibio";"Hand Cranked";"Marram";"2006";"MUSH";1754649714;1754649841;"https://www.deezer.com/track/1136005072";"https://open.spotify.com/track/3eAncUkxFMDat8n5avj1HI";;
"Minnie Riperton";"Perfect angel / Adventures in paradise";"Lovin' you";"1974";"STATESIDE";1754649838;1754650060;"https://www.deezer.com/track/3126330";"https://open.spotify.com/track/3ebYtLVuV4HzEZUDcpZB9p";"https://music.apple.com/fr/album/lovin-you/1443067528?i=1443067813&uo=4";
"O'O";"Songs of wishes and bones";"Les os du lac";"2024";"INFINE";1754650058;1754650296;"https://www.deezer.com/track/2896143471";"https://open.spotify.com/track/0PtMmTQnxaaFttp6RTE2Oj";;
"Mlf";"66BEO";"In the mood for a jazz interlude";"2022";"COMMUNITY CENTER";1754650291;1754650367;"https://www.deezer.com/track/1659684942";"https://open.spotify.com/track/5AxuCFqRm3iuDsQJqPdt7H";;
"Les Aiglons";"Les plus grands succès des Aiglons";"Cuisse la";"1976";"HENRI DEBS";1754650360;1754650802;"https://www.deezer.com/track/17759725";;;
"Jenya Kukoverov";"According to the map";"My tobacco";"2025";"AUTOPRODUCTION";1754650800;1754650924;"https://www.deezer.com/track/3260485241";"https://open.spotify.com/track/0QK9J5MPvRA83MqezmKtZQ";;
"Pale Regard";"Tout va";"Tout va";"2024";"DIRTY MELODY";1754650918;1754651230;"https://www.deezer.com/track/3041622941";"https://open.spotify.com/track/3kmfoM17aNwjwa03l9UVpI";;
"Marinero";"La la la";"Dream suite";"2025";"HARDLY ART";1754651227;1754651461;"https://www.deezer.com/track/3073648601";"https://open.spotify.com/track/1rqGes0oHiWQRoIhsWqcGo";"https://music.apple.com/fr/album/dream-suite/1777538301?i=1777538306&uo=4";
"The Jimmy Johnson Combo";"Eccentric soul : The Cobra label";"Is that good enough for you? (feat. The Jimmy Johnson Combo & Cobra)";"2025";"NUMERO GROUP";1754651453;1754651613;;;;
"Jackie Mittoo";"Drum song";"Hot milk";"1968";"ATTACK";1754651611;1754651844;"https://www.deezer.com/track/3856867";;;
"Patti Smith";"Horses";"Redondo beach";"1975";"ARISTA";1754651843;1754652044;"https://www.deezer.com/track/107278736";"https://open.spotify.com/track/6zCBk93V8M7fPriZj9i4dd";;
"Predrag Cune Gojkovic";"Evergreen secanja";"Kao pre";"2020";"MASCOM RECORDS";1754652042;1754652190;"https://www.deezer.com/track/104898504";;;
"Jun Iida";"Evergreen";"Shiki no uta";"2024";"OA2";1754652190;1754652381;"https://www.deezer.com/track/2564258802";"https://open.spotify.com/track/6fWGmSRDhp1GkaR03bbH6e";;
"Johnny Pacheco";"Early rhythms";"Mambo inn";"1981";"COCO RECORD";1754652381;1754652539;"https://www.deezer.com/track/76851173";;;
"Claude Nougaro";"Arme d'amour/Locomotive d'or";"C'est ça la vie";"1971";"PHILIPS";1754652540;1754652672;"https://www.deezer.com/track/75298266";"https://open.spotify.com/track/46UqPkaOXbaK6SPGwfUKf5";;
"Good Sad Happy Bad";"All kinds of days";"Mirror mirror";"2024";"TEXTILE RECORDS";1754652667;1754652803;"https://www.deezer.com/track/3045047031";"https://open.spotify.com/track/3FXBhnnqpOudbA67gvhpG6";;
"Horsegirl";"Phonetics on and on";"Well i know you're shy";"2025";"MATADOR";1754652803;1754653009;"https://www.deezer.com/track/3199344091";"https://open.spotify.com/track/2t1PBeyHtPyGaHvxh3lLoY";;
"Mike Sena";"Bali high";"Winter";"2015";"ANTHOLOGY RECORDINGS";1754653007;1754653231;;;;
"Lady Lola";"Ta dernière cigarette (j'ai peur)";"Ta dernière cigarette (j'ai peur)";"2025";"AUTOPROCDUCTION";1754653229;1754653503;"https://www.deezer.com/track/3173232731";"https://open.spotify.com/track/6DJPp87GMm2YdM6QQLiokc";;
"Swingle Singers";"Jazz Sébastien Bach vol 1";"Prélude en fa min BWV 881";"1963";"PHILIPS";1754653502;1754653633;;;;
"Hildegard";"Jour 1596";"Pour your heart out";"2024";"CHIVI CHIVI";1754653632;1754653822;"https://www.deezer.com/track/2957359121";"https://open.spotify.com/track/3N9ho4NMwJMJzlH0xa9AIJ";;
"Piero Umiliani";"La legge dei gangsters";"Sei ottavi in blues";"";"EASY TEMPO - RIGHT TEMPO";1754653820;1754654032;"https://www.deezer.com/track/4754451";"https://open.spotify.com/track/7MEGkDbMS2XZ13QPsiZwmn";"https://music.apple.com/fr/album/sei-ottavi-in-blues/342662180?i=342662332&uo=4";
"Marge Dodson";"In the still of the night/ New voice in town";"Looking for a boy";"1959";"FRESH SOUND RECORDS";1754654032;1754654206;"https://www.deezer.com/track/2756009571";;;
"Geese";"Low Era";"Low Era";"2021";"PARTISAN - PLAY IT AGAIN SAM";1754654204;1754654459;"https://www.deezer.com/track/3426659381";"https://open.spotify.com/track/3CiDs8Rpj0jpF9MB3cr3ve";;
"Olympic Antigua";"Heavy heart";"Gone";"2024";"OLYMPIC ANTIGUA";1754654456;1754654632;"https://www.deezer.com/track/2956654821";"https://open.spotify.com/track/6GtyKUPTkr0MIIatY4a0OR";;
"Luther Johnson Jr";"Boogie woogie masters";"Boogin' in the dark";"1976";"BLACK & BLUE";1754654630;1754654824;;;;
"Liam Bailey";"Dance with me";"Dance with me";"2023";"BIG CROWN RECORDS";1754654824;1754655050;"https://www.deezer.com/track/2525488961";;;
"Taggy Matcher";"Disco reggae vol. 6";"Pushin' Too Hard";"2025";"STYX";1754655049;1754655254;"https://www.deezer.com/track/3397801791";"https://open.spotify.com/track/3vMl3T07GXqzjGjxWipVOv";;
"Thandii";"Halo";"Glow";"2025";"HALOHALO";1754655254;1754655480;"https://www.deezer.com/track/3150201951";"https://open.spotify.com/track/63Z7VoyxKr5PJrme3tAUPt";;
"Astrobal";"L'uomo e la natura";"Mer Méditerranée";"2025";"KARAOKE KALK";1754655478;1754655704;"https://www.deezer.com/track/3175859181";"https://open.spotify.com/track/1qOrGYFvMvXn1wSNo1H2VR";"https://music.apple.com/fr/album/mer-m%C3%A9diterran%C3%A9e/1789403178?i=1789403455&uo=4";
"Franc Moody";"Mass appeal";"Into the ether";"2022";"AWAL";1754655701;1754655872;"https://www.deezer.com/track/1899016657";"https://open.spotify.com/track/4WS7I7nbkiEzNI2hbJzE2R";;
"Frankie Valli & The Four Seasons";"Anthology";"Can't Take My Eyes Off You";"1967";"RHINO RECORS";1754655868;1754656068;"https://www.deezer.com/track/75782443";;;
"Rio 77";"Cultura e civilização";"Tantas mães";"2024";"AUTOPRODUCTION";1754656067;1754656266;"https://www.deezer.com/track/2525058701";"https://open.spotify.com/track/1Ef0sA0lR5Ba9DcomQ59mT";;
"Glance";"20";"Cold comfort";"2023";"RADIO JUICY";1754656264;1754656454;"https://www.deezer.com/track/2345818165";"https://open.spotify.com/track/1tsd9cDjlyWSVHqJzmWk0R";;
"Busta Rhymes";"The coming";"I'll vibe (feat. Q-Tip)";"1996";"ELEKTRA";1754656448;1754656658;;;;
"Biche";"B.i.c.h.e.";"Déjà-vu";"2025";"CA VA SOUND";1754656657;1754656884;"https://www.deezer.com/track/3064337521";"https://open.spotify.com/track/78EglgayWn7A4vrb06kMlL";;
"Tamasene";"Hangin’ in or hangin’ out";"Something better";"2025";"NICE GUYS";1754656881;1754657047;"https://www.deezer.com/track/2781249351";"https://open.spotify.com/track/1p9q5wDAyQwOTv5frY2pQ9";;
"Parlor Greens";"In green / We dream";"Flowers for Sharon";"2024";"COLEMINE RECORDS";1754657044;1754657340;"https://www.deezer.com/track/2727346121";"https://open.spotify.com/track/3pZzNkJyqcX9xfHC5YLS3q";"https://music.apple.com/fr/album/flowers-for-sharon/1738469744?i=1738470231&uo=4";
"Julie London";"Around midnight";"Misty";"1960";"LIBERTY";1754657177;1754657367;"https://www.deezer.com/track/638494202";"https://open.spotify.com/track/3a76UHdCD73zRQWz6y1eBs";;
"Archie Whitewater";"Archie Whitewater";"Seacoast";"1970";"GEFFEN";1754657360;1754657587;"https://www.deezer.com/track/891214692";"https://open.spotify.com/track/40MbLI71g0FkExovnBJmnW";"https://music.apple.com/fr/album/seacoast/1500471699?i=1500472143&uo=4";
"Hotel Artesia";"Everywhere alone";"Seagulls";"2024";"HONEY MUFFIN RECORDS";1754657586;1754657950;;;;
"Stelvio Cipriani";"BOF / Le duo de la mort";"Weekend with Mary";"1969";"CREAZIONI ARTISTICHE MUSICALI C.A.M. S.R.L.";1754657946;1754658067;"https://www.deezer.com/track/1006918432";"https://open.spotify.com/track/2qBz0BrPDZSqmMo3wmXxwm";;
"Marie Laforet";"La musique m'aime / CD5 : Popp songs 2";"Le lit de Lola";"1968";"MERCURY";1754658065;1754658221;"https://www.deezer.com/track/903703552";;;
"Bria Skonberg";"With a twist";"Whatever Lola wants";"2017";"SONY";1754658219;1754658397;"https://www.deezer.com/track/350400861";"https://open.spotify.com/track/6n1jvcjGMwJu9PefzVu5uf";;
"Prince";"3121";"Lolita";"2006";"UNIVERSAL";1754658395;1754658642;"https://www.deezer.com/track/536621102";"https://open.spotify.com/track/65S8UF3GadgBXrIMVKBDPZ";;
"Lipphead";"In the nude";"Rocks in my pillow";"2022";"YOUNG HEAVY SOULS";1754658642;1754658785;"https://www.deezer.com/track/1729261057";"https://open.spotify.com/track/5HEFVHAu818qNfY1IoLeFL";;
"Major Lazer";"Nobody move";"Nobody move";"2024";"BECAUSE MUSIC";1754658785;1754658906;;;;
"Mamadou Mariko";"Wagadu grooves vol.2 : The hypnotic sound of Camara 1991-2014";"N’diaye Sylla";"";"HOT MULE RECORDS";1754658901;1754659232;"https://www.deezer.com/track/78090774";"https://open.spotify.com/track/3sIdxejhXyCjQdIp4oRZbe";;
"A Certain Ratio";"In The Beginning There Was Rhythm";"Shack up";"1979";"SOUL JAZZ";1754659231;1754659424;"https://www.deezer.com/track/542930022";;;
"Ugggy";"The moss and the soss";"Lily pad and toad (goodnight)";"2024";"ILLECT RECORDINGS";1754659423;1754659529;"https://www.deezer.com/track/2688661972";"https://open.spotify.com/track/5CbwMmXH7tKtB0XvJdDmj7";;
"Velours Velours";"Quand je pleure, je suis content";"La fin";"2025";"BONBOBBON";1754659530;1754659740;"https://www.deezer.com/track/3111311281";"https://open.spotify.com/track/5fro9xyNh8o9rkJk29cy2q";;
"David Bowie";"Ziggy Stardust (remast)";"Starman";"1972";"EMI";1754659739;1754659986;"https://www.deezer.com/track/3644162042";;"https://music.apple.com/fr/album/starman/1350497019?i=1350497718&uo=4";
"Swindle";"Reach the stars (feat. Andrew Achong)";"Reach the stars (feat. Andrew Achong)";"2018";"BROWNSWOOD RECORDINGS";1754659983;1754660190;;;;
"The Mystic Moods";"What it is ! Funky soul and rare grooves";"Cosmic sea";"1973";"RHINO";1754660189;1754660343;;;;
"Arthur Satan";"A journey that never was";"Loner perspective";"2025";"BORN BAD";1754660341;1754660497;"https://www.deezer.com/track/3279274141";"https://open.spotify.com/track/5JTTHpdpsMPUbQCQiVvcsL";;
"Andrew Gabbard";"Ramble & rave on !";"Magic taxi";"2024";"KARMA CHIEF RECORDS";1754660495;1754660737;"https://www.deezer.com/track/2950868091";"https://open.spotify.com/track/2OZSYK6W49RC0ijPXWao91";;
"Nicole Atkins";"Italian Ice";"St. Dymphna";"2020";"SINGLE LOCK RECORDS";1754660728;1754660928;"https://www.deezer.com/track/1501758112";"https://open.spotify.com/track/6LwI2yKfW1NwxPtoU7uHSG";;
"Orchestre De Chambre Orpheus";"Prokofiev, Britten, Bizet : Symphonies";"Simple Symphony op 4 : 1. Boisterous Bourree";"1988";"Deutsche Grammophon";1754660927;1754661128;;;;
"Ray Charles";"The definitive Ray Charles";"Eleanor Rigby";"1968";"";1754661129;1754661304;"https://www.deezer.com/track/62756910";;;
"Francois Bernheim";"Wizzz ! / Vol. 4";"Tom";"1968";"BORN BAD RECORDS";1754661304;1754661472;"https://www.deezer.com/track/1260034882";;;
"Alsarah & The Nubatones";"Seasons of the road";"Fael fi aldawam";"2025";"SOUNDWORKS";1754661470;1754661732;;;;
"The Sorcerers";"I too am a stranger";"She who perceives the sounds of the world";"2024";"ATA RECORDS";1754661731;1754661946;"https://www.deezer.com/track/3171845081";"https://open.spotify.com/track/6SbukuGQXuZVD8lxNQb4Iv";"https://music.apple.com/fr/album/she-who-perceives-the-sounds-of-the-world/1788886700?i=1788886717&uo=4";
"Malia";"Yellow daffodils";"I believed in roses";"2002";"EPIC";1754661946;1754662154;"https://www.deezer.com/track/15796467";"https://open.spotify.com/track/4abTuZFPAnm5XbpZ0ZpCjk";;
"Anderson .Paak";"Oxnard";"6 summers";"2018";"AFTERMATH /12 TONE MUSIC, LLC";1754662154;1754662438;"https://www.deezer.com/track/585667492";"https://open.spotify.com/track/0lG7iyNSstVOLV6faMIHdD";;
"Gil Scott Heron";"Reflections";"Gun";"1981";"ARISTA";1754662437;1754662676;;;;
