"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes";"youtube"
"Ezechiel Pailhes";"Ventas rumba";"Piccolo";"2024";"CIRCUS COMPANY";1714840617;1714840836;"https://open.spotify.com/track/2rJXoRn5RHBt2oy2eIc3NJ";;;
"Metronomy";"The english riviera";"The look";"2011";"BECAUSE";1714840835;1714841110;"https://open.spotify.com/track/6zfczP87XO2SxWlQtnjFNa";"https://www.deezer.com/track/10240179";;
"Alessi Brothers";"Alessi";"Seabird";"1977";"EDEN ROC RECORDS";1714841106;1714841291;;"https://www.deezer.com/track/85274646";"https://music.apple.com/fr/album/seabird/1095642126?i=1095642246&uo=4";
"Brainstory";"Sounds good";"Nyny";"2024";"BIG CROWN RECORDS";1714841289;1714841437;"https://open.spotify.com/track/0ihFRRQkGtUjCUS2iIFOl2";;;
"Vaudafunk";"Gotta keep on";"Traminer";"2023";"FRAPPE";1714841435;1714841627;;;;
"Clea Vincent";"Tropi-Clea / Vol. 2";"Du sang sur les congas";"2020";"MIDNIGHT SPECIAL RECORD";1714841609;1714841826;"https://open.spotify.com/track/4aB2iCWlm8nUCMs6Tavipb";;"https://music.apple.com/fr/album/du-sang-sur-les-congas/1501148582?i=1501148876&uo=4";
"Tetrack";"Lets get started / Eastman dub";"Let's get started";"1977";"VP MUSIC";1714841824;1714842036;;"https://www.deezer.com/track/511334872";;
"Peemai¨ & Gayam 16";"Gaga gundul";"Merapi's party";"2024";"COLLECTIF KOA / L ’AUTRE DISTRIBUTION";1714842034;1714842418;;;;
"Fareed Haque";"Trance Hypothesis";"In The Bollywood";"2013";"DELMARK";1714842105;1714842156;"https://open.spotify.com/track/3VqB4R5RPSLMljqicOuf6Z";"https://www.deezer.com/track/73499862";"https://music.apple.com/fr/album/in-the-bollywood/793129809?i=793131071&uo=4";
"Bela Fleck";"As we speak";"As We Speak";"2023";"BELA FLECK PRODUCTIONS";1714842800;1714843103;"https://open.spotify.com/track/0KHP9Nl8VktnIHuOvqlTpf";;;
"Don Vappie & Jazz Creole";"The blue book of Storyville";"Les oignons";"2020";"LE JAZZETAL";1714843101;1714843427;;;;
"Three Blind Mice";"See how they run";"Southern sunset";"2019";"AUTOPRODUCTION";1714843425;1714843596;"https://open.spotify.com/track/4MH7zwGi0TZZd8RtSVSkC6";"https://www.deezer.com/track/640429512";"https://music.apple.com/fr/album/southern-sunset/1454508124?i=1454508130&uo=4";
"Diego Figueiredo & Cyrille Aimee";"Broken Bossa";"Si tu vois ma mère";"2015";"STUNT RECORDS";1714843595;1714843778;;;;
"Lee Konitz";"Vol pour Sidney (Aller)";"As-tu le cafard";"2015";"NATO";1714843775;1714844052;;;;
"Sidney Bechet";"New Orleans-Paris (& vice versa)";"Maple leaf rag";"1932";"SAGA";1714844049;1714844223;;"https://www.deezer.com/track/1132735072";;
"Courtney Pine";"Transition in tradition: En hommage à Sidney Bechet";"New Orleans";"2009";"DESTIN-E RECORDS";1714844222;1714844551;;;;
"Mahogany L Browne & Sean Mason";"Chrome valley";"Trivia";"2024";"THE SOAPBOX PRESENTS";1714844550;1714844840;;;;
"Eddie Costa";"Guys and dolls like vibes";"Guys and dolls";"1958";"VERVE";1714844833;1714845236;;;"https://music.apple.com/fr/album/guys-and-dolls/1442270185?i=1442270323&uo=4";
"Dizzy Gillespie";"The Verve/Philips small group sessions disc VII";"Days of wine and roses";"1964";"VERVE";1714845235;1714845372;;"https://www.deezer.com/track/911129";;
"Summer Camargo";"To whom I love";"Dance of the merrymaker";"2024";"BLUE ENGINE RECORDS";1714845371;1714845619;"https://open.spotify.com/track/1pl0gK7r37SG4u7yvDPt57";"https://www.deezer.com/track/2659565692";;
"The Clash";"Combat rock (Edition Special)";"Futura 2000";"";"SONY MUSIC";1714845618;1714845970;"https://open.spotify.com/track/0ZOd1fmpaBXLbtDQPeJz2k";"https://www.deezer.com/track/1692911827";"https://music.apple.com/fr/album/futura-2000/1614928044?i=1614928652&uo=4";
"Lonnie Liston Smith";"Visions of a  New World";"A chance for peace";"1975";"BMG/RCA";1714845969;1714846289;"https://open.spotify.com/track/5Nt5jH0oX4qktPE6kxEPx3";"https://www.deezer.com/track/1734038797";"https://music.apple.com/fr/album/a-chance-for-peace/1621366016?i=1621366278&uo=4";
"Mildlife";"Chorus";"Yourself";"2024";"HEAVENLY RECORDINGS";1714846282;1714846664;"https://open.spotify.com/track/3lFyL9JJvWnlZ13YzpTwzS";"https://www.deezer.com/track/2514003431";"https://music.apple.com/fr/album/yourself/1713532980?i=1713533722&uo=4";
"Melanie De Biasio";"We never kneel to pray / Now is narrow";"We never kneel to pray";"2023";"PIAS";1714846338;1714846617;"https://open.spotify.com/track/3aRaZqeEj2uh8RaEsQqPTo";;"https://music.apple.com/fr/album/we-never-kneel-to-pray/1687163050?i=1687163396&uo=4";
"Biche";"La nuit des Perséides";"Film noir";"2019";"BANQUISE RECORDS";1714846660;1714846769;"https://open.spotify.com/track/4WgxcF9ElY8WDfW8h21Lb0";"https://www.deezer.com/track/663572652";"https://music.apple.com/fr/album/film-noir/1459637482?i=1459637678&uo=4";
"Donna Blue";"Into the realm of love";"Mains de l'amour";"2024";"SNOWSTAR RECORDS";1714846768;1714847064;"https://open.spotify.com/track/0yISkg1jkmNCxzZEXwdTGN";"https://www.deezer.com/track/2633554282";"https://music.apple.com/fr/album/mains-de-lamour/1727743453?i=1727743763&uo=4";
"Sergio Mendes & Brasil 66";"Look around";"Roda";"1967";"VERVE";1714847062;1714847205;;;;
"Walter Wanderley";"Sound from the Verve hi-fi";"Batucada";"1967";"VERVE";1714847204;1714847331;"https://open.spotify.com/track/2qf97fkebBNP320wDEkxR2";;;
"Warpaint";"Common blue";"Common blue";"2024";"ROUGH TRADE RECORDS";1714847329;1714847559;"https://open.spotify.com/track/4ywML3rFjamKeKg1GE689X";"https://www.deezer.com/track/2631540272";;
"The Troggs";"Hits anglo-saxons de 65-66";"With a girl like you";"1962";"ARCADE";1714847556;1714847681;;"https://www.deezer.com/track/2301089";;
"The Dells";"Chess soul/A decade of Chicago's finest";"Oh, what a day";"1969";"UNIVERSAL";1714847680;1714847844;"https://open.spotify.com/track/4VV1PLuQq9KyH6JUFXlFuH";"https://www.deezer.com/track/2664916312";"https://music.apple.com/fr/album/oh-what-a-day-single-version/1444222008?i=1444222279&uo=4";
"Freddy Fresh";"The last true family man";"Da Missus";"1999";"SONY";1714847840;1714848006;;;;
"Bobby Hutcherson";"San Francisco";"Ummh";"1971";"BLUE NOTE";1714848001;1714848467;"https://open.spotify.com/track/5duLqah67sHk3f5sWU9R1u";"https://www.deezer.com/track/3403505";"https://music.apple.com/fr/album/ummh/724922796?i=724923626&uo=4";
"The Black Keys";"Brothers";"Howlin' for you";"2010";"V2 MUSIC";1714848460;1714848650;"https://open.spotify.com/track/0grFc6klR3hxoHLcgCYsF4";"https://www.deezer.com/track/1191627802";;
"Robert Finley";"Black bayou";"Lucky day";"2023";"EASY EYE SOUND RECORDS";1714848648;1714848852;"https://open.spotify.com/track/4QvVDogONdi3f5rw7pK0eh";"https://www.deezer.com/track/2506779351";"https://music.apple.com/fr/album/lucky-day/1690467670?i=1690467923&uo=4";
"Mo Kolours";"Original flow";"Nah personal";"2024";"WE RELEASE JAZZ RECORDS";1714848847;1714849067;"https://open.spotify.com/track/2PJViekSR6PLKNhWhvy94j";;"https://music.apple.com/fr/album/nah-personal/1732030723?i=1732031269&uo=4";
"Bob Marley";"Kaya";"Time will tell";"1978";"ISLAND";1714849066;1714849272;;;;
"Haruomi Hosono";"Hosono Haruomi archives Vol.1 (beyond good and evil)";"Walking vibration";"2008";"VICTOR ENTERTAINMENT";1714849267;1714849513;;"https://www.deezer.com/track/2129285947";"https://music.apple.com/fr/album/walking-vibration/1421783893?i=1421784141&uo=4";
"Bjork";"Debut";"Venus as a boy";"1993";"ISLAND";1714849509;1714849782;"https://open.spotify.com/track/5G9LvzXcBoIBXOd2jzdJTs";"https://www.deezer.com/track/2629697182";"https://music.apple.com/fr/album/venus-as-a-boy/1726662710?i=1726662713&uo=4";
"Vanishing Twin";"Dream by numbers (EP)";"It sends my heart into a spin";"2017";"SOUNDWAY RECORDS";1714849777;1714849991;"https://open.spotify.com/track/0DBMYU6zL6Pircmuux1Iyc";;;
"The Ace Of Cups";"It's bad for you but buy it!";"Afro blue";"1968";"BIG BEAT";1714849988;1714850383;;"https://www.deezer.com/track/1734444077";;
"Grover Washington Jr";"Feels so good";"Moonstreams";"1975";"VERVE";1714850381;1714850727;;;;
"The Doors";"L.A. Woman";"Riders on the storm";"1971";"ELEKTRA";1714850722;1714851143;"https://open.spotify.com/track/14XWXWv5FoCbFzLksawpEe";;"https://music.apple.com/fr/album/riders-on-the-storm/640047463?i=640047752&uo=4";
"Rhi";"The pale Queen";"The tempter";"2019";"TRU THOUGHTS";1714851133;1714851321;"https://open.spotify.com/track/1FmJnmL0y6rd7mZLAo0kCc";"https://www.deezer.com/track/699403972";"https://music.apple.com/fr/album/the-tempter/1469241700?i=1469241707&uo=4";
"Danny Brown";"Quaranta";"Ain't my concern";"2023";"WARP RECORDS";1714851317;1714851487;"https://open.spotify.com/track/0F83A4TPdZdQMYNETNcSbD";"https://www.deezer.com/track/2477844421";"https://music.apple.com/fr/album/aint-my-concern/1709676207?i=1709676210&uo=4";
"The Mystic Moods";"What it is ! Funky soul and rare grooves";"Cosmic sea";"1973";"";1714851483;1714851636;;;;
"Hannah Williams And The Affirmations";"Late nights & Heartbreak";"Tame in the water";"2016";"RECORDS KICKS";1714851634;1714851899;;;;
"M";"Le baptême";"Le baptême";"1997";"DELEBEL";1714851896;1714852143;;"https://www.deezer.com/track/66675133";;
"Melanie De Biasio";"We never kneel to pray / Now is narrow";"We never kneel to pray";"2023";"PIAS";1714851939;1714852218;"https://open.spotify.com/track/3aRaZqeEj2uh8RaEsQqPTo";;"https://music.apple.com/fr/album/we-never-kneel-to-pray/1687163050?i=1687163396&uo=4";
"L'Osmose";"Maggiore 800";"Überraschung";"2024";"STONE PIXELS RECORD";1714852139;1714852419;"https://open.spotify.com/track/39JGstGxtpmrIuDkR8kFRe";;"https://music.apple.com/fr/album/%C3%BCberraschung/1734598656?i=1734599309&uo=4";
"10 CC";"The original soundtrack";"I'm not in love";"1975";"MERCURY";1714852412;1714852772;;;;
"Steven De Bruyn & Jasper Hautekiet";"Aanhou geraas maak";"Yugen";"2022";"EL FISH RECORDS";1714852713;1714852802;;;"https://music.apple.com/fr/album/y%C3%BCgen/1602461835?i=1602461847&uo=4";
"Melanie De Biasio";"We never kneel to pray / Now is narrow";"We never kneel to pray";"2023";"PIAS";1714852800;1714853094;"https://open.spotify.com/track/3aRaZqeEj2uh8RaEsQqPTo";;"https://music.apple.com/fr/album/we-never-kneel-to-pray/1687163050?i=1687163396&uo=4";
"Shcaa";"No moon at all, what a night";"Auguries";"2020";"APOLLO RECORDS";1714853079;1714853310;"https://open.spotify.com/track/5Xma72El4Yf1sFgarMr9xe";;"https://music.apple.com/fr/album/auguries/1529044345?i=1529044354&uo=4";
"Lefto Early Bird";"Motherless father";"Love supreme (part 1 and 2) (feat. Aint About Me)";"2024";"BROWNSWOOD RECORDINGS";1714853299;1714853766;;;;
"Klt & Jessy Elsa Palma";"Beauty of change";"Locked In Paradise";"2024";"JAZZ FAMILY";1714853764;1714854089;;;;
"Yael Naim";"Yael naim";"New soul";"2007";"TOT OU TARD";1714854087;1714854313;"https://open.spotify.com/track/476JcJ3TpAuCOlGdCmomGm";;;
"Hayley Williams";"Petals for armor";"Roses-Lotus-Violet-Iris";"2020";"ATLANTIC";1714854303;1714854620;;;;
"Orchestre Philharmonique De Vienne";"Symphonie n°7 en La Maj op 92";"Symphonie n°7 en La Maj op 92 : Allegretto";"1976";"DGG (DEUTSCHE GRAMMOPHON)";1714854619;1714855101;;;;
"Joao Gilberto";"Amoroso/Brasil";"Estate";"1977";"WARNER BROS";1714855101;1714855486;"https://open.spotify.com/track/55mCj2LMr3csP88djkFpPN";"https://www.deezer.com/track/7711334";"https://music.apple.com/fr/album/estate/404520885?i=404520901&uo=4";
"Azymuth";"Azymuth";"Wait for my turn (spiritual south remix)";"2007";"FAR OUT RECORDINGS";1714855466;1714855805;;"https://www.deezer.com/track/107733680";;
"Geraldine Hunt";"David Mancuso presents The Loft";"Can't fake the feeling (original 12"""" mix)";"1980";"NUPHONIC";1714855796;1714856111;;;;
"L Imperatrice";"Odyssée";"La lune";"2015";"CRACKI RECORDS";1714856101;1714856296;;;;
"Prince Waly";"Bo y z vol. 2";"Risotto";"2023";"BO Y Z";1714856306;1714856441;"https://open.spotify.com/track/325P4ydSGCrkDv6DIJe1PS";;"https://music.apple.com/fr/album/risotto/1716878017?i=1716878558&uo=4";
"Altin Gun";"Yol";"Esmerim güzelim";"2021";"GLITTERBEAT RECORDS";1714856439;1714856586;"https://open.spotify.com/track/06VY4IXJO8SJwpZGu6f5xb";;"https://music.apple.com/fr/album/esmerim-g%C3%BCzelim/1543532417?i=1543532732&uo=4";
"Sababa 5";"Sababa 5";"Lizarb";"2022";"BATOV RECORDS";1714856585;1714856820;"https://open.spotify.com/track/1ox7uUXEi2Fy2cpRAV9ALd";"https://www.deezer.com/track/1822400187";"https://music.apple.com/fr/album/lizarb/1634185830?i=1634185836&uo=4";
"King Gizzard & The Lizard Wizard";"Paper mâché dream balloon";"Sense";"2015";"HEAVENLY RECORDINGS";1714856812;1714857021;"https://open.spotify.com/track/2oeqKWbVwK5Ly2vjwWJKHd";"https://www.deezer.com/track/112807660";"https://music.apple.com/fr/album/sense/1030823959?i=1030824761&uo=4";
"Oan Kim & The Dirty Jazz";"Rebirth of innocence";"Lush (feat. Gabi Hartmann)";"2024";"ARTWORK RECORDS / PIAS";1714857019;1714857243;;;;
"Jalen Ngonda";"Come around and love me";"If you don't want my love";"2023";"DAPTONE RECORDS / MODULOR";1714857242;1714857381;"https://open.spotify.com/track/4A48ckONJNoXU5smWT9CeG";;"https://music.apple.com/fr/album/if-you-dont-want-my-love/1675144720?i=1675144724&uo=4";
"Daniel Villarreal";"Lados B";"Salute";"2023";"INTERNATIONAL ANTHEM";1714857380;1714857579;"https://open.spotify.com/track/1SgosiHWcByeqMhbrNVaYa";;;
"Lolo Et L'Orchestre O.K. Jazz";"Congo Funk ! Sound madness from the shores of the mighty Congo rive";"Lolo soulfire";"1971";"ANALOG AFRICA";1714857580;1714857791;;;;
"Freddi Henchi And The Soulsetters";"What it is ! Funky soul and rare grooves";"Funky to the bone";"1972";"";1714857787;1714857945;;;;
"Beck";"Odelay";"Readymade";"1996";"GEFFEN RECOR";1714857942;1714858099;"https://open.spotify.com/track/5EWc98pCUSXbu9hcZu8u3e";;"https://music.apple.com/fr/album/readymade/1440871815?i=1440872432&uo=4";
"Feist";"The reminder ed. Deluxe + bonus";"Fightin' away the tears (feat. Mocky)";"2007";"POLYDOR";1714858098;1714858290;;;;
"John Scofield";"That's what I say / John Scofield plays the music of Ray Charles";"Unchain my heart (part 1)";"2005";"VERVE";1714858290;1714858582;;;"https://music.apple.com/fr/album/unchain-my-heart-part-1/1443121761?i=1443121856&uo=4";
"Marion Rampal";"Oizel";"Oizeau";"2024";"LES RIVIERES SOUTERRAINES";1714858579;1714858764;"https://open.spotify.com/track/4wyCDEypGKhCcvh1itrYVo";"https://www.deezer.com/track/2585232322";"https://music.apple.com/fr/album/oizeau/1721394113?i=1721395622&uo=4";
"Madeleine Peyroux";"Secular hymns";"More time";"2016";"IMPULSE / UNIVERSAL";1714858763;1714858966;"https://open.spotify.com/track/2TaG40zx86SHIPLxvbXbdM";;"https://music.apple.com/fr/album/more-time/1440870200?i=1440870605&uo=4";
"Joe Yorke";"Hopeless";"Rough living";"2023";"RHYTHM STEADY";1714858962;1714859137;"https://open.spotify.com/track/4m7DEEfaBFlie6TeMcOJ8Y";;"https://music.apple.com/fr/album/rough-living/1708963114?i=1708964444&uo=4";
"Thoma";"Pictures of infinity";"Fula";"2023";"FOLDED MUSIC";1714859134;1714859357;"https://open.spotify.com/track/2ph4fbT7mxjsxYJr20Wi2a";;"https://music.apple.com/fr/album/fula/1671012285?i=1671013640&uo=4";
"Nia Archives";"Sunrise bang ur head against tha wall";"No need 2 be sorry, call me?";"2023";"HIJINXX - ISLAND";1714859356;1714859557;;;;
"Warpaint";"Warpaint (extrait)";"Love is to die";"2014";"ROUGH TRADE";1714859554;1714859845;"https://open.spotify.com/track/2RAXAF7qjvn0FsRuMMTlBx";"https://www.deezer.com/track/73998678";"https://music.apple.com/fr/album/love-is-to-die/725462668?i=725462671&uo=4";
"Corey Harris";"Mississippi to Mali";"Station blues";"2003";"ROUNDER";1714859886;1714860039;"https://open.spotify.com/track/3EslkE2cZXvv4oiNDZbh3W";;"https://music.apple.com/fr/album/station-blues/1477397079?i=1477397510&uo=4";
"The Rolling Stones";"Exile on main St.";"Sweet virginia";"1972";"UNIVERSAL";1714860039;1714860304;"https://open.spotify.com/track/1hJrWWK74fKL7eeV3CFOvF";"https://www.deezer.com/track/5968646";"https://music.apple.com/fr/album/sweet-virginia-2010-remaster/1440872228?i=1440872600&uo=4";
"Urge Overkill";"BOF / Pulp fiction";"Girl, you'll be a woman soon";"1992";"MCA";1714860300;1714860479;"https://open.spotify.com/track/1mSzuXVjjKC0bPh6iG6xjy";;"https://music.apple.com/fr/album/girl-youll-be-a-woman-soon/1469583186?i=1469583523&uo=4";
"Belle And Sebastian";"Late developers";"When you're not with me";"2023";"MATADOR";1714860477;1714860755;"https://open.spotify.com/track/4m843BdVuNuFHgKNmoVL70";;;
"Laurent Bardainne & Tigre d’eau douce";"Eden Beach Club";"Eden";"2024";"";1714860758;1714861046;;;"https://music.apple.com/fr/album/eden/1729904279?i=1729904625&uo=4";
"Raffi Garabedian";"The crazy dog";"Contrapuntal bewilderment";"2024";"AUTO PRODUCTION";1714861040;1714861311;"https://open.spotify.com/track/36CmePeMoyeJgJ7LyuFGni";;;
"Lamplight";"Lamplight";"Play";"2024";"WESTERN VINYL";1714861303;1714861515;"https://open.spotify.com/track/2zOYxhVDy7ZbJK3P5t2yzU";;;
"Clarence Carter";"The Fame studios story 1961-1973";"Slip away";"1968";"KENT";1714861512;1714861686;"https://open.spotify.com/track/7r3Hwig1mvtlVq0ZbJ09Wb";;;
"Kool & The Gang";"Kool & the gang";"Give it up";"1970";"P&C RECORDS";1714861687;1714861906;"https://open.spotify.com/track/24aao7hfti9iLH0ykuC1OE";;;
"Aziza Brahim";"Mawja";"Ljaima likbira";"2024";"GLITTERBEAT";1714861903;1714862107;"https://open.spotify.com/track/2m5mmqF5KeWmvKGGWLQ6WJ";"https://www.deezer.com/track/2547834982";"https://music.apple.com/fr/album/ljaima-likbira/1717174112?i=1717175500&uo=4";
"Ayo";"Joyful";"And it's supposed to be love";"2006";"POLYDOR";1714862104;1714862383;;;;
"Dawa Salfati";"Tabou";"Une image";"2024";"AUTOPRODUCTION";1714862388;1714862647;"https://open.spotify.com/track/0ymL24uJ1OMR8xAO0U5fpd";;;
"Jian Wang";"Reverie";"La vie brève : Danse espagnole n°1 - pour orchestre / reduction pour guitare acoustique et violoncelle";"2007";"DEUTSCHE GRAMMOPHON";1714862643;1714862862;;;;
"Lou Reed";"Transformer";"Walk on the wild side";"1972";"RCA";1714862853;1714863098;"https://open.spotify.com/track/5p3JunprHCxClJjOmcLV8G";"https://www.deezer.com/track/97081744";;
"Aldous Harding";"Warm Chris";"Warm Chris";"2022";"4AD";1714863096;1714863320;"https://open.spotify.com/track/0iEt07AuGxka9WpxOdyYsP";"https://www.deezer.com/track/1674151997";"https://music.apple.com/fr/album/warm-chris/1598442016?i=1598442524&uo=4";
"Father John Misty";"Pure comedy";"Smoochie";"2017";"BELLA UNION";1714863312;1714863531;"https://open.spotify.com/track/5929BsMxyxAxC2EFiD7ORH";;;
"The Nightstalkers";"Soulgroove '66 pt. 1 / Soulgroove '66 pt. 2";"Soulgroove '66 pt. 2 (Instrumental)";"2021";"SOUL MESSIN' RECORDS";1714863547;1714863810;;;;
"Keyon Harrold";"Foreverland";"Beautiful day (feat. PJ Morton)";"2024";"CONCORD JAZZ";1714863806;1714864010;;;"https://music.apple.com/fr/album/beautiful-day-feat-pj-morton/1703096626?i=1703096647&uo=4";
"Alice Russell";"Under the munka moon II";"Seven nation army (feat. Nostalgia 77)";"2006";"TRU THOUGHTS";1714864007;1714864267;;;;
"Jaseur";"Tour de kapla";"Blog personnel";"2024";"LA SOUTERRAINE";1714864266;1714864462;"https://open.spotify.com/track/69UIeElVjHWlQDEf3Xe7kk";;"https://music.apple.com/fr/album/blog-personnel/1728759351?i=1728759354&uo=4";
"Shabaka Hutchings";"Black to the future";"In remembrance of those fallen";"2021";"IMPULSE";1714864463;1714864742;;;;
"Tagua Tagua";"Tanto";"Starbucks";"2023";"WONDERWHEEL RECORDINGS";1714864741;1714865005;"https://open.spotify.com/track/1mfMTfVqaO1YSUCbEdXrjU";;"https://music.apple.com/fr/album/starbucks/1660055643?i=1660055649&uo=4";
"Neal Francis";"Sentimental garbage";"In plain sight";"2022";"ATO RECORDS";1714865003;1714865235;"https://open.spotify.com/track/2CpGi9hki9cWgQKz9EJ63b";;;
"Sebastien Tellier";"L' adulte";"L' adulte";"2014";"BARCLAY";1714865233;1714865428;;;;
"Micah P. Hinson";"Micah P. Hinson Presents The Holy Strangers";"The years tire on";"2017";"FULL TIME HOBBY";1714865429;1714865636;"https://open.spotify.com/track/2Cwpsl2ZviFLJYv0793h9X";;;
"Katie Melua";"BBC radio 2 : sounds of the 80s";"Wonderful life";"2014";"RHINO";1714865635;1714865878;;"https://www.deezer.com/track/105857706";"https://music.apple.com/fr/album/wonderful-life/1710155923?i=1710156226&uo=4";
"Loving";"Any light";"Ask directions";"2024";"LAST GANG RECORDS / MNRK";1714865871;1714866009;"https://open.spotify.com/track/6rj9TNM1Av2qz4owW5QtRp";"https://www.deezer.com/track/2528195091";;
"Muddy Gurdy";"Muddy Gurdy";"Glory";"2018";"VIZZTONE";1714866009;1714866230;"https://open.spotify.com/track/69ih31LBxgB4F6QSsRSvoI";"https://www.deezer.com/track/437504602";"https://music.apple.com/fr/album/glory/1320188911?i=1320189532&uo=4";
"Gfh";"No rush";"Baladonf";"2023";"PLANET TRIP RECORDS";1714866228;1714866513;"https://open.spotify.com/track/0nL6NKlIKpQ17FDqedyQot";"https://www.deezer.com/track/2535851521";"https://music.apple.com/fr/album/baladonf/1715840183?i=1715840361&uo=4";
"The Abyssinians";"Satta massagana";"Satta massagana";"1976";"HEART BEAT";1714866512;1714866713;"https://open.spotify.com/track/6JXQ7fWGFKB6DgiCCSLcXO";"https://www.deezer.com/track/1332070382";;
"Manu Chao";"Clandestino";"Je ne t'aime plus";"1998";"VIRGIN";1714866713;1714866837;"https://open.spotify.com/track/7Deb4scGmEv4fY2CZcVnSb";"https://www.deezer.com/track/71590748";"https://music.apple.com/fr/album/je-ne-taime-plus/725493481?i=725493642&uo=4";
"Jerry Butler";"BOF / Hell";"I'm your mechanical man";"1974";"CINEFONIA RECORDS";1714866836;1714867134;;;;
"Project Gemini";"Colours & light";"Seven seconds to sunrise";"2024";"MR BONGO";1714867140;1714867337;"https://open.spotify.com/track/11XuXfnVlZz3tpsmyZeu2J";;"https://music.apple.com/fr/album/seven-seconds-to-sunrise/1721546677?i=1721547409&uo=4";
"Vanishing Twin";"Ookii gekkou";"The lift";"2021";"FIRE RECORDS";1714867334;1714867519;"https://open.spotify.com/track/510Suj0SMVbUenLpwG3lBE";;;
"Barbara & Ernie";"The midnight mellow : The folk-funk psychedelic experience";"Somebody to love";"1971";"";1714867517;1714867793;"https://open.spotify.com/track/2m4fvVJZzs8X8SOJlnXn87";;;
"Martha Tilton";"BOF / Duel in the sun """"Duel au soleil";"Gotta get me somebody to love";"1946";"MEMBRAN INTERNATIONAL";1714867785;1714867964;;;;
"Floradela Sacchi";"Philip Glass : Metamorphosis et autres oeuvres";"Modern Love Waltz - pour harpe";"2015";"AMADEUS ARTE";1714867965;1714868177;;;;
"Nina Tonji";"Sen";"J'attendrai";"2024";"KOMOS";1714868173;1714868393;"https://open.spotify.com/track/3gNuoGTxrp5x1EwCz8VRJh";;;
"Homeboy Sandman";"Hallways";"Unraveling (feat. Jozef Van Wissem)";"2014";"STONES THROW RECORDS";1714868382;1714868540;;;;
"Jimi Hendrix";"Electric ladyland";"The burning of the midnight lamp";"1968";"POLYGRAM (DISTR)";1714868536;1714868754;;;;
"Los Destellos";"The roots of chicha / Psychedelic cumbia from Peru";"Para Elisa";"1970";"BARBES RECOR";1714868758;1714868925;"https://open.spotify.com/track/4jFzxyasDn28Q4Kgo7H5B5";"https://www.deezer.com/track/581425752";"https://music.apple.com/fr/album/para-elisa/265128582?i=265129494&uo=4";
"Thee Heart Tones";"Sabor a mi";"Sabor a mi";"2024";"IG CROWN RECORDS";1714868925;1714869125;"https://open.spotify.com/track/5m13q2vlo88oDjg0SK6v79";;"https://music.apple.com/fr/album/sabor-a-mi/1726077979?i=1726077982&uo=4";
"Elmiene";"Marking my time (Badbadnotgood edit)";"Marking my time (Badbadnotgood edit)";"2023";"POLYDOR RECORDS";1714869124;1714869371;;;;
"Control Alt Supp";"Good pound";"Good Pound";"2024";"LA TEBWA";1714869370;1714869568;"https://open.spotify.com/track/1Za3TXYXrpTKMGauuZArHJ";"https://www.deezer.com/track/2712213641";;
"Readymade FC";"I can change";"Space & echo";"2023";"GRONLAND RECORDS";1714869571;1714869706;;;;
"Bunny General";"Soul Jazz Records presents Style & Fashion";"Played by this ya sound";"1991";"SOUL JAZZ RECORDS";1714869705;1714869919;;"https://www.deezer.com/track/638326202";;
"Francis Bebey";"La condition masculine";"La condition masculine";"1975";"SONODISC";1714869918;1714870133;;;;
"The Normals";"Punk 45 : kill the hippies! kill yourself!: underground punk in the USA (vol 1)";"Almost ready";"1979";"SOUL JAZZ RECORDS";1714870132;1714870270;;"https://www.deezer.com/track/117248836";;
"Automatic";"Signal";"Signal";"2019";"STONES THROW";1714870269;1714870453;"https://open.spotify.com/track/7DvTymTpPIlTd5TIk6612a";;;
"Guess What";"Coco María presents club coco ¡AHORA! : The latin sound of now";"Stickle bricks";"2023";"BONGO JOE";1714870452;1714870556;"https://open.spotify.com/track/6hnlFfEnuZHV7rHggpBy82";"https://www.deezer.com/track/2249545947";;
"Talk Talk";"The colour of spring";"Life's what you make it";"1986";"EMI";1714870554;1714870792;;;;
"Mikahl Anthony";"Vintage collection/Amends";"Vintage collection";"2024";"R & S RECORDS";1714870804;1714870981;"https://open.spotify.com/track/2XAGvtC8hjvtOeCQjPogW8";;"https://music.apple.com/fr/album/vintage-collection/1732232957?i=1732232969&uo=4";
"Reyna Tropical";"Malegría";"Conocerla";"2024";"PSYCHIC HOTLINE";1714870981;1714871214;"https://open.spotify.com/track/12MvkGPRCZQO4sXpfkx0a1";;;
"Apifera";"Overstand";"Four green yellows";"2020";"STONES THROW";1714871204;1714871387;"https://open.spotify.com/track/2Ef6GxuPzjP0qCPXdbXCBX";;;
"Caravan";"If i could do it all over again i'd do it all over you";"Hello hello";"1971";"MANTRA";1714871369;1714871587;;;;
"Todd Rundgren";"The Virgin suicides";"Hello it's me";"1972";"EMPEROR NORT";1714871588;1714871848;"https://open.spotify.com/track/3gHFKiDanj4d2rqgHlRFFc";;;
"Norah Jones";"Little broken hearts";"Say goodbye";"2012";"BLUE NOTE RECORDS";1714871847;1714872054;"https://open.spotify.com/track/42LiXH0szsrH0JXFXkyuD9";;;
"Ensemble Parallele";"Lou Harrison : oeuvres de 1939 à 2000";"Marriage at the Eiffel tower : Ouverture - pour 2 recitants et septuor";"2003";"MODE";1714872049;1714872173;;;;
