"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Menahan Street Band";"The exciting sounds of Menahan Street Band";"Stepping through shadow";"2021";"DAPTONE RECORDS";1736503121;1736503239;"https://open.spotify.com/track/0NMa3EUqFbctY9bN8JFEkW";;
"Barth";"Like cavemen do";"Rococo";"2025";"CAVEMEN SONGS";1736503235;1736503433;"https://open.spotify.com/track/2k6esogPp6cpiSvsJHmuVk";"https://music.apple.com/fr/album/rococo/1780974784?i=1780976141&uo=4";"https://www.deezer.com/track/3103966391"
"Why?";"Mumps ETC";"Jonathan's hope";"2012";"CITY SLANG";1736503430;1736503626;"https://open.spotify.com/track/4scwvQX2lPJErejWBEnq6t";"https://music.apple.com/fr/album/jonathans-hope/1019982809?i=1019984202&uo=4";
"Noga Erez";"Vandalist";"Vandalist";"2024";"ATLANTIC RECORDS - NEON GOLD";1736503626;1736503833;"https://open.spotify.com/track/7frL0reYXdXnHtWDQiRyWT";;"https://www.deezer.com/track/2961066021"
"Charlotte Adigery & Bolis Pupul";"Topical dancer";"Ceci n'est pas un cliché";"2022";"DEEWEE";1736503833;1736504056;;;
"Okvsho";"A place between us";"""""Okusho""""";"2024";"CURRENT MOVES";1736504056;1736504267;;;
"Alice Coltrane";"Transcendence";"Sivaya";"1976";"WARNER BROS";1736504266;1736504554;;;"https://www.deezer.com/track/740046"
"Jimi Hendrix";"Axis : Bold as love";"One rainy wish";"1967";"POLYDOR";1736504552;1736504772;"https://open.spotify.com/track/5Zyv0v4rPcrXjkaeImuodv";;
"Kourosh Yaghmaei";"Back from the brink";"Mosafere shar baran";"1975";"NOW AGAIN";1736504769;1736505127;;;"https://www.deezer.com/track/13509437"
"Joe Cocker";"The ultimate collection 1968-2003";"With a little help from my friends";"1968";"REMARK";1736505123;1736505430;;;"https://www.deezer.com/track/548862472"
"Andrea Laszlo De Simone";"Immensità";"Immensità";"2020";"EKLER O SHOCK";1736505424;1736505622;"https://open.spotify.com/track/4NvoIMq8DkHSHxP5CLAj1Q";;"https://www.deezer.com/track/849890512"
"Academy Of Saint Martin In The Field";"Joseph Haydn : Symphonies";"Symphonie en Sol Maj HOB I : 8 Le soir : IV Presto La tempesta";"";"PHILIPS";1736505619;1736505836;;;
"Louis-Jean Cormier";"Les grandes arteres";"Si Tu Reviens";"2015";"SIMONE RECORDS";1736505833;1736506036;"https://open.spotify.com/track/0Ltx8DMblSVtQXPFekEqYO";"https://music.apple.com/fr/album/si-tu-reviens/1566215899?i=1566227166&uo=4";"https://www.deezer.com/track/2027853997"
"Margo Price";"Like someone I know : A celebration of Margo Guryan";"California shake";"2024";"SUB POP RECORDS";1736506035;1736506250;"https://open.spotify.com/track/1GEkjewOUHZST2LHvvX1Q1";"https://music.apple.com/fr/album/california-shake/1754422482?i=1754422767&uo=4";"https://www.deezer.com/track/2867231042"
"Eddie Hazel";"Game dames and guitar thangs";"California dreamin'";"1977";"COLLECTORS CHOICE MUSIC";1736506248;1736506619;"https://open.spotify.com/track/7E5p9vyjnx7C90DU8Jv1PI";"https://music.apple.com/fr/album/california-dreamin/257209718?i=257209743&uo=4";"https://www.deezer.com/track/3862896"
"Quincy Jones";"Body heat";"Body heat";"1974";"A&M RECORDS";1736506618;1736506855;"https://open.spotify.com/track/0OLOcKHN4uXRo5ISx2TAqk";;"https://www.deezer.com/track/130414068"
"Charles Williams";"Inner peace";"Iron jaws";"1972";"WEWANTSOUNDS / MAINSTREAM";1736506853;1736507256;"https://open.spotify.com/track/40hA8Bo8nyR1ySsnVM3vsG";;"https://www.deezer.com/track/366879981"
"Roy Hargrove Rh Factor";"Hard groove";"Juicy";"2003";"VERVE";1736507255;1736507649;;;
"Enchantee Julia";"Onze";"Ballade";"2024";"ROCHE MUSIQUE";1736507648;1736507823;"https://open.spotify.com/track/4nPgOP4KAKil4N5zaww2kY";"https://music.apple.com/fr/album/ballade/1772666389?i=1772666407&uo=4";"https://www.deezer.com/track/3034059861"
"Cibelle";"Cibelle";"Deixa";"2004";"CRAMNED";1736507823;1736508141;;;"https://www.deezer.com/track/588538862"
"Asta Hiroki";"Never lose an opportunity";"Never lose an opportunity";"2023";"FOLDED MUSIC";1736508138;1736508299;"https://open.spotify.com/track/6B24KtMxOuFqQkOmPWK76k";"https://music.apple.com/fr/album/never-lose-an-opportunity/1784484142?i=1784484148&uo=4";"https://www.deezer.com/track/3151826401"
"Emmi Iida";"The eye";"Blooming";"2024";"TUM RECORDS OY";1736508298;1736508513;"https://open.spotify.com/track/0QDzSRK3pMOuFP6On9IUOd";;"https://www.deezer.com/track/2447271085"
"Kendrick Lamar";"GNX";"Dodger blue (feat. Wallie the Sensei, Roddy Ricch & Siete7x)";"2024";"PGLANG - TOP DAWG ENTERTAINMENT - AFTERMATH - INTERSCOPE RECORDS";1736508512;1736508643;;;
"Malik Djoudi";"Vivant";"Viens on prend le temps";"2024";"CINQ 7";1736508642;1736508817;"https://open.spotify.com/track/1McFw4SZeUo48Kpwwb3HSm";"https://music.apple.com/fr/album/viens-on-prend-le-temps/1744390301?i=1744391059&uo=4";"https://www.deezer.com/track/2779552961"
"Dar Disku";"Dar Disku";"Ya Nas";"2024";"SOUNDWAY RECORDS";1736508816;1736509117;"https://open.spotify.com/track/3XCYQV3sO1JG5Ke21PI6IR";"https://music.apple.com/fr/album/ya-nas/1750758843?i=1750759125&uo=4";"https://www.deezer.com/track/2835658442"
"Intombi Zephepha";"Next stop...Soweto : Township sounds from the golden age of mbaqanga / Volume 1";"Ingoina le nyathi";"1974";"STRUT";1736509116;1736509270;;;"https://www.deezer.com/track/12316921"
"Talking Heads";"More songs about buildings and food";"The good thing";"1978";"SIRE";1736509268;1736509452;"https://open.spotify.com/track/0DO7AUeYAx9oUG7gyrbdTD";"https://music.apple.com/fr/album/the-good-thing/124919592?i=124918548&uo=4";"https://www.deezer.com/track/77386182"
"Jaco Pastorius";"The essential Jaco Pastorius";"Bright size life";"1975";"LEGACY";1736509450;1736509732;;;
"Emma-Jean Thackray";"Yellow";"Golden green";"2021";"MOVEMENTT";1736509730;1736509973;;"https://music.apple.com/fr/album/golden-green/1556894279?i=1556894652&uo=4";"https://www.deezer.com/track/1438272332"
"Flora Hibberd";"Swirl";"Code";"2025";"22TWENTY / REDEYE";1736509971;1736510160;"https://open.spotify.com/track/7atuVD740fqMJcmX3F5isG";;"https://www.deezer.com/track/2835777252"
"The Frightnrs";"Always";"Maybe isle";"2022";"DAPTONE RECORDS";1736510156;1736510392;"https://open.spotify.com/track/18J1bM4EQgj3WwE9VjWdr2";;"https://www.deezer.com/track/1694256227"
"Monster Rally";"Adventures on the Floating Island";"Ginger on the Wind";"2019";"GOLD ROBOT RECORDS";1736510392;1736510520;"https://open.spotify.com/track/72K0X7LnHl9QGXaq1OlnoZ";;
"De La Soul";"De la soul is dead";"Oodles of o's";"1991";"TOMMY BOY";1736510516;1736510727;"https://open.spotify.com/track/5osR0iuDUu5iFGYW8cbRgQ";;"https://www.deezer.com/track/2104713897"
"Tom Waits";"Asylum years";"Diamonds on my windshield";"1974";"ELEKTRA";1736510727;1736510914;"https://open.spotify.com/track/2MGl1N5KfEto51TT7bYq6y";;
"Stacey Kent";"I know I dream";"Les amours perdues";"2017";"OKEH";1736510909;1736511165;"https://open.spotify.com/track/7wFvCMPIKEzK0YO4E26hpX";"https://music.apple.com/fr/album/les-amours-perdues/1641546376?i=1641546670&uo=4";"https://www.deezer.com/track/1881099947"
"Barbara Bonney";"Barbara Bonney : The operetta album / Im Chambre Séparée";"Der Opernball op 40 : Geh'n wir in's Chambre séparée (Acte II) Air d'Hortense";"2003";"DECCA";1736511161;1736511315;;;
"Alexandre Desplat";"BOF / The grand Budapest hotel";"Mr. Moustafa";"2014";"ABKCO RECORDS";1736511313;1736511496;"https://open.spotify.com/track/1uNhvxpkPrNHUNfeclo6xD";"https://music.apple.com/fr/album/mr-moustafa/1440789547?i=1440790036&uo=4";"https://www.deezer.com/track/74929085"
"Harry Belafonte";"The greatest hits of";"Hava nageela";"1972";"BMG (DISTR)";1736511495;1736511687;;;"https://www.deezer.com/track/13167061"
"Satellites";"Satellites";"Olurmu dersin (feat. Vicki Ashkenazi)";"2022";"BATOV RECORDS";1736511686;1736511907;;;
"Lava La Rue";"Starface";"Humanity";"2024";"DIRTY HIT";1736511906;1736512106;"https://open.spotify.com/track/582wDszLo3ASfJVxMRQr93";"https://music.apple.com/fr/album/humanity/1727358048?i=1727358879&uo=4";"https://www.deezer.com/track/2709947522"
"Limousine";"Hula hoop";"Foi assim (feat Lucas Santtana)";"2023";"EKLER'O'SHOCK RECORDS";1736512107;1736512335;;;
"Joao Donato";"Quem é quem";"Me deixa";"1973";"EMI MUSIC BRASIL";1736512332;1736512469;"https://open.spotify.com/track/40zF8gX2Bvk2PbiMkwgHq7";;"https://www.deezer.com/track/424087782"
"Gil Scott Heron";"Winter in America";"The bottle";"1974";"RUMAL GIA";1736512467;1736512791;;"https://music.apple.com/fr/album/the-bottle/1487399770?i=1487399783&uo=4";
"30/70 Collective";"Elevate";"Slangin";"2017";"RYTHM SECTION INTERNATIONAL";1736512780;1736513044;;;
"Vaudou Game";"Fintou";"Ça ira";"2024";"HOT CASA RECORDS";1736513042;1736513272;;;
"Skinshape";"Nostalgia";"Fish & chips";"2022";"LEWIS RECORDINGS";1736513271;1736513493;"https://open.spotify.com/track/0xrZieomO7W6q7WLRcK9P0";;
"Chicago";"Greatest hits";"Wishing you were here";"1975";"CBS";1736513490;1736513762;"https://open.spotify.com/track/5hxPho3IcyDVhzzwfQ47Xz";"https://music.apple.com/fr/album/wishing-you-were-here/1757836247?i=1757836931&uo=4";"https://www.deezer.com/track/4598038"
"Happy End";"Nippon acid folk 1970-1980";"Kaze wo atsumete";"1971";"TIME CAPSULE";1736513760;1736514004;;;"https://www.deezer.com/track/2173457437"
"Haruomi Hosono & Mac DeMarco";"Boku wa chotto";"Boku wa chotto";"2024";"STONES THROW RECORDS";1736514000;1736514168;;;
"Bibio";"Sleep on the wing";"Watching thus, the heron is all pool";"2020";"WARP RECORDS";1736514167;1736514329;"https://open.spotify.com/track/5zbbLuAj4Yu2Sin2hQF4rg";"https://music.apple.com/fr/album/watching-thus-the-heron-is-all-pool/1503167974?i=1503168074&uo=4";"https://www.deezer.com/track/988611472"
"Consort Ghislier";"Baldassare Galuppi : Musique sacrée";"Gloria : Qui tollis peccata mundi - pour solistes choeur mixte et orchestre";"2012";"SONY";1736514327;1736514498;;;
"39 Femmes";"Debout les femmes (39 Femmes)";"Debout les femmes (39 Femmes)";"2018";"OULOU RECORDS";1736514497;1736514698;;"https://music.apple.com/fr/album/debout-les-femmes-39-femmes/1443573355?i=1443573368&uo=4";
"Aretha Franklin";"20 greatest hits";"Day dreaming";"1972";"ATLANTIC";1736514695;1736514926;"https://open.spotify.com/track/7L4G39PVgMfaeHRyi1ML7y";"https://music.apple.com/fr/album/day-dreaming/266602438?i=266606825&uo=4";"https://www.deezer.com/track/904815"
"Lady Wray";"Piece of me";"Storms";"2022";"BIG CROWN RECORDS";1736514921;1736515109;"https://open.spotify.com/track/739uXJRqO5Hezjw4YlyqQ4";;
"Kiefer";"It’s ok, bu";"Falling";"2023";"STONES THROW RECORDS";1736515108;1736515241;"https://open.spotify.com/track/1otQ3PtVxk9rueqxzQb2ar";"https://music.apple.com/fr/album/falling/1698878541?i=1698878565&uo=4";"https://www.deezer.com/track/2379756605"
"Lucy Reed";"This is Lucy Reed/Complete recordings 1950-1957";"There's a boat dat's leavin' soon for new york";"1957";"FRESH SOUND RECORDS";1736515240;1736515388;;;"https://www.deezer.com/track/963078802"
"The Big Three Trio";"Africa in America / Rock, jazz & calypso / 1920-1962";"Signifying monkey (the jungle king)";"1957";"FREMEAUX ET ASSOCIES";1736515387;1736515559;;;
"Glen Washington";"This is Trojan roots";"Rockers nuh crackers";"1976";"TROJAN RECORDS";1736515559;1736515711;;;"https://www.deezer.com/track/511181262"
"Love Wonderland";"The best twilights of love wonderland";"Raspberry sun";"2024";"CAMISOLE RECORDS";1736515710;1736516004;;;
