"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Caroline Polachek";"Pang";"So hot you're hurting my feelings";2019;"PERPETUAL NOVICE";1708682232;1708682416;"https://open.spotify.com/track/5B6Kjha6RRIMWGN7zGsAaT";;
"Bibio";"BIB10";"Off goes the light";2022;"WARP";1708682415;1708682677;"https://open.spotify.com/track/2jXZYoIEspEBQzRQuJp0hf";;
"Prince";"Prince the Hits 1";"When you were mine";1980;"PAISLEY PARK";1708682674;1708682899;"https://open.spotify.com/track/2oG4drPUGpzlVtyLabHJPl";"https://www.deezer.com/track/690068";
"Etienne Daho";"Daho singles";"Epaule tattoo";1986;"VIRGIN";1708682895;1708683158;;;
"Sylvain Daniel";"Palimpseste : Voyage imaginaire dans les ruines de Detroit";"Vanity ballroom";2018;"ONJ RECORDS";1708683154;1708683397;"https://open.spotify.com/track/0nWYRnuWoIgYF60HNjS6Os";;
"George Darko";"Borga revolution ! Ghanaian music in the digital age, 1983 - 1992 (volume 1)";"Obi Abayewa";1986;"KALITA RECORDS";1708683395;1708683738;;;
"Cotonete";"Victoire de la musique";"What did you run for (feat Omar)";2024;"Heavenly Sweetness";1708683736;1708684148;;;
"Oscar Peterson";"Exclusively for my friends";"Girl talk : On a clear day";1968;"MPS RECORDS";1708684147;1708684408;;;
"The Beatles";"The Beatles";"Martha my dear";1968;"EMI";1708684403;1708684551;;;
"Nathalie Stutzmann (Chef d'orchestre)";"Prima donna / Nathalie Stutzmann dirige et interprète Antonio Vivaldi";"Giustino RV 737 : Sento in seno ch'in pioggia di lagrime (Acte II Sc 1) Air d'Anastasio";2011;"DGG (DEUTSCHE GRAMMOPHON)";1708684550;1708684812;;;
"Bof / In The Mood For Love";"Bof / In the mood for love";"Angkor wat 2";2000;"VIRGIN";1708684805;1708684928;;;
"Arlindo Cruz";"Sambista perfeito";"Meu lugar";2007;"DECKDISC";1708684928;1708685217;"https://open.spotify.com/track/52NFgCjGw7oZKIBABYKLPG";;"https://music.apple.com/fr/album/meu-lugar/977416254?i=977416931&uo=4"
"Savarah";"Talk ! Talk ! Talk !";"Maryse";2022;"PAZAPAS RECORDS";1708685215;1708685413;"https://open.spotify.com/track/6gyGGUzWRKKujGRjbuhLAC";;
"Chastity Belt";"Live laugh love";"Hollow";2024;"SUICIDE SQUEEZE RECORDS";1708685410;1708685647;"https://open.spotify.com/track/0oueeh5nmY50gg5bW7sr4K";;
"Lee Fields & The Expressions";"It rains love";"Wake up (instrumental)";2019;"BIG CROWN RECORDS / DIFFER- ANT";1708685641;1708685865;"https://open.spotify.com/track/06nZzVngt7ruEjpqvhtagu";;
"Bahamadia";"Kollage";"I confess";1996;"CHRYSALIS";1708685863;1708686105;"https://open.spotify.com/track/3Cmel92VSiZQiOmZzENWUb";"https://www.deezer.com/track/3389678";
"Sade";"Lovers Rock";"By your side";2000;"EPIC";1708686104;1708686376;"https://open.spotify.com/track/7H3ojI1BsVy0dEJENqMt1k";;"https://music.apple.com/fr/album/by-your-side/193532145?i=193532153&uo=4"
"Charles Stepney";"Step on step";"No credit for this";2022;"INTERNATIONAL ANTHEM RECORDING CO.";1708686373;1708686582;"https://open.spotify.com/track/3krt4GZTB7cdaUIkxXjqYO";"https://www.deezer.com/track/1754658707";
"Aquaserge";"C’est extra : 13 reprises de Léo Férré";"Si tu t'en vas";2018;"LA SOUTERRAINE / LA MEMOIRE ET LA MER";1708686581;1708686824;"https://open.spotify.com/track/69urYD53DXalL6tYAj9w0K";;
"Omara Portuondo";"Divas latinas";"Mucho corazon";2011;"RUE STENDAHA";1708686823;1708687034;;"https://www.deezer.com/track/124641358";
"Vladimir Cosma";"Un éléphant ça trompe enormement   / Nous irons tous au paradis";"Etienne et Charlotte";1976;"POMME MUSIC";1708687034;1708687156;"https://open.spotify.com/track/5KNfaeivyx7dlHP6SQq30m";;
"Neil Young & Crazy Horse";"Barn";"Tumblin' thru the years";2021;"REPRISE RECORDS";1708687156;1708687353;;;
