"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer";"youtube"
"Norah Jones";"Visions";"Paradise";"2024";"BLUE NOTE";1714903017;1714903221;"https://music.apple.com/fr/album/paradise/1725041334?i=1725041508&uo=4";"https://open.spotify.com/track/3pBncKks8ZvP64uXIPms7Q";;
"Peter Harvey";"Ludwig van beethoven : Airs populaires irlandais gallois et écossais";"The kiss dear maid thy lip has left woo 153 n°9 - pour baryton violon violoncelle et piano";"2001";"ASTREE";1714903218;1714903414;;;;
"John Williams";"BOF / The Fabelmans";"The Fabelmans : The Fabelmans";"2023";"SONY";1714903413;1714903544;;;;
"Cleo Sol";"Mother";"Don't let me fall";"2021";"FOREVER LIVING ORIGINALS";1714903541;1714903881;;"https://open.spotify.com/track/0M8JJ42kXmyhSAZlzwWMP3";;
"Marc-Antoine Perrio";"Escapist (heal, till you live forever)";"Mon cœur (feat. Élise Preys)";"2023";"ORFEVRE (ACQUISITION)";1714903787;1714903999;"https://music.apple.com/fr/album/mon-c%C5%93ur-feat-%C3%A9lise-preys/1713172538?i=1713172545&uo=4";;;
"Joni Mitchell";"Both sides now";"Sometimes I'm happy";"2000";"REPRISE";1714903995;1714904233;;"https://open.spotify.com/track/3DQyoj29oW1pSG4HlnB1Jt";;
"Mulatu Astatke";"Ethiopie/Very best of Ethiopiques";"Yèkèmo sèw";"1974";"UNION SQUARE";1714904232;1714904483;;;;
"Dr. John";"Locked down";"Revolution";"2012";"NONESUCH";1714904483;1714904688;;"https://open.spotify.com/track/4TGXJ20QXg31PuRIn66XG7";;
"Hollie Cook";"Hollie Cook";"That very night";"2011";"MR BONGO REC";1714904687;1714904883;;"https://open.spotify.com/track/5mcXPIbGy9KzB97lr4VSk3";;
"Khruangbin";"A la sala";"A love international";"2024";"DEAD OCEANS";1714904879;1714905129;"https://music.apple.com/fr/album/a-love-international/1721004325?i=1721004575&uo=4";"https://open.spotify.com/track/3Bbb7sfVmXbJnuy75MidP3";"https://www.deezer.com/track/2582523612";
"Robson Jorge";"Robson Jorge e Lincoln Olivetti";"Eva";"1982";"SOM LIVRE";1714905126;1714905467;;"https://open.spotify.com/track/06WWnCfoJveGUvYQWK7nGf";"https://www.deezer.com/track/85336294";
"BO/LOLITA";"Bof / Lolita";"A LOVELY LYRICAL LILTING NAME";"1962";"TURNER CLASSIC MOVIES MUSIC";1714905207;1714905208;;;;"https://www.youtube.com/watch?v=b4VaLhpqLXI"
"L Imperatrice";"Chill-sur-mer";"Agitations tropicales";"2017";"KURONEKO";1714905464;1714905709;;;;
"Daft Punk";"Discovery";"Face to face";"2001";"";1714905700;1714905938;;"https://open.spotify.com/track/7v9Q0dAb9t7h8gJOkcJHay";;
"Chocho Cannelle";"Libre à l'intérieur";"Ne feypal mwan";"2022";"AUTOPRODUCTION";1714905937;1714906270;;"https://open.spotify.com/track/0vqhlnGPKDEWG6FXP5FOBu";;
"Beth Orton";"Forever young";"Forever young";"2022";"PARTISAN RECORDS";1714906060;1714906400;;"https://open.spotify.com/track/7FhIr2Kl6Spc2Vrdg0Rsfm";"https://www.deezer.com/track/1750736047";
"Beth Gibbons";"Reaching Out";"Reaching out";"2024";"DOMINO RECORDING COMPANY";1714906396;1714906647;;"https://open.spotify.com/track/2GSMDvRIBADQEl2DS8XqPs";;
"Blick Bassy";"Akö";"One love";"2015";"NO FORMAT";1714906647;1714906814;"https://music.apple.com/fr/album/one-love/1167361231?i=1167361665&uo=4";"https://open.spotify.com/track/3pQXqbf9ipSwj3M4peepqH";;
"Rictus";"Kiosque d'Orphée : Une épopée de l'autoproduction en France (1973/1991)";"Flashes";"1981";"BORN BAD RECORDS";1714906814;1714906948;;;;
"Patti Smith";"Horses";"Redondo beach";"1975";"ARISTA";1714906946;1714907147;;"https://open.spotify.com/track/6zCBk93V8M7fPriZj9i4dd";;
"Sister Nancy";"Dub landing / Vol. 2";"Can't test";"1982";"GREENSLEEVES / VP";1714907145;1714907327;;;"https://www.deezer.com/track/489563132";
"Baby Rose";"Through and through";"Paranoid";"2023";"SECRETLY CANADIAN";1714907326;1714907534;;"https://open.spotify.com/track/2Nyc38cDaqqimliqVkk1hL";;
"Francoiz Breut";"Vif !";"Wudu-elfen";"2024";"62 RECORDS / PIAS";1714907534;1714907783;;;;
