"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"L Imperatrice";"L'impératrice EP";"L'impératrice";2013;"CRACKI";1711446998;1711447299;;;
"Sababa 5 & Shiran Tzfira";"Middle eastern grooves";"Manginat mahapeha (feat. Matan Caspi)";2023;"BATOV RECORDS";1711447208;1711447399;;;
"Shay Hazan";"Wusul";"Dew";2024;"BATOV RECORDS";1711447393;1711447587;"https://open.spotify.com/track/6M9Ee26UhnPnjZhwo7POCU";;
"Sinkane";"Mean Love";"Young Trouble";2014;"CITY SLANG";1711447580;1711447801;"https://open.spotify.com/track/3a31EdyZbVMSh7XQVDJp0H";;
"Joe Yorke";"Hopeless";"Man";2023;"RHYTHM STEADY";1711447790;1711447992;"https://open.spotify.com/track/5Wrg6EKleHjSrmjih5AjeF";;
"Brandee Younger";"Brand new life";"Dust (feat. Meshell N'degeocello)";2023;"DECCA RECORDS";1711447986;1711448259;;;
"Alice Coltrane";"Transcendence";"Vrindavana Sanchara";1976;"WARNER BROS";1711448248;1711448483;;;
"The Beatles";"Past masters vol.2";"The inner light";1968;"EMI";1711448476;1711448634;;;
"Titi Robin";"Rakhi";"Reggae rajasthani";2002;"NAIVE";1711448626;1711448830;"https://open.spotify.com/track/3rHXrUs4CjuObyfykkmDjr";;
"Patrice";"Lions";"Lions";1998;"YO MAMA RECORDS";1711448823;1711449022;;;
"Mocke";"Sandwich mostla Jojo tape";"Hank Williams s'adresse à la nation";2014;"ALMOST MUSIC";1711449016;1711449131;;;
"Dolly Parton";"Country soul sisters / Vol. 2";"The bargain store";1975;"SOUL JAZZ RECORDS";1711449125;1711449283;"https://open.spotify.com/track/2GEuNbl2Aan68tQeHn4ADi";;
"Lynyrd Skynyrd";"Nuthin' Fancy";"Cheatin' women";1975;"MCA RECORDS";1711449282;1711449561;;;
"Veronique Sanson";"Hollywood";"Les délices d'hollywood";1977;"WEA";1711449552;1711449800;;;
"Jeff Parker";"The new breed";"Get dressed";2015;"INTERNATIONAL ANTHEM RECORDING CO.";1711449793;1711450024;;"https://www.deezer.com/track/682760832";
"Joe Armon-Jones";"Turn to clear view";"Self love (feat. Obongjayar)";2019;"BROWNSWOOD RECORDINGS";1711450015;1711450388;;;
"Little Simz";"Drop 7";"I ain't feelin it";2024;"BOLD CUT / AWAL RECORDING";1711450382;1711450489;"https://open.spotify.com/track/0e0tBV3cm7RiTPzMCEegT1";"https://www.deezer.com/track/2624611122";
"Goldie B";"Omakase Colors Vol.2";"Bae";2024;"OMAKASE RECORDINGS";1711450489;1711450682;"https://open.spotify.com/track/5L77jr7nYhLI1OJUAA8Xm9";;
"Session Victim";"Low key, low pressure";"Porchless";2023;"NIGHT TIME STORIES";1711450678;1711450861;"https://open.spotify.com/track/6HqmcBnNNt29bU9AFLdW1G";;
"Oan Kim (Compositeur, Saxophone, Piano, Claviers, Voix)";"Rebirth of Innocence";"Bardo";2024;"ARTWORK RECORDS / PIAS";1711450855;1711451100;"https://open.spotify.com/track/1EXfa5RO1SK0WKusKbYXhG";"https://www.deezer.com/track/2630892782";
"Palatine";"Phantômaton";"Château lointaine";2023;"YOTANKA RECORDS";1711451099;1711451312;"https://open.spotify.com/track/1S7LHZgme9KOdSEZ2Ax30f";"https://www.deezer.com/track/2034557827";
"Charles Bradley";"Changes";"Changes";2016;"DUNHAM / DAPTONE RECORDS";1711451304;1711451645;"https://open.spotify.com/track/3HC6U39266ytr7fMW9M2Mz";;
"Tony Allen";"Jazz is dead / Vol. 18";"Lagos";2023;"JAZZ IS DEAD";1711451639;1711451824;"https://open.spotify.com/track/2dGWdZC0ZT6R0zhBCLPvNA";;
"Fela Kuti & The Nigeria 70";"Koola Lobitos / The '69 L.A. Sessions";"My lady frustration";1969;"WRASSE RECORD LIMITED";1711451818;1711452236;;;
"Betty Davis";"Betty Davis (Deluxe)";"You won't see me in the morning (previously unreleased bonus track, 1974)";1973;"LIGHT IN THE ATTIC RECORDS & DISTRIBUTION";1711452236;1711452462;;"https://www.deezer.com/track/14013332";
"Dag";"Righteous";"Do me good";1994;"COLUMBIA";1711452460;1711452715;"https://open.spotify.com/track/15CJ7K8DOJeFJOESelgFPe";;
