"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify";"youtube"
"The Polyphonic Spree";"Salvage Enterprise";"Section 50 (open the shores)";"2023";"GOOD RECORDS RECORDINGS";1719950133;1719950401;"https://music.apple.com/fr/album/section-50-open-the-shores/1705065928?i=1705066451&uo=4";"https://www.deezer.com/track/2432831405";"https://open.spotify.com/track/3ipUaNV2axpur6ujd41Hqt";
"Sameer Ahmad";"La vie est bien faite";"Spud Webb";"2024";"BAD COP BAD COP / IHH RECORDS";1719950400;1719950602;"https://music.apple.com/fr/album/spud-webb/1728095840?i=1728095843&uo=4";"https://www.deezer.com/track/2640241772";"https://open.spotify.com/track/0tb71GIaZQBwbYJWd5h3i7";
"The Internet";"Hive mind";"La di da";"2018";"COLUMBIA";1719950601;1719950805;"https://music.apple.com/fr/album/la-di-da/1388571796?i=1388572543&uo=4";"https://www.deezer.com/track/527810401";"https://open.spotify.com/track/5IIq5uEYpUZoSjTEjqn7q1";
"Human League";"Dare!";"Don't you want me";"1981";"VIRGIN";1719950799;1719951035;;;;
"Hot Chip";"Down";"Down";"2022";"DOMINO RECORDING";1719951030;1719951262;"https://music.apple.com/fr/album/down/1616897606?i=1616897608&uo=4";"https://www.deezer.com/track/1703373167";"https://open.spotify.com/track/5n66WAmKxZjwSGW0PuWTQZ";
"Alan Tew";"A movie for daddy";"The detectives (serie tv anglaise """"The two Ronnies"""")";"1972";"Blue Note";1719951259;1719951351;;;;
"Leonie Pernet";"Le Cirque de Consolation";"Il pleut des hommes";"2021";"CRYBABY / INFINE";1719951349;1719951570;"https://music.apple.com/fr/album/il-pleut-des-hommes/1588780099?i=1588781437&uo=4";"https://www.deezer.com/track/1512069432";"https://open.spotify.com/track/5Jc9fVjznPzveftbuKjc3R";
"Jeanne Added";"Jeanne Added (ep)";"It";"2014";"NAIVE";1719951565;1719951739;;"https://www.deezer.com/track/98673094";;
"Smoke City";"Aguas de marco - joga bossa";"Joga bossa (lp version)";"1997";"VIRGIN";1719951746;1719951945;;;;
"Lalo Schifrin";"Piano, strings and bossa nova";"Lalo's bossa nova";"1963";"VERVE/MGM";1719951944;1719952077;;"https://www.deezer.com/track/876478";;
"Asha Puthli";"The essentials Asha Puthli";"Sound of silence";"1968";"MR BONGO";1719952076;1719952267;;"https://www.deezer.com/track/1718783157";;
"Francoise Hardy & Air";"Messages personnels";"Jeanne (duo avec air)";"1998";"SONY";1719952264;1719952525;;;;
"Tony Allen";"Jazz is dead / Vol. 18";"Ebun";"2023";"JAZZ IS DEAD";1719952523;1719952860;;;"https://open.spotify.com/track/4kKtKDazkdvPO0aM2CjT6B";
"Funkdoobiest";"Brothas doobie";"Lost In Thought";"1995";"EPIC";1719952858;1719953070;"https://music.apple.com/fr/album/lost-in-thought/193219321?i=193219408&uo=4";;"https://open.spotify.com/track/0VOhoc5CtyjYLcCWy1Ds1t";
"El Michels Affair";"Return to the 37th chamber";"Tearz (feat. Lee Fields & The Shacks)";"2017";"BIG CROWN RECORDS";1719953071;1719953222;;;;
"Mac Demarco";"My old man";"My old man";"2017";"CAPTURED TRACKS";1719953214;1719953436;"https://music.apple.com/fr/album/my-old-man/1198763583?i=1198763618&uo=4";;"https://open.spotify.com/track/4ewRM5SP4YhmlfKhi5uSjS";
"Happy End";"Nippon acid folk 1970-1980";"Kaze wo atsumete";"1971";"TIME CAPSULE";1719953436;1719953675;;;;
"The Durutti Column";"Time Was Gigantic....... When We Were Kids";"Pigeon";"1999";"LONDON MUSIC STREAM - BECAUSE MUSIC";1719953674;1719953867;;"https://www.deezer.com/track/437554122";;
"The Zombies";"The EP collection";"You make me feel good";"1964";"SEE FOR MILES RECORDS";1719953863;1719954024;;;;
"The La's";"The La's";"Feelin'";"1990";"GO DISCS";1719954019;1719954121;"https://music.apple.com/fr/album/feelin/1443735619?i=1443735883&uo=4";;"https://open.spotify.com/track/5uusrkeD1zo0ypPw0nnwlU";
"Twit One";"Teenwolf";"Nesia";"2023";"MUTOMBO RECORDS";1719954141;1719954297;;;"https://open.spotify.com/track/5Lo46dhYuTwCDJJE4YQTeh";
"The Emotions";"Flowers (Bonus Track Version)";"Flowers";"1976";"LEGACY RECORDINGS";1719954293;1719954562;;"https://www.deezer.com/track/78390484";"https://open.spotify.com/track/7BngbNGLogotcTM0PSvnYB";
"Gystere";"A little story";"Seas - Fields - The End";"2020";"SODASOUND";1719954549;1719954745;;;;
"Metronomy";"Love letters";"Love letters";"2014";"BECAUSE";1719954744;1719955052;;;"https://open.spotify.com/track/6bW7mUdEV4jWxmdxcj8X3k";
"Bloom Bat";"Honeist weirdo";"Odd friends";"2024";"AUTOPRODUCTION";1719955052;1719955208;;"https://www.deezer.com/track/2608379672";"https://open.spotify.com/track/4MWJzo57x1QoGCJOjfVfYS";
"Jimmy Cliff";"The story of Trojan records : 25 big ones - UK hits / CD1";"Wonderful world beautiful people";"1969";"TROJAN RECORDS";1719955206;1719955396;;;;
"Tanika Charles";"Papillon de nuit";"Rent free";"2022";"RECORD KICKS";1719955392;1719955527;;;"https://open.spotify.com/track/5M8KqQxnT6Sl2AdsMlRM37";
"Gretchen Parlato & Lionel Loueke";"Lean in";"If I Knew (featuring Burniss Travis & Mark Guiliana)";"2023";"EDITION RECORD";1719955526;1719955789;;;;
"Oan Kim";"Oan Kim & the dirty jazz";"Caravane mélancolique";"2023";"ARTWORK RECORDS";1719955791;1719955973;;;"https://open.spotify.com/track/6o9vTVl7WSRl2uAgLL52Dh";
"Ornette";"Crazy";"Phone call";"2012";"DISCO";1719955968;1719956150;;"https://www.deezer.com/track/63100138";"https://open.spotify.com/track/4XI2dA7HuQKgkff78n7Yc7";
"Lea Lu";"I call you";"Horses (feat. Daniela Sarda)";"2021";"LL RECORDS";1719956148;1719956333;;;;
"Leyla McCalla";"The capitalist blues";"Me and my baby";"2019";"JAZZ VILLAGE / PIAS";1719956335;1719956464;;;"https://open.spotify.com/track/5EzFTrdR1x39RVPY1Jqu5F";
"Tielman Susato (Compositeur)";"I wanna be like you";"Danserye : 1. Dont vient cela - arrangement pour piano";"2024";"LA DOLCE VOLTA";1719956460;1719956577;;;;
"Juliette Greco";"Jolie môme 1959-1963";"Les amours perdues";"1959";"PHIL";1719956572;1719956734;;;;
"Dekker";"Slow reveal V1";"Becoming / Become me";"2020";"B DEKKER RECORDS";1719956732;1719956932;"https://music.apple.com/fr/album/becoming-become-me/1494118009?i=1494118010&uo=4";;"https://open.spotify.com/track/6XR3Gd4lXgOCGLZKrZYgco";
"Adam Green";"Gemstones";"Carolina";"2004";"ROUGH TRADE";1719956926;1719957096;;;;
"Cochemea";"Vol. 2 : Baca sewa";"Chito's song";"2021";"DAPTONE RECORDS";1719957094;1719957395;;;"https://open.spotify.com/track/4A61gZNrkkkHknRjtFESxr";
"Lena Horne & Gabor Szabo";"Lena Horne & Gabor Szabo";"Something";"1970";"CHERRY RED RECORDS";1719957394;1719957576;;;;
"Billie Eilish";"When we all fall asleep where do we go";"Goodbye";"2020";"DARKROOM";1719957576;1719957690;;;;
"Julian Lage";"Speak to me";"Omission";"2024";"BLUE NOTE";1719957698;1719957901;;;"https://open.spotify.com/track/4BNDJ8JLYVc5nkoaIeogna";
"Nick Drake";"Pink moon";"From the morning";"1972";"ISLAND";1719957897;1719958046;"https://music.apple.com/fr/album/from-the-morning/1440758653?i=1440758806&uo=4";;"https://open.spotify.com/track/6meH4I9A4WZtD3z8hnQKqr";
"Minnie Riperton";"Perfect angel / Adventures in paradise";"Lovin' you";"1974";"EMI";1719958039;1719958262;;"https://www.deezer.com/track/3126330";"https://open.spotify.com/track/3ebYtLVuV4HzEZUDcpZB9p";
"Lau Ro";"Cabana";"Onde eu vou";"2024";"FAR OUT RECORDS";1719958259;1719958519;;"https://www.deezer.com/track/2715456972";"https://open.spotify.com/track/1S7wj3hb4Zf7uEUUBPd5eF";
"The Durutti Column";"Circuses and bread";"Royal infirmary";"1986";"FACTORY RECORDS";1719958521;1719958778;;;"https://open.spotify.com/track/3fxM8WxEBG9ae6rc5g5kVp";
"The Alan Parsons Project";"The definitive collection";"I wouldn't want to be like you";"1977";"ARISTA";1719958775;1719958976;"https://music.apple.com/fr/album/i-wouldnt-want-to-be-like-you-backing-track-rough-mix/1730556580?i=1730556734&uo=4";;"https://open.spotify.com/track/4sCCZW0ezEPAexAidFsoVm";
"Prince Waly";"Moussa";"Cra$h (feat. Enchantée Julia &Jazzy Bazz)";"2022";"BOYZ";1719958975;1719959164;;;;
"Sophie Hunger";"Monday's ghost";"Walzer fûr Niemand";"2009";"UNIVERSAL";1719959159;1719959293;;;;
"Gonzales";"Solo piano";"Dot";"2004";"Nø Førmat";1719959298;1719959424;;;;
"Nina Simone";"Four women : The Nina Simone Philips Recordings";"Trouble in mind";"1965";"RCA/VICTOR";1719959422;1719959582;"https://music.apple.com/fr/album/trouble-in-mind/1445668394?i=1445668644&uo=4";;"https://open.spotify.com/track/1MBgXSmV94CZZT2dXyctBb";
"The Magnetic Fields";"50 Song memoir";"'67 Come back as a cockroach";"2017";"NONESUCH";1719959580;1719959732;;;;
"Emiliana Torrini";"Black Lion Lane";"Black Lion Lane";"2024";"GRONLAND RECORDS";1719959733;1719959927;"https://music.apple.com/fr/album/black-lion-lane/1741557202?i=1741557961&uo=4";"https://www.deezer.com/track/2753202391";"https://open.spotify.com/track/426U3qZoCTwoRv88aIuXim";
"Air";"The Virgin suicides";"Ce matin la";"1998";"VIRGIN";1719959923;1719960131;;;;
"Ralph Myerz And The Jack Herren Band";"A special album";"Nikita";"2003";"COUP FRANC";1719960125;1719960422;;;"https://open.spotify.com/track/6kqmU4qzcGERb6sqS6YLdR";
"Klara Kristin";"Lullaby & drum machine";"Ne dis rien";"2020";"KLARA KRISTIN MUSIC";1719960421;1719960660;"https://music.apple.com/fr/album/ne-dis-rien/1543413162?i=1543413767&uo=4";"https://www.deezer.com/track/1165976402";"https://open.spotify.com/track/69YCo0dS8bhwn4KpyQNyT3";
"Idris Muhammad";"Turn this mutha out";"Say what";"1977";"SOUL BROTHER RECORDS";1719960658;1719960893;"https://music.apple.com/fr/album/say-what/1183434429?i=1183434582&uo=4";;"https://open.spotify.com/track/0iSn4xw5kpFHDdW5UtCgLz";
"Oumou Sangare";"Oumou Sangaré Acoustic";"Bena Bena (Acoustic)";"2020";"NO FORMAT";1719960886;1719961155;;;;
"Adrianne Lenker";"Sadness as a gift";"Sadness as a gift";"2024";"4AD";1719961152;1719961403;;;"https://open.spotify.com/track/1UpXhetX1s5OXTY5fRjWvu";
"Paul Simon";"The Paul Simon - anthology";"Mother and child reunion";"1972";"WARNER";1719961402;1719961574;"https://music.apple.com/fr/album/mother-and-child-reunion/380625640?i=380625646&uo=4";"https://www.deezer.com/track/6581084";"https://open.spotify.com/track/5vZ1BKMSLgrxxPYGMR904n";
"Leon Phal";"Stress killer";"Vibing in ay";"2023";"HEAVENLY SWEETNESS";1719961588;1719961831;;;"https://open.spotify.com/track/3HIA9qP0VRXwGPu9JGhntM";
"Sir Was";"Let the morning come";"Before the morning comes";"2021";"MEMPHIS INDUSTRIES";1719961827;1719962037;;"https://www.deezer.com/track/1372995802";"https://open.spotify.com/track/7v7yFNjpXeg4gGeLcK3ejQ";
"Come Ranjard";"Intraterrestre";"La bete a des doutes";"2024";"VIETNAM";1719962031;1719962223;"https://music.apple.com/fr/album/la-b%C3%AAte-a-des-doutes/1743001073?i=1743001461&uo=4";;"https://open.spotify.com/track/3wpyFkAMuh5HJOXnK8u7n2";
"John Holt";"Smoking reggae";"Police in helicopter";"1982";"EMI";1719962219;1719962436;;;;
"Roxy Music";"B.O.F / Casino";"Love is the drug";"1975";"MCA";1719962435;1719962681;;;"https://open.spotify.com/track/3wtMkvedoWMQ3XTKv7tqcZ";
"Felbm";"Tape 3 / Tape 4";"Langeweile";"2020";"SOUNDWAY";1719962680;1719962825;"https://music.apple.com/fr/album/langeweile/1611774424?i=1611774849&uo=4";;"https://open.spotify.com/track/0lHVFQBjRbSPMDl7QRn9Nt";
"Arooj Aftab";"Night reign";"Whiskey";"2024";"VERVE";1719962821;1719963120;"https://music.apple.com/fr/album/whiskey/1739687886?i=1739688287&uo=4";;"https://open.spotify.com/track/0fwQ9azMBpJHQ8pzDl9I9i";
"Sade";"Stronger than pride";"Turn my back on you";"1988";"EPIC";1719963116;1719963472;;;"https://open.spotify.com/track/7aiN4fPcpFmZeF88SiVdpS";
"Orchestre De Paris";"Georges Bizet : Oeuvres orchestrales";"Petite suite : Trompette et tambour """"Marche"""" - pour orchestre / d'après """"Jeux d'enfants"""" op 22 pour 2 pianos / avec parties de timbales révisées";"2010";"VIRGIN CLASS";1719963472;1719963607;;;;
"Omara Portuondo";"Buena Vista Social Club presents Omara Portuondo";"Siempre en mi corazón";"2000";"WORLD CIRCUIT";1719963605;1719963827;;;"https://open.spotify.com/track/6dO6w6IEJKqB6B6SenedBr";
"Henri Salvador";"Chante Boris Vian";"Trompette d'occasion";"1958";"POLYDOR";1719963827;1719963981;;"https://www.deezer.com/track/10334037";;
"Sharon Jones";"100 days, 100 nights";"100 Days, 100 Nights";"2007";"TER A TERRE";1719963980;1719964205;;;;
"Eddy La Viny";"Club Meduse compiled by Charles Bals";"Havan' Hamac";"1985";"SPACETALK";1719964208;1719964426;;;;
"David Bowie";"Let's dance";"Modern love";"1983";"EMI";1719964423;1719964703;;;;
"Little Simz";"Grey area";"Selfish (feat. Cleo Sol)";"2019";"AGE 101 MUSIC";1719964700;1719964926;"https://music.apple.com/fr/album/selfish-feat-cleo-sol/1444318578?i=1444318767&uo=4";;;
"Timo Maas";"Loud";"O.C.B.";"2001";"PERFECTO";1719964925;1719965242;;;;
"Souleance";"Beautiful";"A onda";"2023";"HEAVENLY SWEETNESS";1719965247;1719965455;;;"https://open.spotify.com/track/4u719Vqop9u3wtKxJNaPHD";
"Question Mark & The Mysterians";"96 Tears";"Up side";"1966";"REAL GONE MUSIC";1719965455;1719965626;;;;
"Them";"The story of Them";"Baby please don't go";"1964";"A & M";1719965626;1719965785;;;;
"Crumb";"Amama";"The bug";"2024";"CRUMB RECORDS";1719965784;1719966016;"https://music.apple.com/fr/album/the-bug/1732581971?i=1732582375&uo=4";;"https://open.spotify.com/track/75gs0OAqWIJGxowueaYGRt";
"Don Ellis";"Electric bath";"Alone";"1967";"COLUMBIA";1719966001;1719966337;;"https://www.deezer.com/track/856195";"https://open.spotify.com/track/3fjzK9Ie2w4vKZJqoXFgt1";
"Alain Chabat";"BOF / La cité de la peur";"La carioca";"1994";"VOGUE";1719966338;1719966543;;;"https://open.spotify.com/track/7jVR2gSVYg6GNwbE4FbI33";
"Ivy";"Long distance";"Worry about you";"2001";"NETWORK PRODUCTION MUSIC";1719966541;1719966779;;;;
"Inger Nordvik";"Hibernation";"It follows";"2023";"ASTA RECORDS";1719966778;1719967077;;;"https://open.spotify.com/track/3gHVUcd42Y983o5dEdmgIk";
"Jean-Philippe Goude";"Le salon noir";"La rage - pour piano percussions et cordes";"2023";"ICI D'AILLEURS";1719967076;1719967347;;;;
