"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Harvey Scales & The Seven Sounds";"Compilation : Eccentric soul : The Cuca label";"Glamour girl";"1963";"NUMERO GROUP";1758189475;1758189727;;;
"The Fleetwoods";"Mes années 60";"Come softly to me";"1959";"WAGRAM MUSIC (DISTRIBUTEUR)";1758189659;1758189879;"https://music.apple.com/fr/album/come-softly-to-me/1490970526?i=1490970527&uo=4";"https://open.spotify.com/track/7edWFCxQZCAvqgi3qsIPP4";
"Trio Charpin";"Trio Charpin";"Doucement, doucement";"1958";"MERCURY";1758189796;1758190060;;;
"Alex Tassel";"Past & present / A quiet place";"Happy";"2019";"PENINSULA";1758189975;1758190216;"https://music.apple.com/fr/album/happy/1459279358?i=1459280051&uo=4";"https://open.spotify.com/track/2RHUjJxDUuydKOPvt02CKB";"https://www.deezer.com/track/662643362"
"Pedro Fonte";"Luz Na Madrugada/Late Night Light";"Luz na madrugada";"2023";"YB MUSIC";1758190133;1758190399;"https://music.apple.com/fr/album/luz-na-madrugada/1696984143?i=1696984311&uo=4";"https://open.spotify.com/track/7j4qsEWekdOj38EsdBIqmf";"https://www.deezer.com/track/2353740105"
"Blondie";"Plastic Letters";"Once i had a love (aka the disco song) (1975 version)";"1977";"CHRYSALIS";1758190317;1758190634;;;
"Dirty Sound Magnet";"Dreaming in dystopia";"Flowers, Angels and Chaos";"2023";"WILD THING RECORDS (ACQUISITION)";1758190552;1758190903;"https://music.apple.com/fr/album/flowers-angels-and-chaos/1793619738?i=1793619924&uo=4";"https://open.spotify.com/track/4vF2Vhq1k9pc2jxgLFs1kN";"https://www.deezer.com/track/3207552401"
"Jeffrey Silverstein";"You become the mountain";"By the hand";"2020";"ARROWHAWK";1758190821;1758191086;;"https://open.spotify.com/track/2UFIRT4W128X6bwfNineH1";"https://www.deezer.com/track/873521162"
"Chiara Mastroianni";"Home";"La Plage";"2004";"VIRGIN";1758191004;1758191351;;"https://open.spotify.com/track/0q2fxTHlZg544EosF4xIBT";
"Jenny Alpha";"La serenade du muguet";"Azé kozé";"2008";"AZTEC MUSIQU";1758191263;1758191592;;;
"Goya";"Psychemagik presents magik cyrkles";"House at the sea (Psychemagik edit)";"2012";"LENG RECORDS";1758191522;1758192014;"https://music.apple.com/fr/album/house-at-the-sea-psychemagik-edit/567889190?i=567889200&uo=4";;
"Zubin Sagar Center For Neuroaesthetic Studies";"Alacran azul";"Undercover operative";"2024";"AUTOPRODUCTION";1758191930;1758192264;;;
"John Holt";"Trojan Suedehead box set";"Reggae from the ghetto";"1973";"TROJAN RECORDS";1758192180;1758192428;;;"https://www.deezer.com/track/2230859767"
"Dr. Dre";"The chronic";"Lil' ghetto boy";"1992";"DEATH ROW RECORDS";1758192346;1758192758;;"https://open.spotify.com/track/77tHKMBRVkxOugr1Z3N4et";"https://www.deezer.com/track/2132919027"
"King Crimson";"Lizard";"Lady of the dancing water";"1970";"EG RECORDS / JEM RECORDS";1758192671;1758192914;"https://music.apple.com/fr/album/lady-of-the-dancing-water/978456275?i=978456281&uo=4";"https://open.spotify.com/track/0pKlIB10GmZCmXA1g5EhV5";"https://www.deezer.com/track/674781762"
"Camerata De Cologne";"François André Danican Philidor : Intégrale des 6 quatuors de L'art de la modulation";"Quatuor n°2 en Fa Maj : Moderato - Allegro ma non troppo - pour hautbois 2 violons et basse continue";"2013";"CPO";1758192833;1758193101;;;
"Chilam Balam";"Ritmos proféticos, vol. I";"Citlacoatl";"2024";"PARTYFINE";1758193118;1758193311;;"https://open.spotify.com/track/5iYFI0ezIm0OGK3ZHxIIsF";"https://www.deezer.com/track/3061372001"
"Sharon Jones";"Naturally";"How long do I have to wait for you ?";"2004";"NIGHT & DAY";1758193181;1758193420;;;
"Big Lee Dowell And The Cannonballs";"What I done wrong (feat. Maxim Moston)";"What I done wrong (feat. Maxim Moston) (extended version)";"2016";"TESLA GROOVE INTERNATIONAL RECORDINGS";1758193310;1758193722;;;
"Les Sinners";"Génération Perdue - Rock Francais 1965-66";"Elle est revenue";"1966";"E CADRE D'ARTS";1758193418;1758193571;;;"https://www.deezer.com/track/1403735732"
"Kenny Burrell";"Bluesin' around";"The switch";"1961";"COLUMBIA";1758193569;1758193751;;;"https://www.deezer.com/track/143172082"
"Talking Heads";"Speaking in tongues";"This must be the place (naive melody)";"1983";"SIRE";1758193712;1758194004;;"https://open.spotify.com/track/5FAN3M34V4lID5m39SIYDZ";"https://www.deezer.com/track/2559851382"
"Timber Timbre";"Sincerely, future pollution";"Grifting";"2017";"CITY SLANG";1758193748;1758194009;;"https://open.spotify.com/track/2Pm3LHgIJeIdhXrMMDveRz";
"Spyro Gyra";"Morning dance";"Morning dance";"1994";"MCA RECORDS";1758194001;1758194237;;;"https://www.deezer.com/track/1586982012"
"Altin Gun";"2015 - 2025 : Les Disques Bongo Joe - 10 years of sonic explorations";"Goca dünya";"2025";"LES DISQUES BONGO JOE";1758194007;1758194243;;"https://open.spotify.com/track/3MqfoXmGueLAQJKMefQL3V";"https://www.deezer.com/track/469248492"
"Veronique Sanson";"Hollywood";"Y'a pas de doute il faut que je m'en aille";"1977";"WEA";1758194235;1758194471;;;
"Digable Planets";"Reachin' (a new refutation of time and space)";"Rebirth of slick (cool like dat)";"1992";"PENDULUM RECORDS";1758194240;1758194502;;;"https://www.deezer.com/track/3440374"
"DOMi & JD Beck";"Not tight";"Bowling (feat. Thundercat)";"2022";"APESHIT / BLUE NOTE RECORDS";1758194469;1758194584;;"https://open.spotify.com/track/3Sk51FK0sTdiRQN477u5oq";
"Bacao Rhythm & Steel Band";"Expansions";"Juicy fruit";"2021";"BIG CROWN RECORDS";1758194497;1758194721;;;"https://www.deezer.com/track/3208842641"
"Genevieve Artadi";"Forever forever";"Plate";"2023";"BRAINFEEDER";1758194582;1758194786;"https://music.apple.com/fr/album/plate/1655345052?i=1655345391&uo=4";"https://open.spotify.com/track/3vFG1ZcB68ACOdeY99aYIm";"https://www.deezer.com/track/2115002407"
"Gizmo Varillas";"Dreaming of Better Days";"Through the hourglass";"2018";"BIG LAKE MUSIC";1758194720;1758194894;;"https://open.spotify.com/track/7pWHr7oTvBHX8okSM1jooB";"https://www.deezer.com/track/455858142"
"Dexter Story";"Wondem";"Xamar";"2015";"SOUNDWAY RECORDS";1758194785;1758194994;"https://music.apple.com/fr/album/xamar/1611852625?i=1611852891&uo=4";"https://open.spotify.com/track/6wX6ibvRGWajA4s7sxsWsc";"https://www.deezer.com/track/1668335242"
"Babx";"Cristal ballroom";"Electrochocs Ladyland";"2009";"WARNER";1758194892;1758195172;;"https://open.spotify.com/track/6i3WyL2w07fNhdpVNQLFYi";"https://www.deezer.com/track/3004634"
"Finley Quaye";"Maverick a strike";"The way of the explosive";"1997";"SONY";1758195012;1758195293;;"https://open.spotify.com/track/4d3fKwsmxY79hBy6USJciB";"https://www.deezer.com/track/1037085"
"Jimi Hendrix";"Electric ladyland";"1983... (a merman I should turn to be)";"1968";"POLYGRAM";1758195155;1758195444;;;
"Bob Marley & The Wailers";"Kaya";"Sun is shining";"1978";"ISLAND";1758195289;1758195582;;"https://open.spotify.com/track/2pZJhvpin385eqAFRp3ASJ";"https://www.deezer.com/track/66315754"
"Jonny Greenwood";"Steve Reich : Radio Rewrite";"Electric counterpoint : Fast";"2014";"NONESUCH";1758195438;1758195703;;;
