"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Great Area";"Light decline";"Pest";"2024";"RELAXIN RECORDS";1717444675;1717444802;"https://music.apple.com/fr/album/pest/1738073271?i=1738073273&uo=4";"https://open.spotify.com/track/7dFtfLSKgE0ZdFPUghbEwo";
"Bill Withers";"Menagerie";"Lovely day";"1977";"COLUMBIA";1717444801;1717445043;"https://music.apple.com/fr/album/lovely-day/391725408?i=391725492&uo=4";"https://open.spotify.com/track/0bRXwKfigvpKZUurwqAlEh";"https://www.deezer.com/track/70016835"
"Bumcello";"The party";"Booker";"2024";"KOMOS";1717445036;1717445118;;"https://open.spotify.com/track/67KC5735gLceCmEIxyCjIy";"https://www.deezer.com/track/2555633602"
"Remi Masunaga & David Patrois";"Around Goldberg variations";"Aria con bow";"2017";"ARTS ET SPECTACLES";1717445116;1717445275;;;
"Hibari Misora";"Global divas/Voices from women of the world";"Futari no hitomi";"1995";"PHILIPS";1717445273;1717445482;"https://music.apple.com/fr/album/futari-no-hitomi/1722937736?i=1722937743&uo=4";;
"The Doors";"Legacy - the absolute best";"Alabama song (Whisky bar)";"1967";"ELEKTRA";1717445480;1717445677;;"https://open.spotify.com/track/0JNZGIavoUrdup1NsgJOQs";"https://www.deezer.com/track/3614128"
"Fotis Siotas";"Skouria kai meli";"Skouria kai meli";"2021";"LOUVANA RECORDS";1717445675;1717445818;"https://music.apple.com/fr/album/skouria-kai-meli/1585468074?i=1585468075&uo=4";"https://open.spotify.com/track/0bfksN5syUMuVUky1yEog3";"https://www.deezer.com/track/1491805672"
"Boom Bip & Doseone";"Circle";"""""Art saved my life"""" - 71";"2000";"LEAF";1717445821;1717445919;;;
"Kerry Leimer";"A period of review";"Almost chinese";"2014";"RVNGNL INTL";1717445917;1717446041;;;
"Taxi Girl";"Cherchez le garçon";"Petit jardin chinois";"1980";"FAN CLUB";1717446039;1717446237;;;
"March Mallow";"The Silence";"Dreaming love";"2024";"Abrazik";1717446230;1717446433;;"https://open.spotify.com/track/3ZUhwuAxTqZLAHNKRbEMQX";"https://www.deezer.com/track/2693699262"
"Harold Melvin & The Blue Notes";"The ultimate Blue Notes";"Satisfaction guaranteed";"1973";"EPIC";1717446429;1717446635;"https://music.apple.com/fr/album/satisfaction-guaranteed/708429078?i=708429189&uo=4";;
"Mario Rui Silva";"Stories from another time 1982-1988";"Dembita";"1982";"TIME CAPSULE";1717446631;1717446969;;;"https://www.deezer.com/track/448728972"
"Bash Barrow";"Baileya";"Tous les jours";"2023";"AUTOPRODUCTION";1717446971;1717447160;"https://music.apple.com/fr/album/tous-les-jours/1680567369?i=1680567371&uo=4";"https://open.spotify.com/track/17cAMcrA6ECE2Dk62pXlUS";"https://www.deezer.com/track/2220764437"
"Thundercat";"Drunk";"Them changes";"2017";"BRAINFEEDER";1717447156;1717447323;;"https://open.spotify.com/track/7CH99b2i1TXS5P8UUyWtnM";"https://www.deezer.com/track/140787083"
"Jeanette";"BOF / Cria cuervos";"Cria cuervos : Porque te vas";"1994";"HISPAVOX";1717447318;1717447518;;;
