"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Magdalena Hoffmann";"Magdalena Hoffmann : Fantasia";"Prélude en ut min BWV 921";"2024";"DGG (DEUTSCHE GRAMMOPHON)";1728122384;1728122586;;;
"Jeanne Moreau";"Jeanne Moreau : Pour vous mes plus belles chansons cd1";"Jamais je ne t'ai dit que je t'aimerai toujours";"1966";"UNIVERSAL";1728122583;1728122787;;;
"Charlotte Day Wilson";"Alpha";"Lovesick utopia";"2021";"STONE WOMAN MUSIC";1728122787;1728122962;"https://open.spotify.com/track/4X9MfFQKX0lMQQw9cJNa0Y";;
"Ennio Morricone";"BOF / Peur sur la Ville (Fear over the city)";"Minaccia telefonata N.2";"1975";"WEWANTSOUNDS";1728122959;1728123146;;"https://music.apple.com/fr/album/minaccia-telefonata-n-2/1521881174?i=1521881192&uo=4";
"Jorge Ben";"Puro suingue";"O telefone tocou novamente";"1970";"UNIVERSAL";1728123145;1728123372;;;
"Claudja Barry";"Mellow mellow - Original smooth grooves & chilled beats";"Love for the sake of love";"1976";"HARMLESS RECORDINGS";1728123371;1728123685;;;
"Philippe Nicaud";"Erotico nicaud";"Separation (duo)";"1970";"RIVIERA";1728123682;1728123828;;;
"Stanley Turrentine";"Easy walker";"Alone together";"1969";"BN";1728123826;1728124158;"https://open.spotify.com/track/36sWMMVMBq2sb6NyknvxD6";"https://music.apple.com/fr/album/alone-together/724359914?i=724360377&uo=4";"https://www.deezer.com/track/3240391"
"Andrew Bird Trio";"Sunday morning put-on";"I cover the waterfront";"2024";"LOMA VISTA RECORDINGS";1728124157;1728124444;;;
"Helado Negro";"Phasor";"Echo tricks me";"2024";"4AD";1728124443;1728124692;"https://open.spotify.com/track/5FYdwJ6ZFmB8o5LTdeyiNR";;
"Thomas De Pourquery";"Let the monster fall";"Back from the war";"2024";"BELIEVE";1728124687;1728124940;"https://open.spotify.com/track/68HQxa5VaW3lHrNNlzVVhy";;
"Kiledjian";"The otium mixtape";"Post Trama";"2024";"UNDERDOG RECORDS";1728124935;1728125064;"https://open.spotify.com/track/7FfFoPW8mPuUviYgLSOqpr";"https://music.apple.com/fr/album/post-trama/1714815918?i=1714817329&uo=4";"https://www.deezer.com/track/2522495291"
"Elsa Hewitt";"FIP Trip-hop";"The edge";"2024";"WAGRAM MUSIC (DISTRIBUTEUR)";1728125064;1728125354;;;
"The The";"Ensoulment";"Life after life";"2024";"EAR MUSIC";1728125353;1728125544;"https://open.spotify.com/track/0eCA0ySe2qEaUeCIWub81W";;
"Hermanos Gutierrez";"Sonido Cosmico";"Barrio hustle";"2024";"EASY EYE SOUND";1728125542;1728125733;"https://open.spotify.com/track/6UK4epTqVwWpeFfslXecth";;
"Manu Chao";"Viva tu";"Viva tu";"2024";"BECAUSE";1728125732;1728125921;"https://open.spotify.com/track/5bTIYle84tcBo14n4fWSTb";"https://music.apple.com/fr/album/viva-tu/1750033516?i=1750034504&uo=4";"https://www.deezer.com/track/2830790912"
"Supertramp";"Crime of the century";"Bloody well right";"1974";"A&M";1728125920;1728126192;"https://open.spotify.com/track/2SmlWvdYG6FsagxN3FkHMI";;
"Secos & Molhados";"A volta de secos & molhados";"Sangue latino";"1978";"WM BRAZIL";1728126186;1728126313;;;
"Bob Dylan";"Nashville skyline";"Lay lady lay";"1969";"COLUMBIA";1728126313;1728126507;;;
"Ry Cooder";"Bof/Johnny belle gueule";"I like your eyes";"1989";"WARNER BROS";1728126506;1728126649;;;
