"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify";"youtube"
"The Cardigans";"BOF / Roméo et Juliette / Vol. 1";"Lovefool";"1996";"( CAPITOL (ET PM )";1766138317;1766138409;"https://music.apple.com/fr/album/lovefool/1450141530?i=1450141548&uo=4";"https://www.deezer.com/track/910474";"https://open.spotify.com/track/7aQjPecQdIuNd1sz3KCDhD";
"Thomas Beckmann";"Music by Charlie Chaplin cd1";"The peace patrol";"1985";"JARO";1766138403;1766138632;;;;
"Ando Drom";"Ando Drom/Chants tziganes de Hongrie";"Muro gajo ratientsa... / Mon mari travaille le soir...";"1992";"PLANET";1766138631;1766138858;;;;
"Peter Paul And Mary";"Ten years together";"If i had a hammer (the hammer song)";"1967";"WB";1766138855;1766138985;;;;
"Eola";"Dang";"Big chestined nights";"2016";"LEAVING RECORDS";1766138983;1766139204;;"https://www.deezer.com/track/446009252";"https://open.spotify.com/track/1HYwizASQ1oFmrBFXy9Sdt";
"The Chordettes";"Baby boomer classics / Fifties / Vol. 1";"Mister Sandman";"1954";"DISKY";1766139202;1766139342;;"https://www.deezer.com/track/10678746";"https://open.spotify.com/track/433nBELvOOtHlZFUO8mZml";
"Medeski Martin And Wood";"Let's go everywhere";"Cat Creeps";"2008";"LITTLE MONTE";1766139342;1766139505;;;;
"Jay-Jay Johanson";"Whiskey";"Tell me like it is";"1996";"BMG";1766139501;1766139697;"https://music.apple.com/fr/album/tell-me-like-it-is/273883115?i=273883472&uo=4";"https://www.deezer.com/track/1052133";"https://open.spotify.com/track/6dGaOuqPL4Mqk7nxo2kZKO";
"Tony Dola";"De la glacière";"Original";"2024";"ENTRE-SOI";1766139694;1766139881;;"https://www.deezer.com/track/2974009491";"https://open.spotify.com/track/1A2Luc0E16GDOD7N2X3tup";
"Fleetwood Mac";"Greatest hits / Succes";"Rhiannon";"1975";"WARNER BROS";1766139880;1766140120;;"https://www.deezer.com/track/664437";"https://open.spotify.com/track/05oETzWbd4SI33qK2gbJfR";
"Nusantara Beat";"Nusantara Beat";"Kupu kupu";"2025";"GLITTERBEAT RECORDS";1766140115;1766140339;"https://music.apple.com/fr/album/kupu-kupu/1834393908?i=1834394399&uo=4";"https://www.deezer.com/track/3516865421";"https://open.spotify.com/track/4l3s2SgxdsRrN3VdBseXyH";
"Samba Toure";"Albala";"Albala";"2013";"GLITTERBEAT";1766140338;1766140524;;"https://www.deezer.com/track/2401982755";"https://open.spotify.com/track/1hMKsGWBwZS860bUtzw1FX";
"Robert Ziegler";"Wilhelm Grosz : Afrika songs";"Afrika songs op 29 : Das neue Kabaretmädel - pour mezzo-soprano baryton ensemble de chambre et ensemble de jazz";"1997";"";1766140522;1766140724;;;;
"Joni Mitchell";"Both sides now";"At last";"2000";"WARNER";1766140721;1766140986;"https://music.apple.com/fr/album/at-last/541488092?i=541488094&uo=4";"https://www.deezer.com/track/780588";"https://open.spotify.com/track/0fJ561ClK3pIJBr0c6dtUX";
"Penny & The Quarters";"BOF / Blue Valentine";"You and me";"2011";"LAKESHORE RECORDS";1766140985;1766141143;;"https://www.deezer.com/track/89876667";"https://open.spotify.com/track/39FFlqltctkj6vkIcVgkec";
"Sublime";"Sublime";"Santeria";"1996";"MCA RECORDS";1766141142;1766141325;;"https://www.deezer.com/track/127245051";"https://open.spotify.com/track/2hnMS47jN0etwvFPzYk11f";
"Ernest Ranglin";"Boss reggae";"Soulful I";"1969";"DUB STORE RECORDS";1766141325;1766141456;"https://music.apple.com/fr/album/soulful-i/1073840965?i=1073840978&uo=4";"https://www.deezer.com/track/117269000";;
"The Isley Brothers";"How many roads : black America sings Bob Dylan";"Lay lady lay";"1971";"ACE RECORDS";1766141453;1766141688;"https://music.apple.com/fr/album/lay-lady-lay/1030448370?i=1030449046&uo=4";"https://www.deezer.com/track/106026582";"https://open.spotify.com/track/6OLhrvLdUVWOmQ47Muuoiw";
"Jimmy Cliff";"goodbye yesterday";"Goodbye yesterday";"1971";"HIP-O SELECT";1766141686;1766141886;;"https://www.deezer.com/track/813407582";;
"The Barr Brothers";"Let it hiss";"She doesn't sleep with the covers on";"2025";"SECRET CITY RECORDS";1766141883;1766142105;;"https://www.deezer.com/track/3360699201";"https://open.spotify.com/track/5nJx66CjX9D5Pp0vWOo8WY";
"Up Bustle And Out";"Light em up, blow em out";"The dance of caravan summer";"1997";"NINJA TUNE";1766142104;1766142488;;;;
"Bonbon Vodou";"Cimetière créole";"Petit palace";"2021";"HEAVENLY SWEETNESS";1766142479;1766142727;;"https://www.deezer.com/track/1441129052";"https://open.spotify.com/track/1XZ2GD0jeWMCLAVac0LxPg";
"Dusko Gojkovic";"Samba tzigane";"Coracao do sul";"2008";"ENJA";1766142725;1766142934;;;;
"Pedro Mizutani";"Dia azul";"Dia azul";"2025";"NICE GUYS";1766142933;1766143159;;"https://www.deezer.com/track/3613343552";"https://open.spotify.com/track/5qP6czxvzVk5rWni8RNQKc";
"Bastien D";"Take you out";"Take you out";"2025";"CHIEN BLEU";1766143157;1766143335;"https://music.apple.com/fr/album/take-you-out/1854179607?i=1854179821&uo=4";"https://www.deezer.com/track/3683222172";"https://open.spotify.com/track/52K0j6fD4ESTci0ivgc8wx";
"Shura";"The Sound of Rinse FM";"Indecision (Jungle Remix)";"2015";"MINISTRY OF SOUND RECORDS";1766143334;1766143535;;"https://www.deezer.com/track/2578351142";;
"Depeche Mode";"The singles 86>98";"World in my eyes";"1990";"LABELS";1766143534;1766143770;"https://music.apple.com/fr/album/world-in-my-eyes/1174246686?i=1174246800&uo=4";"https://www.deezer.com/track/136331372";"https://open.spotify.com/track/0TBn49AjkNufCRJ2O5VJ6s";
"Kat Pereira";"Vert de lichen";"Camomille";"2025";"AUTOPRODUCTION";1766143768;1766143969;;"https://www.deezer.com/track/3569886481";"https://open.spotify.com/track/63iEhRL6LXOBueq8fPgAXF";
"Ben Webster";"Soulmates";"Soulmates";"1963";"RIVERSIDE";1766143968;1766144363;"https://music.apple.com/fr/album/soulmates/610219899?i=610220651&uo=4";"https://www.deezer.com/track/2920942";"https://open.spotify.com/track/57cuBe0KrIOTSzn6260m1A";
"A Tribe Called Quest";"Peoples instinctive travels and the path of rhythm";"Luck of Lucien";"1990";"JIVE/LEGACY";1766144362;1766144636;;"https://www.deezer.com/track/13142666";"https://open.spotify.com/track/2cE8TW1RiEJoezQv7pbyoa";
"Benny Sings";"City pop";"Nakameguro (feat Faberyayo)";"2018";"STONES THROW";1766144635;1766144756;;;;
"Wild Belle";"Isles";"Love like this";"2012";"SONY";1766144755;1766144990;;"https://www.deezer.com/track/65225783";;
"Alain Souchon";"La vie théodore";"En collant l'oreille sur l'appareil";"2005";"VIRGIN";1766144987;1766145245;;"https://www.deezer.com/track/58819151";"https://open.spotify.com/track/3HgqlCaPcMJYkmBvokS0k7";
"Booker T & The MG'S";"BOF / Up tight";"We've got Johnny Wells";"1969";"STAX RECORDS";1766145244;1766145467;;;;
"The Kinks";"The Kinks";"You really got me";"1964";"PYE";1766145468;1766145604;"https://music.apple.com/fr/album/you-really-got-me/1436281532?i=1436281753&uo=4";"https://www.deezer.com/track/2193288397";"https://open.spotify.com/track/6tZdL3Zp8JgrfDbsSeSV1S";
"Mk.Gee";"Two star & The dream police";"Alesis";"2024";"R&R DIGITAL";1766145604;1766145801;"https://music.apple.com/fr/album/alesis/1726030992?i=1726031534&uo=4";"https://www.deezer.com/track/2622408942";"https://open.spotify.com/track/4u7vj352S98d9iA7ac1EVG";
"Boko Yout";"GUSTO";"Imagine";"2025";"HOOPDIGGAS RECORDINGS";1766145797;1766145936;;"https://www.deezer.com/track/3411484441";"https://open.spotify.com/track/6cswhjbvc3Ook1h2xCvbFr";
"Jackie Mittoo";"Wishbone";"Groovy spirit";"1971";"ATTIC REC";1766145933;1766146083;"https://music.apple.com/fr/album/groovy-spirit/1790498686?i=1790498870&uo=4";"https://www.deezer.com/track/3184919451";;
