"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer";"youtube"
"Holy Hive";"Big crown vaults vol. 3 - holy hive";"A perfect space";"2023";"BIG CROWN RECORDS";1730714398;1730714579;"https://open.spotify.com/track/2rP8G3JQxygQNUYAAgVnCv";;;
"Bernardino Femminielli";"Opéra Bouffe";"La foire aux lumières";"2024";"";1730714575;1730714824;"https://open.spotify.com/track/1jhLh9glh46jkz8zV901ZN";;;
"Steely Dan";"Aja";"Aja";"1977";"CARRERE";1730714818;1730715295;"https://open.spotify.com/track/2cgNpsfZcBzdgeNPEeCnue";;;
"Michael Jackson";"Thriller";"The girl is mine";"1982";"EPIC";1730715287;1730715509;;"https://music.apple.com/fr/album/the-girl-is-mine/269572838?i=269573208&uo=4";;
"Eddie Harris";"How can you live like that";"Ambidextrous";"1977";"ATLANTIC / RHINO";1730715503;1730715724;;;"https://www.deezer.com/track/1675437937";
"Chris Connor";"A jazz date with Chris Connor / Chris Craft";"I'm shooting high";"1956";"ATLANTIC";1730715722;1730715875;;;"https://www.deezer.com/track/102850840";
"Cal Tjader";"Jazz dance classics volume three";"Ran kan kan";"1971";"LUV N HAIGHT";1730715875;1730716056;;;;
"Armando Hernandez";"Colombia : Legendarios/Baila mi cumbia";"La zenaida";"1984";"BAILA MI RITMO NETWORK";1730716054;1730716320;"https://open.spotify.com/track/3hNBCXsF7gjwVpMfzf5mVs";;;
"Y La Bamba";"Court the storm";"Bendito";"2012";"";1730716318;1730716564;"https://open.spotify.com/track/0SyQCOB1ci3sowgA2MDOpm";;;
"The Offline";"Les cigales";"Un long été chaud";"2024";"DEEPMATTER RECORDS";1730716562;1730716682;"https://open.spotify.com/track/1cX7k5Qi1VhwqpGtPVsub6";;"https://www.deezer.com/track/2872695352";
"Biche";"La nuit des Perséides";"As-tu peur du matin ?";"2019";"BANQUISE RECORDS";1730716680;1730716934;"https://open.spotify.com/track/1hNxzK96bLyzeyVShadM2u";;;
"The Beach Boys";"Sunflower/Surf's up";"Surf's up";"1971";"";1730716925;1730717175;;"https://music.apple.com/fr/album/surfs-up/1440873813?i=1440874288&uo=4";;
"Clairo";"Sling";"Bambi";"2021";"REPUBLIC RECORDS";1730717170;1730717447;"https://open.spotify.com/track/6wQXjA6KWbwPT3ydQCsJ4P";;"https://www.deezer.com/track/1430023782";
"Dorothea Craxton";"Fanny Mendelssohn-Hensel : Mélodies et lieder / Vol.2";"Fichtenbaum und Palme";"2013";"NAXOS";1730717439;1730717599;"https://open.spotify.com/track/7mM3FdVZiL7FkPeh5q8U0M";;;
"Joe Hisaishi";"Bof / Eté de Kikujiro";"Two Hearts";"1999";"POLYDOR";1730717595;1730717713;"https://open.spotify.com/track/1sU3vrvRqN5gPNyVPar6YV";;;
"Rika Muranaka";"BOF / Metal gear solid (jeu vidéo)";"Metal gear solid : End title / The best is yet to come";"1998";"MONDO MUSIC";1730717713;1730718060;;;;
"The Pogues";"Rum sodomy & the lash";"I'm a man you don't meet every day";"1985";"OFF THE TRACK RECORDS";1730718042;1730718212;"https://open.spotify.com/track/26WJMsesrV9FuKNgZ25zW7";;"https://www.deezer.com/track/4096575";
"Orville Peck";"Stampede";"Cowboys are frequently secretly fond of each other (feat. Willie Nelson)";"2024";"WARNER RECORDS";1730718209;1730718422;;;;
"Khruangbin";"The universe smiles upon you";"Little Joe & Mary";"2015";"NIGHT TIME STORIES";1730718421;1730718714;"https://open.spotify.com/track/5CJrnXjRER0bs1jIiH5mwz";;"https://www.deezer.com/track/2950477111";
"JW Francis";"Wanderkid";"Don't fall apart";"2021";"SUNDAY BEST RECORDS";1730718709;1730718977;"https://open.spotify.com/track/6WtrVMS2JKwoQ4Z99fQgRV";"https://music.apple.com/fr/album/dont-fall-apart/1555126521?i=1555126825&uo=4";;
"Redbone";"Come and get your love";"Come and get your love";"1974";"RCA GROUP";1730718976;1730719186;;;"https://www.deezer.com/track/609167";
"Sharon Jones And The Dap Kings";"Give the people";"Making up and breaking up (and making up and breaking up over again)";"2013";"DAPTONE RECORDS";1730719184;1730719324;;;;
"Michael Rose";"This is Trojan roots";"Guess who's coming to dinner";"1976";"TROJAN RECORDS";1730719317;1730719481;;;;
"Henry Mancini";"BOF / The thief who came to dinner ( le voleur qui vient diner)";"The thief who came to dinner : Love theme for laura (demo)";"1973";"FSMO";1730719480;1730719646;;;;
"Brigitte Bardot";"La madrague";"Rose d'eau";"1963";"PHILIPS";1730719643;1730719768;;;"https://www.deezer.com/track/1101436";
"Naissam Jalal & Rhythms Of Resistance";"Un autre monde";"Paysages de notre destin (Live Symphonic Version)";"2021";"LES COULEURS DU SON";1730719762;1730720156;;;;
"Hugo Kant";"Out of time";"Clouds (feat. Astrid Engberg)";"2017";"BELLRING";1730720152;1730720448;;"https://music.apple.com/fr/album/clouds-feat-astrid-engberg/1228610819?i=1228611290&uo=4";;
"Moka Only";"Amalama";"I dont need to sing it (instrumental)";"2024";"HHV RECORDS";1730720446;1730720605;;;;
"World Brain";"Open source";"Minute papillon";"2024";"MANSION AND MILLIONS";1730720599;1730720825;"https://open.spotify.com/track/6f4D29IfC5stfUtJLEnfAR";;"https://www.deezer.com/track/2764687591";
"Fleetwood Mac";"Rumours";"The chain";"1977";"WARNER BROS";1730720821;1730721084;;;;
"Quincy Jones";"Classics / 1971-1981 / Volume 3";"Stuff like that";"1979";"Q WEST/W.B.";1730721074;1730721254;;;;
"Cornell Dupree";"Child's play";"For blues sake";"1993";"OMD AMZ";1730721252;1730721328;"https://open.spotify.com/track/6x9bcHj9txXSNFKfn8srY8";;;
"Mac Demarco";"Here comes the cowboy";"All of our yesterdays";"2019";"CAROLINE";1730721325;1730721561;"https://open.spotify.com/track/2N16QiEd8CZoEApMGj95wo";;;
"Eyedress";"Manila Ice";"Manila ice";"2017";"LEX RECORDS";1730721560;1730721700;"https://open.spotify.com/track/49ZqZbXX9n5m1vGf5FT8Ti";;;
"Les Hommes";"Si, cosi";"Cold static";"2024";"SUDDEN HUNGER RECORDS";1730721697;1730721920;"https://open.spotify.com/track/1u4rzvrxbERWNEUSyaObU3";"https://music.apple.com/fr/album/cold-static/1766256179?i=1766256190&uo=4";;
"Everything But The Girl";"Like the deserts miss the rain";"Walking wounded";"1996";"WEA";1730721913;1730722276;"https://open.spotify.com/track/0WMYWQ5x94X6U2augaXJ04";;"https://www.deezer.com/track/1345204712";
"Quincy Jones";"You've got It bad girl";"Superstition";"1973";"VERVE";1730721949;1730722218;"https://open.spotify.com/track/0aa9zobqzoHEJW26KwV2aZ";;"https://www.deezer.com/track/3051183";
"Homer";"Ensatina";"Racecar driver";"2024";"BIG CROWN RECORDS";1730722272;1730722508;"https://open.spotify.com/track/2ASnEwN76HRRMckmkS6XtK";;"https://www.deezer.com/track/2988280621";
