"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Fatboy Slim";"Palookaville";"The journey";"2004";"SKINT RECORDS";1716285460;1716285741;"https://open.spotify.com/track/1h0e6pHuwePpGT8Seg6dEL";;
"Liam Bailey";"Zero grace";"Canary in the coal mine";"2024";"BIG CROWN RECORDS";1716285735;1716285930;"https://open.spotify.com/track/2KX1J8Ki965JxVdTm4qmvW";;
"Brooklyn Funk Essentials";"Stay good";"Bakabana";"2019";"DORADO RECORDS";1716285924;1716286114;"https://open.spotify.com/track/42DWjTy0I3hq7mYVPMeh8y";;
"Nils Landgren Funk Unit";"Teamwork";"Get serious get a job";"2013";"ACT";1716286113;1716286410;;;
"Medeski Martin & Wood";"Out louder";"Little walter rides again";"2007";"EMARCY";1716286407;1716286632;;;
"G Love & Special Sauce";"Lemonade";"Ain't that right";"2006";"BRUSHFIRE RECORDS";1716286626;1716286859;;;
"The Rolling Stones";"Black and blue";"Hot stuff";"1976";"COLUMBIA";1716286852;1716287172;;;
"Veronique Sanson";"7ème";"Celui qui n'essaie pas (ne se trompe qu'une seule fois)";"1979";"WEA";1716287172;1716287394;;;
"Kifu Mitsuhashi";"Wamono Groove : Shakuhachi & koto jazz funk '76";"Hohai-bushi";"1976";"180G";1716287389;1716287608;"https://open.spotify.com/track/7nP8xlwXquCLzL9JRXq53C";;
"Ajate";"Alo";"Galar";"2020";"180G";1716287600;1716287904;"https://open.spotify.com/track/6YEfWNZa94IJw3YDSVa5bb";;
"Nectar Woode";"Nothing to lose";"God talks back";"2024";"COMMUNION RECORDS";1716287903;1716288079;"https://open.spotify.com/track/3hkT40xYzZMaprGjYo7Cc3";;
"Cousin Kula";"Vitamin D";"Good feelin'";"2024";"RHYTHM SECTION ITNL.";1716288072;1716288234;"https://open.spotify.com/track/24G1e3jWWM5arUr315JUKo";"https://music.apple.com/fr/album/good-feelin/1718066214?i=1718066227&uo=4";
"Wet Enough!?";"DASH";"Hi pilot !";"2023";"KOMOS";1716288233;1716288522;;;
"Emma-Jean Thackray";"Yellow";"Sun";"2021";"MOVEMENTT";1716288515;1716288703;"https://open.spotify.com/track/1t0YQkR6LoRrzALweX2OL8";;
