"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Bert Jansch & John Renbourn";"After The Dance";"Lucky 13";1966;"SHANACHIE";1707818386;1707818597;;;
"Devendra Banhart";"Nino rojo";"At the hop";2004;"YOUNG GOD RECORDS";1707818596;1707818726;"https://www.deezer.com/track/938212";"https://open.spotify.com/track/31cI8gcEKRIMRjuGzPe4W1";
"Bonbon Vodou";"Cimetière créole";"La flemme";2021;"HEAVENLY SWEETNESS";1707818723;1707818992;;"https://open.spotify.com/track/2xaOuN6ung36wHnBzyHQSf";"https://music.apple.com/fr/album/la-flemme/1577604062?i=1577604902&uo=4"
"Loving";"Any light";"The light in you";2024;"LAST GANG RECORDS / MNRK";1707818985;1707819078;;"https://open.spotify.com/track/5mdZuqCT0gNdhRbwbxfTKR";
"Ryuichi Sakamoto";"Sweet revenge";"Interruptions";1994;"KAB AMERICA INC";1707819077;1707819366;;"https://open.spotify.com/track/2Dlg83AmiI13xvx1ueBV1A";
"Cousin Kula";"Double dinners";"Babyback";2021;"RHYTHM SECTION INTERNATIONAL";1707819363;1707819664;;"https://open.spotify.com/track/4UPulYBuJspsolW49Qzhgd";
"Cat Power";"What The World Needs Now";"What the world needs now";2018;"DOMINO RECORDING CO";1707819658;1707819803;;"https://open.spotify.com/track/0x7EvWqUCbSspdAmYocBOs";
"Vanessa Wagner";"Ravel : Oeuvres pour piano";"Ma mère l'Oye : Laideronnette impératrice des pagodes";2013;"APARTE";1707819802;1707819983;;;
"Omara Portuondo";"Omara Portuondo y Chucho Valdés/Desafios";"Indestructible";1997;"NUBENEGRA";1707819982;1707820191;;"https://open.spotify.com/track/7ihXDPJWNk7sFB9NghY4gD";
"John Coltrane";"Ballads";"Autumn serenade";1963;"IMPULSE";1707820189;1707820446;"https://www.deezer.com/track/1085240";"https://open.spotify.com/track/3lrcl8bNSUkHMjHEtP5yC1";
"Nujabes";"Spiritual state";"Color of autumn";2011;"HYDEOUT PRODUCTIONS";1707820442;1707820544;;"https://open.spotify.com/track/2u93OtblDZphLnmRFjBeeg";
"Francoiz Breut";"A l'aveuglette";"L'automne avant l'heure";2008;"T-REC";1707820540;1707820849;;"https://open.spotify.com/track/3PBvNYjDkCdMvBEKVe9Bu0";
"The Polyphonic Spree";"Salvage Enterprise";"Section 49 (hop off the fence)";2023;"GOOD RECORDS RECORDINGS";1707820847;1707821055;;"https://open.spotify.com/track/6CO68n0PSg9YAeGEFlGs5e";"https://music.apple.com/fr/album/section-49-hop-off-the-fence/1705065928?i=1705066446&uo=4"
"Yann Tiersen";"Le phare";"Monochrome";1997;"LABELS/VIRGN";1707821051;1707821251;;;
"Apparat";"The devil's walk";"Goodbye";2011;"MUTE RECORDS";1707821235;1707821489;;;
"Reuben Vincent";"Love is war";"February 13th (feat. Rapsody)";2023;"JAMLA RECORDS, UNDER EXCLUSIVE LICENSE TO ROC NATION RECORDS, LLC";1707821482;1707821754;;;"https://music.apple.com/fr/album/february-13th-feat-rapsody/1654821414?i=1654821730&uo=4"
"Jay-Jay Johanson";"Whiskey";"Mana mana mana mana";1997;"BMG";1707821753;1707822068;;;
"The Stance Brothers";"Duktus";"Attraction";2023;"WE JAZZ RECORDS";1707822065;1707822281;"https://www.deezer.com/track/2440288275";"https://open.spotify.com/track/5T6iI9rFwAq8snhaXAs7Z5";"https://music.apple.com/fr/album/attraction/1705890367?i=1705890889&uo=4"
"Malik Djoudi";"Tempéraments";"Histoires d'autres";2019;"CINQ 7";1707822280;1707822500;;"https://open.spotify.com/track/3xOh2hwLrq9bSJUx5TbSf8";
"Isaac Delusion";"Lost and found";"Valse";2024;"DELUSION RECORDS / ALLO FLORIDE UNDER EXCLUSIVE LICENSE TO 3EME BUREAU / WAGRAM MUSIC";1707822497;1707822746;"https://www.deezer.com/track/2537598571";"https://open.spotify.com/track/7Cq9DCxlUGTn6qgS0ioeWH";
"Hany Mehanna";"Music for airplanes";"Al dawama (Opening theme)";1973;"SOUMA RECORDS";1707822743;1707822868;;;
"Peter Cat Recording Co";"Portrait of a time: 2010-2016";"Copulations";2017;"PANACHE RECORDS";1707822866;1707823107;;;
"Chet Baker";"The best of Chet Baker sings";"I get along without you very well";1954;"PACIFICJAZZ";1707823105;1707823282;"https://www.deezer.com/track/97374862";;
"Sophie Karthauser";"Claude Debussy : Harmonie du soir";"Nuit d'étoiles L 2 (4) - pour soprano et piano";2018;"HARMONIA MUNDI";1707823281;1707823428;;;
"Katherine Tinker";"BOF / Phantom thread";"Phantom thread : Endless superstition";2017;"NONESUCH";1707823427;1707823610;;;
"Al Green";"Sweet 70's soul groove";"Something";1976;"BLOW RECORDINGS";1707823608;1707823870;;"https://open.spotify.com/track/0voaK1qqAxuYHl3Av0Fnk8";
"Tim Buckley";"Morning glory / Anthology";"Who could deny you";1974;;1707823866;1707824124;;;
"Rhoda Scott";"Movin' blues";"Caravan";2020;"SUNSET RECORDS / L'AUTRE DISTRIBUTION";1707824122;1707824464;;"https://open.spotify.com/track/3Vw4c9lvTaI0jT4bOAboAW";
"Oddisee";"The good fight";"That's love";2015;"MELLO MUSIC GROUP";1707824462;1707824708;;"https://open.spotify.com/track/5tI34BaM6pEPl2l0fm4jga";"https://music.apple.com/fr/album/thats-love/969829649?i=969829650&uo=4"
"Jordan Rakei";"Flowers";"Flowers";2023;"DECCA RECORDS";1707824701;1707824860;"https://www.deezer.com/track/2505647521";"https://open.spotify.com/track/5qLrPj4UgxfXDQ8eMCrepp";
"Tour-Maubourg";"Spaces of silence";"L'hiver";2023;"PONT NEUF RECORDS";1707824860;1707825101;;"https://open.spotify.com/track/2a5u4ZejTXWuKefIwVt420";
"Radiohead";"Kid A";"Kid A";2000;"EMI";1707825093;1707825368;;"https://open.spotify.com/track/3QDahKSqLwYJYQRbILdzS6";"https://music.apple.com/fr/album/kid-a/1097862870?i=1097863120&uo=4"
"Fairouz";"Fairouz/Maarifti feek|Chat iskandaria";"Ma kdirt nseet";1989;"RELAX-IN INTERNATIONAL";1707825367;1707825635;;;
"Ennio Morricone";"Bof / Musiques de films composees par Ennio Morricone";"Il buono il brutto, il Cattivo - Titoli di testa";2005;"MK2 MUSIC";1707825632;1707825794;;;
"Jose Feliciano";"La musique de Paris derniere /Vol.2";"I Can't Get No Satisfaction";1972;"NAIVE";1707825789;1707825987;;;
"Kieran Thorpe";"A room with a view";"All of this talking";2021;"SPINNUP";1707825986;1707826276;;;"https://music.apple.com/fr/album/all-of-this-talking/1635108310?i=1635109118&uo=4"
"Lou Barlow";"Brace The Wave";"Wave";2015;"DOMINO RECORDING CO LTD";1707826275;1707826446;;"https://open.spotify.com/track/1FBkYfrGvZmgA7VczXL72P";
"Etta Baker";"Railroad Bill";"Browns boogie";1999;"MUSIC & MAKER";1707826444;1707826594;"https://www.deezer.com/track/1649756322";"https://open.spotify.com/track/75OChytSTkZbUir4KjiSH3";"https://music.apple.com/fr/album/browns-boogie/5353154?i=5353130&uo=4"
"Crayon";"House of groove";"U & I";2023;"ROCHE MUSIQUE";1707826594;1707826809;;"https://open.spotify.com/track/1uGIHeoKcetmxF5KOPmz5d";
"Rupert Cox";"Search Party";"Gold (feat. Mohan Evans)";2023;"ALBERT'S FAVOURITES";1707826807;1707827050;;;"https://music.apple.com/fr/album/gold-feat-mohan-evans/1713704680?i=1713704686&uo=4"
"Devo";"Q: Are we not men? a: We are devo / Devo live";"Satisfaction";1978;"WARNER";1707827046;1707827205;"https://www.deezer.com/track/2307012905";;
"Surprise Chef";"Friendship";"Friendship Theme";2023;"BIG CROWN";1707827205;1707827394;;"https://open.spotify.com/track/2lXUiUE3GHldPfFPK6LGaN";"https://music.apple.com/fr/album/friendship-theme/1674255460?i=1674255713&uo=4"
"Tamaradah";"Ertévé";"Abebayehosh";2023;"AUTOPRODUCTION";1707827392;1707827621;"https://www.deezer.com/track/2285812107";"https://open.spotify.com/track/3x0vX42geAwiciai5LbceH";
"La Caravane Passe";"Hôtel Karavan";"Rame dans l'métro (feat. Aalma Dili)";2023;"STUDIO TITO / BUDDE MUSIC";1707827620;1707827782;;;
"Stonewall Jackson";"The essential Stonewall Jackson";"For the last time";1961;"COLUMBIA NASHVILLE LEGACY";1707827782;1707827915;;;
"Whatitdo Archive Group";"Palace of a thousand sounds";"Delirium";2023;"RECORD KICKS";1707827914;1707828179;;"https://open.spotify.com/track/7o75h0UalHvLI6Gjwp13ad";
"Michael Jackson";"Motown : The complete n° 1's / CD 3 & 4";"Got to be there";1973;"MOTOWN";1707828178;1707828380;"https://www.deezer.com/track/2718741";;
"Curtis Harding";"If words were flowers";"Explore";2021;"ANTI RECORDS";1707828378;1707828660;;"https://open.spotify.com/track/15fow3n2T8cgsPH9FBItjL";
"Ornette";"Crazy";"Crazy";2011;"DISCOGRAPH";1707828656;1707828829;;"https://open.spotify.com/track/3ENsBRdklK5dpX6VntDebJ";
"Hey Hey My My";"High life";"Dal canale";2023;"VIETNAM / WAGRAM MUSIC";1707828829;1707829010;;"https://open.spotify.com/track/5PTRaYeJwDqa9ok23h9auQ";
"June Milo";"Parfaite";"Bleu";2023;"SIXIEME ETAGE";1707829006;1707829210;;"https://open.spotify.com/track/5Do59PdlTo8e79bDxrIhpZ";
"Baxter Dury";"The Night Chancers";"Sleep People";2020;"PIAS";1707829210;1707829385;;"https://open.spotify.com/track/10l43SzwZpaugeFtFTJ40w";
"Céu";"Caravana sereia bloom";"Falta de ar";2012;"SIX DEGREES";1707829381;1707829616;"https://www.deezer.com/track/16842115";"https://open.spotify.com/track/2rgGrjUZnAY3A4p52WA1c2";
"Les Baxter";"Ultra-lounge, A bachelor in Paris";"The clown on the eiffel tower";1996;"CAPITOL";1707829615;1707829736;"https://www.deezer.com/track/143235952";"https://open.spotify.com/track/7x9xyQLr1tlGnNkfoVEIwc";
"The Beach Boys";"Abstract funk theory";"God only knows";1966;"EMI";1707829735;1707829910;;;"https://music.apple.com/fr/album/god-only-knows/725823104?i=725823889&uo=4"
"Shir Frum";"Party pooper";"Don't need a pen";2023;"RAW TAPES";1707829902;1707830040;"https://www.deezer.com/track/2124240037";"https://open.spotify.com/track/1xiaSACxN2Q7hC76C03reA";"https://music.apple.com/fr/album/dont-need-a-pen/1667944259?i=1667944262&uo=4"
"Flavien Berger";"Sapon";"Sapon";2023;"PAN EUROPEAN RECORDINGS";1707830037;1707830233;"https://www.deezer.com/track/2521119241";"https://open.spotify.com/track/5hNK7NeURb8ZVYBD2vZuiU";"https://music.apple.com/fr/album/sapon/1721325841?i=1721326429&uo=4"
"Ferenc Szecsodi";"Oeuvres pour violon et piano";"Caprice en Si bémol Maj op 1 n°13";2009;"HUNGAROTON";1707830228;1707830379;;;
"GoGo Penguin";"Everything is going to be ok";"Parasite";2023;"XXIM RECORDS";1707830378;1707830726;;"https://open.spotify.com/track/2YkTaRmBHnnoHyUAbNKLOC";
"Rodeo Spaghetti";"Bien salé";"Girls wanna have fun (remix)";2019;"ZE BOURGEOIZ / INOUI DISTRIBUTION";1707830722;1707830953;;;
"Orkes Teruna Ria";"Padang moonrise : The birth of the modern indonesian recording industry (1955-69)";"Bulan dagoan";2022;"SOUNDWAY RECORDS LTD";1707830953;1707831147;;"https://open.spotify.com/track/5GRZf7VVxSQQnzasu0nnZu";
"Corduroy";"Return of the fabric four";"Blackmail";2018;"ACID JAZZ";1707831145;1707831279;;"https://open.spotify.com/track/0CjE8Jqli3snNKjH1CGnfH";"https://music.apple.com/fr/album/blackmail/1435901981?i=1435901986&uo=4"
"Algebra Suicide";"Still life";"After Rilke";1987;"DARK ENTRIES";1707831279;1707831411;;;
"Philippe Katerine";"Confessions";"La converse avec vous";2019;"WAGRAM";1707831407;1707831628;;"https://open.spotify.com/track/45m1P2S3U0u9ngCflxGgnN";
"Frollein Smilla";"Great disaster";"Schon immer lauter";2021;"AUTOPRODUCTION";1707831627;1707831790;;"https://open.spotify.com/track/024wuHNHS8jPtDCpvTYjrH";
"Akira Ishikawa";"Back to rhythm";"Boogie on raggae woman";1975;"MR BONGO";1707831790;1707832106;;;
"Jean Knight";"The complete Stax / Volt singles :Volume 2 1968-1971Disc 7";"Mr. big stuff";1971;"STAX";1707832104;1707832256;"https://www.deezer.com/track/1157856";"https://open.spotify.com/track/2Bls0igCm79XQQ95IoUbhq";"https://music.apple.com/fr/album/mr-big-stuff/314041389?i=314041448&uo=4"
"Cecile Campbell";"Studio One - Rocksteady";"Whisper to me";2014;"SOUL JAZZ RECORDS";1707832255;1707832373;"https://www.deezer.com/track/117250316";;"https://music.apple.com/fr/album/whisper-to-me/807427655?i=807427709&uo=4"
"Stranded Horse";"Grand rodeo";"Rumba du trépas";2021;"ICI D'AILLEURS";1707832371;1707832585;;"https://open.spotify.com/track/1wFlyiMduTGwQd2m48OvLP";
"Blundetto";"Good good things";"Paseo";2020;"HEAVENLY SWEETNESS";1707832583;1707832841;;"https://open.spotify.com/track/7qOJhAVjTaEOLKLhULaMnh";
"Sandy Bull";"Vanguard Visionaries";"Last date";1972;"VANGUARD RECORDS";1707832741;1707832895;;;
"Helado Negro";"Phasor";"I just want to wake up with you";2024;"4AD";1707832894;1707833121;;"https://open.spotify.com/track/2Zh41da2DWv7HnUkM7LLxY";
"Parental";"Survive";"Survive";2019;"HIP DOZER";1707833119;1707833265;;"https://open.spotify.com/track/6fumWEOf1k1lTILdTpkozl";
"James Brown";"The CD of JB/Sex machine & other soul classics";"The payback";1973;"POLYDOR";1707833257;1707833456;;"https://open.spotify.com/track/5OcyX5eg7VrJuI833qOCUc";
"Sharon Jones And The Dap Kings";"Mojo presents :  sticky soul fingers - a rolling stones tribute";"Wild horses";2012;"MOJO RECORDS";1707833451;1707833781;;;
"Bacao Rhythm & Steel Band";"BRSB";"Love$ick";2024;"BIG CROWN RECORDS";1707833774;1707833937;"https://www.deezer.com/track/2540888971";"https://open.spotify.com/track/5FbgCaHW4BNEB1IRm8yDAX";
"Calypso Rose";"Calypso soundsystem";"Abatina";2016;"BECAUSE MUSIC";1707833936;1707834184;;"https://open.spotify.com/track/2bPdJqmpRMqKMNgYHC9JEl";
"Teme Tan";"Quand il est seul";"SAGE";2023;"PIAS";1707834176;1707834399;;"https://open.spotify.com/track/7DZ4JYcbfMZLDjPw19pqdg";"https://music.apple.com/fr/album/sage/1699856978?i=1699858550&uo=4"
"Jeanne Added";"By your side";"Play again";2022;"NAIVE";1707834395;1707834536;"https://www.deezer.com/track/1839640617";"https://open.spotify.com/track/3oou2DZt25xAX5qxaU0sEE";"https://music.apple.com/fr/album/play-again/1636713534?i=1636714126&uo=4"
"Bo/Vampyros Lesbos";"Nova fait son cinéma";"Necromania (du film : Vampyros lesbos)";1971;"MK2";1707834535;1707834661;;;
"Queen";"Queen I";"Keep yourself alive";1973;"UNIVERSAL INTENATIONAL MUSIC";1707834662;1707834888;"https://www.deezer.com/track/2108750707";"https://open.spotify.com/track/6WKoOXecrcYW8RmerNCxFB";
"Kate Bollinger";"Running";"Running";2022;"GHOSTLY INTERNATIONAL";1707834883;1707835063;;"https://open.spotify.com/track/5VRGp1W4cpQ0kO3HWLsafP";
"Meskerem Mees";"Julius";"Joe";2021;"MAYWAY RECORDS";1707835062;1707835253;;"https://open.spotify.com/track/0uLrfjlCV5eCQcEwwmz8uX";
"Olivier Gotti";"A way to win";"Prelude to the darkness";2018;"AHEAD";1707835252;1707835376;;"https://open.spotify.com/track/27B42jbe6UEK0LLr3fQAWX";
"Blur";"Think tank";"Out of time";2003;"EMI";1707835367;1707835591;;"https://open.spotify.com/track/79PrPZu9zWyc1qwUwXchVl";
"Rihanna";"Anti";"Yeah, I said it";2016;"VIRGIN";1707835584;1707835774;;"https://open.spotify.com/track/7eDYNlBwRMeFOZHOZ95dZ1";"https://music.apple.com/fr/album/yeah-i-said-it/1440933869?i=1440934101&uo=4"
"Prince";"Lovesexy";"I wish u heaven";1988;"PAISLEY PARK";1707835712;1707835876;"https://www.deezer.com/track/1645932672";"https://open.spotify.com/track/5dlrFYTfvw152C11DPch1P";
"The Velvet Underground";"The Velvet Underground & Nico";"I'll be your mirror";1967;"POLYDOR";1707835875;1707836002;"https://www.deezer.com/track/61292507";"https://open.spotify.com/track/4PINSJIlBWsnVeveicq1S8";
"Tsegue Maryam Guebrou";"Ethiopie/Ethiopiques vol 21/Ethiopia song/Guebrou Tsegue-Maryam";"The song of Abayi";;"BUDA MUSIQUE";1707836000;1707836188;;;
"Voyou";"Le bal";"Le bal (feat. Vanessa Paradis)";2024;"COLUMBIA";1707836187;1707836395;;"https://open.spotify.com/track/1xbQtvSGHe7D65CMFT47ac";"https://music.apple.com/fr/album/le-bal-feat-vanessa-paradis/1722296773?i=1722297228&uo=4"
"Moondog";"Moondog";"Voices of spring";1969;"CBS";1707836391;1707836498;;;
"Scott Ross";"Bach Keyboard Works Scott Ross / CD 07";"Variations Goldberg BWV 988 : Variation n°23 - pour clavecin";2019;"ERATO";1707836497;1707836646;;;
"Bjork";"Post";"Possibly maybe";1995;"BARCLAY";1707836645;1707836935;"https://www.deezer.com/track/2629694232";"https://open.spotify.com/track/1tuyf2jFaU9kFevnSiMzGh";
"Yaya Bey";"Chasing the bus";"Chasing the bus";2024;"BIG DADA";1707836928;1707837113;;"https://open.spotify.com/track/2nvb9TWAONy5kzsqEUyT2z";
"Sly & Robbie";"Stepper takes the taxi (cd promo)";"Taxi to Paris";2013;"TAXI TABOU 1";1707837112;1707837363;;"https://open.spotify.com/track/5d6cVwAJ7OFnZX42gBSBt2";
"Disiz La Peste";"BOF / Taxi 2";"Taxi 2 : Lettre ouverte";2000;"DELABEL";1707837359;1707837541;;;
"Garry Miles";"Spar records story";"Mr. Taxicab driver";;"SPAR";1707837540;1707837683;;;
"Joni Mitchell";"Ladies of the canyon";"Big yellow taxi";1970;"REPRISE RECO";1707837680;1707837815;;;"https://music.apple.com/fr/album/big-yellow-taxi-lp-version/41230235?i=41230239&uo=4"
"Theo Champion";"Haven't you heard the news";"Haven't you heard the news";2023;"AUTOPRODUCTION";1707837815;1707838015;"https://www.deezer.com/track/2401235325";"https://open.spotify.com/track/2z5QK7pOD1bPMnnj8sLZuO";"https://music.apple.com/fr/album/havent-you-heard-the-news/1701579332?i=1701579333&uo=4"
"Bill Callahan";"Ytilaer";"Everyway";2022;"DRAG CITY";1707838015;1707838341;;"https://open.spotify.com/track/3DbB6vZBmoqrwPbDZd0LbQ";"https://music.apple.com/fr/album/everyway/1634547038?i=1634547041&uo=4"
