"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Molly Lewis";"On the lips";"Lounge lizard";2024;"JAGJAGUWAR";1710151024;1710151250;"https://www.deezer.com/track/2507483961";"https://open.spotify.com/track/56xlGPNxws5a7RiRf1D9i3";
"Eydie Gorme Y Trio Los Panchos";"B.O.F./Girl in progress";"Sabor a mi";2012;"ARTISTS ADDICTION RECORDS";1710151238;1710151405;;;
"Melingo";"Santa milonga";"Leonel el feo";2004;"MANANA";1710151403;1710151562;;"https://open.spotify.com/track/0Td0jniE1aL7JUVdMuAs7F";
"Merryn Jeann";"Dog beach";"Pigeons are doves";2024;"RESCUE / RETURN RECORDS";1710151560;1710151830;;"https://open.spotify.com/track/2b701dL18JH0Qhb5ZdMTqU";
"Adrien Brandeis";"Siempre mas alla";"Tierra de oportunidades";2022;"MANTODEA MUSIC PRODUCTIONS";1710151828;1710152051;"https://www.deezer.com/track/1895839117";"https://open.spotify.com/track/75Q3GT0IGyhYB9znLl0qBN";
"Clora Bryant";"Gal with a horn";"This can't be love";1957;"MODE";1710152045;1710152316;"https://www.deezer.com/track/11814175";"https://open.spotify.com/track/1modGJQhZMMs6NDrDZJtng";"https://music.apple.com/fr/album/this-cant-be-love/63590174?i=63590165&uo=4"
"Boris Vian";"Boris Vian chante Boris Vian/Et ses interpretes";"Complainte du progrès";1956;"POLYGRAM";1710152314;1710152477;;;
"Mina Agossi";"Fresh";"Fridge";2014;"PLUS LOIN MUSIC";1710152474;1710152688;"https://www.deezer.com/track/1698746117";"https://open.spotify.com/track/5ReEhU58CVKwe2V9ELoAO3";
"The Rolling Stones";"Emotional rescue";"She's so cold";1980;"CBS";1710152686;1710152937;;;"https://music.apple.com/fr/album/shes-so-cold-2009-remaster/1440811505?i=1440812177&uo=4"
"The Articallers";"Looking for the sun";"Looking for the sun";2024;"ZANDOLI RECORDS";1710152935;1710153208;"https://www.deezer.com/track/2615307032";"https://open.spotify.com/track/59zt5N7l41JoEl528jWsmd";"https://music.apple.com/fr/album/looking-for-the-sun/1725126574?i=1725126575&uo=4"
