"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer";"youtube"
"CHRISTOPHE CHASSOL";"X-pianos";"12 secondes";"";"TRICATEL";1718481568;1718481605;;;;
"Radiohead";"OK Computer";"Exit music (for a film)";"1997";"PARLOPHONE";1718481578;1718481823;"https://music.apple.com/fr/album/exit-music-for-a-film/1097861387?i=1097861833&uo=4";"https://open.spotify.com/track/0z1o5L7HJx562xZSATcIpY";;
"Radiohead";"OK Computer";"Exit music (for a film)";"1997";"PARLOPHONE";1718481604;1718481859;"https://music.apple.com/fr/album/exit-music-for-a-film/1097861387?i=1097861833&uo=4";"https://open.spotify.com/track/0z1o5L7HJx562xZSATcIpY";;
"Kate Bush";"Never for ever";"Army dreamers";"1980";"EMI";1718481849;1718482022;"https://music.apple.com/fr/album/army-dreamers/696884485?i=696886774&uo=4";"https://open.spotify.com/track/2LTCVKCcbKQBoqofOkI0fB";;
"Grant Green";"Standards";"You stepped out of a dream";"1961";"BLUE NOTE";1718482018;1718482313;;;;
"Charles Bradley";"No time for dreaming";"No time for dreaming";"2011";"DAPTONE";1718482311;1718482480;;"https://open.spotify.com/track/2i9VoFfVb4Mjc0oMWTep0N";;
"Nina Hagen";"Irgendwo auf der welt";"Deep in a dream";"2006";"ISLAND";1718482475;1718482660;;;;
"Audrey Joumas";"Des nouvelles d’ailleurs";"Chaque minute";"2024";"AUTOPRODUCTION";1718482658;1718482873;;;;
"Jimmy Mc Griff";"Electric funk";"Back on the Track";"1969";"EMI";1718482870;1718483065;;;;
"Automatic";"Excess";"Teen beat";"2022";"STONES THROW RECORDS";1718483065;1718483271;"https://music.apple.com/fr/album/teen-beat/1607040683?i=1607041166&uo=4";"https://open.spotify.com/track/3HyhlfFMzfXjcDzI061LAM";;
"Scubba";"Bossa napraia";"Paradise city (Vibes edition)";"2007";"SUONI DI JATO";1718483270;1718483465;;;;
"Les Fouteurs De Joie";"Nos courses folles";"Nos courses folles";"2022";"ASSOCIATION LES FOUTEURS DE JOIE";1718483464;1718483546;"https://music.apple.com/fr/album/nos-courses-folles/1642972429?i=1642972436&uo=4";"https://open.spotify.com/track/53O1YX67Qsa2tkLvEO4mW1";;
"The Rhythm Slaves";"The earth (original mix)";"The earth (original mix)";"2024";"SOUSSOL RECORDS";1718483545;1718483915;;;;
"Mac  Demarco";"One Wayne G";"20200327";"2023";"MAC DEMARCO, LLC";1718483913;1718484038;;"https://open.spotify.com/track/0uAHp8lkf6viAb8CPqzqx9";"https://www.deezer.com/track/2238193977";
"Ben Howard";"Walking backwards";"Walking backwards";"2023";"TOT OU TARD";1718484032;1718484335;"https://music.apple.com/fr/album/walking-backwards/1676307365?i=1676307558&uo=4";"https://open.spotify.com/track/7CIaxkpPPSf4cRsLf4aFik";"https://www.deezer.com/track/2182354417";
"Holy Wave";"Five of cups";"Happier";"2023";"SUICIDE SQUEEZE RECORDS";1718484337;1718484577;;"https://open.spotify.com/track/0XbMwZsHBfDH9CeCctEqVW";"https://www.deezer.com/track/2242475307";
"Layo";"Tout résonne (acoustic version)";"Tout résonne (acoustic version)";"2023";"UPFULL MUSIC";1718484570;1718484725;"https://music.apple.com/fr/album/tout-r%C3%A9sonne-acoustic-version/1682342254?i=1682342698&uo=4";;"https://www.deezer.com/track/2235291777";
"Gotts Street Park";"On the inside";"Strawberry dream";"2023";"BLUE FLOWERS MUSIC";1718484719;1718484959;"https://music.apple.com/fr/album/strawberry-dream/1687137533?i=1687138943&uo=4";"https://open.spotify.com/track/2LUh9D8yjdXwZvmXcTf3ca";;
"Oxmo Puccino";"365 jours";"365 Jours";"2009";"CINQ7/WAGRAM";1718484957;1718485207;"https://music.apple.com/fr/album/365-jours/1550635630?i=1550635634&uo=4";"https://open.spotify.com/track/2jv4uTYClYDT51Z88wN4jF";"https://www.deezer.com/track/1212824772";
"Orchestre Symphonique De Londres";"French classics";"Pelléas et Mélisande op 80 : Suite : Andantino quasi allegretto";"2012";"NIMBUS";1718485234;1718485416;;;;
"Miranda Joan";"Overstimulated";"Zero gravity (feat. Sly5thAve)";"2023";"AUTOPRODUCTION";1718485414;1718485616;;;;
"Lucia Rango";"Lucia Rango canta Piero Ciampi";"Samba per un amore";"1967";"ANNI LUCE";1718485613;1718485743;;;;
"Manuel Laisne";"Caverne";"Conseil";"2024";"TFT LABEL";1718485741;1718485931;"https://music.apple.com/fr/album/conseil/1740777469?i=1740777492&uo=4";"https://open.spotify.com/track/4FtusFsZcQR2CthRNbEYLu";"https://www.deezer.com/track/2747225951";
"Hubert Laws";"The laws of jazz / Flute by-Laws";"Let her go";"1966";"ATLANTIC";1718485933;1718486136;;;"https://www.deezer.com/track/679273";
"Dean Martin";"The best of the capitol years 1952-1962";"Cha cha cha d'amour";"1961";"CAPITOL";1718486135;1718486271;;;;
"Michael Miglio";"Seafaring strangers (private yacht)";"Never gonna let you go";"1980";"NUMERO GROUP";1718486270;1718486420;"https://music.apple.com/fr/album/never-gonna-let-you-go/1664806621?i=1664806940&uo=4";"https://open.spotify.com/track/5LDysQO7wtl5rTdgCggcfj";"https://www.deezer.com/track/362390991";
"Lord$";"Speed it up";"Billy Joel";"2024";"TRICATEL";1718486415;1718486606;;"https://open.spotify.com/track/2jxppds8aXsvUN5ie8uwZg";;
"Kiefer";"Between days";"Work and purpose (feat. 10.4 ROG)";"2021";"STONES THROW";1718486611;1718486726;;;;
"Stereolab";"Cobra and phases group play voltage in the milky night";"Infinity girl";"1999";"ELEKTRA";1718486723;1718486957;"https://music.apple.com/fr/album/infinity-girl/1230503490?i=1230503751&uo=4";"https://open.spotify.com/track/3WTSLcPEeblgmfYWwri23d";"https://www.deezer.com/track/774152052";
"Jacqueline Taieb";"The french mademoiselle";"Bientot tu l'oublieras";"1967";"ANTHOLOGY'S";1718486956;1718487078;"https://music.apple.com/fr/album/bientot-tu-loublieras/74612176?i=74612148&uo=4";;;
"Owen Gray";"Soul Jazz records presents : Studio One rocksteady volume 2";"Give me a little sign";"1968";"SOUL JAZZ RECORDS";1718487085;1718487268;;;"https://www.deezer.com/track/137645227";
"Surprise Chef";"Friendship";"Spiky Boi";"2023";"BIG CROWN";1718487265;1718487383;;"https://open.spotify.com/track/2VvUwV9PDrli8uapBKPQOv";"https://www.deezer.com/track/2165866827";
"Les Abranis";"Amazigh Freedom Rock (1973 – 1983)";"Mmliyi kan";"2023";"BONGO JOE RECORDS";1718487381;1718487601;;;;
"Dina Ogon";"Orion";"Milton";"2024";"PLAYGROUND MUSIC SCANDINAVIA";1718487594;1718487799;;"https://open.spotify.com/track/0cv07WpYuaYebwH59T7kWd";;
"The Pretty Things";"The pretty things 1967-1971";"Summertime";"1971";"SEE FOR MILES";1718487793;1718488059;;;"https://www.deezer.com/track/68956616";
"Simon & Garfunkel";"Sounds of silence";"Anji";"1968";"CBS";1718488056;1718488189;;;;
"Sophye Soliveau";"Initiation";"Initiation II (Wonder why) (radio edit)";"2024";"AUTOPRODUCTION";1718488187;1718488392;;;;
