"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Johnny Cash";"The legend of Johnny Cash";"Ring of fire";"1963";"LOST HIGHWAY";1728986386;1728986541;"https://music.apple.com/fr/album/ring-of-fire/251001680?i=251002253&uo=4";"https://open.spotify.com/track/6YffUZJ2R06kyxyK6onezL";
"The Browns";"Country & western hit parade - 1957";"I heard the bluebirds sing";"1957";"BEAR FAMILY RECORDS";1728986537;1728986692;;;
"Ennio Morricone";"Bof : A Fistful of Dollars";"Titoli";"1964";"BMG";1728986691;1728986866;;;
"Elina Garanca";"Elina Garanca interprete Bellini Donizetti et Rossini";"Robert devereux : All'afflitto e dolce il pianto (Acte I) air de sara";"2009";"DEUTSCHE GRA";1728986865;1728987080;;;
"Balm & Lonny";"Dans les yeux d'E";"Dans les yeux d'E";"2024";"MSTW MUSIC";1728987073;1728987248;;;
"Orion Sun";"Orion";"Mary jane";"2024";"MOM+POP";1728987246;1728987452;"https://music.apple.com/fr/album/mary-jane/1754234463?i=1754234466&uo=4";"https://open.spotify.com/track/4FaMTfxjlh4xkF906mZeOj";
"Salt";"Saturday night fish fry - new orleans funk and soul";"Hung up";"1967";"SOUL JAZZ RECORDS";1728987449;1728987580;;;"https://www.deezer.com/track/1759830697"
"Lynyrd Skynyrd";"Second helping";"Sweet home Alabama";"1974";"MCA OU MCA RECORDS";1728987575;1728987853;;"https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg";
"Oasis";"Oasis";"We are people";"1973";"STARCROSSED MEDIA";1728987847;1728988202;"https://music.apple.com/fr/album/we-are-people/433021539?i=433021845&uo=4";;
"Cimafunk";"Terapia";"Ponte pa' lo tuyo";"2017";"AUTO PRODUCTION";1728988196;1728988428;;"https://open.spotify.com/track/2JBuywlueo2UIQrSziAw1A";
"Walter G";"Timbaleiro (single)";"Timbaleiro";"2023";"GROOVEBOM RECORDS";1728988427;1728988786;"https://music.apple.com/fr/album/timbaleiro/1695624394?i=1695624396&uo=4";;
"Arooj Aftab";"Night reign";"Autumn leaves (feat. James Francies)";"2024";"VERVE";1728988755;1728989039;"https://music.apple.com/fr/album/autumn-leaves-feat-james-francies/1739687886?i=1739688169&uo=4";"https://open.spotify.com/track/4A4BdAB3MPQhLn7MZZOSmW";
"Dean Martin";"Dino the essential Dean Martin";"Everybody loves somebody";"1964";"EMI";1728989033;1728989197;;"https://open.spotify.com/track/5I9sHwLDX28tLtzVgKLtpr";
"Alice Dona";"Alice Dona : Intégrale en français et inédits en langues étrangères / Succès 1963 - 1964";"C'est pas prudent";"1963";"EMI";1728989195;1728989349;;;"https://www.deezer.com/track/6627041"
"The Offline";"Les amis";"Les amis";"2024";"DEEPMATTER RECORDS";1728989345;1728989529;"https://music.apple.com/fr/album/les-amis/1755159187?i=1755159520&uo=4";"https://open.spotify.com/track/45RCxpqeO3UZ7OqF0ssWYJ";
"Stan Smith & Wipe The Needle";"Splash GDN";"Everything featuring doitall";"2024";"INNER TRIBE";1728989528;1728989795;;;
"Izy";"Irene";"They don't care";"2021";"HOPESTREET RECORDINGS";1728989792;1728990018;"https://music.apple.com/fr/album/they-dont-care/1547220998?i=1547221014&uo=4";"https://open.spotify.com/track/7yP3dkJ9SkbCslZHUI74ja";
"Homelife";"Interlude exotique";"Lincoln square";"2010";"MADWALTZ";1728990016;1728990210;;;
"Madeleine Peyroux";"Secular hymns";"More time";"2016";"IMPULSE / UNIVERSAL";1728990208;1728990411;;"https://open.spotify.com/track/2TaG40zx86SHIPLxvbXbdM";"https://www.deezer.com/track/132197990"
"Sharon Little";"Melody life : Trojan sisters";"Eddie my love";"1977";"TROJAN RECORDS";1728990407;1728990626;;;
"The Meters";"Struttin";"Cissy strut";"1969";"CHARLY";1728990619;1728990796;;"https://open.spotify.com/track/0WSlOSMLJWoWUpWci9nnRb";
"Polylogue From Sila";"Supertales";"Moonface (feat. Localblac)";"2024";"TAKE IT EASY AGENCY / SHARMA";1728990791;1728990963;"https://music.apple.com/fr/album/moonface-feat-localblac/1731865728?i=1731865737&uo=4";;
"Miki";"graou";"Echec et mat";"2024";"MIKI";1728990962;1728991128;"https://music.apple.com/fr/album/%C3%A9chec-et-mat/1756492323?i=1756492595&uo=4";"https://open.spotify.com/track/0G6lvIMuVEteFdNmndnU7w";"https://www.deezer.com/track/2884229482"
"Mieke Miami";"Birdland";"Whispering Pines";"2024";"SONAR KOLLEKTIV";1728991123;1728991322;;"https://open.spotify.com/track/76s89ocF4zMxNAqhQ7fj30";
"Khruangbin";"A la sala";"A love international";"2024";"DEAD OCEANS";1728991320;1728991575;;"https://open.spotify.com/track/3Bbb7sfVmXbJnuy75MidP3";
"Guru S";"Jazzmatazz";"State of clarity";"2007";"V2 MUSIC";1728991566;1728991774;;;
"Jaco Pastorius";"The essential Jaco Pastorius";"Come on, come over";"1976";"EPIC";1728991766;1728991997;;"https://open.spotify.com/track/4RflGBhUpxjrs2fMJD0QVX";
