"Artist";"Album";"Song";"Year";"start";"end";"deezer";"spotify";"Label";"itunes"
"Monster Rally";"Flower shower (ep)";"Wavebreak";2023;1708810158;1708810334;"https://www.deezer.com/track/2259961567";"https://open.spotify.com/track/6lx0WBE7Btd7hTMTgleYlc";"MONSTER RALLY";
"Lisbone";"Voyage voyage";"Voyage voyage";2020;1708810321;1708810540;;"https://open.spotify.com/track/3tOkkE3P5WGpaWJI7oe0Ji";"HELICE";"https://music.apple.com/fr/album/voyage-voyage-discolite-version/1550903963?i=1550903970&uo=4"
"The Moody Blues";"Radio Saigon";"Nights in white satin";1967;1708810530;1708810792;;;"ARCADE";"https://music.apple.com/fr/album/nights-in-white-satin-single-version-mono-mix/1452620328?i=1452620940&uo=4"
"Jonathan Wilson";"Eat the Worm";"Hey love";2023;1708810790;1708810960;"https://www.deezer.com/track/2298915105";"https://open.spotify.com/track/0XOTxsDCcLrzsoqdA7FP27";"BMG";"https://music.apple.com/fr/album/hey-love/1688714605?i=1688714615&uo=4"
"Automatic City";"Humdrum";"Get carter";2023;1708810957;1708811240;"https://www.deezer.com/track/2268751677";"https://open.spotify.com/track/1vDj6gashbW3H9kSYl474B";"WITA RECORDS";"https://music.apple.com/fr/album/get-carter/1686479208?i=1686479723&uo=4"
"Mavis Staples";"If all I was was black";"We go high";2017;1708811235;1708811437;"https://www.deezer.com/track/419823012";"https://open.spotify.com/track/1QrRtObHRaUMm4pqUDmexP";"ANTI";"https://music.apple.com/fr/album/we-go-high/1485069869?i=1485070027&uo=4"
"Naomi Shelton";"What have you done, my brother ?";"Lift my burdens";2009;1708811432;1708811613;;"https://open.spotify.com/track/5xxAv3WzNOH9vncCT32qkf";"DAPTONE RECO";
"Shivaree";"I oughtta give you a shot in the head for making me live in this dump";"Goodnight moon";2000;1708811607;1708811850;;;"CAPITOL";
"Adrian Younge & Ali Shaheed Muhammad";"Jazz is dead / Vol.11";"Pheonix (feat. The Midnight Hour)";2022;1708811848;1708812070;;;"JAZZ IS DEAD";
"Herbie Hancock";"Cantaloupe island";"Cantaloupe Island";1964;1708812079;1708812404;;;"BLUE NOTE";
"Claude Nougaro";"La note bleue";"Herbie hancock";2004;1708812395;1708812611;;"https://open.spotify.com/track/0pjVvDlPx1N2WLqaSlx17p";"BLUE NOTE";
"Rufus Wainwright";"Rufus Wainwright";"Matinee idol";1998;1708812605;1708812792;"https://www.deezer.com/track/1165047";"https://open.spotify.com/track/1XqFgLm68edZokMlz6kDPv";"DREAMWORKS RECORDS";
"Loving";"Any light";"Uncanney valley";2024;1708812790;1708812937;;;"LAST GANG RECORDS / MNRK";
"Quatuor Mandelring";"Mendelssohn : Intégrale de la musique de chambre pour cordes";"Quatuor à cordes en Mi bémol Maj MWV R 18 : Fugue";2015;1708812938;1708813183;;;"AUDITE SCHALLPLATTEN";
"Caetano Veloso";"Livro";"Livros";1997;1708813179;1708813448;;"https://open.spotify.com/track/3dYSv8frvQZN4s9uuXSyPq";"POLYGRAM";"https://music.apple.com/fr/album/livros/1583987769?i=1583987778&uo=4"
"Bim Sherman";"Miracle";"Simple life";1996;1708813446;1708813753;;"https://open.spotify.com/track/6WJScti7njsPAwYVbwV3NO";"MUSIDISC";"https://music.apple.com/fr/album/simple-life/382443167?i=382443475&uo=4"
"The Beatles";"A hard day's night";"And I love her";1964;1708813749;1708813896;;;"EMI";
"Bo/Vicky Cristina Barcelona";"Bof / Vicky Cristina Barcelona";"Gorrión";2008;1708813899;1708814082;;;"TELARC";
"Curtis Harding";"Face your fear";"Welcome to my world";2017;1708814081;1708814297;;"https://open.spotify.com/track/0SnqtELl1vwb3xytPxfso3";"ANTI / PIAS";
"Ric Wilson";"Clusterfunk";"Gimmi a minnit";2023;1708814293;1708814493;;"https://open.spotify.com/track/4br9UwNBONDE54VO6f2ar7";"FREE DISCO - EMPIRE";
"Emma-Jean Thackray";"Yellow";"The rings of Saturn";2021;1708814493;1708814693;;;"MOVEMENTT";
"Kiefer";"When there’s love around";"Crybaby";2021;1708814691;1708814978;"https://www.deezer.com/track/1367087982";"https://open.spotify.com/track/1cmT8FoyHG61aBeyPnAOF2";"STONES THROW";"https://music.apple.com/fr/album/crybaby/1564845297?i=1564845396&uo=4"
"Alexia Gredy";"Hors saison";"Un peu plus souvent";2022;1708814973;1708815176;;"https://open.spotify.com/track/3EFHeLHxLwBOILDkWSeeUz";"POLYDOR";
"Metronomy";"The english riviera";"Everything goes my way";2011;1708815176;1708815379;;"https://open.spotify.com/track/67wcAJeaNwGm0fcB4HzzYm";"BECAUSE";"https://music.apple.com/fr/album/everything-goes-my-way/425214849?i=425214866&uo=4"
"Tabu Ley Rochereau";"The voice of lightness";"Kasala";1969;1708815377;1708815598;;;"SYLLART PRODUCTION";
"Rahill";"Flowers at your feet";"Healing";2023;1708815600;1708815708;;"https://open.spotify.com/track/06VX8Gnt7kg4lBUWFhPucb";"BIG DADA";"https://music.apple.com/fr/album/healing/1660270914?i=1660270915&uo=4"
"Manu Katche";"Neighbourhood";"February sun";2005;1708815723;1708815999;;"https://open.spotify.com/track/7fRvhaGMO3Qdom8lo9DqRy";"ECM";
"Julie London";"A jazz calendar";"February brings the rain";1956;1708815992;1708816132;;;"CRISTAL RECO";
"Feist";"Let it die";"One Evening";2004;1708816130;1708816344;;"https://open.spotify.com/track/4Wo3ZATquIN6z4Zr1W4749";"POLYDOR";"https://music.apple.com/fr/album/one-evening/1443379135?i=1443379601&uo=4"
"Satellite Jockey";"Légère";"Légère";2024;1708816341;1708816613;"https://www.deezer.com/track/2605530902";"https://open.spotify.com/track/1VuKcAIEfTHQDGFVGggFQG";"ANOTHER RECORD";"https://music.apple.com/fr/album/l%C3%A9g%C3%A8re/1723858663?i=1723858887&uo=4"
"Afrique";"Afrique";"House of rising funk";1973;1708816616;1708816806;;;"MAINSTREAM";
"Isaac Hayes";"B.O.F / Shaft";"Theme from Shaft";1971;1708816798;1708817072;;;"EAST WEST";
"Young Mc";"Stone cold rhymin' (deluxe edition)";"Know how";1989;1708817068;1708817309;"https://www.deezer.com/track/83971949";"https://open.spotify.com/track/6Kk9SGnMMrpPPB0mDQ3CJz";"THE BICYCLE MUSIC COMPANY";
"Isaac Delusion";"Lost and found";"Premonitions";2024;1708817305;1708817524;;"https://open.spotify.com/track/3ODFoFj7hEmiWxLtVONcU6";"DELUSION RECORDS / ALLO FLORIDE UNDER EXCLUSIVE LICENSE TO 3EME BUREAU / WAGRAM MUSIC";
"Slowaxx";"Shapes interfusion";"Femmes";2023;1708817529;1708817805;;;"BROKEN DISTRICT";
"Astrud Gilberto";"I haven't got anything better to do";"Wailing of the willow";1969;1708817801;1708817939;"https://www.deezer.com/track/661516162";"https://open.spotify.com/track/30sof3WUBeyzfK6xklVz1V";"VERVE";"https://music.apple.com/fr/album/wailing-of-the-willow/1444106637?i=1444106837&uo=4"
"Chico Buarque";"Favourites 60 years on";"Samba de Orly (Orly samba)";1971;1708817929;1708818085;;;"UNIVERSAL";
"Alaaska";"Music for pool";"Music for pool";2023;1708818087;1708818312;;;"YUM YUM RECORDS";
"Antena";"Camino del sol";"Camino del sol";1982;1708818286;1708818509;"https://www.deezer.com/track/608615212";;"PERMANENT VACATION";"https://music.apple.com/fr/album/camino-del-sol/1447601761?i=1447601974&uo=4"
"Young Marble Giants";"Colossal youth";"Choci Loni";1980;1708818506;1708818660;"https://www.deezer.com/track/4315214";;"DOMINO RECORDING COMPANY";"https://music.apple.com/fr/album/choci-loni-taken-from-the-salad-days-album/256910773?i=256912458&uo=4"
"Alan Vega";"Alan Vega";"Juke-box babe";1981;1708818657;1708818950;;;"CELLULOID";
"John Barry";"B.O.F. / Midnight cowboy (Macadam Cowboy)";"Theme from Midnight cowboy";1969;1708818935;1708819098;;;"EMI";
"Goldie B";"Omakase Colors Vol.2";"Bae";2024;1708819093;1708819285;;"https://open.spotify.com/track/5L77jr7nYhLI1OJUAA8Xm9";"OMAKASE RECORDINGS";
"Prince Far & The Arabs";"Cry tuff dub encounter chapter 3";"Back weh";1980;1708819282;1708819552;;;"PRESSURE SOUNDS";
"Soom T";"The louder the better";"Don't make me";2023;1708819567;1708819772;"https://www.deezer.com/track/2337723855";"https://open.spotify.com/track/3yRgcsVCe0Qai5Guw2quNp";"RENEGADE MASTERS / X RAY PRODUCTIONS";"https://music.apple.com/fr/album/dont-make-me/1693793627?i=1693793628&uo=4"
"Andy Shauf";"Norm";"Telephone";2023;1708819765;1708819992;;"https://open.spotify.com/track/6kmeI9upOHk6TRSi2StNlr";"ANTI EPITAPH";
"New York Philharmonic Orchestra";"BOF / Comment je me suis disputé...(Ma vie sexuelle)";"Ravel: daphnis et chloé suite #2 - lever du jour";1995;1708819981;1708820321;;;"MILAN";
"Brenda Lee";"All the way";"If you love me";1962;1708820281;1708820447;;;"BRUNSWICK";
"Iggy Pop";"Après";"La vie en rose";2012;1708820445;1708820567;;;"THOUSAND MILE";"https://music.apple.com/fr/album/la-vie-en-rose/1648359258?i=1648359663&uo=4"
"Gorillaz";"Plastic beach";"Welcome to the world of the plastic beach";2010;1708820566;1708820779;;;"PARLOPHONE";
"Ferdi";"Romance";"Beach wear";2023;1708820778;1708820939;;"https://open.spotify.com/track/0RFkTMEhiqcekL5JNFPdad";"DABEULL RECORDS";
"The Cool Notes";"Have a good forever";"Natural energy";1985;1708820934;1708821240;;;"FUNKY TOWN GROOVES";
"New York Rock Ensemble";"Roll over / Freedomburger";"Don't wait too long";1972;1708821239;1708821425;;;"COLLECTOR'S CHOICE MUSIC";
"Marion Rampal";"Oizel";"Gare où va";2024;1708821421;1708821665;;"https://open.spotify.com/track/2j9lDrukygf7uWghx1UPwE";"LES RIVIERES SOUTERRAINES";"https://music.apple.com/fr/album/gare-o%C3%B9-va/1721394113?i=1721395181&uo=4"
"Atlantis Jazz Ensemble";"Celestial suite";"Joyful noise";2023;1708821664;1708821954;"https://www.deezer.com/track/2442276135";"https://open.spotify.com/track/6ojo9SWqd586E6ma0sFmA0";"MARLOW RECORDS";
"Etta James";"Heart & soul a retrospective";"A sunday kind of love";1960;1708821954;1708822150;;"https://open.spotify.com/track/0zGLlXbHlrAyBN1x6sY0rb";"HIP-O SELECT";"https://music.apple.com/fr/album/a-sunday-kind-of-love/556032390?i=556032398&uo=4"
"Nuyorican Soul";"I am black gold of the sun";"I am black gold of the sun (4 hero remix)";1997;1708822147;1708822663;;;"TALKING LOUD";
"Vinyl Williams";"Cosmopolis";"Telaculum";2022;1708822649;1708822945;;"https://open.spotify.com/track/7Mxik7cVbBRpUydp0xEA8Y";"REQUIEM POUR UN TWISTER";"https://music.apple.com/fr/album/telaculum/1640033776?i=1640033784&uo=4"
"Orchestre De Paris";"Georges Bizet : Oeuvres orchestrales";"Petite suite : Trompette et tambour """"Marche"""" - pour orchestre / d'après """"Jeux d'enfants"""" op 22 pour 2 pianos / avec parties de timbales révisées";2010;1708822958;1708823098;;;"VIRGIN CLASS";
"Eric Demarsan";"Le cercle rouge [1970]";"De la prison au train";1970;1708823097;1708823160;;;"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";"https://music.apple.com/fr/album/de-la-prison-au-train/1442341962?i=1442343360&uo=4"
"Michel Legrand";"Porte-plume / Les interprètes de Claude Nougaro (1956-2009)";"Alcatraz";1964;1708823158;1708823359;;"https://open.spotify.com/track/7HqbAhHZcNRmeuS9K2wbu5";"UNIVERSAL MUSIC";
"Eric Clapton";"No reason to cry";"County jail blues";1976;1708823359;1708823592;;"https://open.spotify.com/track/19noGrlSB511Liano7zALJ";"RSO";
"Theo Champion";"Dolorès";"Dolores";2023;1708823593;1708823757;"https://www.deezer.com/track/2381521855";"https://open.spotify.com/track/1ptIVEnmA0a0dwB8Tnl7WD";"Ligo Kyma";
"Mac Demarco";"Five easy hot dogs";"Vancouver";2023;1708823754;1708823908;"https://www.deezer.com/track/2106872677";"https://open.spotify.com/track/1jgXlak638M7YBsdpLnRCD";"MAC RECORDS LABEL";
"Pale Jay";"Bewilderment";"In your corner";2023;1708823906;1708824126;;"https://open.spotify.com/track/4HPP042w1tLbGGqqVGVfHE";"KARMA CHIEF RECORDS";"https://music.apple.com/fr/album/in-your-corner/1692950684?i=1692951288&uo=4"
"The Frightnrs";"Nothing more to say";"Hey brother (do unto others)";2016;1708824121;1708824357;"https://www.deezer.com/track/779499032";"https://open.spotify.com/track/07rdGJ1AqErux9b45aE7C9";"DAPTONE RECORDS";"https://music.apple.com/fr/album/hey-brother-do-unto-others/1485041960?i=1485041971&uo=4"
"Monie Love";"Down to earth";"It's a shame [my sister]";1990;1708824360;1708824581;;;"CHRYSALIS";
"Apifera";"6 visits";"L.O.V.E";2021;1708824578;1708824816;;"https://open.spotify.com/track/5bpAo2gy53fBradxb5L9qm";"STONES THROW";
"Poppy Fusee";"Better place";"Pesanteur";2024;1708824810;1708824964;"https://www.deezer.com/track/1570116862";"https://open.spotify.com/track/0PvRNAwyiZWBoBqZp3qtWw";"UN PLAN SIMPLE";"https://music.apple.com/fr/album/pesanteur/1706982633?i=1706983034&uo=4"
"Aldous Harding";"Designer";"Weight of the planets";2019;1708824963;1708825230;"https://www.deezer.com/track/667051352";"https://open.spotify.com/track/1l5sITewMRl7AVtep3M3XO";"4AD";
"Julien Daian Quintet";"FIP sacré français !";"Trop c'est trop";2023;1708825230;1708825393;;;"WAGRAM MUSIC";
"Cotonete";"Victoire de la musique";"Venezuela";2024;1708825391;1708825740;;"https://open.spotify.com/track/5MiroiiGhMht59cRjD3Ldj";"Heavenly Sweetness";
"Marcos Valle";"Previsao do tempo";"Tira a mao";1973;1708825731;1708825894;;"https://open.spotify.com/track/5M3jpSxwG2IGFKZMPyiB4D";"EMI";
"10 CC";"10cc /  Sheet music";"The worst band in the world";1972;1708825892;1708826054;;;"DCC COMPACT";
"James Righton";"Jim, I'm still here";"Touch";2022;1708826052;1708826287;;"https://open.spotify.com/track/33kFfp9eIh7dTcJfJI6Om6";"DEEWEE / BECAUSE";"https://music.apple.com/fr/album/touch/1614244940?i=1614245197&uo=4"
"Prince";"Around the world in a day";"Pop life";1985;1708826286;1708826506;"https://www.deezer.com/track/775733";"https://open.spotify.com/track/6Zs3F2lrr3L3kugrniFG5R";"WARNER";
"Azmari";"Maelström";"Hadashi";2023;1708826514;1708826658;"https://www.deezer.com/track/2417162805";"https://open.spotify.com/track/6mZd6JPZpwzIhMKFdYjmy4";"SDBAN ULTRA";
"Anoushka Shankar";"Traces of you";"Traces of you (feat Norah Jones)";2013;1708826657;1708826878;;;"DEUTSCHE GRAMMOPHON";
"The Party Poops";"BOF / The party";"Party poop";1968;1708826878;1708827027;;;"RCA";
"Les Freres Jacques";"Les fesses / Mythologie";"Tout en glissant";1975;1708827025;1708827171;"https://www.deezer.com/track/118051812";"https://open.spotify.com/track/7MyJF3lSkoLcvZT3U6hvNC";"ARION";"https://music.apple.com/fr/album/tout-en-glissant/1078637112?i=1078637125&uo=4"
"Joan Yarbrough";"Pieces russes pour piano a 4 mains et 2 pianos";"Suite pour 2 pianos op 13 : Valse";1984;1708827171;1708827438;;;"PANTHEON";
"Jockstrap";"Wicked city";"Yellow in green";2020;1708827438;1708827634;;"https://open.spotify.com/track/2T3cWZapxTv9TglJPkCPLF";"WARP";
"Shirley Bassey";"Le liquidateur (film)";"The liquidator";1965;1708827634;1708827774;;;"MGM";
"Tom Jones";"What's new pussycat?";"Some other guy";1965;1708827772;1708827923;"https://www.deezer.com/track/417352082";"https://open.spotify.com/track/6CqHUnE9gIEYjnZgn8bmPM";"LONDON";
"Stereophonics";"Oochya!";"Jack in a box";2022;1708827923;1708828061;;"https://open.spotify.com/track/06xG3nPKeIL4zE0gKhlEwF";"IGNITION RECORDS LTD";
"Gruff Rhys";"Sadness sets me free";"I ll keep singing";2024;1708828060;1708828204;;;"ROUGH TRADE RECORDS";
"Baptiste Trotignon";"Brexit Music";"Drive My Car";2023;1708828196;1708828381;"https://www.deezer.com/track/2254646617";"https://open.spotify.com/track/2UqjB852n1IxWh2GDbyD9u";"Naïve";"https://music.apple.com/fr/album/drive-my-car/1684561458?i=1684561464&uo=4"
"David Soul";"David Soul";"Landlord";1976;1708828378;1708828562;"https://www.deezer.com/track/10732316";"https://open.spotify.com/track/48x2IDIr97tiMf29MAE8hz";"PRIVATE STOCK RECORDS";
"Waylon Jennings";"BOF / Starsky et Hutch";"I'm a ramblin' man";1974;1708828562;1708828726;;"https://open.spotify.com/track/24uwABPWPejBuvFL4tMkvD";"TVT SOUNDTRAX";"https://music.apple.com/fr/album/im-a-ramblin-man/385558807?i=385558970&uo=4"
"Divers";"60's 70's 80's & 90's TV Hits !";"Starsky and Hutch (Tv Series Theme)";;1708828724;1708828922;;;"BEAT BOUTIQUE";
"Junior Murvin";"B.O.F. / After the sunset (coup d'eclat)";"Police and thieves";1977;1708828920;1708829151;;;"PIAS";
"Serge Gainsbourg";"De Gainsbourg a gainsbarre : Vol 8 : 1979-1980-1981";"Bana basadi balalo";1981;1708829146;1708829322;"https://www.deezer.com/track/111347834";;"PHONO";
"Miira";"XX99";"XX99";2023;1708829320;1708829458;"https://www.deezer.com/track/2647151652";"https://open.spotify.com/track/7A1bjhoH8nAlNgseqdulEz";"WEDGE";"https://music.apple.com/fr/album/xx99/1728918184?i=1728918547&uo=4"
"Initials Mb";"Bang Bang !";"Goodbye lazy";2023;1708829456;1708829716;"https://www.deezer.com/track/2507619281";"https://open.spotify.com/track/568wKgZ3ndzIYd3zMVriA8";"INITIALS MB";"https://music.apple.com/fr/album/goodbye-lazy/1712889286?i=1712890213&uo=4"
"Balthazar";"Fever";"Wrong faces";2019;1708829711;1708829948;"https://www.deezer.com/track/570193292";"https://open.spotify.com/track/7MzSeo1pfFw8AkVT8mN547";"PLAY IT AGAIN SAM";"https://music.apple.com/fr/album/wrong-faces/1439404980?i=1439405296&uo=4"
"Sergio Mendes & Brasil '66";"Ye-me-le";"Wichita lineman";1969;1708829960;1708830132;;"https://open.spotify.com/track/3yzrseLtvbNpgyxlLOrX6a";"A&M RECORDS";
"Melba Moore";"A little bit moore : The magic of melba moore";"Mind up tonight";1982;1708830121;1708830437;;;"CAPITOL RECORDS";
"Dr. Dre";"2001";"Housewife";1999;1708830434;1708830662;;"https://open.spotify.com/track/0Wik64zBKFTNoNjTpG70OH";"AFTER";
"Doja Cat";"Woman";"Woman";2021;1708830661;1708830832;;"https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4";"ARISTA";
"The Bongo Hop";"Satingarona part.1";"Clouds [instrumental]";2016;1708830836;1708830968;;;"UNDERDOG";
"Plaza Francia";"Plaza Francia/A new tango song book";"Cada vez";2014;1708830967;1708831199;;;"Because";
"Frankie Laine";"That's my desire";"Jealousy";1951;1708831199;1708831394;;;"ASV";
"Charles Aznavour";"40 chansons d'or";"Les plaisirs démodés";1972;1708831394;1708831742;"https://www.deezer.com/track/625721602";"https://open.spotify.com/track/1Pz7NEpBVBGJfqcdeyBigX";"EMI";"https://music.apple.com/fr/album/les-plaisirs-d%C3%A9mod%C3%A9s/1451095191?i=1451095678&uo=4"
"Joe Pass";"Blues for Fred";"Cheek to cheek";1988;1708831747;1708832085;;;"PABLO";
"Ignacio Maria Gomez";"Belesia";"Ile Penaro";2020;1708832084;1708832403;;"https://open.spotify.com/track/2U1vJKmBw1o8z26rTPZkkI";"HELICO";"https://music.apple.com/fr/album/ile-penaro/1536090159?i=1536090283&uo=4"
"Trio SR9";"Déjà vu";"Dance monkey (feat. Camélia Jordana)";2022;1708832400;1708832699;;;"NO FORMAT";
"Orchestre Philharmonique De Vienne";"The complete Wilhelm Furtwängler on record / CD 24";"Pizzicato Polka pour orchestre avec glockenspiel";2021;1708832698;1708832862;;;"WARNER CLASSICS";
"Gael Faye";"Balade Brésilienne";"Balade brésilienne (feat. Flavia Coelho)";2018;1708832861;1708833136;;;"BELIEVE";"https://music.apple.com/fr/album/balade-br%C3%A9silienne-feat-flavia-coelho/1437996773?i=1437996775&uo=4"
"Fat Freddy's Drop";"Gilles Peterson presents the """"BBC sessions"""" vol. 1";"This room";2005;1708833136;1708833476;;"https://open.spotify.com/track/5vBRsHE6i7o4ahy4weDfge";"ETHER RECORD";
"JJ Cale";"Naturally";"Call me the breeze";1972;1708833496;1708833647;;;"MERCURY";
"Chet Atkins";"Guitar for all seasons";"Mrs. Robinson";1988;1708833643;1708833817;"https://www.deezer.com/track/966450";;"PAIR/RCA";
"Helado Negro";"Phasor";"Echo tricks me";2024;1708833813;1708834063;"https://www.deezer.com/track/2625191182";"https://open.spotify.com/track/5FYdwJ6ZFmB8o5LTdeyiNR";"4AD";
