"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify";"youtube"
"Arat Kilo";"Nbendia";"Nbendia";"2024";"ACCORDS CROISES";1757895667;1757895884;"https://www.deezer.com/track/3090204001";;"https://open.spotify.com/track/5s9PC2pAHEvevgqVQ7xbPU";
"Magic Source";"Voyage spectral";"Saturn moon dive";"2023";"FAVORITE RECORDINGS";1757895874;1757896124;"https://www.deezer.com/track/2180697387";;"https://open.spotify.com/track/4BOZ6jF85HREkphijTHAtU";
"Eagles";"One of these nights";"One of these nights";"1975";"ASYLUM";1757896113;1757896395;"https://www.deezer.com/track/1651616412";"https://music.apple.com/fr/album/one-of-these-nights/635829971?i=635830022&uo=4";;
"Tammy Wynette";"Country soul sisters / Vol. 2";"Baby, come home";"1971";"SOUL JAZZ RECORDS";1757896388;1757896571;"https://www.deezer.com/track/366403651";;"https://open.spotify.com/track/2SZoW8nfsVHxlS0rOkL1YB";
"P'tit Belliveau";"Un homme et son piano";"Depuis que la neige a fondu";"2022";"BONSOUND";1757896557;1757896770;"https://www.deezer.com/track/3168347981";;"https://open.spotify.com/track/2OKuhuhcrIHN1nyPl7TMsU";
"Sababa 5";"Popcorn / The bird song";"The bird song";"2022";"BATOV RECORDS";1757896760;1757896933;"https://www.deezer.com/track/1738941867";;"https://open.spotify.com/track/2bmIXr2nKhgghaHarvbkVv";
"Melanie Horsnell";"The adventures of";"Birds";"2004";"MEM RECORDS";1757896918;1757897117;"https://www.deezer.com/track/66189428";;;
"Billy Preston";"Come together : black America sings Lennon & Mac Cartney";"Blackbird";"1972";"ACE RECORDS";1757897103;1757897278;"https://www.deezer.com/track/1509509162";;"https://open.spotify.com/track/5Ncu5FV8vph6AoxIChiR0d";
"Jimmy Mc Griff";"Electric funk";"The bird wave";"1969";"B NOTE";1757897274;1757897518;;;;
"Janelle Monae";"The age of pleasure";"Phenomenal (feat. Doechii)";"2023";"BAD BOY RECORDS";1757897508;1757897733;"https://www.deezer.com/track/2269127827";;"https://open.spotify.com/track/5iDrSIUAbuajDctFTGRRiR";
"Noga Erez";"Vandalist";"Vandalist";"2024";"ATLANTIC RECORDS - NEON GOLD";1757897723;1757897937;"https://www.deezer.com/track/2961066021";;"https://open.spotify.com/track/7frL0reYXdXnHtWDQiRyWT";
"Charlotte Adigery & Bolis Pupul";"Topical dancer";"Ceci n'est pas un cliché";"2022";"DEEWEE";1757897929;1757898159;;;;
"Nitai Hershkovits & Daniel Dor";"The garden suite";"Gnome worthy";"2024";"CIRCUS COMPANY";1757898172;1757898420;;"https://music.apple.com/fr/album/gnome-worthy/1773067984?i=1773068226&uo=4";;
"Joan As Police Woman";"The deep field";"Human condition";"2011";"PIAS";1757898410;1757898746;"https://www.deezer.com/track/7866122";;"https://open.spotify.com/track/5zNxFzT5P8L8oPmBlux5oZ";
"Cibelle";"Cibelle";"Luisas";"2004";"CRAMNED";1757898737;1757899046;"https://www.deezer.com/track/588538892";;;
"Nyron Higor";"Nyron Higor";"Estou pensando em você (feat. Johanna)";"2025";"FAR OUT RECORDINGS";1757899039;1757899279;;;;
"Leon Phal";"Stress killer";"Balanced action";"2023";"HEAVENLY SWEETNESS";1757899268;1757899561;"https://www.deezer.com/track/2874308442";;"https://open.spotify.com/track/47erMBNS1wulnQ9sM3DKpb";
"Allysha Joy";"Stay";"Stay";"2024";"FIRST WORD";1757899547;1757899828;"https://www.deezer.com/track/2768771021";;"https://open.spotify.com/track/24bh6ZY8kEXcFE5hVx02j4";
"Michael Jackson";"Bad";"Man in the mirror";"1987";"EPIC";1757899817;1757900140;;;;
"Kenan";"Turkish freakout 2 (Psych-Folk 1970-1978)";"Viens dans ma vie";"1976";"BOUZOUK";1757900135;1757900357;;;;
"Derya Yildirim & Grup Simsek";"Yarin yoksa";"Bilemedim ki";"2025";"BIG CROWN RECORDS";1757900347;1757900587;"https://www.deezer.com/track/3134479841";;"https://open.spotify.com/track/24LdCqA8eGxtKGKaxFhSpO";
"J. E. Sunde";"Alice, Gloria and Jon";"Stop caring";"2023";"VIETNAM";1757900579;1757900790;;;;
"Baron Retif & Concepcion Perez";"Funk";"On fait comment";"2023";"MOSTLA / MUSIQUE LARGE";1757900784;1757901031;"https://www.deezer.com/track/2266876857";;"https://open.spotify.com/track/0csQIZy0hZjzvcBddxxAiv";
"Charles Stepney";"Step on step";"In the basement";"2022";"INTERNATIONAL ANTHEM RECORDING CO.";1757901017;1757901336;"https://www.deezer.com/track/1754658757";;"https://open.spotify.com/track/2iCdHaUFkem7rm6hJlVhJr";
"Doja Cat";"Paint the town red";"Paint the town red";"2023";"RCA";1757901327;1757901533;"https://www.deezer.com/track/2387373015";;"https://open.spotify.com/track/2IGMVunIBsBLtEQyoI1Mu7";
"Enchantee Julia";"Onze";"Go";"2024";"ROCHE MUSIQUE";1757901533;1757901698;"https://www.deezer.com/track/3034059891";"https://music.apple.com/fr/album/go/1772666389?i=1772666605&uo=4";"https://open.spotify.com/track/0v3zatxPzmV3M2hDXcNkJG";
"Melodiesinfonie";"We gonna be ok";"Ma Dieu";"2022";"RADICALIS";1757901718;1757901826;"https://www.deezer.com/track/1679624987";;"https://open.spotify.com/track/5fM0qgongAQ0uaFMn9d2Ae";
"Madeleen";"Someone standing here";"The eye of your storm";"2025";"AUTOPRODUCTION";1757901818;1757902081;"https://www.deezer.com/track/3190818231";;"https://open.spotify.com/track/2bmE8UPjgYr2GEDHD8jciV";
"Double Francoise";"Les bijoux";"Retiens l'été";"2020";"FREAKSVILLE MUSIC";1757902070;1757902247;"https://www.deezer.com/track/962480972";"https://music.apple.com/fr/album/retiens-l%C3%A9t%C3%A9/1513667014?i=1513667604&uo=4";"https://open.spotify.com/track/5jrcZAQuR2AV86ANxZffAC";
"Seu Jorge";"Cru";"Eu sou favela";"2004";"BABELVILLE PROD";1757902240;1757902393;"https://www.deezer.com/track/2236074117";;;
"Zimbo Trio";"Bossa jazz : The birth of hard bossa samba and the evolution of brazilian fusion 1962-1973";"Anoiteceu";"1967";"SOULJAZZ";1757902384;1757902555;"https://www.deezer.com/track/126906619";;"https://open.spotify.com/track/1Rcw8T0rcPcZc9b0pWmOQU";
"Louis Prima";"Just a gigolo";"Just A Gigolo";"1956";"EMI";1757902554;1757902840;"https://www.deezer.com/track/68159187";;;
"Tony Tribe";"Ska heroes";"Red red wine";"1969";"EMI";1757902832;1757903005;"https://www.deezer.com/track/5601659";;;
"Dub Shepherds";"Night & day";"Rebel souls (ft. Jolly Joseph & Nai-Jah)";"2023";"BAT RECORDS";1757903008;1757903245;;;;
"Florence Adooni";"A.O.E.I.U. (An Ordinary Exercise In Unity)";"Fo yelle";"2025";"PHILIPHON";1757903244;1757903541;"https://www.deezer.com/track/3136178151";;"https://open.spotify.com/track/7tVfu2z7jaLSc9qD1wHdXS";
"Lee Fields";"My world";"Expressions thème";"2009";"TRUTH & SOUL";1757903529;1757903704;;;"https://open.spotify.com/track/3FKAmkd0dUQow94t7y06mq";
"Mable John";"Magic of Motown : rarity collection / Vol. 2";"You made a fool out of me";"1960";"JB PRODUCTION";1757903700;1757903841;"https://www.deezer.com/track/665425122";;;
"Carmen McRae";"After glow";"Nice Work If You Can Get It";"1957";"MCA";1757903841;1757904000;"https://www.deezer.com/track/1884186837";;"https://open.spotify.com/track/6KXmx1yvyqXOP7wXvgjbAX";
"Patricia Petibon";"L'heure exquise / Christian Pierre La Marca interprète au violoncelle des mélodies françaises";"Léocadia FP 106 : Les chemins de l'amour FP 106 - valse chantée / arrangement pour soprano violoncelle et piano";"2011";"SONY";1757903988;1757904227;;;;
"Bernardino Femminielli";"Opéra Bouffe";"La foire aux lumières";"2024";"";1757904214;1757904468;;;"https://open.spotify.com/track/1jhLh9glh46jkz8zV901ZN";
"Mermonte";"Mouvement";"Atma";"2018";"ROOM RECORDS";1757904453;1757904652;"https://www.deezer.com/track/558957302";;"https://open.spotify.com/track/78B5yOPGjnc8wjgMutaYut";
"Stereolab";"Emperor tomato ketchup";"Spark plug";"1996";"ELEKTRA";1757904639;1757904791;"https://www.deezer.com/track/355425591";"https://music.apple.com/fr/album/spark-plug/1230526714?i=1230527188&uo=4";"https://open.spotify.com/track/51T5xRF2lybiC1rxG5H41f";
"Beastie Boys";"Hot sauce committee part two";"Make some noise";"2011";"CAPI";1757904779;1757904989;"https://www.deezer.com/track/10446134";;"https://open.spotify.com/track/2Bz2Q1JNwwPj40T9AvzE7f";
"Red Hot Chili Peppers";"Blood sugar sex magik";"Funky monks";"1991";"WARNER";1757904987;1757905316;"https://www.deezer.com/track/725807";;"https://open.spotify.com/track/68uWKoPwSxYE6DVylRA1XI";
"Janko Nilovic";"Cosmos giants";"Lost temple";"2024";"BROC RECORDZ";1757905317;1757905451;"https://www.deezer.com/track/2742596401";;"https://open.spotify.com/track/4tH82YTfXxeoN3HPdmcmOs";
"Immy Owusu";"Curly hair";"Curly hair";"2025";"HOPESTREET RECORDINGS";1757905441;1757905665;"https://www.deezer.com/track/3205879991";;"https://open.spotify.com/track/0S48oPVpNGjYyygUZeqCtk";
"Gyedu Blay Ambolley";"Control";"Mercy Kae Dabi";"1980";"MR BONGO";1757905657;1757905897;;;;
"Culture";"This is Trojan roots";"Zion gate";"1978";"TROJAN RECORDS";1757905888;1757906109;"https://www.deezer.com/track/8074911";"https://music.apple.com/fr/album/zion-gate/1565907619?i=1565907703&uo=4";"https://open.spotify.com/track/64IATJanEOnkdNEONT00C9";
"Camille Bazbaz";"Manu militari";"No limit";"2019";"22D MUSIC GROUP";1757906103;1757906267;;;;
"Blundetto";"Cousin Zaka vol. II";"La puce";"2022";"LES RYTHMES RUBAN";1757906264;1757906435;"https://www.deezer.com/track/1701976197";"https://music.apple.com/fr/album/la-puce/1616698631?i=1616698653&uo=4";"https://open.spotify.com/track/3jsnp108bXspKTaO4kM4LG";
"Hope Tala";"Hope handwriten";"Growing pains (prologue)";"2025";"PMR RECORDS";1757906419;1757906634;"https://www.deezer.com/track/3036576531";;"https://open.spotify.com/track/5tl3aFBkRMnlZWRrdFhrLs";
"Elisabeth Schwarzkopf";"Elisabeth Schwarzkopf chante l'opérette";"Der Vogelhändler : Schenkt man sich Rosen in Tirol (Acte I) Air de la princesse - Rosenlied";"1959";"PATHE MARCONI";1757906628;1757906787;;;;
"Frank Sinatra";"It might as well be swing";"The best is yet to come";"1964";"REPRISE";1757906787;1757906968;"https://www.deezer.com/track/70834987";;"https://open.spotify.com/track/3sklrjBEkPUaSy0zfkdnOY";
"Samara Joy";"Portrait";"Day By Day";"2024";"Verve";1757906955;1757907258;"https://www.deezer.com/track/3029915571";;"https://open.spotify.com/track/3aHYfXAqsBRYhf6UiOgTNs";
"Ramsey Lewis";"Compilation : Underground funk phase 2";"Back in USSR";"1995";"LABEL X ( INCONNU )";1757907249;1757907423;;;;
"The Beatles";"The Beatles";"Glass Onion";"1968";"EMI";1757907407;1757907542;"https://www.deezer.com/track/126848571";;;
"The Lemon Twigs";"Go To School";"The lesson";"2018";"4AD";1757907542;1757907744;"https://www.deezer.com/track/609834532";;"https://open.spotify.com/track/6fVB7AHbbiEIB8GhgAm1xO";
"Lou-Adriane Cassidy";"Journal d'un Loup-Garou";"Je pars en vacances";"2025";"BRAVO MUSIQUE";1757907732;1757907938;"https://www.deezer.com/track/3051805291";"https://music.apple.com/fr/album/je-pars-en-vacances/1774756861?i=1774756977&uo=4";"https://open.spotify.com/track/6XTfTlhCD4S6HDON2ZLMpA";
"Tunng";"Love you all over again";"Sixes";"2025";"FULL TIME HOBBY";1757907925;1757908097;"https://www.deezer.com/track/3013791301";;"https://open.spotify.com/track/0zCNMf5gUmUoEt1GxS6fN8";
"Jean-Jacques Perrey";"Moog acid";"Schwing";"2007";"LOREC";1757908083;1757908400;;;"https://open.spotify.com/track/2vxNxtFgB1DYEABVh9pp6O";
"Gang Starr";"Step In The Arena";"Just to get a rep";"1990";"CHRYSALIS";1757908389;1757908558;"https://www.deezer.com/track/3104105";;;
"Swatkins";"Unti I get back (single)";"Until I get back";"2022";"THE POSITIVE AGENDA";1757908545;1757908815;"https://www.deezer.com/track/1711755687";"https://music.apple.com/fr/album/until-i-get-back/1618135937?i=1618135938&uo=4";"https://open.spotify.com/track/0TtuQC6hcnBHK1Z9CR9shk";
"Jill Scott";"Woman";"Wild cookie";"2015";"BLUES BABE RECORDS";1757908826;1757908945;"https://www.deezer.com/track/104450510";;"https://open.spotify.com/track/0zhzU17FyfeQtauWpGfX6s";
"Charlie Byrd";"The best of the Concord years";"O pato";"1963";"MILESTON";1757908935;1757909154;"https://www.deezer.com/track/890946";;;
"Katerine Francis Et Ses Peintres";"52 reprises dans l'espace";"Le loup la biche et le chevalier";"2011";"277985-3 BARCLAY";1757909144;1757909346;;;;
"Panda Bear";"Sinister grif";"Défense";"2025";"DOMINO";1757909336;1757909611;"https://www.deezer.com/track/3001195001";;"https://open.spotify.com/track/78OTfqF9NB66o8oKHAEyc3";
"The Chemical Brothers";"Exit planet dust";"One too many mornings";"1995";"VIRGIN";1757909602;1757909861;"https://www.deezer.com/track/3128273";"https://music.apple.com/fr/album/one-too-many-mornings/723670972?i=723671461&uo=4";"https://open.spotify.com/track/0lOzGDHcPlUB1ZvXMWQ0Oh";
"Sidsel Endresen";"New conception of jazz / Box";"You might say";"2000";"JAZZLAND";1757909850;1757910190;;;;
"Orchestral Manoeuvres In The Dark";"Architecture & morality";"Souvenir";"1981";"VIRGIN";1757910167;1757910391;"https://www.deezer.com/track/3156223";;;
"Lawne";"Attic";"Selva";"2024";"WAH WAH 45S";1757910373;1757910717;"https://www.deezer.com/track/3064712681";;"https://open.spotify.com/track/3hK2TscdyHihdUMqH2dNxW";
"Jorja Smith";"Be right back";"Addicted";"2021";"FAMM LIMITED";1757910708;1757910921;"https://www.deezer.com/track/1343064642";;"https://open.spotify.com/track/1vqYqiZA1Su4GgqIO4oVSY";
"Dennis Brown";"Visions of Dennis Brown";"Love me always";"1978";"VP MUSIC";1757910909;1757911124;"https://www.deezer.com/track/8074990";"https://music.apple.com/fr/album/love-me-always/412434822?i=412434825&uo=4";"https://open.spotify.com/track/7umPyrV8qIMB4d4QIDAOxy";
"Monty Alexander";"Stir it up/The music of Bob Marley";"Could you be loved";"1999";"TELARC";1757911109;1757911356;"https://www.deezer.com/track/2008404197";"https://music.apple.com/fr/album/could-you-be-loved/1653876247?i=1653876608&uo=4";"https://open.spotify.com/track/4rhBP10oIu9L6hdgZNF1YU";
"Miriam Makeba";"Miriam Makeba / In concert / Pata pata / Makeba";"Iphi ndilela";"1968";"REPRISE";1757911342;1757911565;"https://www.deezer.com/track/434882672";;;
"Talking Heads";"Naked";"(Nothing but) flowers";"1988";"EMI";1757911556;1757911896;"https://www.deezer.com/track/3119211";;"https://open.spotify.com/track/3tLolIaNbQSoIv6Usvhboh";
"Yo Yo Ma";"Appalachia waltz";"The green groves of erin / The flowers of red hill";"1996";"SONY";1757911887;1757912079;;;;
"Yann Tiersen";"Le phare";"La rupture";"1998";"LABELS";1757912066;1757912242;;;;
"Citron Citron";"Maréeternelle";"Dans ma bulle";"2024";"BONGO JOE";1757912231;1757912374;"https://www.deezer.com/track/2825565082";;"https://open.spotify.com/track/4K8IYXLydjbkKgZCxmnzyp";
"Caetano Veloso";"BOF / Queer";"Queer : Vaster than empires";"2024";"MILAN";1757912369;1757912598;;;;
"Johnny Lytle";"People and Love";"Family";"1973";"CRAFT RECORDINGS";1757912400;1757912629;;;;
"Buddy Holly";"The buddy holly collection";"Raining in my heart";"1959";"CORAL";1757912627;1757912794;"https://www.deezer.com/track/579931042";;"https://open.spotify.com/track/7xWLAEsCWwDIxZuORKpXs3";
"Say She She";"Cut & rewind";"Under the sun";"2025";"DRINK SUM WTR";1757912793;1757912988;"https://www.deezer.com/track/3378108861";;"https://open.spotify.com/track/1LXEOx1oKZWSbSNUJrdmwI";
"Sergio Mendes & The New Brasil '77";"Sergio Mendes & the new Brasil '77";"The real thing";"1977";"COLLECTORS CHOICE MUSIC";1757912987;1757913269;;;;
"Philippe Besombes";"Bof / Libra (Un film du groupe Pattern)";"Ballade en vélo";"2012";"VERSAILLES STATION";1757913267;1757913397;;;;
"Ton Giano";"Rarities 1970 Vol. 2";"Dammi fuoco";"1970";"RCA";1757913394;1757913600;"https://www.deezer.com/track/1183370302";;;
"Dirg Gerner";"Simple man";"My heart";"2023";"MATERIALIZED MOMENTS";1757913595;1757913801;"https://www.deezer.com/track/2320284965";"https://music.apple.com/fr/album/my-heart/1692440789?i=1692440798&uo=4";"https://open.spotify.com/track/3rXrtEMlFfllp1BxujJNzS";
"Al Green";"The Hi Records singles collection";"Full of fire";"1976";"FAT POSSUM RECORDS";1757913800;1757914007;"https://www.deezer.com/track/458981782";;"https://open.spotify.com/track/74hrm9x1vxIW7mSZgeyG7J";
"Wendell Marshall";"Basses loaded / East coast jazz/5";"Tenderly";"1958";"FRESH SOUND";1757914005;1757914185;"https://www.deezer.com/track/3134340711";;"https://open.spotify.com/track/5fmVmnVLl1DPiE3nt1tFSf";
"Carmen McRae";"BD Music presents Carmen McRae";"Them there eyes";"2015";"BDMUSIC";1757914184;1757914349;"https://www.deezer.com/track/1026225";;;
"Sax Wary And Orchestre";"Air Africa";"L'amour au prix de l'argent";"2017";"AZIZA DISQUES";1757914348;1757914599;;;;
"The Shirelles";"As, Bs, Hits & Rarities from the Queens of the Girl Group Sound (1958-1962)";"Baby it's you";"1961";"JASMINE RECORDS";1757914598;1757914756;"https://www.deezer.com/track/108312074";;;
"El Michels Affair";"24 Hr sports";"Anticipate (feat. Clairo)";"2025";"BIG CROWN RECORDS";1757914755;1757914944;;;;
"Rob J Madin";"Monstro";"Never gonna let you go";"2025";"MILES AWAY RECORDS";1757914942;1757915108;"https://www.deezer.com/track/3301040511";;"https://open.spotify.com/track/0ve1L40huT21RD8vmJvNQA";
"Phoebe Rings";"Aseurai";"Fading star";"2025";"CARPARK";1757915108;1757915406;"https://www.deezer.com/track/3234287911";"https://music.apple.com/fr/album/fading-star/1796201362?i=1796201379&uo=4";"https://open.spotify.com/track/2CzJJwDh4NGnP70aVwZ2TP";
"Sven Hammond";"Cosmic gold";"Throughout the night";"2025";"MARMALADE";1757915403;1757915624;"https://www.deezer.com/track/3145782741";;"https://open.spotify.com/track/4gGBtHli7FXKkr9zryIFti";
"France Gall";"Long box : France gall";"Don't make war captain, make love";"1968";"POLYDOR";1757915624;1757915769;;;;
"Espen Horne";"The anatomy of serene eloquence";"Rory's sunrays";"2023";"WAH WAH 45S";1757915765;1757915998;"https://www.deezer.com/track/2517144451";;"https://open.spotify.com/track/7ncBZkx66LOXeZ7kZ0mPHZ";
"Artu";"Forgiveness // É Preciso Perdoar";"Forgiveness";"2025";"CAJU COLLECTIVE";1757915994;1757916223;;;;
"Us 69";"Yesterdays Folks";"I hear you talkin'";"1969";"LEGACY RECORDS";1757916218;1757916395;;;;
"Joyce Williams";"Eccentric Soul:  The Nickel & Penny Labels";"The first thing I do in the morning";"1972";"NUMEROGROUP";1757916394;1757916566;"https://www.deezer.com/track/2292236825";;"https://open.spotify.com/track/26gJ3NkdAIiACRWZffi916";
"Isolde Lasoen";"Oh dear";"Bed & breakfast";"2023";"MAYWAY RECORDS";1757916565;1757916780;"https://www.deezer.com/track/2608130642";;"https://open.spotify.com/track/6PcJHazACw6OfR4odQx2mn";
"Tropic Hotel";"Tum tum bossa";"Vivre une vie sans vivre";"2024";"VELVETICA MUSIC";1757916780;1757916966;"https://www.deezer.com/track/2817304472";;"https://open.spotify.com/track/17QhNtr9QprLwlEnu0eLoU";
"Jorge Ben";"Samba Esquema Novo";"Por causa de você, menina";"1963";"PHILIPS";1757916961;1757917126;;;;
"Taylor James";"Folky & Funky";"Family man";"1997";"SONY";1757917123;1757917334;;;;
"Sholto";"Letting Go of Forever";"Letting Go of Forever";"2024";"ROOT RECORDS";1757917332;1757917520;"https://www.deezer.com/track/2842463412";"https://music.apple.com/fr/album/letting-go-of-forever/1751556994?i=1751557878&uo=4";"https://open.spotify.com/track/79w55ScCjW71NKRgfHozmG";
"Paloma Paloma";"Menace : In Sync";"Même heure même endroit";"2023";"MENACE";1757917519;1757917730;;;"https://open.spotify.com/track/2hOflZqusxXXqllQY9vqdB";
"Bob Marley";"Rastaman vibration";"Crazy baldhead";"1976";"ISLAND";1757917727;1757917915;;;;
"Star Feminine Band";"Jusqu'au bout du monde";"Tonkuro, yonnu";"2025";"BORN BAD RECORDS";1757917913;1757918163;"https://www.deezer.com/track/3463672301";"https://music.apple.com/fr/album/tonkuro-yonnu/1827035875?i=1827036409&uo=4";"https://open.spotify.com/track/0EXSShn4IIqzDxHguDjv1t";
"Skjold & Peder";"Populus";"Selva";"";"LIZARDSHAKEDOWN";1757918163;1757918337;;;;
"Talking Heads";"77";"Psycho Killer";"1977";"SIRE";1757918330;1757918586;"https://www.deezer.com/track/2559851262";;"https://open.spotify.com/track/7dSCxR4LqkmxoBrq9MzVSD";
"Vanessa Paradis";"Best of + Inédits édition limitée";"Natural high";"2009";"BARCLAY";1757918585;1757918784;"https://www.deezer.com/track/1090017";;"https://open.spotify.com/track/7d2z69TcanwqfPPjqbWpl5";
"Los Yesterday";"Penrose showcase / vol. II";"Who made you you ?";"2024";"PENROSE RECORDS";1757918783;1757918984;;;;
"Freddie Redd Trio";"Piano east piano west";"The things we did last summer";"2023";"ANCIEN PRODIGE";1757918982;1757919175;;;;
"Steve Kuhn";"The early 70's";"The meaning of love";"1971";"COLUMBIA";1757919175;1757919348;"https://www.deezer.com/track/488548382";;;
"Angie Stone";"Mahogany soul";"More than a woman";"2001";"ARISTA";1757919343;1757919633;;;;
"Dust Brothers The";"BOF / Fight club";"Fight club : Corporate world";"1999";"TWENTY CENTURY FOX";1757919632;1757919794;;;;
"Tears For Fears";"Songs from the big chair";"Everybody wants to rule the world";"1983";"MERCURY";1757919793;1757920043;"https://www.deezer.com/track/2234314";;;
"Izaki Gardenak";"Orube";"Orube";"2024";"ALDE ILUNA";1757920040;1757920275;"https://www.deezer.com/track/2974374761";;"https://open.spotify.com/track/3YVWqwAKEfRmTpUA9mX4RV";
"Curtis Harding";"Departures & arrivals: Adventures of Captain Curt";"True love can't be blind hard";"2025";"ANTI EPITAPH";1757920273;1757920474;;;;
"Le Commandant Couche-Tot";"Discordance";"Lovid-19";"2025";"OUVO RECORDS";1757920472;1757920608;"https://www.deezer.com/track/3059738111";;"https://open.spotify.com/track/4WdPt3Irz8DIdQoFXjNEwa";
"Lysandre";"Sans oublier";"Sans oublier";"2022";"CHIVI CHIVI";1757920608;1757920813;"https://www.deezer.com/track/1535884312";;"https://open.spotify.com/track/0dJrBrnOdYpRNfNiYcjuYj";
"Peter Tosh";"Equal rights";"African";"1977";"SONY";1757920811;1757921032;"https://www.deezer.com/track/12270482";"https://music.apple.com/fr/album/african/1501917217?i=1501917224&uo=4";"https://open.spotify.com/track/7Lxda4HuXN9tnxwBjxteFF";
"Karen O & Danger Mouse";"Lux prima";"Redeemer";"2019";"BMG (DISTR)";1757921028;1757921254;;"https://music.apple.com/fr/album/redeemer/1739806751?i=1739807024&uo=4";;
"Poppy Fusee";"Better place";"Pesanteur (instrumental)";"2024";"UN PLAN SIMPLE";1757921254;1757921408;;;;
"Pokey Lafarge";"Rhumba country";"Run run run";"2024";"NEW WEST RECORDS";1757921404;1757921617;"https://www.deezer.com/track/2645598622";;"https://open.spotify.com/track/36FRxA9QDraACevfCnFmY0";
"Yumi Ito";"Stardust crystals";"What seems to be";"2020";"UNIT RECORDS";1757921615;1757921891;"https://www.deezer.com/track/3518513231";;"https://open.spotify.com/track/6nFj1w0i80WtD7tRWt3Upk";
"Stan Getz & Joao Gilberto";"Getz Gilberto '76";"Chega De Saudade";"1976";"RESONANCE RECORDS";1757921890;1757922110;;;;
"Mulo Francel & Tim Collins";"How did we get here";"How did we get here";"2024";"FINE MUSIC";1757922109;1757922362;;;;
"Keziah Jones";"Golden brown (The Stranglers cover)";"Golden brown (The Stranglers cover)";"2017";"BECAUSE";1757922365;1757922567;;;;
"Speedometer";"Our kind of movement";"Time to slow it down (feat. Najwa Ezzaher Perso)";"2020";"FREESTYLES RECORDS";1757922565;1757922771;;;;
"Field Music";"Open here";"Count it up";"2018";"MEMPHIS INDUSTRIES";1757922769;1757922990;"https://www.deezer.com/track/447953942";"https://music.apple.com/fr/album/count-it-up/1302724440?i=1302724447&uo=4";"https://open.spotify.com/track/2PXEBqyyUbyXxXZLj73yiI";
"Baron Retif & Concepcion Perez";"Funk";"L'œil insulaire";"2023";"MOSTLA / MUSIQUE LARGE";1757922989;1757923141;"https://www.deezer.com/track/2266876847";"https://music.apple.com/fr/album/l%C5%93il-insulaire/1685950699?i=1685950723&uo=4";"https://open.spotify.com/track/4nkrltPGn0cXNbDYke1AoO";
"Rachid Taha";"Diwan 2";"Ecoute moi Camarade";"2006";"BARCLAY";1757923127;1757923529;;;;
"Yuma";"Chura";"Smek";"2016";"SABRINE JENHANI / RAMI ZOGHLAMI";1757923528;1757923687;"https://www.deezer.com/track/2097407257";"https://music.apple.com/fr/album/smek/1663324794?i=1663324805&uo=4";"https://open.spotify.com/track/1w6PwIPjMOA2FZ2Dq9HGIV";
"Geoffroy";"Live slow die wise";"As my old man always said";"2022";"GEOFFROY";1757923686;1757923946;"https://www.deezer.com/track/1487037982";"https://music.apple.com/fr/album/as-my-old-man-always-said/1584692584?i=1584692651&uo=4";"https://open.spotify.com/track/6y0zKZPrKL1gbXqXEHIwm8";
"Kepa";"Hotline service";"Rerun tonic";"2025";"HEAVENLY SWEETNESS";1757923945;1757924150;"https://www.deezer.com/track/3388424601";"https://music.apple.com/fr/album/rerun-tonic/1817153453?i=1817153473&uo=4";"https://open.spotify.com/track/5HE9UZQLAbOE7eCQDmdCrs";
"Carlton Jumel Smith & The Soul Seeders";"Pleasure";"A better day";"2023";"LOVEMEDO RECORDS";1757924143;1757924362;"https://www.deezer.com/track/1819056727";;"https://open.spotify.com/track/5y8CC8hOG4d4rfVJEZ67fH";
"Portugal. The Man";"Woodstock";"Feel It Still";"2017";"ATLANTIC";1757924361;1757924522;"https://www.deezer.com/track/371593461";;"https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK";
"Petit Prince";"Les plus beaux matins";"Chien chinois";"2020";"PAIN SURPRISES";1757924520;1757924728;;;;
"Yoonie Han";"Reynaldo Hahn : Le rossignol éperdu";"Première suite : Les chênes enlacés";"2019";"STEINWAY & SONS";1757924727;1757924936;;;;
"Pale Jay";"Low end love songs";"Floating on a memory";"2024";"COLEMINE RECORDS";1757924936;1757925108;"https://www.deezer.com/track/2815856182";"https://music.apple.com/fr/album/floating-on-a-memory/1747957257?i=1747957538&uo=4";"https://open.spotify.com/track/0Zvuhdcinw2EvEmpfiUs7k";
"King Krule";"Shhhhhhh!";"Achtung!";"2024";"XL RECORDINGS";1757925108;1757925285;"https://www.deezer.com/track/2825097402";"https://music.apple.com/fr/album/achtung/1742511906?i=1742511910&uo=4";"https://open.spotify.com/track/7eIIylZ76hBfvQZhzeoHQp";
"Asta Hiroki";"Continuation";"Fall into the sun (feat Emma Lucia)";"2025";"FOLDED MUSIC";1757925284;1757925472;;;;
"Turkish Delight";"Velvele";"Velvele";"2021";"ACORA RECORDS";1757925471;1757925687;"https://www.deezer.com/track/1531270692";"https://music.apple.com/fr/album/velvele/1591698746?i=1591698883&uo=4";"https://open.spotify.com/track/1j3dnL6Xba9V3SRk47OWSx";
"The Hollies";"Goodnight Saigon /  Don't let me be misunderstood (cd 2)";"The air that I breathe";"1974";"DISKY";1757925685;1757925925;"https://www.deezer.com/track/3358791";"https://music.apple.com/fr/album/the-air-that-i-breathe/697417051?i=697417389&uo=4";;
