"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes";"youtube"
"Spill Tab";"Assis";"Assis";"2025";"BECAUSE MUSIC";1747562396;1747562555;"https://www.deezer.com/track/3202071581";"https://open.spotify.com/track/2VKjLsx5fsMxXPPI8hhwd8";;
"Saravah Soul";"Cultura impura";"Mestico";"2010";"THRU THOUGHT";1747562556;1747562800;"https://www.deezer.com/track/15780041";"https://open.spotify.com/track/7koI4FQYCC9eLWDAY0eu0R";;
"Bigott";"Blue jeans";"Metropolitain";"2013";"";1747562799;1747563003;;;;
"Bernard Estardy";"Tele Music / Vol. 3";"Phasing round";"1975";"BMG";1747563004;1747563118;"https://www.deezer.com/track/469247172";;;
"Telex";"Sex";"Haven't we met somewhere before ?";"1981";"MUTE RECORDS";1747563118;1747563340;;;;
"Falco";"Einzelhaft";"Der Kommissar";"1982";"A&M RECORDS";1747563339;1747563563;"https://www.deezer.com/track/142334565";"https://open.spotify.com/track/3TBRJsLCcwroEkA3tD4u2N";;
"Butcher Brown";"Letters from the Atlantic";"Something new about you";"2025";"CONCORD JAZZ";1747563562;1747563781;"https://www.deezer.com/track/3288209971";"https://open.spotify.com/track/2G5SeBlIwDUaiXB8iZydmJ";;
"Cochemea";"All my relations";"Mescalero";"2019";"DAPTONE RECORDS";1747563782;1747563905;"https://www.deezer.com/track/779453622";"https://open.spotify.com/track/3q5Td1rgCgPSC1j4c5yhLN";;
"Adrian Quesada";"Ojos secos (feat. Cuco)";"Ojos secos (feat. Cuco)";"2025";"ATO";1747563906;1747564135;;;;
"Drugdealer";"The end of comedy";"Suddenly (feat. Weyes Blood)";"2016";"DOMINO RECORDING";1747564134;1747564331;;;;
"Matt Monro";"Come spy with us";"The Quiller memorandum : Wednesday's child";"1966";"ACE";1747564320;1747564474;;;;
"Orchestre De L'Opera Royal De Covent Garden";"B.O.F./ Main dans la main";"The Nutcracker, Op. 71: No. 12 Divertissement (Dance of the Flutes)";"2012";"PLAY IT AGAIN SAM";1747564474;1747564627;;;;
"Voyou";"Carnaval";"Carnaval";"2020";"ALSO";1747564626;1747564796;"https://www.deezer.com/track/970785982";"https://open.spotify.com/track/3EsUCdrPPBgNwHG6XZbH0j";;
"Drama On The Corner";"Orixa";"Orixa";"2025";"TANGENTIAL MUSIC";1747564797;1747565067;"https://www.deezer.com/track/3237078801";"https://open.spotify.com/track/7N1znPcLaa1Kl35t0y8paR";;
"Rahsaan Roland Kirk";"Left hook right cross";"Spirits up above";"1969";"32JA";1747565067;1747565282;"https://www.deezer.com/track/681826";;;
"Mary Lou Williams";"Black christ of the Andes";"It ain't necessarily so";"1964";"SMITSONIAN FOLKWAYS RECORDINGS";1747565282;1747565472;"https://www.deezer.com/track/121560384";"https://open.spotify.com/track/0vwTHK0RI01avuLIrAHp8C";"https://music.apple.com/fr/album/it-aint-necessarily-so/215091883?i=215091893&uo=4";
