"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify";"youtube"
"Lou Reed";"Transformer";"Goodnight ladies";"1972";"RCA";1724010291;1724011459;"https://music.apple.com/fr/album/goodnight-ladies/976826793?i=976828534&uo=4";"https://www.deezer.com/track/97081756";;
"The Luvmenauts";"Ephemera";"Riff-a-palooza";"2024";"DO RIGHT MUSIC";1724011458;1724011640;"https://music.apple.com/fr/album/riff-a-palooza/1735916046?i=1735916056&uo=4";"https://www.deezer.com/track/2708032282";;
"Hiatus Kaiyote";"Red room";"Red room (radio edit)";"2021";"NINJA TUNE";1724011639;1724011847;;;;
"Eric Burdon";"The black man's burdon";"Nights in white satin I";"1970";"RHINO";1724011847;1724012116;;;;
"Lalo Schifrin";"Mannix soundtrack";"The edge of night";"2001";"ALEPH RECORD";1724012147;1724012323;;;;
"Everything But The Girl";"Night and day";"Night And Day";"1982";"CHERRY RED";1724012322;1724012498;"https://music.apple.com/fr/album/night-and-day/1491837258?i=1491837261&uo=4";;"https://open.spotify.com/track/3OF9rTCYjLEplmYMynYvHG";
"Leyla McCalla";"Sun without the heat";"Sun without the heat";"2024";"ANTI";1724012492;1724012656;"https://music.apple.com/fr/album/sun-without-the-heat/1724035326?i=1724035335&uo=4";;;
"Lenparrot";"Sable";"Sable (démo)";"2024";"JOUR APRES JOUR APRES JOUR";1724012655;1724012824;"https://music.apple.com/fr/album/sable-d%C3%A9mo/1743752437?i=1743752753&uo=4";;;
"Asta Hiroki";"Never lose an opportunity";"Never lose an opportunity";"2023";"FOLDED MUSIC";1724012823;1724012985;"https://music.apple.com/fr/album/never-lose-an-opportunity/1686297089?i=1686297104&uo=4";"https://www.deezer.com/track/2266139707";"https://open.spotify.com/track/6cVsPnXfSbWCph297VIeE6";
"Santpoort";"Maybe not tomorrow";"In a rockfall (feat. Little Green)";"2024";"FRIENDS OF FRIENDS";1724012992;1724013132;;;;
"Ruby Wood";"Remixed EP";"Me and my girl (Vice beats remix)";"2024";"FIRST WORD";1724013132;1724013335;;;;
"Noa Jamir";"Cicada";"These walls";"2024";"FINAL GIRL RECORDS";1724013332;1724013519;"https://music.apple.com/fr/album/these-walls/1751337580?i=1751337587&uo=4";"https://www.deezer.com/track/2840527022";"https://open.spotify.com/track/6EO0sHf7zjkHQ5RrQn5TOS";
"O.G. Jigg";"Searchlight moonbeam";"Jesus is my jam";"2023";"EFFICIENT SPACE";1724013517;1724013762;"https://music.apple.com/fr/album/jesus-is-my-jam/1713898222?i=1713899238&uo=4";;;
"Lake Street Dive";"Good together";"Seats at the bar";"2024";"FANTASY RECORDS";1724013773;1724014010;"https://music.apple.com/fr/album/seats-at-the-bar/1728356541?i=1728356743&uo=4";;;
"Nezoak";"Mandando fuego";"Salvaje (feat. Meli Perea)";"2024";"BANZAI LAB";1724014009;1724014219;;;;
"Funkadelic";"America eats its young";"I call my baby pussycat";"1972";"WESTBOUND RE";1724014218;1724014523;"https://music.apple.com/fr/album/i-call-my-baby-pussycat/1595225827?i=1595225835&uo=4";;;
"Jimi Brown Experience";"Jimi Brown Experience";"Licking stick";"2013";"IMAGO RECORDS & PRODUCTION";1724014522;1724014909;;;;
"Arms And Sleepers";"Former kingdoms";"When moon was its only companion";"2022";"DXFXWXU COLLECTIVE";1724014923;1724015064;;"https://www.deezer.com/track/2068952357";"https://open.spotify.com/track/0jA5j6mXGoYFrLLHgweSKB";
"Rejjie Snow";"Dear Annie";"Room 27";"2018";"HONEYMOON / 300 ENTERTAINMENT";1724015061;1724015244;;;"https://open.spotify.com/track/3tl3AligP3fXOWtGY3M2WW";
"Minnie Riperton";"Perfect angel / Adventures in paradise";"Lovin' you";"1974";"EMI";1724015242;1724015465;;"https://www.deezer.com/track/3126330";"https://open.spotify.com/track/3ebYtLVuV4HzEZUDcpZB9p";
"Merger";"Armageddon time";"Evergreen land";"1980";"EMERGENCY RECORDS";1724015464;1724015813;;;;
"Timber Timbre";"Sincerely, future pollution";"Skin tone";"2017";"CITY SLANG";1724015814;1724015992;;"https://www.deezer.com/track/2582819842";"https://open.spotify.com/track/6Lh1NFV7R2c56zArL4F5Et";
"Poppy Fusee";"Better place";"Pesanteur";"2024";"UN PLAN SIMPLE";1724015991;1724016146;;"https://www.deezer.com/track/1570116862";"https://open.spotify.com/track/0PvRNAwyiZWBoBqZp3qtWw";
"Michel Polnareff";"Love me please love me";"La poupée qui fait non";"1966";"UNIVERSAL MUSIC";1724016144;1724016335;;"https://www.deezer.com/track/1150885";"https://open.spotify.com/track/245la2fLeLCOpBWDjgE8rj";
