"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes";"youtube"
"Weezer";"Island In The Sun";"Island in the sun";"2001";"GEFFEN";1752487049;1752487247;"https://www.deezer.com/track/2544628";"https://open.spotify.com/track/2MLHyLy5z5l5YRp7momlgw";;
"Jayahadadream";"Redemption songs";"Sunny day";"2024";"JAYAHADADREAM";1752487245;1752487401;"https://www.deezer.com/track/2847326362";"https://open.spotify.com/track/5G3iEXgFnZ7KpwOuqt8TgH";;
"Urbs & Cutex";"On our way";"Indian summer";"2025";"";1752487398;1752487779;"https://www.deezer.com/track/3349667551";"https://open.spotify.com/track/2rbLuUvWi9EBG8pzz8G7iC";"https://music.apple.com/fr/album/indian-summer/1813192137?i=1813192395&uo=4";
"Edith Piaf";"Intégrale 1961-1963 vol 16";"Le diable de la bastille";"1962";"";1752487778;1752487929;"https://www.deezer.com/track/10113514";;;
"Gil Scott-Heron";"Pieces of a man";"The revolution will not be televised";"1971";"BMG/RCA";1752487927;1752488113;"https://www.deezer.com/track/1734232727";"https://open.spotify.com/track/7ni78Vjslqo2VxiDOahYlV";;
"Candi Staton";"Mavis / Compil hommage à Staples Mavis";"Revolution";"2009";"K7";1752488111;1752488440;;;;
"Daft Punk";"Homework";"Revolution 909";"1996";"VIRGIN";1752488436;1752488763;;;;
"San Proper";"Ferotones";"Buck wild";"2022";"DOPENESS GALORE";1752488762;1752489008;;"https://open.spotify.com/track/0Wpj0p3mPc3XpjWR4N25N1";"https://music.apple.com/fr/album/buck-wild/1647212238?i=1647212249&uo=4";
"Elise Bourn";"Covenant";"See me";"2025";"COLLECTIF OPERA / LMP MUSIQUE";1752489008;1752489188;"https://www.deezer.com/track/3125814321";"https://open.spotify.com/track/1yPFfqE1hMrpeCRl0CSiRe";"https://music.apple.com/fr/album/see-me/1783311856?i=1783312321&uo=4";
"Henry Mancini";"Henry Mancini : Breakfast at Tiffany's / Diamants sur canapé";"Moon river cha cha";"1961";"RCAVICTOR";1752489184;1752489338;"https://www.deezer.com/track/633358";"https://open.spotify.com/track/5vuPCOt0eYq6iaUwxhjGjQ";;
"Dean Martin";"The best of the capitol years 1952-1962";"Mambo Italiano";"1955";"CAPITOL";1752489337;1752489472;"https://www.deezer.com/track/2368814";;;
"Durand Jones & The Indications";"Flowers";"Paradise";"2025";"SECRETLY GROUP";1752489472;1752489771;"https://www.deezer.com/track/3243621031";"https://open.spotify.com/track/0f8aTAJ49LTQStXC6BB2uw";;
"Lena Raine";"BOF / Minecraft (jeu vidéo) : Caves & Cliffs";"One more day";"2021";"MICROSOFT STUDIOS MUSIC";1752489764;1752490040;"https://www.deezer.com/track/1522831522";"https://open.spotify.com/track/44SxJEUxVcs2PoUV476yst";;
"The Lovin' Spoonful";"Daydream";"Daydream";"1966";"KAMA SUTRA";1752490036;1752490177;"https://www.deezer.com/track/970192";"https://open.spotify.com/track/3c06k9x6MHHdPQi3ix68yF";;
"Motel Club";"Motel Club";"Danica";"2022";"LA RUCHE LE LABEL";1752490173;1752490438;"https://www.deezer.com/track/1508179182";"https://open.spotify.com/track/6TSdLfoQ3gZneQGGtuITPu";;
"Aldorande";"Trois";"Cosmic Boy";"2025";"FAVORITE RECORDINGS";1752490433;1752490610;"https://www.deezer.com/track/3282677541";"https://open.spotify.com/track/3QjnwoRvRTASqXAX9UG9Ft";"https://music.apple.com/fr/album/cosmic-boy/1802675698?i=1802676076&uo=4";
"Jamiroquai";"Travelling without moving";"Cosmic girl";"1996";"SONY";1752490608;1752490849;;;;
"Hermanos Gutierrez";"Sonido cosmico";"Sonido cosmico";"2024";"Easy Eye Sound";1752490844;1752491068;"https://www.deezer.com/track/2653604682";"https://open.spotify.com/track/6O4m4kgRStnagI4l0f7cOx";;
"T Rex";"Electric warrior";"Cosmic dancer";"1971";"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";1752491058;1752491326;;;;
"Andrea Laszlo De Simone";"";"Chapter I : Immensità";"2020";"";1752491323;1752491542;;;;
"Timber Timbre";"Creep on creepin'on";"Lonesome hunter";"2011";"FULL TIME HOBBY";1752491520;1752491798;"https://www.deezer.com/track/3076096801";"https://open.spotify.com/track/5qztDPYgsCbXhzMHvYp48r";;
"Gabi Hartmann";"La femme aux yeux de sel";"Salinda, la fille aux yeux de sel";"2025";"MASTERWORKS";1752491791;1752492007;"https://www.deezer.com/track/3199910741";"https://open.spotify.com/track/5HpS9EsSmqyHWHWEmwo4dG";;
"Dave Guy";"Ruby";"Diamond encore";"2024";"BIG CROWN RECORDS";1752491999;1752492061;"https://www.deezer.com/track/2817416282";"https://open.spotify.com/track/192XWRpdkdSX7P59TanMkf";"https://music.apple.com/fr/album/diamond-encore/1748158388?i=1748158653&uo=4";
"Leo Ferre";"Amour anarchie";"L'amour fou";"1972";"BARCLAY";1752492054;1752492337;"https://www.deezer.com/track/70509860";;"https://music.apple.com/fr/album/lamour-fou/1444025800?i=1444026066&uo=4";
"Bill Withers";"The very best of Billy Paul  /  Bill Withers";"Ain't no sunshine";"1971";"COLUMBIA";1752492330;1752492452;"https://www.deezer.com/track/2312047";"https://open.spotify.com/track/1k1Bqnv2R0uJXQN4u6LKYt";;
"Dolly Parton";"Diamonds & rhinestones";"I will always love you";"1974";"SONY";1752492449;1752492623;"https://www.deezer.com/track/567771";"https://open.spotify.com/track/6nRvgo4ySezQKD1D7NIqAu";"https://music.apple.com/fr/album/i-will-always-love-you/269315126?i=269316331&uo=4";
"Alain Bashung";"Osez Josephine (raretés & inédits)";"Les grands voyageurs (rough mix Memphis version 1)";"1991";"";1752492621;1752492920;;;;
"Ben Harper";"Welcome to the cruel world";"Walk away";"1994";"VIRGIN";1752492915;1752493142;"https://www.deezer.com/track/6104723";"https://open.spotify.com/track/7fN5Bk53hWwWMa0oSMyoFH";"https://music.apple.com/fr/album/walk-away/1440845904?i=1440846690&uo=4";
"Thomas Naim";"May this be love (Acoustic guitar takes on Jimi Hendrix)";"Jealous guy";"2025";"ROOTLESS BLUES";1752493141;1752493275;"https://www.deezer.com/track/3140076781";"https://open.spotify.com/track/5MySmPam108JmWvp73GCDT";;
"Melody Gardot";"My one and only thrill";"Who will comfort me";"2009";"UNIVERSAL";1752493273;1752493567;"https://www.deezer.com/track/4619056";"https://open.spotify.com/track/5jl4IPTqY0gE7fbmxCZ88B";;
"Khruangbin & Leon Bridges";"Texas sun";"Texas sun";"2019";"DEAD OCEANS";1752493565;1752493817;;;"https://music.apple.com/fr/album/texas-sun/1485581308?i=1485581309&uo=4";
"Tim Bernardes";"Mil coisas invisiveis";"Falta";"2022";"PSYCHIC HOTLINE";1752493806;1752493986;"https://www.deezer.com/track/1706615407";"https://open.spotify.com/track/0N0ZY0QFCEPHW8k1fA6Fr7";"https://music.apple.com/fr/album/falta/1617341042?i=1617341587&uo=4";
"Nyron Higor";"Nyron Higor";"Ciranda";"2025";"FAR OUT RECORDINGS";1752493983;1752494168;"https://www.deezer.com/track/3055985141";"https://open.spotify.com/track/6ug6KkKYPHPJWkjkVmQpUE";"https://music.apple.com/fr/album/ciranda/1775213320?i=1775213718&uo=4";
"Astrud Gilberto";"This is Astrud Gilberto";"Fly me to the moon";"1964";"VERVE";1752494163;1752494303;"https://www.deezer.com/track/538572392";;"https://music.apple.com/fr/album/fly-me-to-the-moon/1425183977?i=1425183996&uo=4";
"Claude Nougaro";"Du jazz chez les yéyés / Integrale  vol. 2";"Ouh! (allez-y les bergères)";"1962";"MERCURY";1752494301;1752494461;;;"https://music.apple.com/fr/album/ouh-allez-y-les-berg%C3%A8res/686107039?i=686107298&uo=4";
"Michel Legrand";"Michel Legrand se joue Claude Nougaro";"Où";"1962";"PHILIPS";1752494461;1752494632;;;;
"Senor Coconut";"Fiesta songs";"Smoke on the water";"2003";"NAIVE";1752494629;1752494915;"https://www.deezer.com/track/640601592";"https://open.spotify.com/track/0EU266VogjEqFVadz4XF8l";;
"Setenta";"Apollo Solar Drive";"Sa ki taw";"2025";"LATIN BIG NOTE";1752494914;1752495196;"https://www.deezer.com/track/2999189971";"https://open.spotify.com/track/1JMNk6Km0nLu5C1rrthXtt";;
"Ezra Collective";"Dance, no one’s watching";"No one's watching me (feat. Olivia Dean)";"2024";"PARTISAN RECORDS";1752495188;1752495450;"https://www.deezer.com/track/3125117281";"https://open.spotify.com/track/70VTTe96UJ9QUyFYbsnW5V";;
"Rejoicer";"This is reasonable";"Your tissue svp";"2024";"CIRCUS COMPANY";1752495451;1752495617;"https://www.deezer.com/track/2643605522";"https://open.spotify.com/track/6dgbRqtRKjgwvIkE1IDLJv";"https://music.apple.com/fr/album/your-tissue-svp/1728508288?i=1728508651&uo=4";
"Bon Iver";"SABLE, fABLE";"There's a rhythmn";"2025";"JAGJAGUWAR";1752495615;1752495931;"https://www.deezer.com/track/3211935441";"https://open.spotify.com/track/7uWS4zoWMNU9fUPojMYilC";"https://music.apple.com/fr/album/theres-a-rhythmn/1791161215?i=1791161565&uo=4";
"Duo Ruut";"Ilmateade";"Udu (Fog)";"2025";"DUO RUUT MUSIC";1752495928;1752496135;;;;
"Mari Boine";"Idjagiedas (in the hand of the night)";"Áfruvvá";"2006";"UNIVERSAL";1752496129;1752496384;"https://www.deezer.com/track/2344200335";"https://open.spotify.com/track/5okCmjyLrgLlYY7yJj1Pq3";;
"Brandee Younger";"Gadabout season";"Gadabout season";"2025";"IMPULSE";1752496383;1752496669;"https://www.deezer.com/track/3401801841";"https://open.spotify.com/track/5Z4YeqJLy2Ik0NYr0xlfh7";;
"Sophye Soliveau";"Initiation";"Breathe";"2024";"AUTOPRODUCTION";1752496667;1752496855;"https://www.deezer.com/track/2683185712";"https://open.spotify.com/track/3CxH9Yindl8kUfc16qFPN1";"https://music.apple.com/fr/album/breathe/1733715119?i=1733715746&uo=4";
"Janis Joplin";"I got dem ol' kozmic blues again mama";"Little girl blue";"1969";"COLUMBIA";1752496853;1752497083;"https://www.deezer.com/track/831065";"https://open.spotify.com/track/6tv6EVWMV7AIWi8PhZ0uvO";;
"Led Zeppelin";"Led Zeppelin I";"Your time is gonna come";"1969";"ATLANTIC";1752497079;1752497354;;;;
"The Meters";"Look-ka py py";"This is my last affair";"1970";"SOUL MUSIC RECORDS";1752497346;1752497518;"https://www.deezer.com/track/740943";"https://open.spotify.com/track/7mhcJ0EScFteXu3aT2j0Wm";;
"The Heavy";"Great vengeance and furious fire";"Girl";"2007";"COUNTER";1752497514;1752497678;"https://www.deezer.com/track/10237489";"https://open.spotify.com/track/5fHwmXSQMrHrbMvr5aGEWF";;
"Halo Maud";"Celebrate";"Entends-Tu Ma Voix";"2024";"HEAVENLY RECORDINGS";1752497678;1752497772;"https://www.deezer.com/track/2505873011";"https://open.spotify.com/track/7swa755klcDzLAV2lIzzHG";;
"Sarah Vaughan";"After hours at the London house";"You'd be so nice to come home to";"1959";"MERCURY";1752497770;1752498010;;;;
"Forever Pavot & Xp";"Forever XP";"Pch pacific coast highway";"2024";"BMM RECORDS";1752498003;1752498197;;;;
"Rozi Plain";"Prize";"Standing up";"2023";"MEMPHIS INDUSTRIES";1752498194;1752498403;"https://www.deezer.com/track/1847865137";"https://open.spotify.com/track/31XOSQ8H1QQv8Sd4Mn8Ikf";;
"Gale Storm";"The very best of";"Never Leave Me";"1955";"MASTER CLASSIC RECORDS";1752498399;1752498569;"https://www.deezer.com/track/1438523062";"https://open.spotify.com/track/45eykzjloKi2Zq6oWGd5aY";;
"Sam Fletcher";"Up all night / 56 northern soul classics";"I'd think it over twice";"1964";"SNAPPER MUSIC";1752498568;1752498716;;;;
"Amalia Hall";"In motion";"Mondo rondo : 3. Mambo rambo - arrangement pour orchestre à cordes";"2020";"BIS";1752498714;1752498952;;;;
"Jordan Lee";"Fighter for love";"Blazing a sun";"2025";"GYPSY MAMA RECORDS";1752498926;1752499081;"https://www.deezer.com/track/3249893471";"https://open.spotify.com/track/0qYDojnphIubaM6s5mf2lg";;
"The Kinks";"Something else by the Kinks";"Lazy old sun";"1967";"SANCTUARY RE";1752499081;1752499246;"https://www.deezer.com/track/143120822";"https://open.spotify.com/track/6QgSvhOmQ1NzGt63c191aX";"https://music.apple.com/fr/album/lazy-old-sun/1528512217?i=1528512226&uo=4";
"The Shoe Laces";"Picó : Sound System Culture From The Colombian Caribbean";"Isitha Somuntu";"1981";"Strut";1752499244;1752499471;"https://www.deezer.com/track/2557826292";"https://open.spotify.com/track/1LdBaoJKUXCnlxLwDbtuTG";"https://music.apple.com/fr/album/isitha-somuntu/1718262150?i=1718262159&uo=4";
"Sababa 5";"Nadir";"Zenith";"2025";"BATOV RECORDS";1752499469;1752499670;"https://www.deezer.com/track/3305772141";"https://open.spotify.com/track/7bGyfg5oKEd1JcipKnBng6";"https://music.apple.com/fr/album/zenith/1806108225?i=1806108227&uo=4";
"Giorgio Lopez";"Sud des Îles";"Fleur de cannelle";"2025";"COSMIC ROMANCE";1752499668;1752499991;"https://www.deezer.com/track/3284284511";"https://open.spotify.com/track/2dAMM8tdk21zjZu6krLWcE";;
"Paolo Conte";"Aguaplano";"Midnight's knock out";"1987";"CDM";1752499988;1752500254;"https://www.deezer.com/track/1102049262";"https://open.spotify.com/track/3on5h7pEEHr0NvA1RkK0tc";;
"Eugene McDaniels";"Headless heroes of the apocalypse";"Jagger the dagger";"1971";"ATLANTIC";1752500249;1752500607;"https://www.deezer.com/track/676953";"https://open.spotify.com/track/2reLffYiqlc8aF9c6tRFZ1";;
"Amanda Whiting";"The liminality of her";".liminal";"2024";"FIRST WORD RECORDS";1752500605;1752500830;;;;
"City Mall";"Lobby songs";"Windy";"2024";"CAVACA RECORDS";1752500825;1752500970;"https://www.deezer.com/track/2988939111";"https://open.spotify.com/track/3ctr1UE9XVLQzOtoJzYJrT";"https://music.apple.com/fr/album/windy/1768765477?i=1768765479&uo=4";
"Blue States";"Man mountain";"Season song";"2002";"DELABEL";1752500968;1752501219;"https://www.deezer.com/track/63254006";"https://open.spotify.com/track/7pYwIAHOX0YvKFLOg5hhZm";;
