"Artist";"Album";"Song";"Year";"start";"end";"spotify";"Label";"deezer";"itunes"
"Les Mamans Du Congo & Rrobin";"Trickle up";"Ntima";2023;1711760646;1711760883;;"JARRING EFFECTS";;
"Toshiyuki Honda";"Funk tide";"Living in a city";2024;1711760895;1711761173;"https://open.spotify.com/track/5RhOJvrQ1FnpeHL08rq15w";"WEWANTSOUNDS";"https://www.deezer.com/track/2628551382";
"Yaya Bey";"Chasing the bus";"Chasing the bus";2024;1711761172;1711761351;"https://open.spotify.com/track/2nvb9TWAONy5kzsqEUyT2z";"BIG DADA";"https://www.deezer.com/track/2614309112";
"Colouring";"Lune";"Lune";2023;1711761351;1711761572;"https://open.spotify.com/track/2i6lb0GsaYnf2DHfb8OadL";"BELLA UNION";;
"The Doors";"Strange days";"Moonlight drive";1970;1711761567;1711761740;;"ELECTRA";;
"Orchestre De Paris";"Georges Bizet : Oeuvres orchestrales";"Petite suite : Trompette et tambour """"Marche"""" - pour orchestre / d'après """"Jeux d'enfants"""" op 22 pour 2 pianos / avec parties de timbales révisées";2010;1711761740;1711761874;;"VIRGIN CLASS";;
"Marie Modiano";"Outland";"The hunter";2008;1711761873;1711762075;"https://open.spotify.com/track/1cqrpbpUZEb8SRKlIbaEt2";"NAIVE";;
"Jolie Holland";"Haunted Mountain";"Won't find me";2023;1711762071;1711762299;"https://open.spotify.com/track/5QkB7DTnnlQQ9IWD4d7pio";"RECORDS RECORDS";;
"Charlotte Gainsbourg";"IRM - édition limitée";"La collectionneuse";2009;1711762299;1711762608;"https://open.spotify.com/track/2bQIRjxBS6DmqOkUzNidBf";"BECAUSE";;
"The Diasonics";"Origin of forms";"Alamandine";2021;1711762610;1711762794;;"RECORD KICKS";;
"Sghir Boutaiba";"1970's algerian proto rai underground";"El fermlia (The nurse)";1972;1711762794;1711763083;;"SUBLIME FREQUENCIES";;
"Lone Ranger";"Studio One supreme : Maximum 70s and 80s early dancehall sounds";"Natty dread on the go";2017;1711763081;1711763240;;"STUDIO ONE / SOUL JAZZ RECORDS";"https://www.deezer.com/track/389758991";"https://music.apple.com/fr/album/natty-dread-on-the-go/1265825638?i=1265825650&uo=4"
"Bluestaeb";"Giseke";"Movin' (feat. Mick Jenkins & Aréna)";2021;1711763239;1711763390;;"JAKARTA RECORDS";;
"Cesare Dell Anna";"Modal Miles (EP)";"Modal Miles (DN3 remix)";2018;1711763398;1711763651;;"JAZZ-O-TECH";;
"Kacimi";"Couronnes d'éphémères";"Sacré persan !";2023;1711763651;1711763722;"https://open.spotify.com/track/74y1EerzdprNbSAHHWY3PV";"LE POP CLUB";;
"Rumer";"Boys don't cry";"Soulsville";2012;1711763718;1711763941;"https://open.spotify.com/track/1tezG7a416NRrmW0surjjs";"ATLANTIC";;
"Syl Johnson";"Dave Godin's deep soul treasures volume 3";"Is it because I'm black";1969;1711763938;1711764132;"https://open.spotify.com/track/7jIUxP1H9SoD6qq8YHjSTV";"ACID JAZZ";;"https://music.apple.com/fr/album/is-it-because-im-black/736256975?i=736257071&uo=4"
"9 Lazy 9";"Funkjazztical tricknology / Ninja cuts";"Black jesus";1994;1711764131;1711764373;"https://open.spotify.com/track/2Aujipv9QnsdezNWnb7s4W";"NINJA TUNE";;
"Oum Shatt";"Opt out";"Love the way she stands";2024;1711764373;1711764587;"https://open.spotify.com/track/1mKZB5px8BOeHFpZvtuuL6";"WANDA RECORDS";"https://www.deezer.com/track/2479250101";"https://music.apple.com/fr/album/love-the-way-she-stands/1709726702?i=1709726941&uo=4"
"Watchglass";"Beautiful dust";"How will you know me ?";2023;1711764608;1711764815;;"DUCHESS STUDIOS";;
"Oan Kim & The Dirty Jazz";"Rebirth of Innocence";"Tall man little horse";2024;1711764808;1711764977;;"ARTWORK RECORDS / PIAS";;
"Art Wilson";"Overworld";"Sun sign Aries";;1711764974;1711765203;;"NUMERO GROUP";;
"Naima Bock";"Berimbau";"Berimbau";2021;1711765200;1711765388;"https://open.spotify.com/track/6atsdaSonZdDnNMt85gm3K";"SUB POP RECORDS";"https://www.deezer.com/track/1547848222";
"Co-Pilot";"Rotate";"Motosaka";2023;1711765393;1711765549;"https://open.spotify.com/track/28fSSNkloEkgg32Xhu8Mgb";"DELL'ORSO RECORDS";;
"Douniah";"A lot, not too much";"Sabah al noor";2023;1711765548;1711765808;"https://open.spotify.com/track/6kCaVN1buHwIkHPlpGqev3";"MELTING POT MUSIC";"https://www.deezer.com/track/2453832215";
"Father's Angels";"A Treasury of Northern Soul / vol 1";"Bok to bach";1968;1711765805;1711765972;;"SANCTUARY RECORDS";;
"Claude Nougaro";"Toulouse";"La pluie fait des claquettes";1968;1711765968;1711766164;;"PHILIPS";;
"Dr. John";"N'awlinz : Dis, dat or d'udda";"When the saints go marching in";2004;1711766166;1711766457;"https://open.spotify.com/track/7g0bw4U2Oqzwx2mA3X9xMA";"EMI";;
"King S Singers";"Johann Strauss fils / King's singers";"Perpetuum mobile op 257";1990;1711766449;1711766639;;;;
"Dave Brubeck";"Dave digs Disney";"Blanche-Neige et les sept nains : Heigh-ho (the dwarfs' marching song)";1957;1711766635;1711766869;;"COLUMBIA";;
"Jay-Jay Johanson";"Fetish";"I did my best";2023;1711766867;1711767120;"https://open.spotify.com/track/6a9UWXKYTG7otNcYocRSVV";"29 MUSIC / KURONEKO";;
"Thee Heart Tones";"Sabor a mi";"Forever & ever";2024;1711767127;1711767309;"https://open.spotify.com/track/4bYvg4O9cD5lZ0lRUJBRDG";"BIG CROWN RECORDS";;"https://music.apple.com/fr/album/forever-ever/1722272755?i=1722272760&uo=4"
"Merryn Jeann";"Dog beach";"Madame on the rocks";2024;1711767305;1711767500;"https://open.spotify.com/track/6T92psJIR2IeOVnGfH7KZD";"RESCUE / RETURN RECORDS";"https://www.deezer.com/track/2621443992";
"Sinj Clarke";"The height of love";"Loverboy";2023;1711767498;1711767814;"https://open.spotify.com/track/4WhxZNWqt4rzXf6ctk73CY";"INERTIA MUSIC";;
"Gaetan Nonchalant";"Changement de programme";"Les legumes";2023;1711767810;1711768023;"https://open.spotify.com/track/0EMlKazXsRK5BIUY5S8Vjr";"OBJET DISQUE";;
"Viking'S Remedy";"It's a french reggae party";"I spend my time";2001;1711768021;1711768225;;"BIG MAMA RECORDS";;
"Bacao Rhythm & Steel Band";"BRSB";"Hotline bling";2024;1711768252;1711768454;"https://open.spotify.com/track/76zhp86TID5muUj7utQyCp";"BIG CROWN RECORDS";;
"Gizmo Varillas";"Dreaming of Better Days";"Through the hourglass";2018;1711768451;1711768625;"https://open.spotify.com/track/0XlDH1QjlZ6hOdH5XOigKo";"BIG LAKE MUSIC";;
"Herman's Hermits";"No milk today";"Show me girl";1965;1711768622;1711768774;;"EMI";;
"Virginie";"Reviens-vite";"Tu crois toujours";1966;1711768771;1711768920;;"POLYDOR";;
"King Gizzard & The Lizard Wizard";"Chunky Shrapnel";"Anamnesis";2020;1711768898;1711769089;"https://open.spotify.com/track/2Y19JgbsThOFrStByj7xZk";"FLIGHTLESS";"https://www.deezer.com/track/1955144997";"https://music.apple.com/fr/album/anamnesis/1649052084?i=1649052365&uo=4"
"Tara Lily";"6 feet down (feat. Theo Crocker)";"6 feet down (feat. Theo Crocker)";2024;1711769083;1711769246;;"TRU THOUGHS";;
"Colectivo Da Silva";"Casa vargas (edición deluxe)";"Motivos";2023;1711769245;1711769446;"https://open.spotify.com/track/4Nyutl677YSRAPIpVUua5Q";"SUBTERFUGE RECORDS";;
"Willie Bobo";"Willie Bobo's Finest Hour";"It's not unusual";1965;1711769445;1711769559;"https://open.spotify.com/track/2dElNzSm6AR5so4wcmjavf";"VERVE";;
"Das Palast Orchester Mit Seinem Sauger";"La musique de Paris derniere /Vol.2";"Sex Bomb";2001;1711769554;1711769734;;"NAIVE";;
"Roudoudou";"Tout l'univers listener's digest";"Trust in me";1998;1711769733;1711770061;;"DELABEL";;
"Fatma Said";"El Nour (Extraits)";"20 Mélodies op 21 : 4. Adieux de l'hôtesse arabe";2020;1711770059;1711770392;;"WARNER CLASSICS";;
"The KutiMangoes";"Afro-fire";"Song for Fela";2014;1711770392;1711770591;"https://open.spotify.com/track/5vndhtLOepEJbojvdmr6OK";"TRAMP RECORDS";"https://www.deezer.com/track/76347528";
"Carlton Jumel Smith & The Soul Seeders";"Pleasure";"A better day";2023;1711770590;1711770808;"https://open.spotify.com/track/5y8CC8hOG4d4rfVJEZ67fH";"LOVEMEDO RECORDS";;
"Slum Village";"Fan-tas-tic, Vol. 2";"Tell me";2009;1711770807;1711771033;"https://open.spotify.com/track/2Xr7QVhLRYwXRR1oteyo9I";"NE'ASTRA MUSIC";;
"Harris Emmylou";"B.O.F. / O brother, where Art thou";"O' Brother : Didn't leave nobody but the baby";2000;1711771033;1711771146;;"MERCURY";;
"Elizabeth Cotten";"Shake sugaree";"Ontario blues";1966;1711771145;1711771363;;"SMITHSONIAN";;
"Bob Dylan";"The best of Bob Dylan";"It ain't me babe";1964;1711771362;1711771574;"https://open.spotify.com/track/5nbNWAfT1S6V1vqj3snHxS";"CBS";;
"Marie Laforet";"Pop à Paris - à tout casser - vol 2";"D'être à vous";1968;1711771585;1711771745;;"UNIVERSAL LICENSING MUSIC";;
"The Divine Comedy";"The best mistakes";"The best mistakes";2022;1711771742;1711771966;"https://open.spotify.com/track/1ReiCYUoqADhIuFvV96rtz";"PIAS";;
"Sunflowers";"Endless voyage";"Dreaming of distant shores";2020;1711771965;1711772045;"https://open.spotify.com/track/3vIJxxsox9hfGwBAGVAWog";"ONLY LOVERS RECORDS";;
"Bill Withers";"'bout love / Vol.8";"You got the stuff";1978;1711772044;1711772473;"https://open.spotify.com/track/0ftZ5CjzOWGDa7h0zQP6Z9";"SONY";;
"Souleance";"Beautiful";"Mamae nao quer (feat. Joao Selva)";2023;1711772472;1711772652;;"HEAVENLY SWEETNESS";;
"Okvsho";"A place between us";"""""Okusho""""";2024;1711772647;1711772860;;"CURRENT MOVES";;
"The Animals";"The singles plus";"It's my life";1965;1711772860;1711773041;"https://open.spotify.com/track/7yGR8R1HgQJeW6s3KRuyGS";"EMI";;
"Matt Berry";"The blue elephant";"Now disappear";2021;1711773041;1711773207;"https://open.spotify.com/track/5s7kcMg4z3l7X6ssaRAxHq";"ACID JAZZ UK";;
"Yara Lapidus";"Back to colors";"Rocking chair";2022;1711773214;1711773369;"https://open.spotify.com/track/2FLFhMdCEHFWyWOXMKN4sF";"YARA MUSIC";;
"Tammittam Percussion Ensemble";"Hommage à Lou Harrison / vol 2";"Rhymes with silver : Mouvement 3 : In honor of prince Kantemir - version pour violon alto violoncelle piano et percussions";1972;1711773368;1711773513;;"DYNAMIC";;
"Diana Krall";"All for you";"I'm an errand girl for rhythm";1996;1711773512;1711773682;"https://open.spotify.com/track/0xQKptQwUejCjGlxtDdBr9";"IMPULSE";;
"Roy Eldridge";"French cooking (vol.2)";"Tu disais qu'tu m'aimais";1950;1711773682;1711773887;;"VOGUE";;
"Yazmin Lacey";"Morning Matters";"Morning Matters";2020;1711773886;1711774124;"https://open.spotify.com/track/1EeS8SQ0BAhNrLVLCNrxrj";"AUTOPRODUCTION";"https://www.deezer.com/track/1789798397";
"Rhi";"Nocturnes";"No one else (instrumental)";2022;1711774128;1711774313;;"TRU THOUGHTS";;
"Pete Philly & Perquisite";"Mind.State";"Relieved";2005;1711774312;1711774474;"https://open.spotify.com/track/0cp73xwPuPpCXR3SDtDp8k";"EPTH";;
"Sharon Jones And The Dap Kings";"Soul time !";"What if we all stopped paying taxes ?";2011;1711774473;1711774754;;"DIFFERT - AN";;
"Mr Fox";"Private wax : super rare boogie & disco compiled by Zafsmusic.com (cd promo)";"Party track";1980;1711774754;1711775193;;"BBE";;
"Dennis Brown";"Bunny """"Striker"""" Lee strikes back";"Party Time";1977;1711775205;1711775398;;"KINGSTON SOUNDS";"https://www.deezer.com/track/63394896";"https://music.apple.com/fr/album/party-time/309141871?i=309141907&uo=4"
"Speakers Corner Quartet";"Further Out Than The Edge (Deluxe)";"Shabz needs sun";2023;1711775391;1711775492;"https://open.spotify.com/track/3TkvUZym10rDvTYrdPiKPb";"OTIH RECORDS";;
"Jethro Tull";"The very best of Jethro Tull";"Beggar's farm";1968;1711775490;1711775747;;"EMI FRANCE";;
"Eartheater";"Phoenix: Flames Are Dew Upon My Skin";"Diamond in the bedrock";2020;1711775747;1711775996;"https://open.spotify.com/track/0TMW8WosPCrlN7PYBYucZ3";"PAN";;
"Judee Sill";"Crayon angels";"Ridge rider";1971;1711775994;1711776282;;"ASYL";;
"Allen Toussaint";"The complete """"Tousan"""" sessions";"Sweetie pie (twenty years later)";1960;1711776272;1711776437;;"BEAR FAMILY RECORDS";"https://www.deezer.com/track/74783189";
"X";"Los Angeles";"Nausea";1980;1711776436;1711776653;"https://open.spotify.com/track/1iqLmKZEctD27Ld4BoAngw";"RHINO RECORDS";;
"Juniore";"Un, deux , trois";"Grave";2020;1711776652;1711776851;"https://open.spotify.com/track/6XkzQptmPDXQxbXHsrB37O";"A+LSO/SONY";"https://www.deezer.com/track/831197882";
"Irene Reid";"Secret nuggets of wise : Northern soul";"I must be doing something right";1968;1711776859;1711777013;;"LE CHANT DU MONDE";;
"The Pharcyde";"Dillanthology vol. 1";"Runnin";1995;1711777006;1711777300;;"RAPSTER RECO";;
"Morphine";"Like swimming";"Like swimming";1997;1711777281;1711777515;"https://open.spotify.com/track/6XJdplt0PeXx0AB6O7YUcc";"RYKO";;
"Lorez Alexandria";"BD Music & Cabu present 50 singing ladies";"Fine and dandy";1957;1711777507;1711777647;;"JAZZ MASTERS";"https://www.deezer.com/track/104187504";
"Anne Dudley";"The World Of Jeeves & Wooster";"Jeeves and Wooster";1992;1711777655;1711777728;"https://open.spotify.com/track/5ZfgbRJ5av8j1Wy9vnd3oB";"PARLOPHONE UK";;
"Melanie";"Cri d'amour";"La belle histoire";2022;1711777727;1711777902;"https://open.spotify.com/track/1gnSD4htfqduB0dHLKF4By";"COMET RECORDS";;
"Arcade Fire";"Funeral";"Neighborhood #2 (laika)";2005;1711777900;1711778109;;"PIAS";;
"Aziza Brahim";"Mawja";"Metal, madera";2024;1711778105;1711778341;"https://open.spotify.com/track/1VxWUqYqigOW96hekrteMN";"GLITTERBEAT RECORDS";;
"Bibio";"BIB10";"Sharratt";2022;1711778339;1711778563;"https://open.spotify.com/track/28cxSHIjwU4CHtGoR4S3dt";"WARP";"https://www.deezer.com/track/1835044457";
"Eric Hilton";"Sound vagabond";"Cerro alegre";2023;1711778399;1711778631;;"MONTSERRAT HOUSE";"https://www.deezer.com/track/2575783432";
"Eric Hilton";"Sound vagabond";"Cerro alegre";2023;1711778400;1711778631;;"MONTSERRAT HOUSE";"https://www.deezer.com/track/2575783432";
"Carwyn Ellis & Rio 18";"Joia !";"Dant melys";2019;1711778550;1711778553;"https://open.spotify.com/track/3EaHdsECxCqkFFcE5JQA1Q";"RECORDIAU AGATI / BANANA & LOUIE RECORDS";;"https://music.apple.com/fr/album/dant-melys/1462474534?i=1462474537&uo=4"
"Everything But The Girl";"Like the deserts miss the rain";"Each and every one";1984;1711778628;1711778794;"https://open.spotify.com/track/7niq1SnLvUkXHPJGog42EB";"WEA";;"https://music.apple.com/fr/album/each-and-every-one/724514882?i=724515557&uo=4"
"The Mac Coys";"Bof / Good morning England";"Hang on Sloopy";1965;1711778998;1711779228;;"MERCURY";;
"Duane Eddy";"21 greatest guitar hits";"Shazam";1960;1711779226;1711779344;;"COMPANION";;"https://music.apple.com/fr/album/shazam/436639594?i=436639617&uo=4"
"Johnny Montreuil";"Zanzibar";"Vers les îles (feat. Rosemary Standley)";2024;1711779342;1711779554;;"LES FACETIES DE LULUSAM";;
"Easy Star All-Stars";"Ziggy stardub";"Soul love (feat. Mortimer)";2023;1711779550;1711779783;"https://open.spotify.com/track/6JYdSXdOlm5KyDe52ojHbn";"EASY STAR RECORDS";;"https://music.apple.com/fr/album/soul-love-feat-mortimer/1665199224?i=1665199375&uo=4"
"Crystal Murray";"After ten";"After ten";2019;1711779780;1711779973;"https://open.spotify.com/track/6Yv34Bc253kjrkkGKlCyGL";"BECAUSE MUSIC";;"https://music.apple.com/fr/album/after-ten/1453840752?i=1453840798&uo=4"
"The Junior Mance Trio";"Straight ahead";"Senor Mance";1964;1711779972;1711780104;;"CAPITOL RECORDS";;
"The Frank Cunimundo Trio";"Feelin' good";"Feelin' good";1971;1711780100;1711780239;;"UBIQUITY RECORDINGS";;
"Lulu";"Right on !";"Feeling alright";1972;1711780237;1711780415;;"WARNER";;
"Nicole Willis And The Soul Investigators";"Keep reachin' up remixed/Mr scruff";"Feeling free (Aaron Jerome's If Music mix)";2006;1711780413;1711780755;;"ABOVE";;
"Pascal Comelade";"Boom boom";"Le riffifi brille en jaune";2023;1711780753;1711780896;"https://open.spotify.com/track/6rOTp8tPBjgb0ZMG74NkuG";"BECAUSE MUSIC";"https://www.deezer.com/track/2440234915";
"Merryn Jeann";"Dog beach";"Madame on the rocks";2024;1711780893;1711781088;"https://open.spotify.com/track/6T92psJIR2IeOVnGfH7KZD";"RESCUE / RETURN RECORDS";"https://www.deezer.com/track/2621443992";
"Bertrand Belin";"Hypernuit";"Avant les forêts";2010;1711781087;1711781313;;"CINQ 7";;"https://music.apple.com/fr/album/avant-les-for%C3%AAts/427773370?i=427773376&uo=4"
"Brian Protheroe";"Pinball and other stories";"Changing my tune";1974;1711781310;1711781475;"https://open.spotify.com/track/02IsUxfd1CoyWEOd6hpuja";"PICKLED EGG";;"https://music.apple.com/fr/album/changing-my-tune/1629074290?i=1629074298&uo=4"
"Quatuor Amadeus";"Le quatuor Amadeus interprète Bruckner Smetana Verdi Tchaikovsky et Dvorak";"Quatuor à cordes n°12 en Fa Maj op 96 B 179 : Molto vivace";2005;1711781472;1711781696;;"DGG (DEUTSCHE GRAMMOPHON)";;
"The Ray Conniff Singers";"BOF / Musiques films cultes des années 50";"Rawhide";;1711781694;1711781858;;"DOM";;
"The Dead South";"People are strange";"People are strange";2021;1711781857;1711782047;;"SIX SHOOTER RECORDS";;"https://music.apple.com/fr/album/people-are-strange/1590944484?i=1590944493&uo=4"
"The Doors";"The doors";"Alabama song (whisky bar)";1967;1711782045;1711782241;"https://open.spotify.com/track/0JNZGIavoUrdup1NsgJOQs";"ELEKTRA";"https://www.deezer.com/track/3614128";"https://music.apple.com/fr/album/alabama-song-whisky-bar/640047463?i=640047579&uo=4"
"Fotis Siotas";"Skouria kai meli";"Skouria kai meli";2021;1711782240;1711782385;"https://open.spotify.com/track/0bfksN5syUMuVUky1yEog3";"LOUVANA RECORDS";;"https://music.apple.com/fr/album/skouria-kai-meli/1585468074?i=1585468075&uo=4"
"New Visionaries";"Roadmaps";"Desert disco nights";2024;1711782383;1711782568;"https://open.spotify.com/track/6DO8PkPKXrQXYLolgXFvs0";"LOVEMONK RECORDS";"https://www.deezer.com/track/2637246032";
"Pascal Davoz";"France chébran (French Boogie 1980 - 1985)";"Cinema";1982;1711782568;1711782837;;"BORN BAD RECORDS";"https://www.deezer.com/track/554447972";
"Alek Lee";"You !";"Telefon (feat. Nimrod Goldfarb)";2023;1711782836;1711783045;;"ANTINOTE";;
"Marina P";"Eugenio";"Eugenio (Reggae version)";2024;1711783039;1711783203;;"LES RYTHMES RUBAN";"https://www.deezer.com/track/2700448482";
"Okvsho";"A place between us";"Soulé";2024;1711783203;1711783393;"https://open.spotify.com/track/2j87NREnZw3PL7cfTUn9ct";"CURRENT MOVES";;
"Amy Winehouse";"Frank";"Help yourself";2007;1711783392;1711783687;;"ISLAND";;
"Harry Nilsson";"Nilsson Schmilsson";"Gotta get up";1971;1711783681;1711783825;"https://open.spotify.com/track/6fvIzrJ6boUDFF19fH4S2s";"RCA";"https://www.deezer.com/track/15408004";"https://music.apple.com/fr/album/gotta-get-up/304815001?i=304815004&uo=4"
"The Kinks";"The anthology 1964 - 1971";"Wonder where my baby is tonight";1965;1711783824;1711783942;"https://open.spotify.com/track/27n7RbBKekGRLMszSsJ0yg";"SANCTUARY";"https://www.deezer.com/track/143027210";"https://music.apple.com/fr/album/wonder-where-my-baby-is-tonight/935256460?i=935256493&uo=4"
"Beirut";"Fisher island sound";"Fisher island sound";2021;1711783941;1711784104;;"POMPEII RECORDS";;
"Aurele Marthan";"Guéthary";"Le carnaval des animaux : 7. Aquarium - pour piano";2022;1711784102;1711784245;;"ALPHA CLASSICS";;
"Elvett";"The hill";"My day";2023;1711784245;1711784450;"https://open.spotify.com/track/11rnf4jkY9kQHLwzKNGUWG";"MOUTHWATERING";;"https://music.apple.com/fr/album/my-day/1696985051?i=1696985061&uo=4"
"Solange";"A seat at the table";"Junie";2016;1711784450;1711784636;"https://open.spotify.com/track/5lMugQF80AuN6uukFJLT58";"COLUMBIA RECORDS";;"https://music.apple.com/fr/album/junie/1159507212?i=1159507367&uo=4"
