"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Blinky";"Harlem shuffle : Sixties soul classics";"Oh how happy";1969;"CHARLY";1704535180;1704535311;;;
"Sly5thAve";"No. No, No, Pt. 2";"No. No, No, Pt. 2 (feat. Jonathan Mones)";2023;"TRU THOUGHTS";1704535310;1704535591;;;
"James Brown";"Crooklyn / Vol. 2";"Soul power";1971;"MCA RECORDS";1704535587;1704535849;;;
"Dj Marky";"Favela chic/Postonove 2";"LK (Carolina carol Bela)";2002;;1704535842;1704536072;;;
"Elisa Jo";"Kicks";"But not for me";2020;"DECCA";1704536072;1704536221;"https://open.spotify.com/track/7IUmgZAOacodqZc1f8yYTt";;
"Catastrophe";"BOF / Podium";"Courage (Instrumental)";2022;"TRICATEL";1704536218;1704536392;;"https://www.deezer.com/track/1728809917";
"Romano Bianchi";"Le don et la disgrâce";"La même chose";2023;"STONE PIXELS RECORDS";1704536391;1704536577;"https://open.spotify.com/track/4PMD424RK6UzSBcVupXU5p";;
"Peter Gabriel";"Intruder";"Games without frontiers";1980;"VIRGIN";1704536573;1704536807;"https://open.spotify.com/track/4TVnzZW8dIPjMjg5e8gKhH";;"https://music.apple.com/fr/album/games-without-frontiers/986713177?i=986713201&uo=4"
"Tenor Saw";"200% Dynamite";"Ring the alarm";1985;"SOUL JAZZ RECORDS";1704536805;1704536994;;;"https://music.apple.com/fr/album/ring-the-alarm/334742024?i=334742466&uo=4"
"Monty Alexander";"Harlem-Kingston express";"Strawberry hill";2011;"V.O";1704536991;1704537227;;;"https://music.apple.com/fr/album/strawberry-hill/1288710054?i=1288710552&uo=4"
"Don Leisure & Amanda Whiting";"Beyond the midnight sun";"Walk with us";2023;"FIRST WORD";1704537225;1704537442;;;"https://music.apple.com/fr/album/walk-with-us/1712445745?i=1712445746&uo=4"
"Gil Scott Heron";"I'm new here :";"I'm new here";2010;"XLRECORDING";1704537436;1704537653;;;
"Bill Ryder-Jones";"Lechyd da";"If tomorrow starts without me";2024;"DOMINO";1704537646;1704537829;"https://open.spotify.com/track/13mBzRFHs27qs0fPlGG2jd";"https://www.deezer.com/track/2414045375";"https://music.apple.com/fr/album/if-tomorrow-starts-without-me/1702898717?i=1702898724&uo=4"
