"Artist";"Album";"Song";"Year";"start";"end";"itunes";"Label";"deezer";"spotify"
"Laurent Bardainne & Tigre D’eau Douce";"Eden Beach Club";"We Try";2024;1712051918;1712052154;"https://music.apple.com/fr/album/we-try/1729904279?i=1729905067&uo=4";;;
"Freddie Joachim";"Beyond the sea of trees";"Unlimited";2019;1712052152;1712052302;;"JAKARTA";"https://www.deezer.com/track/1760873517";"https://open.spotify.com/track/4AXQuovR3tCJFXTG3IWbGT"
"Varnish La Piscine";"Ring island";"Ring island";2023;1712052300;1712052492;;"BECAUSE";;"https://open.spotify.com/track/7uDg4zSgcEfo6yqe6JlbmY"
"Ray Parker Jr.";"Light Mellow - Sealine";"It's our own affair";1982;1712052491;1712052721;;"SONY RECORDS INT'L";;"https://open.spotify.com/track/76dU2f9SKoc1JT2MtuB2Xn"
"Dina Ogon";"Orion";"Milton";2024;1712052719;1712052924;;"PLAYGROUND MUSIC SCANDINAVIA";"https://www.deezer.com/track/2482037941";"https://open.spotify.com/track/0cv07WpYuaYebwH59T7kWd"
"Stereolab";"Cobra and phases group play voltage in the milky night";"Strobo acceleration";1999;1712052920;1712053154;"https://music.apple.com/fr/album/strobo-acceleration/1230503490?i=1230503758&uo=4";"ELEKTRA";;"https://open.spotify.com/track/4fVYuN6KsV8UZ8vWD50mGF"
"Miles Davis";"Live at Montreux";"Summertime";;1712053151;1712053324;;"WB";"https://www.deezer.com/track/872356";"https://open.spotify.com/track/25H0Wd1ugPRXGM2LlpjVXM"
"Sarah Vaughan";"Sarah Vaughan the divine";"Summertime";1958;1712053319;1712053489;;"POLYGRAM";"https://www.deezer.com/track/549329642";
"Mariusz Kwiecien";"Slavic Heroes / Mariusz Kwiecien interprète des airs d'opéras slaves";"Eugène Onéguine op 24 : Uzhel' ta samaya Tatyana (Acte III Sc 1) Air d'Eugène Onéguine";2012;1712053486;1712053644;;"HARMONIA MUNDI";;
"Azumi Inoue";"BOF / Mon voisin Totoro";"Mon voisin Totoro : Stroll (opening theme)";1999;1712053643;1712053804;;"REPRISE RECORDS";;
"Cho Co Pa Co Cho Co Quin Quin";"Tradition";"Watatsumi";2023;1712053803;1712054021;;"TIME CAPSULE";;
"Reyna Tropical";"Malegría";"Cuaji";2024;1712054019;1712054190;;"PSYCHIC HOTLINE";;
"Mato";"Homework";"Alive dub";2014;1712054190;1712054349;;"FAVORITE RECORDINGS";"https://www.deezer.com/track/80258958";
"Welton Irie";"Lamb's bread international";"Jah come";2000;1712054347;1712054495;;"BLOOD AND FIRE";;
"Jimi Hendrix";"Axis : Bold as love";"Bold as love";1967;1712054494;1712054740;;"POLYDOR";;"https://open.spotify.com/track/0uco0wQkB909zpPlHvu5Cc"
"Francois Faray";"Wizzz ! / Vol. 4";"Le grand méchant loup";1973;1712054739;1712054901;;"BORN BAD RECORDS";"https://www.deezer.com/track/1260034992";
"The Lemon Twigs";"A dream is all we know";"My golden years";2024;1712054896;1712055088;"https://music.apple.com/fr/album/my-golden-years/1726922605?i=1726922619&uo=4";"CAPTURED TRACKS";;"https://open.spotify.com/track/28NQHKpVvnf03kWFWIWMXR"
"Aboukir";"Change";"Release";2023;1712055084;1712055545;;"ROTARY PHONO LAB";"https://www.deezer.com/track/2481192431";"https://open.spotify.com/track/1FmMtPjWozhcOXzDNbZde4"
"Tamtam";"Ramble In the rainbow";"Ramble in the rainbow";2024;1712055200;1712055441;"https://music.apple.com/fr/album/ramble-in-the-rainbow/1722550611?i=1722550938&uo=4";"PPU";"https://www.deezer.com/track/2595437202";"https://open.spotify.com/track/3WYs9M0Cn1h9D6bHlfBjYW"
"Pip Millett";"Slow";"Slow";2022;1712055439;1712055613;;"COLUMBIA";"https://www.deezer.com/track/1783867867";"https://open.spotify.com/track/1j3b3PBvAHm1rrNFP1ge1N"
"Polylogue From Sila";"Supertales";"Ka chiiiing";2024;1712055612;1712055877;;"TAKE IT EASY AGENCY / SHARMA";;
"Janek Van Laak";"Circle of madness";"A little gold";2024;1712055874;1712056007;"https://music.apple.com/fr/album/a-little-gold/1716555056?i=1716555057&uo=4";"SONAR KOLLEKTIV";;"https://open.spotify.com/track/6V9xS6FfpNaxqVy4Ga4jIK"
"Super Mazembe";"Afrique 50 ans de musique volume 8/Afrique de l'Est  2";"Samba";1980;1712056007;1712056274;;"SYLLART PROD";;
"Vampire Weekend";"Vampire weekend";"One (blake's got a new face)";2008;1712056271;1712056461;"https://music.apple.com/fr/album/one-blakes-got-a-new-face/271489741?i=271489766&uo=4";"XL RECORDS";;"https://open.spotify.com/track/6iMBQot4ZWbc1judI3x1eG"
"Flavien Berger";"Leviathan";"Gravité";2015;1712056460;1712056656;"https://music.apple.com/fr/album/gravit%C3%A9/1559232219?i=1559233103&uo=4";"PAN EUROPEAN RECORDING";;"https://open.spotify.com/track/0FxbFtp4n9eKgW1JD7zGpt"
"Manu Dibango";"African woodoo";"Moulema na moudi";1975;1712056654;1712056865;;"FREMEAUX";;
"Duke Pearson";"I don't care who knows it";"I don't care who knows it";1970;1712056863;1712057051;"https://music.apple.com/fr/album/i-dont-care-who-knows-it/1442901720?i=1442901729&uo=4";"BLUE NOTE";;
"Bombay Bicycle Club";"Fantasies";"Better now";2024;1712057045;1712057269;;"MMM…RECORDS LTD - AWAL";;
"Lewis Evans";"L'ascension";"Lonely moon";2022;1712057269;1712057451;"https://music.apple.com/fr/album/lonely-moon/1621751798?i=1621751807&uo=4";"ZRP";;"https://open.spotify.com/track/40Ft69YvPrQAQHiB2huIl9"
"Nemanja Radulovic";"Nemanja Radulovic : Baïka";"Shéhérazade op 35 : 4. Fête à Bagdad - La mer - Le vaisseau se brise sur un rocher surmonté d'un guerrier d'airain - Conclusion - Arrangement pour violon piano et orchestre de chambre";2018;1712057447;1712057766;;"DEUTSCHE GRAMMOPHON";;
"Cleo Sol";"Heaven";"Self";2023;1712057766;1712057962;;"FOREVER LIVING ORIGINALS";;"https://open.spotify.com/track/0J9uaeOd7GZi9MTybtqAD4"
"Toots And The Maytals";"54-46 was my number (Anthology 1964-2000)";"When bam bam";1964;1712057960;1712058147;;"TROJAN";;
"Boule Noire";"Reggae";"Pleine lune";1982;1712058145;1712058340;"https://music.apple.com/fr/album/pleine-lune/303367520?i=303367524&uo=4";"ZION YANT RECORDS";;"https://open.spotify.com/track/7sDuUzGWcz87LcThvf82W1"
"Ronnie Foster";"Funk tide";"Night life";1986;1712058338;1712058521;"https://music.apple.com/fr/album/night-life/1726200902?i=1726200903&uo=4";"WEWANTSOUNDS";;
"Forest Law";"Ooo, I";"Ooo, I";2024;1712058519;1712058790;"https://music.apple.com/fr/album/ooo-i/1727196051?i=1727196054&uo=4";"BONGO JOE";;"https://open.spotify.com/track/5iehQji1HaVstQdZEgUV5U"
"Jonathan Jeremiah";"Good day";"Good day";2018;1712058788;1712058980;"https://music.apple.com/fr/album/good-day/1454114099?i=1454114100&uo=4";"PIAS";;"https://open.spotify.com/track/48U9LaxtNKyy2yp8wKEWuJ"
"Nappy Roots";"The humdinger";"Good day";2008;1712058978;1712059196;;"NAPPY ROOTS";;"https://open.spotify.com/track/4cnqxdE2opmhp7MwkvhkAJ"
"Rockabye Baby!";"Lullaby renditions of Snoop Dogg";"Who am i (what's my name)";2019;1712059195;1712059361;;"ROCKABYE BABY MUSIC";;"https://open.spotify.com/track/3wiBqcGqhKE7yqjR2psud9"
"Shabaka";"Perceive its beauty, acknowledge its grace";"Living (feat. Eska)";2024;1712059359;1712059577;;"IMPULSE";;
"Charlotte Walters";"Beginner's guide to french pop (1962 - 1970)";"Fleurs de pavots bleus";1969;1712059577;1712059708;;"NASCENTE";;
"Barbara & Ernie";"Prelude to";"Play with fire";1971;1712059706;1712059924;"https://music.apple.com/fr/album/play-with-fire/367455050?i=367455096&uo=4";"COTILLION";;"https://open.spotify.com/track/6qivaRvwJ34QHswoNTbdwL"
"Lawne";"Heather’s leather";"Heather's leather (radio edit)";2024;1712059918;1712060133;;"WAH WAH 45S";;
"Tony Joe White";"Smoke From The Chimney (Extrait)";"Bubba Jones";2021;1712060133;1712060397;"https://music.apple.com/fr/album/bubba-jones/1552110323?i=1552110627&uo=4";"SWAMP RECORDS";;"https://open.spotify.com/track/5sLY0cuhTdcKuJi674IWLx"
"Yola";"Walk through fire";"Walk through fire";2019;1712060395;1712060621;"https://music.apple.com/fr/album/walk-through-fire/1443512382?i=1443512391&uo=4";"EASY EYE SOUND - NONESUCH";;"https://open.spotify.com/track/3IvY3M6RYfVWTquUxrBudU"
"Quatuor Panocha";"Anton Dvorak : Miniatures";"Valse en Ré bémol Maj op 54 n°2 B 105 n°2 - pour quintette à cordes";1999;1712060617;1712060777;;"SUPRAPHON OU SUPRAPHONET";;
"Audrey Hepburn";"BOF / My fair lady";"Just you wait";1964;1712060777;1712060953;;"CBS";;
"Julien Appalache";"Danse danse danse";"Danse danse danse";2024;1712060951;1712061133;"https://music.apple.com/fr/album/danse-danse-danse/1728624201?i=1728624222&uo=4";"NEON NAPOLEON";;"https://open.spotify.com/track/7leCmgdh31ge3vYxzbmrLN"
"Monika";"Secret in the dark";"Gave you my soul";2015;1712061133;1712061378;;"ARCHANGEL MUSIC";;"https://open.spotify.com/track/3HGgpVyyUKKhOJWULhV1sy"
"Jay Dee";"Welcome 2 Detroit";"Rico suave bossa nova";2001;1712061377;1712061463;;"BARELY BREAKING MUSIC";;"https://open.spotify.com/track/2hR5vP6MiTSdkFY8jfsCLb"
"Degiheugi";"Foreglow";"Favelas (feat. Zackarose)";2021;1712061461;1712061682;"https://music.apple.com/fr/album/favelas-feat-zackarose/1552856464?i=1552856657&uo=4";"ENDLESS SMILE";;
"Luiz Enrique";"Brazil 70's/14 Bossa-nova & latin-jazz tracks";"Mas que nada";1967;1712061680;1712061861;;"SUPERCLASSE";;
"Crosby, Stills & Nash";"CSN";"See the changes";1977;1712061857;1712062034;"https://music.apple.com/fr/album/see-the-changes/908247376?i=908247393&uo=4";"ATLANTIC";"https://www.deezer.com/track/6030550";"https://open.spotify.com/track/1G4etVz1VBjfowHWgeCJsA"
"Jimi Tenor";"Multiversum";"Jazznouveau";2022;1712062033;1712062279;"https://music.apple.com/fr/album/jazznouveau/1611096942?i=1611096948&uo=4";"BUREAU B";;"https://open.spotify.com/track/2t68jW7lAvhRzkXf3ER5WO"
"Emily Saunders";"Sideways";"Sideways";2024;1712062279;1712062491;"https://music.apple.com/fr/album/sideways/1729183615?i=1729183616&uo=4";"THE MIX SOUNDS";"https://www.deezer.com/track/2646773672";"https://open.spotify.com/track/6kAWf0FzbJvxam6xm3ovcG"
"Capsule";"Straight out the cat litter : Gourmet";"Le salon";2001;1712062488;1712062714;;"CATSKILLS / NAIVE";"https://www.deezer.com/track/134780272";
"Le Ton Mite";"Passé composé futur conditionnel";"Space needle";2017;1712062713;1712062884;;"CRAMMED DISCS";"https://www.deezer.com/track/138221669";"https://open.spotify.com/track/6Gtr59pkHSahqCqPQITGYo"
"The Faithful Brothers";"The Faithful Brothers";"They don't know";2023;1712062884;1712062982;;"MR. MELLOWA€™S MUSIC";;
"Diana Ross & The Supremes";"20 greatest hits";"You keep me hangin' on";1966;1712062980;1712063140;"https://music.apple.com/fr/album/you-keep-me-hangin-on/1447425355?i=1447425366&uo=4";"MOTOWN";;
"The Calicos";"Day by day";"Day By Day";2021;1712063139;1712063415;;"MAYWAY RECORDS";;
"Bruno Berle";"No reino dos afetos 2";"Love comes back";2024;1712063412;1712063610;"https://music.apple.com/fr/album/love-comes-back/1729141155?i=1729141885&uo=4";"FAR OUT";;
"Initials Mb";"Bang Bang !";"Goodbye lazy";2023;1712063607;1712063866;"https://music.apple.com/fr/album/goodbye-lazy/1712889286?i=1712890213&uo=4";"INITIALS MB";"https://www.deezer.com/track/2507619281";"https://open.spotify.com/track/568wKgZ3ndzIYd3zMVriA8"
"Bai Kamara Jr & The Wood Sniffers";"Traveling medicine man";"Good, good man";2023;1712063863;1712064096;;"MOOSICUS RECORDS";;
"Murray Head";"Say it ain't so";"Say it ain't so Joe";1975;1712064093;1712064367;;"ISLAND";"https://www.deezer.com/track/92089016";
"Aldous Harding";"Warm Chris";"Passion babe";2022;1712064360;1712064569;"https://music.apple.com/fr/album/passion-babe/1598442016?i=1598442539&uo=4";"4AD";;"https://open.spotify.com/track/5e5p2Ff9BWKVP6FTuv8JLW"
"Reginald Kell";"Reginald Kell : Intégrale des enregistrements Decca";"Jamaican rumba - pour clarinette et piano";2005;1712064564;1712064721;;"DGG (DEUTSCHE GRAMMOPHON)";;
"Albin De La Simone";"Les cent prochaines années";"À jamais";2023;1712064719;1712064943;"https://music.apple.com/fr/album/%C3%A0-jamais/1658832883?i=1658833644&uo=4";"TOT OU TARD";;"https://open.spotify.com/track/5AEuTrRKZkEpQM4dsB1XYQ"
"Jonathan Wilson";"Eat the Worm";"Ridin' in a Jag";2023;1712064941;1712065249;;"BMG";;"https://open.spotify.com/track/2vDHwn42BpqbusjZXvjJLz"
"Joe Cocker";"The ultimate collection 1968-2003";"With a little help from my friends";1968;1712065245;1712065549;;"REMARK";;
"Adi Oasis";"Lotus glow (instrumentals)";"Red to violet";2023;1712065547;1712065748;;"ADI OASIS";;
"Lord$";"Billy Joel";"Billy Joel";2023;1712065747;1712065939;"https://music.apple.com/fr/album/billy-joel/1690385329?i=1690385338&uo=4";"TRICATEL";;"https://open.spotify.com/track/3HjC8J8fLppAWrNtMs14QS"
"Funkadelic";"Maggot brain";"You and your folks, me and my folks";1971;1712065938;1712066153;"https://music.apple.com/fr/album/you-and-your-folks-me-and-my-folks/1595227414?i=1595227750&uo=4";"WESTBOUND";;"https://open.spotify.com/track/1alxqrqIYG7YIlaCmwzl6p"
"Secret Night Gang";"Belongs on a place called earth";"Every nation";2023;1712066151;1712066428;"https://music.apple.com/fr/album/every-nation/1679465764?i=1679465938&uo=4";"BROWNSWOOD RECORDINGS";;"https://open.spotify.com/track/1bphO75IqWWraNqYwvYvuh"
"Azymuth";"Azymuth";"Morning";1975;1712066426;1712066650;;"FAR OUT";"https://www.deezer.com/track/108475400";
"Kids Return";"Our love";"Our love";2021;1712066648;1712066869;"https://music.apple.com/fr/album/our-love/1571184947?i=1571185092&uo=4";"AUTO PRODUCTION";;"https://open.spotify.com/track/5Sku70UniKLAW8RnCd6q8V"
"Bobby Caldwell";"Special to me";"What you won't do for love";1978;1712066868;1712067153;"https://music.apple.com/fr/album/what-you-wont-do-for-love/1606064414?i=1606064876&uo=4";"TK RECORDS";"https://www.deezer.com/track/1627634952";"https://open.spotify.com/track/6Dk5fHTvH897XrVzCO64Mx"
"The Valentines";"Theme time radio hour with your host Bob Dylan / Season 1";"Gun fever (blam blam fever)";1967;1712067149;1712067314;;"ACE RECORDS";;
"Monster Rally";"Adventures on the Floating Island";"Ginger on the Wind";2019;1712067313;1712067441;"https://music.apple.com/fr/album/ginger-on-the-wind/1652323010?i=1652323014&uo=4";"GOLD ROBOT RECORDS";;"https://open.spotify.com/track/72K0X7LnHl9QGXaq1OlnoZ"
"G.O. Malebo";"Congo Funk ! Sound madness from the shores of the mighty Congo rive";"Fiancee Laya";2024;1712067439;1712067742;;"ANALOG AFRICA";;
"I Me Mine";"Tsu na mi";"Souvenirs from Mars";2024;1712067740;1712067968;;"LES JEUDIS DU ROCK";;"https://open.spotify.com/track/69AsWLtNxUweRgexMP9zvt"
"Bon Entendeur";"Disco en Égypte";"Disco en Égypte";2023;1712067967;1712068192;"https://music.apple.com/fr/album/disco-en-egypte/1727320618?i=1727320631&uo=4";"COLUMBIA";;"https://open.spotify.com/track/1KIZY1WtXrL5Hf8aoPy1PG"
"Clap! Clap!";"Liquid portraits";"Liquid mantra";2020;1712068189;1712068340;"https://music.apple.com/fr/album/liquid-mantra/1501274586?i=1501274589&uo=4";"BLACK ACRE RECORDS";;"https://open.spotify.com/track/1QPF9cvYRkG90NJVoT1GDG"
"Scerida";"By night";"A tra poco";2022;1712068340;1712068548;;"FOUR FLIES RECORDS";;
"Triste Janero";"Meet triste Janero";"Walk on by";1969;1712068542;1712068730;;"VARESE SARABANDE RECORDS";"https://www.deezer.com/track/123822334";"https://open.spotify.com/track/2KVsygzXVAsXKO9hU1ul1d"
"Brainstory";"Sounds good";"Listen";2024;1712068728;1712068901;;"BIG CROWN RECORDS";;"https://open.spotify.com/track/6is4SSpYbCfAlq1cs6CPj0"
"Duo Brothers";"Cream & sugar";"Garbage man";2023;1712068898;1712069113;"https://music.apple.com/fr/album/garbage-man/1676670472?i=1676670480&uo=4";"RAW TAPES";;"https://open.spotify.com/track/0OMCsP70Znc6AvS6NscXPG"
"Robert Finley";"Black bayou";"Can't blame me for trying";2023;1712069111;1712069318;"https://music.apple.com/fr/album/cant-blame-me-for-trying/1690467670?i=1690467917&uo=4";"EASY EYE SOUND RECORDS";;"https://open.spotify.com/track/3VuFcBrL7HC5BpAtnC6iQn"
"The Hollies";"Rock 'n' roll sing";"I'm talkin' about you";1964;1712069308;1712069433;;"MAGIC SQUARE MUSIC";;
"Tommy Guerrero";"Soul food taqueria";"Terra unfirma";2001;1712069433;1712069675;;"MO WAX";;
"Manu Chao";"Je ne t'aime plus / bongo bong";"Je ne t'aime plus / bongo bong";1999;1712069673;1712069923;;"VIRGIN";;
"Sibongile Kgaila";"I'm not here to hunt rabbits";"Murraynyana (The little murrays)";2018;1712069919;1712070143;;"PIRANHA / THE VITAL RECORD";;
"The Rolling Stones";"The Rolling Stones singles collection : The London years";"2000 light years from home";1967;1712070139;1712070422;"https://music.apple.com/fr/album/2000-light-years-from-home/1469558372?i=1469559292&uo=4";"ABKCO RECORDS";"https://www.deezer.com/track/9956170";
"Charles Danet";"Melanchomedy";"She's got no name";2024;1712070419;1712070547;"https://music.apple.com/fr/album/shes-got-no-name/1725866774?i=1725867245&uo=4";;"https://www.deezer.com/track/2621449572";"https://open.spotify.com/track/1j1anFQqb4La6jrWTMHnU9"
"Golden Bug & The Liminanas";"L'effet domino (feat. Anna Jean)";"L'effet domino (Dombrance remix)";2024;1712070545;1712070773;;"LA BELLE RECORDS";;
"Massive Attack";"Mezzanine";"Teardrop";1998;1712070770;1712071097;"https://music.apple.com/fr/album/teardrop/724466069?i=724466700&uo=4";"VIRGIN";"https://www.deezer.com/track/3129748";"https://open.spotify.com/track/67Hna13dNDkZvBpTXRIaOJ"
"Wolfgang Gluxam";"Georg Friedrich Haendel : Concertos pour clavecin / Vol 1";"Concerto n°1 en sol min / Maj op 4 n°1 HWV 289 : Andante - version pour clavecin et orchestre";2003;1712071092;1712071307;;"OSTERREICHIS";;
"Chico Buarque";"Sonho de um carnaval";"Tema da os inconfidentes";1970;1712071305;1712071591;;"RYM MUSIQUE";"https://www.deezer.com/track/5758562";
"Melanie De Biasio";"Gold junkies";"Gold junkies";2017;1712071589;1712071782;"https://music.apple.com/fr/album/gold-junkies/1249393112?i=1249393117&uo=4";"PIAS";"https://www.deezer.com/track/375051371";"https://open.spotify.com/track/1VPNQ1RZ3lXjpkpVUPQIAN"
"November Ultra";"Novembre";"Novembre";2022;1712071780;1712071963;"https://music.apple.com/fr/album/novembre/1662852956?i=1662853518&uo=4";"VIRGIN RECORDS";;"https://open.spotify.com/track/51wfjdvqCJr8smURjyijiP"
"Venice Dawn";"Something about april II";"Sea motet";2015;1712071962;1712072112;;"LINEAR LABS";;
"Camelia Jordana";"Dans la peau";"Brigitte dit vrai";2014;1712072111;1712072232;"https://music.apple.com/fr/album/brigitte-dit-vrai/902340973?i=902341072&uo=4";"SONY";;"https://open.spotify.com/track/4qhmktfBtfXGqb7G0GSjW3"
"Bella Brown & The Jealous Lovers";"Soul Clap";"There is love";2024;1712072230;1712072513;"https://music.apple.com/fr/album/there-is-love/1722216534?i=1722216543&uo=4";"LRK RECORDS";;"https://open.spotify.com/track/14A7dagxExdypDSLgKD5Xq"
"Bo/Fragment Of Fear";"Television : Tv sound and image (cd promo) / cd 1";"Fragment of fear (film)";1970;1712072511;1712072757;;"SOUL JAZZ RECORDS";;
"Keziah Jones";"Rhythm is love";"April again";2004;1712072756;1712072981;"https://music.apple.com/fr/album/april-again/1231242443?i=1231243614&uo=4";"EMI";;"https://open.spotify.com/track/3GUaPaa1RuTPfWPQYPAb7F"
"Edson Cordeiro";"Edson Cordeiro";"Kiss";1992;1712072977;1712073069;;"COLUMBIA";;
"94 East";"Purple snow / Forecasting the Minneapolis sound";"If you see me";;1712073068;1712073411;"https://music.apple.com/fr/album/if-you-see-me/736115750?i=736115805&uo=4";"NUMEROGROUP";;"https://open.spotify.com/track/2UGoyA8bfwWuvZOEJ7e9Db"
"DJ Harrison";"Hazymood";"Roll skate";2017;1712073410;1712073522;;"STONES THROW";;
"Steel Pulse";"Earth crisis";"Roller skates";1984;1712073521;1712073814;"https://music.apple.com/fr/album/roller-skates/1124262519?i=1124262560&uo=4";"ELEKTRA";"https://www.deezer.com/track/14618953";
