"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Lael Neale";"Acquainted with night";"Aquainted with night";2021;"SUB POP";1705831040;1705831206;;;
"Gggg";"Polydel";"Amb1";2023;"D.KO RECORDS";1705831204;1705831363;"https://music.apple.com/fr/album/amb1/1719319594?i=1719319600&uo=4";"https://www.deezer.com/track/2566657182";"https://open.spotify.com/track/6HiPQZx2XRty4kN5Dq2PBn"
"Avalon Emerson";"& the charm";"Astrology poisoning";2023;"ANOTHER DOVE / ONE HOUSE";1705831358;1705831575;;"https://www.deezer.com/track/2104574027";"https://open.spotify.com/track/2vYd15dPYelxBESvyviVbf"
"Primal Scream";"Vanishing point";"Star";1997;"CREATION RECORDS / EMI MUSIC";1705831575;1705831838;"https://music.apple.com/fr/album/star/207203030?i=207203163&uo=4";;"https://open.spotify.com/track/05M5AJWXpBlN8m5ONhMvLu"
"Jacob Miller";"Miller Jacob/With the Inner Circle band ( with Augustus Pablo)";"Fire a go burn";1974;"PLANET VIBES";1705831834;1705832050;;;
"Kiledjian";"The otium mixtape";"Shaadü (feat. Sako Wana)";2024;"UNDERDOG RECORDS";1705832046;1705832373;;;
"Konkoma";"Konkoma";"Accra jump";2012;"SOUNDWAY";1705832257;1705832489;"https://music.apple.com/fr/album/accra-jump/1611706339?i=1611706739&uo=4";;"https://open.spotify.com/track/5zy6GTrhHQ2T0BcJRd49qI"
"Joe Tex";"The godfathers of acid jazz";"Give anything that the baby wants";1972;"BMG";1705832480;1705832680;;;
"Larry Jon Wilson";"Country funk III 1975-1982";"I betcha heaven's on a dirt road";1977;"LIGHT IN THE ATTIC RECORDS";1705832673;1705832833;;;
"Julien Baer";"FIP sacré français !";"Nouvelle adresse";2005;"WAGRAM MUSIC";1705832828;1705833032;"https://music.apple.com/fr/album/nouvelle-adresse/1443390590?i=1443390601&uo=4";;
"DOMi & JD Beck";"Not tight";"Two shrimps (feat. Mac Demarco)";2022;"APESHIT / BLUE NOTE RECORDS";1705833028;1705833214;;;"https://open.spotify.com/track/3TcXC3cFAO8jmaoRrYd1a2"
"Kiefer";"It’s ok, bu";"Falling";2023;"STONES THROW RECORDS";1705833210;1705833343;"https://music.apple.com/fr/album/falling/1698878541?i=1698878565&uo=4";"https://www.deezer.com/track/2379756605";"https://open.spotify.com/track/1otQ3PtVxk9rueqxzQb2ar"
"Jodie Devos";"And love said";"5 Elizabethan songs : 1. Orpheus - pour soprano et piano";2021;"ALPHA";1705833343;1705833478;;;
"Nina Simone";"Feeling good - The very best of";"Mood indigo";1967;"MERCURY";1705833475;1705833620;;;
