"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Okvsho";"A place between us";"Soulé";"2024";"CURRENT MOVES";1738749596;1738749786;"https://open.spotify.com/track/2j87NREnZw3PL7cfTUn9ct";;
"Esther Phillips";"What a difference a day makes";"All the way down";"1976";"SERENITY RECORDS";1738749784;1738750150;;"https://www.deezer.com/track/74045930";
"Ernesto Castillo & John Ferrère";"Absurde Nacht";"Après nous";"2015";"L'INLASSABLE DISQUE";1738750149;1738750304;;;
"Scott Gilmore";"Volume 1";"Ran night";"2024";"CRAMMED DISCS";1738750301;1738750547;;"https://www.deezer.com/track/3047467681";
"Juan Wauters";"Wandering rebel";"Milanesa al pan (feat. Zoe Gotusso)";"2023";"CAPTURED TRACKS";1738750545;1738750714;;;
"Devendra Banhart";"Devendra banhart / I feel like a child";"I feel just like a child";"2005";"UNIVERSAL";1738750712;1738750936;"https://open.spotify.com/track/0x5K6QAYeJ7N1g9kwntDL4";"https://www.deezer.com/track/3240132321";"https://music.apple.com/fr/album/i-feel-just-like-a-child/1797166218?i=1797166528&uo=4"
"The Velvet Underground";"Another view";"Ride into the sun";"1969";"";1738750934;1738751134;;;
"Horsegirl";"Julie";"Julie";"2024";"MATADOR RECORDS";1738751133;1738751406;"https://open.spotify.com/track/7b2JZ8XmdH6tLwPxeI8l4f";"https://www.deezer.com/track/3097610331";
"Jerry Barefoot";"Delta swamp rock : Sounds from the south";"Smokies";"1973";"SOUL JAZZ RECORDS";1738751404;1738751536;;;
"Jacques Dutronc";"Complètement Dutronc  1966 à 1976";"Le dragueur des supermarchés";"1973";"VOGUE";1738751531;1738751666;;"https://www.deezer.com/track/540441";
"Pierre Dutour & Son Orchestre";"Illustration musicale / Dance and mood music / vol. 11";"Yellow tramway";"1970";"CHAPPELL";1738751664;1738751838;;;
"Bjork";"Post";"It's oh so quiet";"1995";"POLYGRAM";1738751833;1738752051;"https://open.spotify.com/track/45Ok4AREEWfPIBZ4ylCXK7";"https://www.deezer.com/track/2629694192";"https://music.apple.com/fr/album/its-oh-so-quiet/1726661078?i=1726661084&uo=4"
"Leila";"Like weather";"Won't You Be My Baby, Baby";"1999";"REPHLEX";1738752048;1738752295;;;
"Souls Of Mischief";"93 'til Infinity";"93 'Til Infinity";"1993";"ZOMBA RECORDING LLC";1738752294;1738752580;"https://open.spotify.com/track/0PV1TFUMTBrDETzW6KQulB";"https://www.deezer.com/track/13271729";"https://music.apple.com/fr/album/93-til-infinity/369570847?i=369570892&uo=4"
"Aphex Twin";"Richard D. James";"Goon gumpas";"1996";"WARP";1738752576;1738752691;"https://open.spotify.com/track/61mG2PGpS0GDSVnjMmhzC4";"https://www.deezer.com/track/29372811";
"Sreya & Cilon";"Atenção com coração";"Yemanja";"2024";"HIP DOZER";1738752690;1738752853;;;"https://music.apple.com/fr/album/yemanj%C3%A1/1721383467?i=1721383484&uo=4"
