"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Annie Ross";"A gasser!";"Lucky day";1959;"CAPITOL";1709978354;1709978486;"https://open.spotify.com/track/7DSx38pRMF8STLyJzRFTOh";;
"Kutiman";"Open";"High & Dry";2022;"SIYAL MUSIC";1709978486;1709978672;"https://open.spotify.com/track/4wHM2cjjzqztYOSYsKZMjf";;
"Susan Cadogan";"Born in the sky";"Do it baby";1975;"MOTION RECORDS";1709978669;1709978857;;;
"Bruno Berle";"No reino dos afetos";"Até meu violão";2022;"FAR OUT RECORDINGS";1709978855;1709979025;"https://open.spotify.com/track/47T54qbp9SreG2h7RBaMEG";;
"Caetano Veloso";"Transa";"You don't know me";1972;"PHILIPS (PHPS)";1709979025;1709979253;"https://open.spotify.com/track/5SGGqrMHP2ZJ1xmaSFzUE0";;
"Grateful Dead";"Shakedown street";"If I had the world to give";1978;"ARISTA";1709979251;1709979538;"https://open.spotify.com/track/3gDzuUk6CKVMmhutoqphhL";;
"Robohands";"Shapes";"Gabor";2021;"KINGUNDERGROUND";1709979533;1709979607;"https://open.spotify.com/track/3Ppom85Z9JNYuJIiURs747";;
"Julie London";"All through the night/Julie London sings the choicest of Cole Porter";"Easy to love";1956;"JASMINE J";1709979606;1709979753;;;
"Claude Nougaro";"A la recherche du son qui fait sens : 1955-1959";"Le piano de mauvaise vie";1958;"DISCOGRAPH";1709979752;1709979894;;;
"Joseph Calleja";"Joseph Calleja : Amore";"Core 'ngrato";2013;"DECCA";1709979893;1709980076;;;
"Mitski";"The land is inhospitable and so are we";"The frost";2023;"DEAD OCEANS";1709980068;1709980231;"https://open.spotify.com/track/41nIJErYY9goKvnCyG7ov6";"https://www.deezer.com/track/2365569505";
"Tommy Guerrero";"No man's land";"The lone pistolero";2014;"MODULOR";1709980228;1709980425;"https://open.spotify.com/track/4YteGOKPg2av41h9AYFE1D";;
"Aziza Brahim";"Mawja";"Fuadi";2024;"GLITTERBEAT RECORDS";1709980422;1709980706;"https://open.spotify.com/track/70ufroRFdDppeEVF7QAKJL";;"https://music.apple.com/fr/album/fuadi/1717174112?i=1717176555&uo=4"
"Ahmed Fakroun";"Compilation";"Ansani";2010;"FAKROUNMUSIC";1709980703;1709980992;"https://open.spotify.com/track/5htYetf14J9eXdyaBdLNUc";"https://www.deezer.com/track/77188192";
"Maya";"French disco boogie sounds vol. 3 (1977-1987)";"Lait de coco (dub)";1987;"FAVORITE";1709980984;1709981217;;"https://www.deezer.com/track/509753062";
"Steve Hiett";"Down on the road by the beach";"The next time";1983;"BE WITH RECORDS";1709981215;1709981366;;;
"Buggles";"The age of plastic";"Video killed the radio star";1980;"ISLAND";1709981364;1709981614;;;
"Lewis OfMan";"Cristal medium blue";"Frisco blues";2024;"VIRGIN";1709981608;1709981853;"https://open.spotify.com/track/32YgRRpaYHVbyzjSTf83ip";;
"Tyler The Creator";"Igor";"Earfquake";2019;"COLUMBIA";1709981849;1709982040;;;
"Apollo Brown";"Clouds";"Heart of glass";2011;"MELLO MUSIC GROUP";1709982039;1709982173;"https://open.spotify.com/track/2mIyxsWhu6XLrlyAGr74Li";"https://www.deezer.com/track/12122986";"https://music.apple.com/fr/album/heart-of-glass/415735027?i=415735081&uo=4"
"Herbie Mann";"A man and woman";"It's time that you settled down (LP Version)";1967;"ATLANTIC";1709982165;1709982293;;;
"Lucinha Turnbull";"Too slow to disco Brasil compiled by Ed Motta";"Toda manhã brilha o sol";1978;"AUTOPRODUCTION/TOOSLOWTODISCO.COM";1709982292;1709982480;;;
"The Police";"Reggatta de blanc";"Walking On the Moon";1979;"AM";1709982477;1709982770;"https://open.spotify.com/track/62uLNJgVZaFiEiKV4LpoYJ";;"https://music.apple.com/fr/album/walking-on-the-moon-remastered-2003/1440744161?i=1440744171&uo=4"
"Welton Irie";"Darker than blue : Soul from Jamdown 1973 - 1980";"Hotter reggae music";1982;"BLOOD AND FIRE LIMITED";1709982767;1709982996;;;
"Soul Sugar";"Theme from king heroin";"Theme from king heroin";2022;"GEE RECORDINGS";1709982991;1709983236;"https://open.spotify.com/track/2PPP9DEbAnOYndPV04g1vB";;"https://music.apple.com/fr/album/theme-from-king-heroin-blundetto-remix/1627444546?i=1627444557&uo=4"
"Joel Culpepper";"Woman - A colors show";"Woman - A colors show";2017;"COLORSXSTUDIOS";1709983230;1709983360;"https://open.spotify.com/track/01gH3etKto2oMijdzkJj9L";"https://www.deezer.com/track/1362743662";"https://music.apple.com/fr/album/woman-a-colors-show/1564611972?i=1564611974&uo=4"
"Kids Return";"Lovers war";"Rails of the night";2024;"FOREVER MELODIES / EKLEROSHOCK / HAMBURGER RECORDS";1709983360;1709983598;"https://open.spotify.com/track/2nOkcMdig5qblkMnnng8vd";;
"Tammy Wynette";"D-I-V-O-R-C-E";"Yesterday";1968;"OLD STARS";1709983590;1709983706;"https://open.spotify.com/track/0DV62g6dhKTfEuUa4ORMLZ";"https://www.deezer.com/track/95292354";
"Blossom Dearie";"Blossom Dearie";"It might as well be spring";1956;"VERVE";1709983705;1709983894;;"https://www.deezer.com/track/1344553662";"https://music.apple.com/fr/album/it-might-as-well-be-spring/448497879?i=448497882&uo=4"
"Shay Hazan";"Wusul";"Yarabi";2024;"BATOV RECORDS";1709983892;1709984110;"https://open.spotify.com/track/2uInTWvZmEHiyNoTeoqk1C";"https://www.deezer.com/track/2535983091";
"BadBadNotGood";"Tried";"Tried";2018;"NINJA TUNE";1709984110;1709984321;;"https://www.deezer.com/track/558046892";
"Dido";"No angel";"Thankyou";2000;"ARISTA";1709984320;1709984538;;;
"Loveshadow";"II";"Last room";2023;"DARK ENTRIES RECORDS";1709984535;1709984831;"https://open.spotify.com/track/3ryXfhBlkf9tEK6dU5QRxT";"https://www.deezer.com/track/2490937621";
"Ryuichi Sakamoto";"Ongaku Zukan (remasterisé)";"Tibetan dance";2023;"WEWANTSOUNDS";1709984830;1709985004;;;
"Ivan";"Les tubes 80 introuvables";"Fotonovela";1985;"EMI";1709985001;1709985272;;"https://www.deezer.com/track/88640729";
"Antonin Appaix";"Néoprène";"Radoub";2023;"CRACKI RECORDS";1709985271;1709985428;"https://open.spotify.com/track/7mM2hvdZYAVoMoHUQCFXXJ";;
"Alfie Templeman";"Stop thinking (about me)";"Stop thinking (about me)";2019;"CHESS CLUB";1709985423;1709985671;"https://open.spotify.com/track/4TUk4UVSVxQXsIXcKvKn5h";;
"Walter Rizzati";"Africamore : The afro-funk side of Italy (1973-1978)";"L'unica chance";1973;"FOUR FLIES";1709985670;1709985866;;;
"Eva Eva Eva";"Eva eva eva";"Do";1978;"PERIODICA RECORDS";1709985864;1709986048;"https://open.spotify.com/track/76uFiv4cp36ptmTAjPgyfD";;
"Mato";"Disco reggae / Vol.5";"Lady Marmalade (feat. Lady Gatica)";2023;"STIX RECORDS / FAVORITE RECORDINGS";1709986047;1709986284;;;
"Alba";"Le bon sens";"Le bon sens";2023;"SOUND AND VISION MUSIC";1709986281;1709986431;"https://open.spotify.com/track/0Wwq7xFIsY3fe462BNCuOQ";;
"Altin Gun";"Yol";"Hey nari";2021;"GLITTERBEAT RECORDS";1709986429;1709986620;"https://open.spotify.com/track/3slZhItPvj4V1JoGbVirTQ";"https://www.deezer.com/track/1167067932";
"Yummi Wisler Guitar Combo";"The albanian connection";"That small rice mama";2024;"RAW TAPES";1709986618;1709986790;"https://open.spotify.com/track/11fzSwqnIHxcljV9Q6voKt";"https://www.deezer.com/track/2578254732";"https://music.apple.com/fr/album/that-small-rice-mama/1720469819?i=1720470022&uo=4"
"Arthur Crudup";"Golden inspirations for the King";"My baby left me";1950;"XXL";1709986791;1709986938;;;
"The Hollies";"French 60´s  EP collection / Vol. 2";"Tell me to my face";1966;"MAGIC RECORDS";1709986937;1709987121;;"https://www.deezer.com/track/3239855";
"Ray Lamontagne";"Trouble";"How Come";2004;"PIAS";1709987119;1709987386;"https://open.spotify.com/track/47AcSD50nYxgg99swhR8uK";;
"Forever Pavot &xp";"Forever XP";"The turkey bag diaries (instrumental)";2024;"BMM RECORDS";1709987383;1709987583;;;
"Erika De Casier";"Still";"Home alone";2024;"4AD";1709987581;1709987790;"https://open.spotify.com/track/3L4xlzfNLq2F3NaGasKc9i";"https://www.deezer.com/track/2641220272";"https://music.apple.com/fr/album/home-alone/1712085894?i=1712085898&uo=4"
"La Feline";"Alentour de lune";"Alentour de lune";2020;"KWAIDAN";1709987789;1709988042;;;
"Lou Reed";"Songs for Drella";"Hello it's me";1990;"WB";1709988038;1709988219;"https://open.spotify.com/track/5OCr8rhSlHU48SqKa4KiId";;
"Osso Quartet";"Run Rabbit Run";"Year of the dragon";2009;"ASTHMATIC";1709988216;1709988418;;;
"Billie Holiday";"You go to my head";"Crazy he calls me";1949;"MCA";1709988416;1709988599;;;"https://music.apple.com/fr/album/crazy-he-calls-me-single-version/1427411997?i=1427414298&uo=4"
"Patsy Cline";"Pourquoi pas moi ?";"Crazy";1961;"RCA";1709988598;1709988760;;;
"Lord Apex";"The good fight";"Blessings";2023;"E-M WORLDWIDE";1709988759;1709988921;"https://open.spotify.com/track/5SqlYtgqKFp7NdkoSg2o6N";;
"James Alexander Bright";"Fall for you";"Fall For You";2024;"ATHENS OF THE NORTH";1709988920;1709989123;"https://open.spotify.com/track/7g4LMvnMFiJQXlbgEBaUa4";;"https://music.apple.com/fr/album/fall-for-you/1726125174?i=1726125175&uo=4"
"Dj Dolores";"Banda sonora - musica para filmes";"Abertura (narradores de javé)";2014;"FAR OUT RECORDINGS";1709989119;1709989329;;;
"Tim Maia";"Tim Maia";"Nao vou ficar";1971;"OFICIAL ARQUIVOS";1709989328;1709989500;"https://open.spotify.com/track/1hMZDDqL6ThRyJQ5rsLiB5";"https://www.deezer.com/track/543139512";
"Voyou";"Enfin";"Enfin";2023;"A+LSO";1709989499;1709989637;"https://open.spotify.com/track/6jmpD67QFElrlSaMSpe7LQ";"https://www.deezer.com/track/2552839042";"https://music.apple.com/fr/album/enfin/1717670610?i=1717670614&uo=4"
"Johnny Cash";"American III : Solitary man";"One";2000;"COLUMBIA";1709989634;1709989865;"https://open.spotify.com/track/5eReKc1D8ZQAg9kzQeHRdH";;
"Harry Nilsson";"The RCA albums collection : Aerial Ballet / CD 2";"One";1967;"RCA";1709989863;1709990033;;;
"Manfred Hubler";"Bof / Vampyros lesbos / Franco / Hubler";"People's playground (version b)";1971;"CRIPPLED DICK HOT WAX";1709990033;1709990111;;;
"Pinnacle Sound";"Still dread";"Warrior's eve (feat. JR Thomas)";2024;"BAT RECORDS";1709990110;1709990307;;;
"Hooverphonic";"No more sweet music";"You hurt me (but i've got so much more to give)";2005;"COLUMBIA";1709990304;1709990565;"https://open.spotify.com/track/3tTmpcWdTos6HW663uq2LG";"https://www.deezer.com/track/13210778";
"Bacao Rhythm & Steel Band";"BRSB";"Hotline bling";2024;"BIG CROWN RECORDS";1709990564;1709990772;"https://open.spotify.com/track/76zhp86TID5muUj7utQyCp";;
"Andrew Bird";"Are you serious";"Are you serious";2016;"LOMA VISTA";1709990769;1709990985;"https://open.spotify.com/track/2OYmCSVGmN5vXuG5dX5LKY";;"https://music.apple.com/fr/album/are-you-serious/1440939218?i=1440939846&uo=4"
"The Beatles";"The Beatles";"While my guitar gently weeps";1968;"EMI";1709990982;1709991258;;"https://www.deezer.com/track/126848609";
"The United States Of America";"Coming home";"Stranded in time";1968;"STEREO DELUXE";1709991257;1709991367;"https://open.spotify.com/track/7bqYkEC5uAUOL73XJbzw2V";;
"Orchestre De Chambre De Paris";"Ravel et Debussy : Oeuvres orchestrales";"Petite suite L 65 : Ballet - arrangement pour orchestre";2013;"NAIVE RECORDS";1709991365;1709991540;;;
"Cindy Pooch";"In nomine corpus";"Enlève ton coeur";2023;"INFINE";1709991538;1709991761;"https://open.spotify.com/track/3qbE226QcOrjARQUJ8vbl8";"https://www.deezer.com/track/2329593625";
"DJ Harrison";"Shades of yesterday";"Lil birdie";2024;"STONES THROW RECORDS";1709991760;1709991994;"https://open.spotify.com/track/3ZlM3jTgrfTYp7AlASBJm4";"https://www.deezer.com/track/2411231885";
"Leon Thomas";"Blues and the soulful truth";"L-o-V-e";1972;"RCAVICTOR";1709991992;1709992163;"https://open.spotify.com/track/0yOTV7go6qnrDGlwukGMoM";;
"Dizzy Gillespie (Chef d'orchestre)";"Afro";"Manteca theme";1954;"VERVE";1709992162;1709992320;"https://open.spotify.com/track/6B7KCxP46cF2Fc28Dkcin9";"https://www.deezer.com/track/4243346";
"De La Soul";"AOI : Bionix";"Watch out";2001;"TOMMY BOY";1709992318;1709992534;"https://open.spotify.com/track/5lCD67Kng4LpdkAEOPKA1S";;
"Rudy De Anda";"Closet Botanist";"Tu mirada";2023;"KARMA CHIEF RECORDS";1709992534;1709992855;"https://open.spotify.com/track/2Dbr0r3aKXvYhhjkzsaBiF";;
"New Visionaries";"Roadmaps";"Shore leave";2024;"LOVEMONK RECORDS";1709992856;1709993078;"https://open.spotify.com/track/1O5vA6gn686SswcrQLkMHf";"https://www.deezer.com/track/2637246062";
"David Bowie";"Young Americans";"Fame";1975;"EMI";1709993078;1709993268;;;
"Talking Heads";"77";"New feeling";1977;"SIRE";1709993080;1709993453;"https://open.spotify.com/track/4FrDdv5Hnsg93UuYKqvX3R";;
"Dry Cleaning";"New long leg";"Scratchcard laynard";2021;"4AD";1709993510;1709993756;;;
"Mark William Lewis";"Pleasure is everything";"Life with life";2022;"HI NEW FATE";1709993755;1709993981;"https://open.spotify.com/track/3qSOQl1OPTrFaUvs5rZ9HE";;
"Nina Soul";"Studio one women / Vol. 2";"Sleeping trees";1985;"SOUL JAZZ RECORDS";1709993882;1709994145;;"https://www.deezer.com/track/1729168157";
"Barbara & Ernie";"Prelude to";"Searching the circle";1971;"COTILLION";1709994141;1709994411;"https://open.spotify.com/track/2dKINgZ0d4mETmLX3vXe5g";;
"Mamama";"Hier sera meilleur";"Hier sera meilleur";2024;"BYEBYE RECORDS";1709994407;1709994671;"https://open.spotify.com/track/5H60GFTYJ1KTZojLbdXvX2";"https://www.deezer.com/track/2585061582";
"I Tempi";"Rudolf Moser : Oeuvres pour orchestre à cordes";"Petite suite pour orchestre à cordes op 38 n°2 : 1. Intrade";2022;"GENUIN";1709994668;1709994992;;;
"Jim Sullivan";"U.F.O.";"Jerome";1969;"LIGHT IN THE ATTIC RECORDS";1709994982;1709995146;"https://open.spotify.com/track/5iG3JqlGyAIIktdeAL5LZL";"https://www.deezer.com/track/11109801";"https://music.apple.com/fr/album/jerome/658962219?i=658962226&uo=4"
"The Skyliners";"Bof / American graffiti";"Since I don't have you";1958;"MCA";1709995146;1709995301;;;
"Cleo Sol";"Gold";"In your own home";2023;"FOREVER LIVING ORIGINALS";1709995301;1709995546;"https://open.spotify.com/track/342lDmTXJPrWwYxeCvYc0t";"https://www.deezer.com/track/2471145131";
"Kid Loco";"A grand love story";"A grand love theme";1998;"EAST WEST";1709995545;1709995788;;;
"Madvillain";"Madvillainy";"All Caps";2004;"STONES THROW RECORDS";1709995785;1709995915;"https://open.spotify.com/track/21O0XXPEWPtePt5RMY93Ob";;
"Yamasuki";"Latenighttales - matt helders";"Yama yama";1969;"AZULI";1709995906;1709996037;;"https://www.deezer.com/track/943744902";"https://music.apple.com/fr/album/yama-yama/1087133432?i=1087133777&uo=4"
"Etienne Daho";"Daho singles";"Epaule tattoo";1986;"VIRGIN";1709996038;1709996301;;;
"Hiroshima";"Another place";"One wish (album version)";1985;"EPIC";1709996292;1709996579;;;
"Alek Lee";"You !";"Eretz acheret";2023;"ANTINOTE";1709996577;1709996841;"https://open.spotify.com/track/6UCDrIJiGpI4WKqEFYYkHy";;"https://music.apple.com/fr/album/eretz-acheret-acoustic/1717483408?i=1717483411&uo=4"
"Enzo Carella";"Barbara e altri Carella";"Malamore (3S Take1)";1979;"RCA";1709996840;1709997035;;"https://www.deezer.com/track/694489442";
"Roge";"Curyman";"Pra vida";2023;"DIAMOND WEST RECORDS";1709997031;1709997240;"https://open.spotify.com/track/7z9ygQkhE50EGYMuZfbEFq";"https://www.deezer.com/track/1831085367";
"Henry Mancini";"BOF / Hatari";"The soft touch";1962;"RCA";1709997239;1709997403;"https://open.spotify.com/track/28qUfEFHFhs71F10NiKhy1";;"https://music.apple.com/fr/album/the-soft-touch/255993095?i=255993450&uo=4"
"Aretha Franklin";"Portrait";"It ain't necessarily so";1960;"COLUMBIA";1709997400;1709997583;;;
"Donna Blue";"Into the realm of love";"Fantasy girl";2024;"SNOWSTAR RECORDS";1709997580;1709997799;"https://open.spotify.com/track/3ItoQV3Xxe3Uzd47qRJyzG";"https://www.deezer.com/track/2633554232";
"Oan Kim & The Dirty Jazz";"Rebirth of Innocence";"Lush (feat. Gabi Hartmann)";2024;"ARTWORK RECORDS / PIAS";1709997796;1709998024;;;
"Henri Salvador";"Homme studio";"Theme du bateau";1971;"BORN BAD RECORDS";1709998021;1709998129;;;
"muva Of Earth";"Affirmation";"Affirmation";2020;"AUTOPRODUCTION";1709998126;1709998329;"https://open.spotify.com/track/52m3wKFwEF2QMAqxNwm3SX";;"https://music.apple.com/fr/album/affirmation/1533409158?i=1533409159&uo=4"
"Tricky";"Maxinquaye";"Overcome";1995;"ISLAND";1709998328;1709998597;"https://open.spotify.com/track/0tYEsmdrsv5Fi3UOn58bou";"https://www.deezer.com/track/2443315";"https://music.apple.com/fr/album/overcome/1440918276?i=1440918617&uo=4"
"Francis Bebey";"Psychedelic sanza";"Forest nativity";1984;"BORN BAD RECORDS";1709998597;1709998858;;"https://www.deezer.com/track/2543691661";
"Amerigo Gazaway";"Endless Summer";"She said";2019;"AMERIGO GAZAWAY";1709998855;1709999035;"https://open.spotify.com/track/3S8PqtHsgeXu7KKm8ydwZI";;
"Bertrand Belin";"Tambour vision";"National";2022;"CINQ 7";1709999031;1709999202;"https://open.spotify.com/track/7pLXsqN20psN4k3qcNBFqo";;"https://music.apple.com/fr/album/national/1614293930?i=1614294204&uo=4"
"JJ Cale";"Eight";"Trouble in the city";1983;"PHONO";1709999202;1709999403;;;
"Non Identifie";"Driftless Dreamers : In Cuca Country";"When she finds the way back home";2021;"NUMERO GROUP";1709999400;1709999557;;;
"Chet Atkins";"The Best of Chet Atkins";"Jitterburg waltz";1964;"RCA";1709999558;1709999734;;;
"Jordan Rakei";"Bruises";"Bruises";2022;"NINJA TUNE";1709999636;1709999900;"https://open.spotify.com/track/4zuzAypEjNbmkfpMaef7AB";"https://www.deezer.com/track/1619272112";
"Dean Blunt";"The redeemer";"Papi";2018;"OSSO";1709999897;1710000034;;;
"The Texas Travellers";"B.O.F / Western";"L'homme des vallées perdues """"Shane""""";1974;"VOGUE";1710000033;1710000175;;;
"Elvis Presley";"Portrait d'une légende /  volume 2 / 1961 1977";"Memphis tennessee";1964;"RCA";1710000174;1710000303;;;
"Cautious Clay";"Karpeh";"Ohio";2023;"BLUE NOTE";1710000301;1710000472;"https://open.spotify.com/track/2yyM5THIv0BU4Jo1twbXaL";"https://www.deezer.com/track/2289445345";
"Faye Webster";"Underdressed at the symphony";"Underdressed at the symphony";2024;"SECRETLY CANADIAN";1710000470;1710000680;"https://open.spotify.com/track/2WjEUnzuDhwlFpp9epgtrW";;"https://music.apple.com/fr/album/underdressed-at-the-symphony/1716952641?i=1716953285&uo=4"
"Eugen Cicero";"Swinging the classics on MPS";"Etude in g sharp minor (la campanella)";1968;"MPS";1710000676;1710000845;;;
"Little Simz";"Stillness in wonderland";"No more wonderland";2016;"AGE 101";1710000844;1710001061;"https://open.spotify.com/track/5f2KojIQPMi9oiEwkIfYvS";;"https://music.apple.com/fr/album/no-more-wonderland/1179332853?i=1179332974&uo=4"
"Terry Callier";"Rewind! / Vol.2";"Just my imagination";2002;"UBIQUITY";1710001053;1710001246;"https://open.spotify.com/track/5XKazErEXwwNGrIaB3LmdH";"https://www.deezer.com/track/73525783";"https://music.apple.com/fr/album/just-my-imagination/781196535?i=781196563&uo=4"
"Gene Wilder";"BOF / Willy Wonka au pays enchante (Willy Wonka & the chocolate factory)";"Pure imagination";1971;"HIPPO RECORDS";1710001247;1710001507;;"https://www.deezer.com/track/390063931";"https://music.apple.com/fr/album/pure-imagination/1440840990?i=1440841512&uo=4"
"Ensemble O-Celli";"Ô-Celli In America";"Imagination - arrangement pour orctuor de violoncelles";2022;"CYPRES";1710001505;1710001693;;;
"Frank Rabeyrolles";"Minor blue";"Mental crisis";2024;"WOOL RECORDINGS";1710001692;1710001885;"https://open.spotify.com/track/0zOJ0FVjuyYUZe6hkta1hH";"https://www.deezer.com/track/2605496812";
"Laetitia Sadier";"Rooting for love";"Une autre attente";2024;"DUOPHONIC SUPER 45S";1710001876;1710002034;"https://open.spotify.com/track/10vruMfK3SbOCmsN2D2Xaw";;
"Ten Years After";"Ten years after";"I can't keep from crying, sometimes";1967;"DERAM";1710002033;1710002356;;;"https://music.apple.com/fr/album/i-cant-keep-from-crying-sometimes/1442871890?i=1442871904&uo=4"
"The High Llamas";"Here come the rattling trees";"Jackie underscore - The bells ring straight";2015;"DRAG CITY";1710002355;1710002529;;;
"Jeanne Moreau";"Jeanne Moreau : Pour vous mes plus belles chansons cd1";"Le blues indolent";1964;"UNIVERSAL";1710002528;1710002725;;;
"D Angelo";"Brown sugar";"Brown sugar";1995;"EMI";1710002723;1710002986;;;
"El Michels Affair";"Yeti season";"Sha na na";2021;"BIG CROWN RECORDS";1710002977;1710003190;;;
"Toshiyuki Honda";"Funk tide";"Living in a city";2024;"WEWANTSOUNDS";1710003185;1710003462;"https://open.spotify.com/track/5RhOJvrQ1FnpeHL08rq15w";"https://www.deezer.com/track/2628551382";
"Roberta Flack";"The best of Roberta Flack";"Feel like makin' love";1974;"ATLANTIC";1710003457;1710003629;;"https://www.deezer.com/track/9803858";"https://music.apple.com/fr/album/feel-like-makin-love/120157309?i=120157223&uo=4"
"Crosby Stills & Nash";"Crosby, Stills & Nash";"You don't have to cry";1969;"ATLANTIC";1710003625;1710003787;;;
"Merryn Jeann";"Dog beach";"Madame on the rocks";2024;"RESCUE / RETURN RECORDS";1710003784;1710003978;"https://open.spotify.com/track/6T92psJIR2IeOVnGfH7KZD";"https://www.deezer.com/track/2621443992";
"Harlem Pop Trotters";"Harlem Pop Trotters";"Penwick";1975;"UNDERDOG RECORDS";1710003977;1710004157;"https://open.spotify.com/track/5ASM3dHUmhTgWLhNyNnDwf";;"https://music.apple.com/fr/album/penwick/1475252932?i=1475253116&uo=4"
"Angelillo & Hamel";"Dingo / sexopolized by dj bnx";"Je veux te dire une chanson";1974;"PULP FLAVOR";1710004156;1710004358;;;
"Viking'S Remedy";"It's a french reggae party";"I spend my time";2001;"BIG MAMA RECORDS";1710004356;1710004563;;;
"Don & Francoiz";"Cover songs in Inferno";"White Rabbit";2023;"PROHIBITED RECORDS / L'AUTRE DISTRIBUTION";1710004557;1710004720;;;
"Bo / Alice In Wonderland";"Bof / Alice in wonderland/Hartley";"Rabbit hole";1998;"VARESE SARABANDE";1710004711;1710004838;;;
"Pearl & The Oysters";"Coast 2 Coast Remixes";"Paraiso (Maylee Todd Remix)";2023;"STONES THROW RECORDS";1710004836;1710004998;"https://open.spotify.com/track/7mBPWVvXKKa3nILfqYTrdg";"https://www.deezer.com/track/2526749351";
"Nicaragua";"Almost home";"Breathe";2023;"YUCCA RECORDS";1710004996;1710005172;"https://open.spotify.com/track/278VwGoeNbnXu07Zor95aZ";;"https://music.apple.com/fr/album/breathe/1680943573?i=1680945027&uo=4"
"Drums Music Show";"Drums edizioni musicali";"Samedi soir";1979;"MONDO GROOVE";1710005167;1710005403;;"https://www.deezer.com/track/608156532";
"Buena Vista Social Club";"Lost and found";"Black chicken 37 (feat. Orlando López, Angá Díaz)";2015;"WORLD CIRCUIT LTD.";1710005400;1710005611;;;
"Natalie Dessay";"Pictures of America";"Something's coming - pour voix batterie et orchestre à cordes";2016;"Sony";1710005611;1710005771;;;
"Of Montreal";"Cherry peel";"When you'r loved like you are";1997;"BAR NONE RECORDS";1710005766;1710005918;;;
"Blondie";"Plastic Letters";"Once i had a love (aka the disco song) (1975 version)";1977;"CHRYSALIS";1710005916;1710006151;;;
