"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Carolyn Sullivan";"Shaolin soul : Episode 4";"Dead !";1967;"BECAUSE";1728467920;1728468090;;;
"Kid Loco";"Born in the 60's";"My girl";2022;"BALAGAN MUSIC";1728468088;1728468312;"https://open.spotify.com/track/4CykL1fvhcpVDvczw0imrD";;
"Mato";"Also sprach Zarathustra / Maiden Voyage";"Also sprach Zarathustra";2020;"STIX RECORDS";1728468312;1728468492;;;
"The 9th Creation";"Bubble gum";"Rule of mind";1975;"PAST DUE RECORDS";1728468487;1728468800;;;
"Oxmo Puccino";"365 jours";"365 Jours";2009;"CINQ7/WAGRAM";1728468797;1728469045;"https://open.spotify.com/track/2jv4uTYClYDT51Z88wN4jF";;
"Sunny & The Sunliners";"Mr Brown eyed soul";"Get down";1973;"BIG CROWN RECORDS";1728469043;1728469207;;"https://www.deezer.com/track/710630012";
"Francis Lai";"Psychemagik presents Magik sunset (part 2)";"Young freedom";1978;"LENG RECORDS";1728469205;1728469408;;;
"Lou Reed";"Coney Island Baby";"Ooohhh baby";1975;"RCA";1728469407;1728469629;;;
"Dope Lemon";"Honey bones";"The way you do";2016;"BMG";1728469626;1728469813;"https://open.spotify.com/track/19SxcpoMv8ZiVpQI2jt1Nc";;"https://music.apple.com/fr/album/the-way-you-do/1494038537?i=1494038706&uo=4"
"Pearl & The Oysters";"Planet pearl";"Together, alone";2024;"STONES THROW RECORDS";1728469812;1728470028;"https://open.spotify.com/track/30R5ivOnODLLDt2cZz0gPf";;"https://music.apple.com/fr/album/together-alone/1750558302?i=1750558671&uo=4"
"Cal Tjader";"Agua dulce";"Gimme shelter";1971;"FANTASY";1728470025;1728470194;;;
"Me And My Friends";"Before I saw the sea";"When we were young";2023;"BROWN HOUSE STUDIO";1728470190;1728470384;"https://open.spotify.com/track/2gBdsfDcLq9iDejw6cxZVJ";;"https://music.apple.com/fr/album/when-we-were-young/1675283626?i=1675283867&uo=4"
"Fai Baba";"Veränderet";"Mischig";2022;"A TREE IN A FIELD RECORDS";1728470373;1728470717;"https://open.spotify.com/track/7sGCICtv4tXWSu1y9q6LY5";"https://www.deezer.com/track/1599534352";"https://music.apple.com/fr/album/mischig/1601605515?i=1601606557&uo=4"
"Mavis Staples";"Livin' on a high note";"High note";2016;"ANTI";1728470713;1728470921;"https://open.spotify.com/track/4yYA4WFP7ygisiZHbPTIwc";;
"Blue Lake";"Sun Arcs";"Fur";2023;"TONAL UNION";1728470919;1728471137;"https://open.spotify.com/track/0gCSRpNBTP6M74KQZlXdGf";"https://www.deezer.com/track/2179961707";"https://music.apple.com/fr/album/fur/1676038814?i=1676039244&uo=4"
"Céu";"Um gosto de sol";"Ao romper da auror";2021;"WARNER";1728471136;1728471274;;;
"Jane Birkin";"Quoi";"Jane B.";1968;"PHILIPS";1728471272;1728471457;;;
"Frank Sinatra & Antonio Carlos Jobim";"Francis Albert Sinatra and Antonio Carlos Jobim";"Baubles, bangles and beads";1967;"REPRISE RECORDS";1728471453;1728471605;;;
"Yehudi Menuhin";"Yehudi Menuhin : The historic recordings / CD 18";"Coucou";1980;"WARNER CLASSICS";1728471602;1728471843;;;
