"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Trio Ternura";"Mr Bongo Record Club, volume three";"A gira";"1973";"MR BONGO";1722456019;1722456200;;;
"Peter Cincotti";"On the moon";"I love Paris";"2004";"CONCORD RECO";1722456197;1722456421;"https://open.spotify.com/track/7FDrLdkvvuXFTC8JfRFzjs";;
"Tom Misch";"Geography";"Lost in Paris (feat. Goldunk)";"2018";"BEYOND THE GROOVE / KOBALT";1722456420;1722456612;;;
"Nicolas Godin";"";"Les rues de Paris";"2018";"";1722456610;1722456756;"https://open.spotify.com/track/5Cfz0DCrcFpISyvDHBWy9f";"https://music.apple.com/fr/album/les-rues-de-paris/1390654615?i=1390654619&uo=4";"https://www.deezer.com/track/516228002"
"Winston McAnuff";"Paris rockin'";"Paris rockin'";"2006";"PIAS";1722456756;1722456984;;;
"Bob Marley";"BOF / Marley";"Roots rock reggae";"1976";"ISLAND";1722456980;1722457196;;;
"Piers Faccini";"The damned and the saved";"The damned and the saved";"2022";"NO FORMAT";1722457189;1722457370;"https://open.spotify.com/track/170GTXNv1vDDEfZOZZPgju";;"https://www.deezer.com/track/1616951762"
"Turkish Delight";"Fidayda";"Gnossienne n°3";"2023";"";1722457365;1722457496;"https://open.spotify.com/track/4AJSlML0dPGOSRYRw8U3JG";;
"Dog Park";"Festina lente";"Sunny";"2024";"GEOGRAPHIE";1722457501;1722457691;;;
"Buzzcocks";"Complete UA Singles 1977-1980";"Are Everything";"1980";"DOMINO RECORDING";1722457688;1722457891;;;"https://www.deezer.com/track/376014961"
"Maxwell Farrington & Le Superhomard";"Once";"Happening again";"2021";"TALITRES";1722457888;1722458063;;;"https://www.deezer.com/track/1230197182"
"Renaud Capucon";"Le violon roi";"Marche miniature viennoise - pour violon violoncelle et piano";"";"";1722458063;1722458255;;;
"Pierre Richard";"Twist again au ciné 2 (la revanche)";"Les malheurs d'Alfred (du film)";"1972";"FREMEAUX";1722458254;1722458406;;;
"Ray Barretto";"Indestructible";"Indestructible";"1978";"FANIA";1722458402;1722458653;;;
"Galliano";"Circles going round the sun (short edit)";"Circles going round the sun (short edit)";"2024";"BROWNSWOOD RECORDS";1722458651;1722458913;;;
"Asiko";"Déjà vu";"Hot black";"1977";"LUV N HAIGHT RECORDS";1722458912;1722459160;;;"https://www.deezer.com/track/999324572"
"Beverly Guitar Watkins";"Don't mess with miss Watkins";"Baghdad blues";"2007";"DIXIEFROG";1722459160;1722459354;;;
"Charley Crockett";"In the Night";"I'm workin'";"2016";"SON OF DAVY";1722459353;1722459506;;;
