"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes";"youtube"
"Jutta Hipp";"Jutta Hipp at the Hickory house";"Gone with the wind";"1956";"BLUE NOTE";1720821395;1720821687;;;;
"Beck";"BOF / Super Nacho (Nacho libre)";"10,000 Pesos";"2006";"LAKESHORE RECORDS";1720821717;1720821837;;;;
"Gabor Szabo & The California Dreamers";"Wind, sky and diamonds";"San franciscan nights";"1967";"IMPULSE";1720821831;1720822029;"https://www.deezer.com/track/88451801";;;
"Bat For Lashes";"Home (single version)";"Home (single version)";"2024";"DECCA (UMO)";1720822022;1720822214;"https://www.deezer.com/track/2755693131";;;
"Nxworries";"Why lawd";"Battlefield";"2024";"STONES THROW";1720822212;1720822430;"https://www.deezer.com/track/2742775291";"https://open.spotify.com/track/36GWtBcdwjL6XlVe3XhroD";;
"Mato";"Hollywoo dub";"The good, the bad & the ugly";"2016";"FAVORITE RECORDINGS";1720822438;1720822613;;;;
"Bob Marley & The Wailers";"Soul rebels";"Corner stone";"1970";"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";1720822608;1720822755;;;;
"Ireke";"Tropikadelic";"Métissage (feat. Sana Bob)";"2023";"UNDERDOG RECORDS";1720822750;1720823010;;;;
"Manu Katche";"The scope";"Keep connexion";"2019";"ANTEPRIMA";1720823001;1720823190;;"https://open.spotify.com/track/6rSNLTqmCKPkTFCtPQajhp";"https://music.apple.com/fr/album/keep-connexion/1448354407?i=1448354625&uo=4";
"Zulu Gang";"Magic feelings";"My love is hard";"1979";"AB PRODUCTION";1720823192;1720823401;;;;
"Lynyrd Skynyrd";"Skynyrds Innyrds";"I ain't the one";"1973";"MCA RECORDS";1720823392;1720823625;;"https://open.spotify.com/track/7rFwQGHwShP8j8Qkym4s5O";;
"Bert Kaempfert";"The magic music of far away places";"The Japanese farewell song (Hasegawa-Yoshida-Morgan)";"1964";"TARAGON";1720823623;1720823783;;;;
"Eartha Kitt";"I'm a funny dame";"Sho-jo-ji";"1955";"OFFICIAL";1720823785;1720823935;;;;
"Jay-Jay Johanson";"Opium";"Nde";"2015";"ART";1720823932;1720824164;;"https://open.spotify.com/track/01PrgzYSB6WPhCDW0KtZom";;
"J. Bernardt";"Contigo";"Taxi";"2024";"PIAS";1720824161;1720824364;;"https://open.spotify.com/track/3nhWd97E1zDTErm6AJCqJn";;
"Giulio Tampalini";"Niccolo Paganini : Musique de chambre pour cordes";"Sonate concertante pour violon et guitare en La Maj op 61 MS 2 : 3. Rondeau. Allegretto con brio - Scherzando";"2017";"BRILLIANT CLASSICS";1720824362;1720824493;;;;
"Toquinho (Compositeur)";"Toquinho";"Carolina Carol Bela";"2018";"Mr Bongo";1720824490;1720824679;"https://www.deezer.com/track/543551372";;;
"Ann Sorel";"Tchic tchic french bossa nova 1963 1974";"La poupée des favellas";"1974";"BORN BAD";1720824678;1720824843;;;;
