"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Ryan Paris";"On the beach";"Dolce Vita";"1983";"DELTA MUSIC";1726912782;1726912984;"https://www.deezer.com/track/2589296";;
"Brijean";"Macro";"Workin On It";"2024";"GHOSTLY INTERNATIONAL";1726912979;1726913193;;;
"Moodymann";"Moodymann";"I Got Werk";"2014";"KENNETH DIXON";1726913191;1726913400;;"https://music.apple.com/fr/album/i-got-werk/796538533?i=796538585&uo=4";"https://open.spotify.com/track/66KenbX326A4R52A2VFcbf"
"Quilt";"Held in splendor";"Eye of the pearl";"2014";"KEMADO RECORDS";1726913399;1726913592;"https://www.deezer.com/track/3058580301";"https://music.apple.com/fr/album/eye-of-the-pearl/1169600686?i=1169600958&uo=4";"https://open.spotify.com/track/1kWuaV6b0FBtejY6MVivlB"
"Eric Weissberg";"Bof / Deliverance";"Dueling banjos";"1973";"WB";1726913588;1726913782;"https://www.deezer.com/track/724941";;"https://open.spotify.com/track/4xxn8GDqs7RUwgZTNznXNp"
"Leroy Van Dyke";"Country & western hit parade - 1957";"Auctioneer";"1956";"BEAR FAMILY RECORDS";1726913781;1726913953;"https://www.deezer.com/track/137004948";;
"Leroy Pullins";"Bof / Pecker";"I'm a nut";"1966";"BMG";1726913953;1726914100;"https://www.deezer.com/track/72233395";;
"The Saxophones";"To be a cloud";"Boy crazy";"2023";"FULL TIME HOBBY";1726914100;1726914344;"https://www.deezer.com/track/2117139777";;"https://open.spotify.com/track/0Os2fBok1FaqNXGNJZ2FHx"
"Inkswell & Colonel Red";"Holders of the sun remix EP";"Make me crazy (Potatohead People remix instrumental)";"2023";"COMPOST RECORDS";1726914340;1726914514;;;
"Prince";"Sign o the times / Vol 1";"Sign 'O' the times";"1987";"WEA";1726914512;1726914808;"https://www.deezer.com/track/775350";"https://music.apple.com/fr/album/sign-o-the-times/260373145?i=260373147&uo=4";
"Sapho";"Passions, passons";"Carmel";"1985";"CELLULOID";1726914809;1726915027;"https://www.deezer.com/track/12357296";;"https://open.spotify.com/track/0NB6IdL0z0RxWOjpsKZRJL"
"Nilufer Yanya";"Method actor";"Mutations";"2024";"NINJA TUNE";1726914926;1726915182;;"https://music.apple.com/fr/album/mutations/1743430197?i=1743430206&uo=4";"https://open.spotify.com/track/0CPNtInZtdxtWNOBN5Nkhu"
