"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Helen Merrill";"Helen Merrill : Don't explain";"Born to be blue";1954;"EMARCY";1707818127;1707818438;"https://www.deezer.com/track/14529550";;
"Nicolas Cante";"Improvisium 2.1";"IV2Dm";2020;"KANTATIK MUSIK";1707818439;1707818694;"https://www.deezer.com/track/1195709082";;
"Brian Auger";"Definitely what!";"Bumpin' on sunset";1968;"POLYGRAM";1707818690;1707818984;;;
"Terence Blanchard";"Bounce";"Azania";2003;"Blue Note";1707818983;1707819340;;"https://music.apple.com/fr/album/azania/724365046?i=724365240&uo=4";"https://open.spotify.com/track/3SGwwHkmuIzd8ZOzM5ozet"
"Richard Galliano";"Laurita";"Libertango";1994;"DREYFUS";1707819336;1707819714;;;
"Bill Frisell";"Disfarmer";"Think";2009;"NONESUCH";1707819712;1707819989;"https://www.deezer.com/track/3788273";"https://music.apple.com/fr/album/think/322838579?i=322838615&uo=4";"https://open.spotify.com/track/7eqBIXzCZx0IVpoufwVmKK"
"Josette Dayde";"Intégrale Django Reinhardt vol.10/Nuages 1940";"Coucou";1940;"FREMEAUX ET ASSOCIES";1707819985;1707820146;"https://www.deezer.com/track/104791408";;
"Christian Escoudé";"Catalogne";"Gypsy talk";2010;"Plus Loin Music";1707820143;1707820425;;;
"Maynard Ferguson (Trompette)";"M.F horn two";"Theme from summer of 42";1972;"WOUNDED BIRD RECORDS";1707820425;1707820668;;"https://music.apple.com/fr/album/theme-from-summer-of-42/336856360?i=336856455&uo=4";
"Kamasi Washington";"The Epic Vol. 3 : The Historic Repetition";"Miss Understanding";2015;"Brainfeeder";1707820667;1707821190;"https://www.deezer.com/track/96918064";"https://music.apple.com/fr/album/miss-understanding/975610456?i=975610472&uo=4";"https://open.spotify.com/track/6dZojGTd9QNpAulk8WUoeW"
"Miles Davis";"Milestones";"Milestones";1958;"CBS";1707821185;1707821526;;"https://music.apple.com/fr/album/milestones-alternate-take/153017599?i=153018162&uo=4";
"James Farm";"James Farm";"Bijou";2011;"Nonesuch";1707821524;1707821775;;"https://music.apple.com/fr/album/bijou/431532630?i=431532639&uo=4";
"Jo Stafford";"West coast vocalists 1953-1961";"Imagination";1960;"FREMEAUX ET ASSOCIES";1707821771;1707821998;"https://www.deezer.com/track/105763374";;
"Nat King Cole";"The Pianist";"Down by the old mill stream";1952;"Saga";1707821999;1707822140;"https://www.deezer.com/track/566590412";;
"Chris Turner";"The Monk Tape";"Get To Gettin";2012;;1707822140;1707822283;;;
