"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Noe Huchard";"Song for";"San Rafaël pt. 1";2019;"SOUPIR MUSIQUE";1710410384;1710410593;;;
"Kazumi Watanabe";"Dandyism";"Spain";1998;"EMARCY";1710410587;1710410953;"https://www.deezer.com/track/13575712";;
"Harold Lopez Nussa";"El viaje";"Feria";2016;"Mack Avenue";1710410949;1710411180;;;
"Benny Golson";"Benny Golson's New York scene";"Whisper Not";1958;"CONTEMPORARY";1710411175;1710411537;"https://www.deezer.com/track/1396691732";;
"Khalil Chahine";"Noun";"Dar Es Salam";2009;"TURKHOISE";1710411532;1710411964;;;
"Flora Purim";"Milestone memories";"Open your eyes, you can fly";1976;"BGP RECORDS";1710411960;1710412227;;"https://music.apple.com/fr/album/open-your-eyes-you-can-fly/1444084642?i=1444084660&uo=4";"https://open.spotify.com/track/7JO9TTCSaddRgJ3YYjRXf4"
"Misja Fitzgerald Michel";"Encounter";"Central park west";2005;"NO FORMAT";1710412227;1710412533;;;
"Jimmy Giuffre";"The Jimmy Giuffre 3";"The Easy Way";;;1710412528;1710412880;;"https://music.apple.com/fr/album/the-easy-way/561793554?i=561793562&uo=4";"https://open.spotify.com/track/72wDPwYN9epQJNCNNlMq5g"
"Zatar";"Aremu";"Ederlezi";2018;"VDE-GALLO";1710412878;1710413285;;;
"Randy Weston";"Saga";"The three pyramids and the sphynx";1995;"Verve";1710413283;1710413653;;"https://music.apple.com/fr/album/the-three-pyramids-and-the-sphynx/1444169285?i=1444170169&uo=4";"https://open.spotify.com/track/7ad9fSzZTA6Df2T2aSmB3s"
"Christian Escoude";"Catalogne";"Choti";2010;"Plus Loin Music";1710413652;1710413830;;;
"Frank Sinatra";"Sinatra's Swingin' Session!!!";"Blue moon";1960;"CAPITOL";1710413829;1710413998;;;
"Houben & Son";"7/7";"Camel ride";2020;"IGLOO";1710413999;1710414361;;;
"Oscar Peterson Trio";"Hello Herbie";"Naptown Blues";1969;"MPS";1710414358;1710414675;;;
"Barbara Hannigan";"The passion of Charlie Parker";"The epitaph of Charlie Parker (Vocal version of """"Visa"""")";2017;"IMPULSE";1710414672;1710414905;;;
"Quincy Jones";"Smackwater Jack";"Cast your fate to the wind";1971;"A&M";1710414903;1710415169;;;"https://open.spotify.com/track/3VJuwMdSTTf9Z7ZoolTnIV"
"Khalil Chahine";"Kafé groppi";"Cinqué";2018;"TURKHOISE";1710415166;1710415486;"https://www.deezer.com/track/571217142";"https://music.apple.com/fr/album/cinque/1439614425?i=1439614428&uo=4";"https://open.spotify.com/track/0gGgJG4tROM4Q9ksAi9hfL"
"Mildred Bailey";"The chronological classics 1940-1942";"I'm nobody's baby";1940;"CLASSICS RECORDS";1710415483;1710415660;;;
"Michel Camilo";"Spirit of the moment";"Spirit of the moment";2007;"TELARC";1710415660;1710415955;;"https://music.apple.com/fr/album/spirit-of-the-moment/1651514560?i=1651515080&uo=4";"https://open.spotify.com/track/4dc4NCviIfEyqaPHjD0P5y"
"Michel Sardaby";"Voyage";"Solar";1984;"HARMONIC";1710415956;1710416313;;;
"Seed Ensemble";"Driftglass";"WAKE (For Grenfell)";2019;"Jazz Re:Freshed";1710416308;1710416855;;;
"Cliff Jordan";"Cliff craft";"Sophisticated lady";1957;"BLUENOTE";1710416852;1710417254;;"https://music.apple.com/fr/album/sophisticated-lady/658437256?i=658437780&uo=4";"https://open.spotify.com/track/0VfMAOS8d2Tbaxuozgy8qJ"
"Depart";"Reloaded";"Timeless dreams";2006;"ACT";1710417252;1710417569;"https://www.deezer.com/track/61508684";;"https://open.spotify.com/track/0ykiGrsJRmqPHCUfRzyU2f"
"Eddie Jefferson";"The jazz singer";"Now's the time";1959;"CDM";1710417567;1710417741;;;
"Ludivine Issambourg";"Outlaws";"Undecided";2020;"HEAVENLY SWEETNESS";1710417742;1710418040;;"https://music.apple.com/fr/album/undecided/1496377821?i=1496377830&uo=4";"https://open.spotify.com/track/0FVbbb6EDyCckexuU1QRD4"
"Bud Powell";"The virtuosos";"Just one of those things";1951;"HARMONIA MUNDI";1710418036;1710418273;"https://www.deezer.com/track/78718046";;
"Brad Mehldau";"Finding Gabriel";"Born to Trouble";2019;"Nonesuch";1710418271;1710418507;;"https://music.apple.com/fr/album/born-to-trouble/1457751910?i=1457751923&uo=4";"https://open.spotify.com/track/710Vw1H0jtmLn5zcMDzodq"
"Charles Kynard";"Reelin' with the feelin";"Zebra walk";1971;"ACE";1710418501;1710418868;;;
"Lars Danielsson";"Tarantella";"The madonna";2009;"ACT";1710418864;1710419245;;;"https://open.spotify.com/track/4U1GPgm6ibBkqHlGAGfCSq"
"Nancy Wilson";"Swingin's mutual";"All night long";1960;"CAPITOL";1710419240;1710419416;"https://www.deezer.com/track/67658225";"https://music.apple.com/fr/album/all-night-long/724729983?i=724730497&uo=4";
"Kiyoshi Kitagawa";"Ancestry";"Mahjong";2004;"ATELIER SAWA";1710419416;1710419827;;;
"Anouar Brahem";"Thimar";"Houdouth";1998;"ECM";1710419823;1710420154;"https://www.deezer.com/track/1168312";;"https://open.spotify.com/track/4vNOPFPAYSLMbErlw9FOvc"
"Paul Lay";"Deep Rivers";"Go to Hell";2019;"Laborie Jazz";1710420151;1710420440;;;
"Freddie Green";"Natural rhythm";"Down for double";1955;"BMG";1710420437;1710420675;;"https://music.apple.com/fr/album/down-for-double/1094229898?i=1094230494&uo=4";
