"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Joy Bryan";"Make the man love me & Joy Bryan sings";"Old Devil Moon";1961;"FRESH SOUND RECORDS";1708855050;1708855293;"https://www.deezer.com/track/39907541";;
"Misha Panfilov Sound Combo";"Days as echoes";"Moonscape waltz";2020;"FUNK NIGHT RECORDS";1708855294;1708855683;;"https://music.apple.com/fr/album/moonscape-waltz/1529360285?i=1529360410&uo=4";
"Lee Morgan";"Search for the new land";"The joker";1964;"BLUE/NOT";1708855680;1708855985;"https://www.deezer.com/track/2647113582";"https://music.apple.com/fr/album/the-joker/715959707?i=715960720&uo=4";
"Youn Sun Nah (Chant)";"Immersion";"Mercy mercy me (The ecology)";2019;"Warner Music";1708855982;1708856176;"https://www.deezer.com/track/762084002";;"https://open.spotify.com/track/6hwRVT629GBYuWWsvtIveU"
"Randy Weston";"Move to groove /  The best of 1970's jazz - funk";"In memory of";1973;"VERVE";1708856172;1708856529;;;
"Arshid Azarine Trio";"7 Djan";"Esterna";2015;"OHRWURM";1708856523;1708856830;;"https://music.apple.com/fr/album/esterna/1524676757?i=1524677120&uo=4";"https://open.spotify.com/track/6M8qNR9fLjclRuIBXHwQwL"
"Louis Prima";"Beatles beginnings / Vol. 8";"When you're smiling";1957;"RHYTHM AND BLUES RECORDS";1708856822;1708857060;"https://www.deezer.com/track/869897622";;
"Switch Trio";"In town";"Out of the past";2020;"JAZZ FAMILY";1708857060;1708857319;"https://www.deezer.com/track/1122098362";"https://music.apple.com/fr/album/out-of-the-past/1537656322?i=1537656347&uo=4";"https://open.spotify.com/track/2XwxNQa9gPsYJBgJruij1I"
"Bheki Mseleku";"Star seeding";"The sun race arise";1995;"VERVE";1708857317;1708857713;"https://www.deezer.com/track/2487603";"https://music.apple.com/fr/album/the-sun-race-arise/1442822757?i=1442822962&uo=4";"https://open.spotify.com/track/3pJWqYUbd8wVXGImCvofb7"
"Laurent Bardainne & Tigre D’eau Douce";"Love is everywhere";"Star 5 (feat. Anthony Joseph)";2020;"HEAVELY SWEETNESS";1708857707;1708858032;;"https://music.apple.com/fr/album/star-5-feat-anthony-joseph/1502658632?i=1502658992&uo=4";
"The Oscar Pettiford Orchestra";"Complete studio big band recordings";"Speculation";1957;"LONEHILL JAZ";1708858030;1708858276;;;
"Flavio Boltro Bbb Trio";"Spinning";"Natale a Mosca";2018;"Anteprima";1708858274;1708858644;;"https://music.apple.com/fr/album/natale-a-mosca/1438098470?i=1438098472&uo=4";
"Betty Hutton";"Somebody Loves Me";"Orange colored sky";1950;"SEPIA RECORDS";1708858640;1708858799;"https://www.deezer.com/track/2174036597";;
"Kaplaa";"Kaplaa";"What's freedom";2021;"AUTOPRODUCTION";1708858799;1708859071;"https://www.deezer.com/track/1925562607";;
"Donald Byrd";"Slow Drag";"The loner";1967;"BLUE NOTE";1708859070;1708859442;;"https://music.apple.com/fr/album/the-loner/723533139?i=723533319&uo=4";
"S.Mos";"S-Mos : Hip hop and jazz mixed up";"Who's making love";2010;"MUSICAST";1708859436;1708859673;;;
"Gato Barbieri";"Under fire";"El sertao";1971;"RCA/BMG";1708859666;1708860159;;"https://music.apple.com/fr/album/el-sertao/1621356751?i=1621357041&uo=4";"https://open.spotify.com/track/1t5TkiAV439h7MejOhr5PJ"
"Avichai Ornoy";"Sneakin' in";"Abuyoyo";2016;"JAZZ LABEL FAMILY";1708860156;1708860454;;"https://music.apple.com/fr/album/abuyoyo/1139773347?i=1139773436&uo=4";"https://open.spotify.com/track/25bqonOcKJ78iAjWWyeyRR"
"Dardanelle";"Jazz ladies";"After you get what you want you don't want it";1946;"CRISTAL RECORDS";1708860446;1708860633;;;
